actor,n_intervenciones,primera_sesion,ultima_sesion,cargos_observados,mandato_inicio,mandato_fin,presidente_inicio,presidente_fin,vicepresidente_inicio,vicepresidente_fin,fuente,verificado,nominado_por,background,educacion
José De Gregorio Rebeco,1048,2005-01-11,2011-11-15,Presidente del Banco Central; Vicepresidente del Banco Central,2001-06-21,2011-12-07,2007-12-07,2011-12-07,2003-12-18,2007-12-13,es.wikipedia.org/wiki/José_De_Gregorio,True,,,
Rodrigo Vergara Montes,1026,2010-01-14,2015-12-17,Consejero; Presidente del Banco Central,,,,,,,,False,,,
Manuel Marfán Lewis,855,2005-01-11,2013-12-12,Consejero; Vicepresidente del Banco Central,2003-12-18,2013-12-17,,,2010-01-07,2013-12-17,en.wikipedia.org/wiki/Manuel_Marfán,True,,,
Claudio Soto Gamboa,808,2008-04-10,2015-10-15,Asesor del Ministerio de Hacienda; Asesor del Ministro de Hacienda; Gerente de Análisis Macroeconómico; Gerente de Análisis Macroeconómico Interino; Gerente de División Estudios (S),,,,,,,,False,,,
Sergio Lehmann Beresi,791,2005-01-11,2014-09-11,Gerente de Análisis Internacional,,,,,,,,False,,,
Sebastián Claro Edwards,592,2007-12-13,2015-12-17,Consejero; Vicepresidente del Banco Central,,,,,,,,False,,,
Pablo García Silva,565,2005-01-11,2015-12-17,Consejero; Gerente de Análisis Macroeconómico; Gerente de División Estudios; Gerente de División Política Financiera; Gerente de Estabilidad Financiera,,,,,,,,False,,,
Consejo del Banco Central de Chile,503,2005-01-11,2015-12-17,Consejo,,,,,,,,False,,,
Enrique Marshall Rivera,483,2006-01-12,2015-08-13,Consejero; Vicepresidente del Banco Central,,,,,,,,False,,,
Vittorio Corbo Lioi,455,2005-01-11,2007-11-13,Presidente del Banco Central,,,2003-01-01,2007-12-07,,,es.wikipedia.org/wiki/José_De_Gregorio (sucesion); Boletin Mensual BCCh sept-2007,False,,,
Luis Óscar Herrera Barriga,302,2005-01-11,2014-06-12,Gerente de División Estudios; Gerente de División Política Financiera,,,,,,,,False,,,
