intervencion_id,fecha,actor,etiqueta,es_relevante,pred,score_pred,fold
RPM-2005-01-11:24:1,2005-01-11,Jorge Desormeaux Jiménez,neutral,1,neutral,-0.0268,5
RPM-2005-01-11:45:1,2005-01-11,Rodrigo Valdés Pulido,neutral,1,neutral,0.0099,5
RPM-2005-01-11:48:1,2005-01-11,Jorge Desormeaux Jiménez,neutral,1,neutral,-0.0165,5
RPM-2005-02-10:60:1,2005-02-10,Pablo García Silva,neutral,1,neutral,0.0020,1
RPM-2005-02-10:73:1,2005-02-10,Vittorio Corbo Lioi,neutral,0,neutral,0.0000,1
RPM-2005-02-10:87:1,2005-02-10,Pablo García Silva,neutral,1,neutral,-0.0360,1
RPM-2005-02-10:118:1,2005-02-10,Consejo del Banco Central de Chile,neutral,0,neutral,0.0000,1
RPM-2005-02-10:121:1,2005-02-10,Rodrigo Valdés Pulido,hawkish,1,hawkish,0.3122,1
RPM-2005-02-10:124:1,2005-02-10,Klaus Schmidt-Hebbel Dunker,neutral,1,hawkish,0.2366,1
RPM-2005-03-10:165:1,2005-03-10,Nicolás Eyzaguirre Guzmán,neutral,1,neutral,-0.0537,2
RPM-2005-03-10:180:1,2005-03-10,Sergio Lehmann Beresi,neutral,1,neutral,-0.0011,2
RPM-2005-04-07:207:10,2005-04-07,Vittorio Corbo Lioi,neutral,0,neutral,0.0000,4
RPM-2005-05-12:240:1,2005-05-12,Nicolás Eyzaguirre Guzmán,neutral,1,neutral,-0.1070,3
RPM-2005-08-11:316:1,2005-08-11,Nicolás Eyzaguirre Guzmán,neutral,1,neutral,0.0000,3
RPM-2005-10-11:405:1,2005-10-11,Vittorio Corbo Lioi,neutral,0,neutral,0.0000,2
RPM-2005-10-11:436:1,2005-10-11,Vittorio Corbo Lioi,neutral,0,neutral,0.0000,2
RPM-2005-11-10:479:1,2005-11-10,Manuel Marfán Lewis,neutral,1,neutral,-0.0469,3
RPM-2005-11-10:500:1,2005-11-10,Jorge Desormeaux Jiménez,hawkish,1,hawkish,0.4400,3
RPM-2005-11-10:503:2,2005-11-10,Consejo del Banco Central de Chile,neutral,0,hawkish,0.3259,3
RPM-2005-12-13:516:7,2005-12-13,Luis Óscar Herrera Barriga,neutral,1,neutral,-0.0245,3
RPM-2006-01-12:527:1,2006-01-12,Consejo del Banco Central de Chile,neutral,0,neutral,0.0000,3
RPM-2006-01-12:571:1,2006-01-12,Jorge Desormeaux Jiménez,hawkish,1,hawkish,0.3423,3
RPM-2006-02-09:587:9,2006-02-09,Consejo del Banco Central de Chile,neutral,0,neutral,0.0000,2
RPM-2006-03-16:601:2,2006-03-16,Pablo García Silva,neutral,1,neutral,-0.0577,5
RPM-2006-04-13:632:2,2006-04-13,Andrés Velasco Brañes,neutral,1,neutral,-0.0536,2
RPM-2006-04-13:643:2,2006-04-13,Rodrigo Valdés Pulido,neutral,1,neutral,-0.0105,2
RPM-2006-04-13:644:3,2006-04-13,Vittorio Corbo Lioi,neutral,0,neutral,0.0000,2
RPM-2006-04-13:644:8,2006-04-13,Klaus Schmidt-Hebbel Dunker,neutral,1,neutral,-0.0537,2
RPM-2006-06-15:691:1,2006-06-15,Beltrán de Ramón Acevedo,neutral,1,neutral,-0.0321,3
RPM-2006-06-15:715:1,2006-06-15,José De Gregorio Rebeco,neutral,1,neutral,-0.0371,3
RPM-2006-06-15:718:1,2006-06-15,José De Gregorio Rebeco,neutral,1,neutral,-0.0259,3
RPM-2006-07-13:745:6,2006-07-13,Sergio Lehmann Beresi,neutral,1,neutral,-0.0446,5
RPM-2006-07-13:761:1,2006-07-13,Andrés Velasco Brañes,neutral,1,neutral,-0.0546,5
RPM-2006-08-10:806:1,2006-08-10,Vittorio Corbo Lioi,neutral,1,neutral,-0.0963,5
RPM-2006-08-10:808:1,2006-08-10,Igal Magendzo Weinberger,neutral,1,neutral,-0.0287,5
RPM-2006-09-07:835:1,2006-09-07,José De Gregorio Rebeco,neutral,1,neutral,-0.0401,1
RPM-2006-09-07:857:1,2006-09-07,Igal Magendzo Weinberger,neutral,1,neutral,-0.0267,1
RPM-2006-09-07:873:1,2006-09-07,Enrique Marshall Rivera,dovish,1,dovish,-0.0489,1
RPM-2006-10-12:941:1,2006-10-12,José De Gregorio Rebeco,neutral,1,dovish,-0.2203,3
RPM-2006-12-14:1017:1,2006-12-14,Enrique Marshall Rivera,neutral,1,dovish,-0.1341,4
RPM-2007-01-11:1030:1,2007-01-11,Rodrigo Valdés Pulido,neutral,1,neutral,-0.0141,2
RPM-2007-01-11:1047:5,2007-01-11,Vittorio Corbo Lioi,neutral,0,neutral,0.0000,2
RPM-2007-01-11:1049:3,2007-01-11,Beltrán de Ramón Acevedo,dovish,1,neutral,0.0616,2
RPM-2007-02-08:1087:1,2007-02-08,Andrés Velasco Brañes,neutral,1,neutral,-0.1098,2
RPM-2007-02-08:1103:1,2007-02-08,Consejo del Banco Central de Chile,neutral,0,neutral,0.0000,2
RPM-2007-04-12:1194:1,2007-04-12,Rodrigo Valdés Pulido,neutral,1,neutral,-0.0537,1
RPM-2007-05-10:1233:2,2007-05-10,José De Gregorio Rebeco,neutral,1,neutral,-0.0295,5
RPM-2007-05-10:1241:1,2007-05-10,Vittorio Corbo Lioi,neutral,0,neutral,0.0013,5
RPM-2007-05-10:1261:2,2007-05-10,Consejo del Banco Central de Chile,neutral,1,hawkish,0.1391,5
RPM-2007-06-14:1296:3,2007-06-14,José De Gregorio Rebeco,neutral,1,neutral,-0.0072,1
RPM-2007-07-12:1325:1,2007-07-12,Vittorio Corbo Lioi,neutral,0,neutral,0.0000,4
RPM-2007-08-09:1388:1,2007-08-09,Vittorio Corbo Lioi,neutral,0,neutral,0.0000,4
RPM-2007-09-13:1421:1,2007-09-13,Manuel Marfán Lewis,neutral,1,neutral,0.0087,3
RPM-2007-10-11:1505:1,2007-10-11,Andrés Velasco Brañes,neutral,1,neutral,-0.0368,3
RPM-2007-11-13:1552:1,2007-11-13,Igal Magendzo Weinberger,neutral,1,neutral,-0.0338,1
RPM-2007-11-13:1553:1,2007-11-13,Vittorio Corbo Lioi,neutral,1,neutral,-0.0129,1
RPM-2007-12-13:1577:1,2007-12-13,Manuel Marfán Lewis,neutral,1,neutral,0.0140,3
RPM-2007-12-13:1582:2,2007-12-13,Sergio Lehmann Beresi,neutral,1,neutral,-0.0277,3
RPM-2007-12-13:1587:2,2007-12-13,Igal Magendzo Weinberger,neutral,1,neutral,0.0320,3
RPM-2007-12-13:1590:1,2007-12-13,Igal Magendzo Weinberger,neutral,1,neutral,-0.0449,3
RPM-2007-12-13:1594:2,2007-12-13,Igal Magendzo Weinberger,neutral,1,neutral,-0.0236,3
RPM-2007-12-13:1596:1,2007-12-13,Enrique Marshall Rivera,neutral,1,neutral,-0.0314,3
RPM-2007-12-13:1608:3,2007-12-13,José De Gregorio Rebeco,neutral,0,neutral,0.0000,3
RPM-2008-01-10:1619:2,2008-01-10,Manuel Marfán Lewis,neutral,1,neutral,-0.0108,1
RPM-2008-01-10:1628:2,2008-01-10,Consejo del Banco Central de Chile,neutral,0,neutral,0.0000,1
RPM-2008-02-07:1649:2,2008-02-07,Sergio Lehmann Beresi,neutral,1,neutral,-0.0558,2
RPM-2008-02-07:1672:1,2008-02-07,Klaus Schmidt-Hebbel Dunker,dovish,1,hawkish,0.2005,2
RPM-2008-03-13:1716:1,2008-03-13,Sebastián Claro Edwards,neutral,1,neutral,0.0088,4
RPM-2008-03-13:1718:12,2008-03-13,Andrés Velasco Brañes,neutral,1,neutral,-0.0043,4
RPM-2008-03-13:1724:1,2008-03-13,José De Gregorio Rebeco,neutral,0,neutral,0.0000,4
RPM-2008-04-10:1760:1,2008-04-10,Andrés Velasco Brañes,neutral,1,neutral,-0.0919,2
RPM-2008-04-10:1775:1,2008-04-10,José De Gregorio Rebeco,neutral,0,neutral,0.0000,2
RPM-2008-05-08:1808:1,2008-05-08,Sebastián Claro Edwards,neutral,1,neutral,0.0097,5
RPM-2008-05-08:1841:1,2008-05-08,José De Gregorio Rebeco,neutral,0,neutral,0.0000,5
RPM-2008-06-10:1854:1,2008-06-10,Sebastián Claro Edwards,neutral,1,neutral,-0.0009,4
RPM-2008-06-10:1870:3,2008-06-10,Manuel Marfán Lewis,neutral,1,neutral,-0.0481,4
RPM-2008-06-10:1878:1,2008-06-10,Pablo García Silva,neutral,1,neutral,-0.0317,4
RPM-2008-06-10:1904:1,2008-06-10,Beltrán de Ramón Acevedo,hawkish,1,hawkish,0.4339,4
RPM-2008-07-10:1923:8,2008-07-10,Sergio Lehmann Beresi,neutral,1,neutral,-0.0356,5
RPM-2008-07-10:1959:1,2008-07-10,Pablo García Silva,neutral,1,neutral,0.0118,5
RPM-2008-08-14:2011:1,2008-08-14,José De Gregorio Rebeco,neutral,0,neutral,-0.0882,4
RPM-2008-08-14:2017:1,2008-08-14,Manuel Marfán Lewis,neutral,1,neutral,0.0090,4
RPM-2008-08-14:2045:1,2008-08-14,Consejo del Banco Central de Chile,hawkish,1,hawkish,0.5992,4
RPM-2008-09-04:2048:1,2008-09-04,José De Gregorio Rebeco,neutral,0,neutral,0.0000,5
RPM-2008-09-04:2083:1,2008-09-04,José De Gregorio Rebeco,neutral,1,neutral,-0.0473,5
RPM-2008-09-04:2088:1,2008-09-04,Beltrán de Ramón Acevedo,hawkish,1,hawkish,0.1995,5
RPM-2008-10-09:2106:3,2008-10-09,Enrique Marshall Rivera,neutral,1,neutral,-0.0558,5
RPM-2008-11-13:2139:1,2008-11-13,Pablo García Silva,neutral,1,neutral,-0.0636,2
RPM-2008-11-13:2167:3,2008-11-13,Andrés Velasco Brañes,dovish,1,neutral,-0.1290,2
RPM-2008-12-11:2176:1,2008-12-11,José De Gregorio Rebeco,neutral,0,neutral,0.0000,1
RPM-2008-12-11:2187:1,2008-12-11,Pablo García Silva,neutral,1,neutral,-0.0300,1
RPM-2009-01-08:2263:1,2009-01-08,Manuel Marfán Lewis,neutral,1,neutral,0.0102,4
RPM-2009-02-12:2326:1,2009-02-12,Manuel Marfán Lewis,neutral,1,neutral,-0.0015,4
RPM-2009-02-12:2328:1,2009-02-12,José De Gregorio Rebeco,neutral,1,neutral,-0.0358,4
RPM-2009-02-12:2332:1,2009-02-12,José De Gregorio Rebeco,neutral,1,neutral,0.0000,4
RPM-2009-02-12:2338:1,2009-02-12,José De Gregorio Rebeco,neutral,1,neutral,-0.0410,4
RPM-2009-02-12:2353:1,2009-02-12,Manuel Marfán Lewis,neutral,1,neutral,-0.0184,4
RPM-2009-02-12:2377:1,2009-02-12,Jorge Desormeaux Jiménez,dovish,1,neutral,-0.0560,4
RPM-2009-02-12:2382:1,2009-02-12,Consejo del Banco Central de Chile,neutral,0,neutral,0.0000,4
RPM-2009-03-12:2392:2,2009-03-12,Sergio Lehmann Beresi,neutral,1,neutral,0.0011,2
RPM-2009-04-09:2476:1,2009-04-09,Claudio Soto Gamboa,neutral,1,neutral,-0.0570,1
RPM-2009-04-09:2487:2,2009-04-09,Andrés Velasco Brañes,neutral,1,neutral,-0.0376,1
RPM-2009-04-09:2489:3,2009-04-09,José De Gregorio Rebeco,neutral,0,neutral,0.0000,1
RPM-2009-04-09:2500:2,2009-04-09,Consejo del Banco Central de Chile,dovish,1,hawkish,0.1667,1
RPM-2009-05-07:2517:1,2009-05-07,José De Gregorio Rebeco,neutral,1,neutral,-0.0250,5
RPM-2009-05-07:2519:1,2009-05-07,Andrés Velasco Brañes,neutral,1,neutral,0.0168,5
RPM-2009-05-07:2528:2,2009-05-07,Claudio Soto Gamboa,neutral,1,neutral,-0.0489,5
RPM-2009-05-07:2532:2,2009-05-07,Claudio Soto Gamboa,neutral,1,neutral,-0.0366,5
RPM-2009-06-16:2567:3,2009-06-16,Sergio Lehmann Beresi,neutral,1,neutral,-0.0300,3
RPM-2009-07-09:2608:4,2009-07-09,Andrés Velasco Brañes,neutral,1,neutral,-0.0097,3
RPM-2009-07-09:2644:2,2009-07-09,Luis Felipe Céspedes Cifuentes,dovish,1,dovish,-0.3508,3
RPM-2009-08-13:2659:1,2009-08-13,Sergio Lehmann Beresi,neutral,1,neutral,-0.0181,3
RPM-2009-09-08:2689:1,2009-09-08,Consejo del Banco Central de Chile,neutral,0,neutral,0.0000,5
RPM-2009-09-08:2699:4,2009-09-08,Claudio Soto Gamboa,neutral,1,neutral,-0.0029,5
RPM-2009-09-08:2711:2,2009-09-08,José De Gregorio Rebeco,dovish,1,dovish,-0.2672,5
RPM-2009-10-13:2714:1,2009-10-13,José De Gregorio Rebeco,neutral,0,neutral,0.0000,2
RPM-2009-10-13:2725:5,2009-10-13,Sergio Lehmann Beresi,neutral,1,neutral,-0.0386,2
RPM-2009-10-13:2742:1,2009-10-13,Kevin Cowan Logan,neutral,1,neutral,-0.0241,2
RPM-2009-11-12:2776:1,2009-11-12,José De Gregorio Rebeco,neutral,1,neutral,-0.0306,4
RPM-2009-11-12:2781:1,2009-11-12,Enrique Marshall Rivera,neutral,1,neutral,-0.0096,4
RPM-2009-12-15:2809:1,2009-12-15,José De Gregorio Rebeco,neutral,1,neutral,0.0009,4
RPM-2009-12-15:2821:1,2009-12-15,Claudio Soto Gamboa,neutral,1,neutral,-0.0392,4
RPM-2009-12-15:2823:2,2009-12-15,Claudio Soto Gamboa,neutral,1,neutral,-0.0370,4
RPM-2009-12-15:2829:1,2009-12-15,Pablo García Silva,neutral,1,neutral,-0.0031,4
RPM-2010-01-14:2843:2,2010-01-14,Sergio Lehmann Beresi,neutral,1,neutral,-0.0381,1
RPM-2010-01-14:2850:1,2010-01-14,Manuel Marfán Lewis,neutral,1,neutral,-0.0374,1
RPM-2010-01-14:2859:1,2010-01-14,Manuel Marfán Lewis,neutral,1,neutral,-0.0221,1
RPM-2010-01-14:2865:1,2010-01-14,Rodrigo Vergara Montes,neutral,1,neutral,-0.0550,1
RPM-2010-01-14:2884:1,2010-01-14,Enrique Marshall Rivera,dovish,1,dovish,-0.1716,1
RPM-2010-02-11:2911:2,2010-02-11,Claudio Soto Gamboa,neutral,0,neutral,-0.0033,1
RPM-2010-02-11:2918:2,2010-02-11,Claudio Soto Gamboa,neutral,0,neutral,-0.0267,1
RPM-2010-02-11:2933:1,2010-02-11,Claudio Soto Gamboa,neutral,1,neutral,-0.0277,1
RPM-2010-02-11:2947:4,2010-02-11,Claudio Soto Gamboa,neutral,1,neutral,-0.0143,1
RPM-2010-02-11:2957:3,2010-02-11,José De Gregorio Rebeco,neutral,0,neutral,-0.0358,1
RPM-2010-03-18:2981:6,2010-03-18,José De Gregorio Rebeco,neutral,1,neutral,0.0322,4
RPM-2010-03-18:2986:1,2010-03-18,Sebastián Claro Edwards,neutral,1,neutral,-0.0012,4
RPM-2010-03-18:2995:1,2010-03-18,Manuel Marfán Lewis,neutral,1,neutral,0.1232,4
RPM-2010-03-18:3003:1,2010-03-18,José De Gregorio Rebeco,neutral,0,neutral,0.0000,4
RPM-2010-03-18:3004:1,2010-03-18,Sebastián Claro Edwards,neutral,1,neutral,-0.0631,4
RPM-2010-03-18:3014:1,2010-03-18,Felipe Larraín Bascuñán,neutral,1,neutral,-0.0902,4
RPM-2010-04-15:3042:1,2010-04-15,Claudio Soto Gamboa,neutral,1,neutral,-0.0487,5
RPM-2010-04-15:3044:3,2010-04-15,Manuel Marfán Lewis,neutral,1,neutral,-0.0446,5
RPM-2010-04-15:3051:4,2010-04-15,Claudio Soto Gamboa,neutral,1,neutral,-0.0143,5
RPM-2010-05-13:3109:3,2010-05-13,Consejo del Banco Central de Chile,neutral,0,neutral,-0.0460,2
RPM-2010-05-13:3124:1,2010-05-13,Manuel Marfán Lewis,hawkish,1,dovish,-0.0812,2
RPM-2010-05-13:3125:1,2010-05-13,José De Gregorio Rebeco,hawkish,1,hawkish,0.0556,2
RPM-2010-06-15:3137:1,2010-06-15,Enrique Marshall Rivera,neutral,1,neutral,-0.0728,1
RPM-2010-06-15:3166:1,2010-06-15,Claudio Soto Gamboa,neutral,1,neutral,0.0118,1
RPM-2010-06-15:3199:1,2010-06-15,Rodrigo Vergara Montes,hawkish,1,hawkish,0.0744,1
RPM-2010-07-15:3208:1,2010-07-15,José De Gregorio Rebeco,neutral,0,neutral,0.0000,5
RPM-2010-07-15:3210:1,2010-07-15,Enrique Marshall Rivera,neutral,0,neutral,-0.0320,5
RPM-2010-07-15:3242:2,2010-07-15,Manuel Marfán Lewis,neutral,1,neutral,-0.0160,5
RPM-2010-07-15:3244:1,2010-07-15,Claudio Soto Gamboa,neutral,1,neutral,-0.0666,5
RPM-2010-08-12:3281:1,2010-08-12,Sebastián Claro Edwards,neutral,1,neutral,0.0309,1
RPM-2010-08-12:3306:1,2010-08-12,Enrique Marshall Rivera,neutral,0,neutral,-0.0087,1
RPM-2010-09-16:3372:1,2010-09-16,José De Gregorio Rebeco,neutral,1,neutral,-0.0609,3
RPM-2010-09-16:3388:2,2010-09-16,Claudio Soto Gamboa,neutral,0,neutral,-0.0175,3
RPM-2010-09-16:3422:1,2010-09-16,Felipe Larraín Bascuñán,neutral,0,neutral,-0.0466,3
RPM-2010-10-14:3439:3,2010-10-14,Felipe Jaque,neutral,1,neutral,-0.1090,3
RPM-2010-10-14:3467:1,2010-10-14,José De Gregorio Rebeco,neutral,1,neutral,-0.0474,3
RPM-2010-10-14:3476:2,2010-10-14,Manuel Marfán Lewis,neutral,1,neutral,-0.0233,3
RPM-2010-10-14:3476:3,2010-10-14,Claudio Soto Gamboa,neutral,1,neutral,0.0778,3
RPM-2010-10-14:3493:1,2010-10-14,Consejo del Banco Central de Chile,neutral,0,neutral,0.0000,3
RPM-2010-11-16:3538:1,2010-11-16,Claudio Soto Gamboa,neutral,1,neutral,-0.0307,2
RPM-2010-11-16:3568:1,2010-11-16,Manuel Marfán Lewis,neutral,1,neutral,-0.0621,2
RPM-2010-12-16:3584:1,2010-12-16,José De Gregorio Rebeco,neutral,0,neutral,0.0000,3
RPM-2010-12-16:3615:1,2010-12-16,Claudio Soto Gamboa,neutral,1,neutral,0.0018,3
RPM-2010-12-16:3620:1,2010-12-16,Enrique Marshall Rivera,neutral,1,neutral,-0.0218,3
RPM-2010-12-16:3633:1,2010-12-16,José De Gregorio Rebeco,neutral,0,neutral,0.0000,3
RPM-2011-01-13:3695:1,2011-01-13,José De Gregorio Rebeco,neutral,0,neutral,-0.0247,2
RPM-2011-02-17:3728:1,2011-02-17,Sergio Lehmann Beresi,neutral,1,neutral,-0.0242,2
RPM-2011-02-17:3814:1,2011-02-17,Consejo del Banco Central de Chile,neutral,0,neutral,0.0000,2
RPM-2011-03-17:3828:1,2011-03-17,Luis Óscar Herrera Barriga,neutral,1,neutral,-0.0047,2
RPM-2011-03-17:3841:1,2011-03-17,Enrique Marshall Rivera,neutral,1,neutral,-0.0263,2
RPM-2011-03-17:3858:1,2011-03-17,Sebastián Claro Edwards,neutral,1,neutral,-0.0113,2
RPM-2011-05-12:3973:1,2011-05-12,Sergio Lehmann Beresi,neutral,1,neutral,-0.0701,2
RPM-2011-05-12:3978:1,2011-05-12,José De Gregorio Rebeco,neutral,1,neutral,-0.0336,2
RPM-2011-05-12:3989:1,2011-05-12,José De Gregorio Rebeco,neutral,1,neutral,-0.0438,2
RPM-2011-05-12:4015:1,2011-05-12,Manuel Marfán Lewis,neutral,0,neutral,-0.0104,2
RPM-2011-05-12:4024:1,2011-05-12,Claudio Soto Gamboa,neutral,1,neutral,-0.0205,2
RPM-2011-05-12:4047:1,2011-05-12,Felipe Larraín Bascuñán,hawkish,1,dovish,-0.0426,2
RPM-2011-06-14:4062:1,2011-06-14,Sergio Lehmann Beresi,neutral,1,neutral,-0.0190,2
RPM-2011-06-14:4106:1,2011-06-14,Luis Óscar Herrera Barriga,hawkish,1,hawkish,0.0104,2
RPM-2011-07-14:4134:1,2011-07-14,Manuel Marfán Lewis,neutral,0,neutral,-0.0274,3
RPM-2011-07-14:4182:2,2011-07-14,Claudio Soto Gamboa,neutral,0,neutral,-0.0298,3
RPM-2011-08-18:4224:2,2011-08-18,Sergio Lehmann Beresi,neutral,1,neutral,0.0303,4
RPM-2011-08-18:4263:1,2011-08-18,Sebastián Claro Edwards,neutral,0,neutral,0.0226,4
RPM-2011-08-18:4272:1,2011-08-18,Felipe Larraín Bascuñán,dovish,1,hawkish,0.0703,4
