serie,por_que,fuente_sugerida
eee_inflacion_1a,Expectativas de inflacion a 1 ano (Encuesta de Expectativas Economicas),API BDE del BCCh (requiere registro gratuito): si3.bcentral.cl
ipec,"Indice de Percepcion de la Economia (confianza del consumidor, Adimark)","Adimark / prensa economica (historico parcial, posible scraping)"
sit_pais_1a,Expectativa sobre la situacion del pais a 1 ano (componente de encuestas),Adimark / CEP segun definicion final de la variable
https://mindicador.cl/api/tpm/2005,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tpm/2006,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tpm/2007,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tpm/2008,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tpm/2009,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tpm/2010,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tpm/2011,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tpm/2012,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tpm/2013,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tpm/2014,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/tpm/2015,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/ipc/2005,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/ipc/2006,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/ipc/2007,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/ipc/2008,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/ipc/2009,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/ipc/2010,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/ipc/2011,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/ipc/2012,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/ipc/2013,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/ipc/2014,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/ipc/2015,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/imacec/2005,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/imacec/2006,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/imacec/2007,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/imacec/2008,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/imacec/2009,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/imacec/2010,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/imacec/2011,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/imacec/2012,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/imacec/2013,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/imacec/2014,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
https://mindicador.cl/api/imacec/2015,descarga fallida (sin salida TLS en sandbox),"re-ejecutar este script con internet normal, o depositar el JSON en data/L2/raw/"
