meeting_id,fecha,n_int,pH,pD,pN,s_score,dTPM,policy_decision,clase_dominante,concuerda
RPM-2005-01-11,2005-01-11,48,0.199,0.0094,0.7917,0.1896,0.25,sube,neutral,False
RPM-2005-02-10,2005-02-10,68,0.1663,0.0209,0.8128,0.1454,0.25,sube,neutral,False
RPM-2005-03-10,2005-03-10,54,0.0478,0.0257,0.9265,0.022,0.0,mantiene,neutral,True
RPM-2005-04-07,2005-04-07,46,0.1424,0.0207,0.837,0.1217,0.25,sube,neutral,False
RPM-2005-05-12,2005-05-12,52,0.149,0.0404,0.8106,0.1087,0.25,sube,neutral,False
RPM-2005-06-09,2005-06-09,29,0.0621,0.1966,0.7414,-0.1345,0.0,mantiene,neutral,True
RPM-2005-07-12,2005-07-12,1,0.95,0.0,0.05,0.95,0.25,sube,hawkish,True
RPM-2005-08-11,2005-08-11,2,0.01,0.01,0.98,0.0,0.25,sube,neutral,False
RPM-2005-09-08,2005-09-08,1,0.8,0.0,0.2,0.8,0.25,sube,hawkish,True
RPM-2005-11-10,2005-11-10,7,0.4986,0.0129,0.4886,0.4857,0.25,sube,hawkish,True
RPM-2005-12-13,2005-12-13,6,0.0067,0.1233,0.87,-0.1167,0.0,mantiene,neutral,True
RPM-2006-01-12,2006-01-12,5,0.17,0.01,0.82,0.16,0.0,mantiene,neutral,True
RPM-2006-02-09,2006-02-09,3,0.0,0.0,1.0,0.0,0.25,sube,neutral,False
RPM-2006-03-16,2006-03-16,3,0.21,0.2467,0.5433,-0.0367,0.0,mantiene,neutral,True
RPM-2006-04-13,2006-04-13,7,0.01,0.01,0.98,0.0,0.25,sube,neutral,False
RPM-2006-05-11,2006-05-11,6,0.0,0.4833,0.5167,-0.4833,0.0,mantiene,neutral,True
RPM-2006-06-15,2006-06-15,11,0.0073,0.0755,0.9173,-0.0682,0.0,mantiene,neutral,True
RPM-2006-07-13,2006-07-13,13,0.3015,0.0592,0.6392,0.2423,0.25,sube,neutral,False
RPM-2006-08-10,2006-08-10,5,0.146,0.02,0.834,0.126,0.0,mantiene,neutral,True
RPM-2006-09-07,2006-09-07,5,0.026,0.274,0.7,-0.248,0.0,mantiene,neutral,True
RPM-2006-10-12,2006-10-12,5,0.05,0.19,0.76,-0.14,0.0,mantiene,neutral,True
RPM-2006-11-16,2006-11-16,4,0.0,0.5,0.5,-0.5,0.0,mantiene,dovish,False
RPM-2006-12-14,2006-12-14,6,0.1417,0.0833,0.775,0.0583,0.0,mantiene,neutral,True
RPM-2007-01-11,2007-01-11,7,0.11,0.3614,0.5286,-0.2514,-0.25,baja,neutral,False
RPM-2007-02-08,2007-02-08,6,0.125,0.03,0.845,0.095,0.0,mantiene,neutral,True
RPM-2007-03-15,2007-03-15,8,0.1438,0.1875,0.6688,-0.0438,0.0,mantiene,neutral,True
RPM-2007-04-12,2007-04-12,7,0.1029,0.0029,0.8943,0.1,0.0,mantiene,neutral,True
RPM-2007-05-10,2007-05-10,9,0.0889,0.0167,0.8944,0.0722,0.0,mantiene,neutral,True
