orden;fila_excel;intervencion_id;etiqueta;problemas;caracteres_frase;frase_justificante
1;2;RPM-2014-03-13:6107:1;hawkish;frase excede 300 caracteres;334;A título personal, señala que en la coyuntura actual y dado el panorama de mayor sensibilidad de los mercados internacionales a los riesgos en mercados emergentes, tiende a ponderar más el segundo de los factores mencionados, por lo que su inclinación sería por la mantención de la tasa en esta ocasión, manteniendo un sesgo a ia baja
3;4;RPM-2010-03-18:2971:1;neutral;frase no verbatim;190;las expectativas de mercado para la TPM... se han ajustado nuevamente a la baja, en línea con señales de parte de las autoridades que refuerzan que el período de bajas tasas sería prolongado
8;9;RPM-2008-09-04:2096:1;hawkish;frase no verbatim;271;no hay razones para desviarse de la trayectoria de política monetaria la que en el último tiempo aparece como la más adecuada, esto es, seguir subiendo la Tasa de Política Monetaria... la respuesta de política monetaria es inambigua y su dirección hoy es al alza de tasas
13;14;RPM-2008-04-10:1776:1;neutral;frase no verbatim;299;reitera literalmente su recomendación presentada al Consejo hace un mes, en el sentido de mantener la Tasa de Política Monetaria, sin imponer sesgo alguno... permite abrir la puerta a decisiones futuras de política monetaria más expansiva... o, alternativamente, adoptar una política más contractiva
22;23;RPM-2010-02-11:2891:5;neutral;frase no verbatim;149;la probabilidad de rescate reduce el riesgo... la disminución de tasas no obedeció a un aumento del apetito por riesgo, sino porque hubo menor riesgo
28;29;RPM-2008-12-11:2254:1;neutral;frase no verbatim;214;el Consejo del Banco Central de Chile acordó mantener la tasa de interés de política monetaria en 8,25% anual... el Consejo estima que, en el escenario más probable, se iniciará un proceso de relajamiento monetario
38;39;RPM-2012-04-17:4753:1;neutral;frase no verbatim;185;el Presidente señor Rodrigo Vergara agradece la presentación del Gerente de Análisis Internacional señor Sergio Lehmann y, a continuación, ofrece la palabra para consultas o comentarios
40;41;RPM-2009-02-12:2318:1;neutral;frase no verbatim;156;se sumó a la proyección de déficit fiscal de Estados Unidos de América el monto correspondiente al plan citado... se alcanzaría el 14% de déficit proyectado
41;42;RPM-2015-01-15:6561:2;neutral;frase no verbatim;166;los mercados financieros de las economías emergentes... han empeorado desde la Reunión anterior, empujados por la incertidumbre política y económica en Grecia y Rusia
47;48;RPM-2012-10-18:5119:1;neutral;frase no verbatim;160;la visión recogida en la Reunión Anual organizada por el Fondo Monetario Internacional y el Banco Mundial... es algo más optimista respecto del panorama mundial
48;49;RPM-2010-05-13:3092:1;neutral;frase no verbatim;141;podría haber un problema de disrupción social y política, que puede afectar, de alguna manera, la viabilidad y la legitimidad de los anuncios
51;52;RPM-2013-10-17:5834:1;neutral;frase no verbatim;182;el Presidente señor Rodrigo Vergara agradece la exposición del Gerente de Análisis Macroeconómico señor Claudio Soto y, a continuación, ofrece la palabra para consultas y comentarios
54;55;RPM-2014-05-15:6228:1;hawkish;frase no verbatim;227;su voto es por mantener la TPM en 4% y por suavizar el sesgo en el Comunicado... las tasas de interés deberían permanecer en los niveles actuales, y en la medida que el crecimiento del PIB se recupere, debería ajustarse al alza
56;57;RPM-2015-10-15:7063:1;neutral;frase no verbatim;127;el Presidente, señor Vittorio Corbo, suspende la Sesión a las 13:50 horas e informa que la misma se reanudará a las 16:00 horas
57;58;RPM-2006-10-12:899:2;neutral;frase no verbatim;109;la visión respecto de la primera alza de tasas en Estados Unidos de América se ha ido retardando en el tiempo
58;59;RPM-2015-10-15:7059:1;neutral;frase no verbatim;140;"la cifra fue de 170 millones de dólares en octubre; en noviembre fue de 70 millones de dólares; y, en diciembre otros 70 millones de dólares"
59;60;RPM-2012-01-12:4563:1;neutral;frase no verbatim;74;la situación política y macroeconómica de ese país continúa deteriorándose
60;61;RPM-2012-06-14:4874:1;neutral;frase no verbatim;182;el Presidente señor Rodrigo Vergara concede la palabra al Gerente de División Estudios señor Luis Óscar Herrera para que presente las Opciones de Política Monetaria para esta Reunión
65;66;RPM-2015-04-16:6754:1;hawkish;frase no verbatim;154;su voto es por mantener la Tasa de Política Monetaria en 3% y el sesgo neutral del último Comunicado... no existe espacio para un mayor estímulo monetario
69;70;RPM-2015-09-15:7032:1;neutral;frase no verbatim;205;las medidas de seguros de inflación... van precisamente en dirección contraria de los todos los antecedentes expuestos al mostrar que la inflación a agosto de 2016, RPM contra RPM, caería en 14 puntos base
71;72;RPM-2007-06-14:1308:1;hawkish;frase no verbatim;179;se inclina por mantener la Tasa de Política Monetaria en un 5,0%... lo que requeriría de un menor estímulo monetario para asegurar que la inflación anual se mantenga en torno a 3%
74;75;RPM-2006-06-15:678:1;neutral;frase no verbatim;69;el Presidente señor Vittorio Corbo ofrece la palabra para comentarios
76;77;RPM-2011-12-13:4498:2;neutral;frase no verbatim;146;no se advertía un mayor uso de las líneas de crédito, pero sí una mayor disposición por parte de algunas firmas... a cotizar en los bancos locales
78;79;RPM-2014-11-18:6515:1;hawkish;frase no verbatim;161;su voto es por mantener la TPM en su actual nivel y por mantener el tenor del último Comunicado... la opción de bajarla no sería prudente en estas circunstancias
79;80;RPM-2006-06-15:732:1;hawkish;frase no verbatim;231;está de acuerdo con la recomendación central de la Gerencia de División Estudios, en el sentido de mantener y hacer una pausa en la normalización de la política monetaria... la recomendación central de mantener la tasa es apropiada
84;85;RPM-2009-04-09:2478:3;neutral;frase no verbatim;109;el mercado laboral ha seguido deteriorándose... una tasa de desempleo desestacionalizada que se aproxima a 9%
85;86;RPM-2008-09-04:2085:3;neutral;frase no verbatim;136;el Presidente señor José De Gregorio fija la Reunión de Política Monetaria del mes de marzo de 2009, para el día jueves 12 del mismo mes
92;93;RPM-2014-12-11:6519:1;neutral;frase no verbatim;219;el Presidente señor Rodrigo Vergara da inicio a la Reunión de Política Monetaria Nº 217, comunicando que... la Reunión de Política Monetaria correspondiente al mes de junio de 2015 se celebre el día jueves 11 de ese mes
94;95;RPM-2006-05-11:663:4;neutral;frase no verbatim;118;si tenemos un problema con la encuesta de empleo... tendríamos una medición de productividad observada que es más baja
98;99;RPM-2007-09-13:1435:1;neutral;frase no verbatim;81;el señor Presidente ofrece la palabra para comentarios sobre el escenario interno
105;106;RPM-2014-06-12:6246:1;neutral;frase no verbatim;90;en materia de perspectivas, da cuenta de una mirada algo más expansiva para América Latina
108;109;RPM-2011-06-14:4112:1;hawkish;frase no verbatim;75;el Consejero señor Sebastián Claro señala que vota por subir la TPM a 5,25%
112;113;RPM-2015-07-14:6915:1;neutral;frase no verbatim;175;el Presidente señor Rodrigo Vergara agradece la presentación del Consejero señor Sebastián Claro y, a continuación, concede la palabra al Vicepresidente señor Enrique Marshall
123;124;RPM-2011-01-13:3711:1;hawkish;frase no verbatim;210;su voto en esta oportunidad es por mantener la TPM en 3,25%... el Comunicado debe dejar claro que el proceso de normalización monetaria se mantendrá a futuro, esto es, que se mantiene el sesgo alcista de la TPM
131;132;RPM-2015-12-17:7196:1;neutral;frase no verbatim;137;en la lámina N°52 se señala que la 'inflación de servicios SAE se ha mantenido alta'... mientras que en la lámina N°74 se trunca la serie
133;134;RPM-2015-03-19:6688:1;neutral;frase no verbatim;175;el Presidente señor Rodrigo Vergara agradece la presentación del Consejero señor Sebastián Claro y, a continuación, concede la palabra al Vicepresidente señor Enrique Marshall
134;135;RPM-2012-02-14:4609:1;neutral;frase no verbatim;98;consulta, en consecuencia, si ello se traducirá en un cambio de la proyección para el presente año
137;138;RPM-2013-08-13:5749:1;neutral;frase no verbatim;173;el Presidente señor Rodrigo Vergara agradece lo expresado por el Consejero señor Enrique Marshall y, a continuación, concede la palabra al Vicepresidente señor Manuel Marfán
141;142;RPM-2006-11-16:986:1;hawkish;frase no verbatim;161;vota por mantener la tasa de política monetaria... sería recomendable cambiar en el comunicado la dirección de quitar el sesgo al alza de los comunicados previos
151;152;RPM-2008-12-11:2199:1;neutral;frase no verbatim;140;le llama la atención la situación de Japón... le gustaría que se informara si hay alguna idea respecto de esa fuerte desaceleración japonesa
