orden;intervencion_id;problema
1;RPM-2014-03-13:6107:1;frase excede 300 caracteres
3;RPM-2010-03-18:2971:1;frase no verbatim
3;RPM-2010-03-18:2971:1;fecha de anotación ausente, inválida o futura
4;RPM-2011-07-14:4127:1;fecha de anotación ausente, inválida o futura
5;RPM-2005-09-08:380:1;fecha de anotación ausente, inválida o futura
6;RPM-2010-02-11:2905:2;fecha de anotación ausente, inválida o futura
7;RPM-2006-12-14:1010:4;fecha de anotación ausente, inválida o futura
8;RPM-2008-09-04:2096:1;frase no verbatim
8;RPM-2008-09-04:2096:1;fecha de anotación ausente, inválida o futura
9;RPM-2007-10-11:1504:1;fecha de anotación ausente, inválida o futura
10;RPM-2011-07-14:4207:1;fecha de anotación ausente, inválida o futura
11;RPM-2009-04-09:2471:1;fecha de anotación ausente, inválida o futura
12;RPM-2012-03-15:4722:4;fecha de anotación ausente, inválida o futura
13;RPM-2008-04-10:1776:1;frase no verbatim
13;RPM-2008-04-10:1776:1;fecha de anotación ausente, inválida o futura
14;RPM-2010-01-14:2846:1;fecha de anotación ausente, inválida o futura
15;RPM-2007-09-13:1456:4;fecha de anotación ausente, inválida o futura
16;RPM-2015-01-15:6574:1;fecha de anotación ausente, inválida o futura
17;RPM-2006-06-15:714:1;fecha de anotación ausente, inválida o futura
18;RPM-2014-06-12:6267:1;fecha de anotación ausente, inválida o futura
19;RPM-2005-10-11:402:1;fecha de anotación ausente, inválida o futura
20;RPM-2011-10-13:4360:2;fecha de anotación ausente, inválida o futura
21;RPM-2013-01-17:5309:1;fecha de anotación ausente, inválida o futura
22;RPM-2010-02-11:2891:5;frase no verbatim
22;RPM-2010-02-11:2891:5;fecha de anotación ausente, inválida o futura
23;RPM-2009-04-09:2445:4;fecha de anotación ausente, inválida o futura
24;RPM-2010-12-16:3631:1;fecha de anotación ausente, inválida o futura
25;RPM-2007-01-11:1044:1;fecha de anotación ausente, inválida o futura
26;RPM-2011-05-12:4053:2;fecha de anotación ausente, inválida o futura
27;RPM-2013-06-13:5580:1;fecha de anotación ausente, inválida o futura
28;RPM-2008-12-11:2254:1;frase no verbatim
28;RPM-2008-12-11:2254:1;fecha de anotación ausente, inválida o futura
29;RPM-2005-11-10:458:1;fecha de anotación ausente, inválida o futura
30;RPM-2014-05-15:6190:1;fecha de anotación ausente, inválida o futura
31;RPM-2011-11-15:4409:1;fecha de anotación ausente, inválida o futura
32;RPM-2011-11-15:4450:1;fecha de anotación ausente, inválida o futura
33;RPM-2013-10-17:5842:2;fecha de anotación ausente, inválida o futura
34;RPM-2008-06-10:1881:1;fecha de anotación ausente, inválida o futura
35;RPM-2007-06-14:1302:1;fecha de anotación ausente, inválida o futura
36;RPM-2010-06-15:3155:1;fecha de anotación ausente, inválida o futura
37;RPM-2015-09-15:6988:1;fecha de anotación ausente, inválida o futura
38;RPM-2012-04-17:4753:1;frase no verbatim
38;RPM-2012-04-17:4753:1;fecha de anotación ausente, inválida o futura
39;RPM-2008-02-07:1668:2;fecha de anotación ausente, inválida o futura
40;RPM-2009-02-12:2318:1;frase no verbatim
40;RPM-2009-02-12:2318:1;fecha de anotación ausente, inválida o futura
41;RPM-2015-01-15:6561:2;frase no verbatim
41;RPM-2015-01-15:6561:2;fecha de anotación ausente, inválida o futura
42;RPM-2011-12-13:4464:1;fecha de anotación ausente, inválida o futura
43;RPM-2008-12-11:2243:1;fecha de anotación ausente, inválida o futura
44;RPM-2011-01-13:3661:1;fecha de anotación ausente, inválida o futura
45;RPM-2009-06-16:2566:3;fecha de anotación ausente, inválida o futura
46;RPM-2015-07-14:6876:1;fecha de anotación ausente, inválida o futura
47;RPM-2012-10-18:5119:1;frase no verbatim
47;RPM-2012-10-18:5119:1;fecha de anotación ausente, inválida o futura
48;RPM-2010-05-13:3092:1;frase no verbatim
48;RPM-2010-05-13:3092:1;fecha de anotación ausente, inválida o futura
49;RPM-2012-08-16:5027:1;fecha de anotación ausente, inválida o futura
50;RPM-2011-12-13:4476:3;fecha de anotación ausente, inválida o futura
51;RPM-2013-10-17:5834:1;frase no verbatim
51;RPM-2013-10-17:5834:1;fecha de anotación ausente, inválida o futura
52;RPM-2010-04-15:3067:3;fecha de anotación ausente, inválida o futura
53;RPM-2010-06-15:3190:1;fecha de anotación ausente, inválida o futura
54;RPM-2014-05-15:6228:1;frase no verbatim
54;RPM-2014-05-15:6228:1;fecha de anotación ausente, inválida o futura
55;RPM-2006-12-14:1012:1;fecha de anotación ausente, inválida o futura
56;RPM-2015-10-15:7063:1;frase no verbatim
56;RPM-2015-10-15:7063:1;fecha de anotación ausente, inválida o futura
57;RPM-2006-10-12:899:2;frase no verbatim
57;RPM-2006-10-12:899:2;fecha de anotación ausente, inválida o futura
58;RPM-2015-10-15:7059:1;frase no verbatim
58;RPM-2015-10-15:7059:1;fecha de anotación ausente, inválida o futura
59;RPM-2012-01-12:4563:1;frase no verbatim
59;RPM-2012-01-12:4563:1;fecha de anotación ausente, inválida o futura
60;RPM-2012-06-14:4874:1;frase no verbatim
60;RPM-2012-06-14:4874:1;fecha de anotación ausente, inválida o futura
61;RPM-2006-08-10:790:1;fecha de anotación ausente, inválida o futura
62;RPM-2010-09-16:3420:1;fecha de anotación ausente, inválida o futura
63;RPM-2009-01-08:2297:1;fecha de anotación ausente, inválida o futura
64;RPM-2007-12-13:1586:1;fecha de anotación ausente, inválida o futura
65;RPM-2015-04-16:6754:1;frase no verbatim
65;RPM-2015-04-16:6754:1;fecha de anotación ausente, inválida o futura
66;RPM-2007-01-11:1052:1;fecha de anotación ausente, inválida o futura
67;RPM-2012-01-12:4568:1;fecha de anotación ausente, inválida o futura
68;RPM-2012-09-13:5051:1;fecha de anotación ausente, inválida o futura
69;RPM-2015-09-15:7032:1;frase no verbatim
69;RPM-2015-09-15:7032:1;fecha de anotación ausente, inválida o futura
70;RPM-2008-03-13:1718:6;fecha de anotación ausente, inválida o futura
71;RPM-2007-06-14:1308:1;frase no verbatim
71;RPM-2007-06-14:1308:1;fecha de anotación ausente, inválida o futura
72;RPM-2006-10-12:923:1;fecha de anotación ausente, inválida o futura
73;RPM-2010-10-14:3441:1;fecha de anotación ausente, inválida o futura
74;RPM-2006-06-15:678:1;frase no verbatim
74;RPM-2006-06-15:678:1;fecha de anotación ausente, inválida o futura
75;RPM-2007-01-11:1053:1;fecha de anotación ausente, inválida o futura
76;RPM-2011-12-13:4498:2;frase no verbatim
76;RPM-2011-12-13:4498:2;fecha de anotación ausente, inválida o futura
77;RPM-2009-05-07:2537:1;fecha de anotación ausente, inválida o futura
78;RPM-2014-11-18:6515:1;frase no verbatim
78;RPM-2014-11-18:6515:1;fecha de anotación ausente, inválida o futura
79;RPM-2006-06-15:732:1;frase no verbatim
79;RPM-2006-06-15:732:1;fecha de anotación ausente, inválida o futura
80;RPM-2011-03-17:3827:1;fecha de anotación ausente, inválida o futura
81;RPM-2007-12-13:1609:1;fecha de anotación ausente, inválida o futura
82;RPM-2007-05-10:1231:2;fecha de anotación ausente, inválida o futura
83;RPM-2015-01-15:6594:2;fecha de anotación ausente, inválida o futura
84;RPM-2009-04-09:2478:3;frase no verbatim
84;RPM-2009-04-09:2478:3;fecha de anotación ausente, inválida o futura
85;RPM-2008-09-04:2085:3;frase no verbatim
85;RPM-2008-09-04:2085:3;fecha de anotación ausente, inválida o futura
86;RPM-2011-06-14:4100:1;fecha de anotación ausente, inválida o futura
87;RPM-2006-12-14:996:1;fecha de anotación ausente, inválida o futura
88;RPM-2014-02-18:6039:1;fecha de anotación ausente, inválida o futura
89;RPM-2010-05-13:3082:1;fecha de anotación ausente, inválida o futura
90;RPM-2006-12-14:997:1;fecha de anotación ausente, inválida o futura
91;RPM-2007-03-15:1126:1;fecha de anotación ausente, inválida o futura
92;RPM-2014-12-11:6519:1;frase no verbatim
92;RPM-2014-12-11:6519:1;fecha de anotación ausente, inválida o futura
93;RPM-2013-09-12:5784:1;fecha de anotación ausente, inválida o futura
94;RPM-2006-05-11:663:4;frase no verbatim
94;RPM-2006-05-11:663:4;fecha de anotación ausente, inválida o futura
95;RPM-2014-05-15:6203:1;fecha de anotación ausente, inválida o futura
96;RPM-2007-10-11:1481:2;fecha de anotación ausente, inválida o futura
97;RPM-2010-09-16:3377:1;fecha de anotación ausente, inválida o futura
98;RPM-2007-09-13:1435:1;frase no verbatim
98;RPM-2007-09-13:1435:1;fecha de anotación ausente, inválida o futura
99;RPM-2007-07-12:1344:1;fecha de anotación ausente, inválida o futura
100;RPM-2013-07-11:5699:2;fecha de anotación ausente, inválida o futura
101;RPM-2008-09-04:2092:1;fecha de anotación ausente, inválida o futura
102;RPM-2008-10-09:2107:3;fecha de anotación ausente, inválida o futura
103;RPM-2007-11-13:1521:1;fecha de anotación ausente, inválida o futura
104;RPM-2015-06-11:6845:1;fecha de anotación ausente, inválida o futura
105;RPM-2014-06-12:6246:1;frase no verbatim
105;RPM-2014-06-12:6246:1;fecha de anotación ausente, inválida o futura
106;RPM-2008-12-11:2241:1;fecha de anotación ausente, inválida o futura
107;RPM-2012-07-12:4973:3;fecha de anotación ausente, inválida o futura
108;RPM-2011-06-14:4112:1;frase no verbatim
108;RPM-2011-06-14:4112:1;fecha de anotación ausente, inválida o futura
109;RPM-2008-04-10:1752:1;fecha de anotación ausente, inválida o futura
110;RPM-2009-04-09:2447:5;fecha de anotación ausente, inválida o futura
111;RPM-2007-09-13:1449:3;fecha de anotación ausente, inválida o futura
112;RPM-2015-07-14:6915:1;frase no verbatim
112;RPM-2015-07-14:6915:1;fecha de anotación ausente, inválida o futura
113;RPM-2005-08-11:361:1;fecha de anotación ausente, inválida o futura
114;RPM-2014-08-14:6367:1;fecha de anotación ausente, inválida o futura
115;RPM-2013-02-14:5363:1;fecha de anotación ausente, inválida o futura
116;RPM-2008-01-10:1633:2;fecha de anotación ausente, inválida o futura
117;RPM-2008-06-10:1912:1;fecha de anotación ausente, inválida o futura
118;RPM-2010-04-15:3029:2;fecha de anotación ausente, inválida o futura
119;RPM-2010-01-14:2880:1;fecha de anotación ausente, inválida o futura
120;RPM-2014-05-15:6220:2;fecha de anotación ausente, inválida o futura
121;RPM-2013-08-13:5705:1;fecha de anotación ausente, inválida o futura
122;RPM-2011-04-12:3944:1;fecha de anotación ausente, inválida o futura
123;RPM-2011-01-13:3711:1;frase no verbatim
123;RPM-2011-01-13:3711:1;fecha de anotación ausente, inválida o futura
124;RPM-2008-06-10:1884:1;fecha de anotación ausente, inválida o futura
125;RPM-2015-12-17:7182:1;fecha de anotación ausente, inválida o futura
126;RPM-2014-09-11:6438:2;fecha de anotación ausente, inválida o futura
127;RPM-2011-01-13:3652:1;fecha de anotación ausente, inválida o futura
128;RPM-2011-07-14:4174:1;fecha de anotación ausente, inválida o futura
129;RPM-2010-03-18:3011:3;fecha de anotación ausente, inválida o futura
130;RPM-2009-12-15:2826:3;fecha de anotación ausente, inválida o futura
131;RPM-2015-12-17:7196:1;frase no verbatim
131;RPM-2015-12-17:7196:1;fecha de anotación ausente, inválida o futura
132;RPM-2008-07-10:1923:5;fecha de anotación ausente, inválida o futura
133;RPM-2015-03-19:6688:1;frase no verbatim
133;RPM-2015-03-19:6688:1;fecha de anotación ausente, inválida o futura
134;RPM-2012-02-14:4609:1;frase no verbatim
134;RPM-2012-02-14:4609:1;fecha de anotación ausente, inválida o futura
135;RPM-2006-06-15:707:1;fecha de anotación ausente, inválida o futura
136;RPM-2010-07-15:3261:1;fecha de anotación ausente, inválida o futura
137;RPM-2013-08-13:5749:1;frase no verbatim
137;RPM-2013-08-13:5749:1;fecha de anotación ausente, inválida o futura
138;RPM-2007-03-15:1160:1;fecha de anotación ausente, inválida o futura
139;RPM-2010-12-16:3623:1;fecha de anotación ausente, inválida o futura
140;RPM-2009-03-12:2407:1;fecha de anotación ausente, inválida o futura
141;RPM-2006-11-16:986:1;frase no verbatim
141;RPM-2006-11-16:986:1;fecha de anotación ausente, inválida o futura
142;RPM-2015-10-15:7065:1;fecha de anotación ausente, inválida o futura
143;RPM-2014-04-17:6150:1;fecha de anotación ausente, inválida o futura
144;RPM-2011-01-13:3692:1;fecha de anotación ausente, inválida o futura
145;RPM-2010-03-18:2981:2;fecha de anotación ausente, inválida o futura
146;RPM-2009-08-13:2662:4;fecha de anotación ausente, inválida o futura
147;RPM-2014-07-15:6336:1;fecha de anotación ausente, inválida o futura
148;RPM-2015-09-15:7009:1;fecha de anotación ausente, inválida o futura
149;RPM-2010-05-13:3120:2;fecha de anotación ausente, inválida o futura
150;RPM-2009-01-08:2293:2;fecha de anotación ausente, inválida o futura
151;RPM-2008-12-11:2199:1;frase no verbatim
151;RPM-2008-12-11:2199:1;fecha de anotación ausente, inválida o futura
