caso_id,intervencion_id,fold,reunion_o_texto_validacion,candidato_hd_alta,potencialmente_incorporable,incorporado_a_train
C31,RPM-2012-01-12:4570:1,1,0,1,1,0
C31,RPM-2012-01-12:4570:1,2,0,1,1,0
C31,RPM-2012-01-12:4570:1,3,0,1,1,0
C31,RPM-2012-01-12:4570:1,4,1,1,0,0
C31,RPM-2012-01-12:4570:1,5,0,1,1,0
C32,RPM-2015-06-11:6862:5,1,0,0,0,0
C32,RPM-2015-06-11:6862:5,2,0,0,0,0
C32,RPM-2015-06-11:6862:5,3,0,0,0,0
C32,RPM-2015-06-11:6862:5,4,1,0,0,0
C32,RPM-2015-06-11:6862:5,5,0,0,0,0
C33,RPM-2009-02-12:2370:1,1,0,1,1,0
C33,RPM-2009-02-12:2370:1,2,0,1,1,0
C33,RPM-2009-02-12:2370:1,3,0,1,1,0
C33,RPM-2009-02-12:2370:1,4,0,1,1,0
C33,RPM-2009-02-12:2370:1,5,0,1,1,0
C34,RPM-2011-03-17:3890:1,1,0,1,1,0
C34,RPM-2011-03-17:3890:1,2,0,1,1,0
C34,RPM-2011-03-17:3890:1,3,0,1,1,0
C34,RPM-2011-03-17:3890:1,4,0,1,1,0
C34,RPM-2011-03-17:3890:1,5,0,1,1,0
C35,RPM-2013-08-13:5742:1,1,1,1,0,0
C35,RPM-2013-08-13:5742:1,2,0,1,1,0
C35,RPM-2013-08-13:5742:1,3,0,1,1,0
C35,RPM-2013-08-13:5742:1,4,0,1,1,0
C35,RPM-2013-08-13:5742:1,5,0,1,1,0
C36,RPM-2008-01-10:1640:1,1,0,1,1,0
C36,RPM-2008-01-10:1640:1,2,0,1,1,0
C36,RPM-2008-01-10:1640:1,3,1,1,0,0
C36,RPM-2008-01-10:1640:1,4,0,1,1,0
C36,RPM-2008-01-10:1640:1,5,0,1,1,0
C37,RPM-2009-08-13:2680:4,1,0,0,0,0
C37,RPM-2009-08-13:2680:4,2,0,0,0,0
C37,RPM-2009-08-13:2680:4,3,1,0,0,0
C37,RPM-2009-08-13:2680:4,4,0,0,0,0
C37,RPM-2009-08-13:2680:4,5,0,0,0,0
C38,RPM-2012-12-13:5259:1,1,0,0,0,0
C38,RPM-2012-12-13:5259:1,2,0,0,0,0
C38,RPM-2012-12-13:5259:1,3,0,0,0,0
C38,RPM-2012-12-13:5259:1,4,0,0,0,0
C38,RPM-2012-12-13:5259:1,5,0,0,0,0
C39,RPM-2010-11-16:3510:1,1,0,0,0,0
C39,RPM-2010-11-16:3510:1,2,0,0,0,0
C39,RPM-2010-11-16:3510:1,3,0,0,0,0
C39,RPM-2010-11-16:3510:1,4,0,0,0,0
C39,RPM-2010-11-16:3510:1,5,0,0,0,0
C40,RPM-2006-12-14:1013:2,1,0,0,0,0
C40,RPM-2006-12-14:1013:2,2,0,0,0,0
C40,RPM-2006-12-14:1013:2,3,1,0,0,0
C40,RPM-2006-12-14:1013:2,4,0,0,0,0
C40,RPM-2006-12-14:1013:2,5,0,0,0,0
C41,RPM-2005-08-11:366:1,1,0,1,1,0
C41,RPM-2005-08-11:366:1,2,0,1,1,0
C41,RPM-2005-08-11:366:1,3,0,1,1,0
C41,RPM-2005-08-11:366:1,4,0,1,1,0
C41,RPM-2005-08-11:366:1,5,0,1,1,0
C42,RPM-2012-05-17:4811:1,1,0,0,0,0
C42,RPM-2012-05-17:4811:1,2,0,0,0,0
C42,RPM-2012-05-17:4811:1,3,0,0,0,0
C42,RPM-2012-05-17:4811:1,4,0,0,0,0
C42,RPM-2012-05-17:4811:1,5,1,0,0,0
C43,RPM-2007-01-11:1056:1,1,0,1,1,0
C43,RPM-2007-01-11:1056:1,2,0,1,1,0
C43,RPM-2007-01-11:1056:1,3,1,1,0,0
C43,RPM-2007-01-11:1056:1,4,0,1,1,0
C43,RPM-2007-01-11:1056:1,5,0,1,1,0
C44,RPM-2010-09-16:3423:1,1,0,1,1,0
C44,RPM-2010-09-16:3423:1,2,1,1,0,0
C44,RPM-2010-09-16:3423:1,3,0,1,1,0
C44,RPM-2010-09-16:3423:1,4,0,1,1,0
C44,RPM-2010-09-16:3423:1,5,0,1,1,0
C45,RPM-2009-07-09:2640:2,1,0,0,0,0
C45,RPM-2009-07-09:2640:2,2,1,0,0,0
C45,RPM-2009-07-09:2640:2,3,0,0,0,0
C45,RPM-2009-07-09:2640:2,4,0,0,0,0
