frag_id,tipo,detalle
SYNTH_00002,texto_duplicado_normalizado,"SYNTH_00002,SYNTH_00046,SYNTH_00051"
SYNTH_00002,oracion_larga_reutilizada,max_frecuencia=3
SYNTH_00004,texto_duplicado_normalizado,"SYNTH_00004,SYNTH_00060"
SYNTH_00004,oracion_larga_reutilizada,max_frecuencia=2
SYNTH_00005,texto_duplicado_normalizado,"SYNTH_00005,SYNTH_00049,SYNTH_00059"
SYNTH_00005,oracion_larga_reutilizada,max_frecuencia=3
SYNTH_00007,texto_duplicado_normalizado,"SYNTH_00007,SYNTH_00012"
SYNTH_00007,oracion_larga_reutilizada,max_frecuencia=2
SYNTH_00008,texto_duplicado_normalizado,"SYNTH_00008,SYNTH_00010,SYNTH_00020,SYNTH_00034,SYNTH_00054"
SYNTH_00008,oracion_larga_reutilizada,max_frecuencia=5
SYNTH_00009,oracion_larga_reutilizada,max_frecuencia=5
SYNTH_00010,texto_duplicado_normalizado,"SYNTH_00008,SYNTH_00010,SYNTH_00020,SYNTH_00034,SYNTH_00054"
SYNTH_00010,oracion_larga_reutilizada,max_frecuencia=5
SYNTH_00012,texto_duplicado_normalizado,"SYNTH_00007,SYNTH_00012"
SYNTH_00012,oracion_larga_reutilizada,max_frecuencia=2
SYNTH_00014,texto_duplicado_normalizado,"SYNTH_00014,SYNTH_00038,SYNTH_00045,SYNTH_00062"
SYNTH_00014,oracion_larga_reutilizada,max_frecuencia=4
SYNTH_00016,texto_duplicado_normalizado,"SYNTH_00016,SYNTH_00063"
SYNTH_00016,oracion_larga_reutilizada,max_frecuencia=2
SYNTH_00017,texto_duplicado_normalizado,"SYNTH_00017,SYNTH_00041"
SYNTH_00017,oracion_larga_reutilizada,max_frecuencia=2
SYNTH_00018,texto_duplicado_normalizado,"SYNTH_00018,SYNTH_00056"
SYNTH_00018,oracion_larga_reutilizada,max_frecuencia=2
SYNTH_00020,texto_duplicado_normalizado,"SYNTH_00008,SYNTH_00010,SYNTH_00020,SYNTH_00034,SYNTH_00054"
SYNTH_00020,oracion_larga_reutilizada,max_frecuencia=5
SYNTH_00022,texto_duplicado_normalizado,"SYNTH_00022,SYNTH_00028,SYNTH_00061"
SYNTH_00022,oracion_larga_reutilizada,max_frecuencia=3
SYNTH_00023,texto_duplicado_normalizado,"SYNTH_00023,SYNTH_00030"
SYNTH_00023,oracion_larga_reutilizada,max_frecuencia=2
SYNTH_00024,texto_duplicado_normalizado,"SYNTH_00024,SYNTH_00040,SYNTH_00055"
SYNTH_00024,oracion_larga_reutilizada,max_frecuencia=3
SYNTH_00025,texto_duplicado_normalizado,"SYNTH_00025,SYNTH_00036,SYNTH_00058"
SYNTH_00025,oracion_larga_reutilizada,max_frecuencia=3
SYNTH_00026,texto_duplicado_normalizado,"SYNTH_00026,SYNTH_00035,SYNTH_00044,SYNTH_00057"
SYNTH_00026,oracion_larga_reutilizada,max_frecuencia=4
SYNTH_00027,texto_duplicado_normalizado,"SYNTH_00027,SYNTH_00039"
SYNTH_00027,oracion_larga_reutilizada,max_frecuencia=2
SYNTH_00028,texto_duplicado_normalizado,"SYNTH_00022,SYNTH_00028,SYNTH_00061"
SYNTH_00028,oracion_larga_reutilizada,max_frecuencia=3
SYNTH_00030,texto_duplicado_normalizado,"SYNTH_00023,SYNTH_00030"
SYNTH_00030,oracion_larga_reutilizada,max_frecuencia=2
SYNTH_00032,texto_duplicado_normalizado,"SYNTH_00032,SYNTH_00033,SYNTH_00047,SYNTH_00050"
SYNTH_00032,oracion_larga_reutilizada,max_frecuencia=5
SYNTH_00033,texto_duplicado_normalizado,"SYNTH_00032,SYNTH_00033,SYNTH_00047,SYNTH_00050"
SYNTH_00033,oracion_larga_reutilizada,max_frecuencia=5
SYNTH_00034,texto_duplicado_normalizado,"SYNTH_00008,SYNTH_00010,SYNTH_00020,SYNTH_00034,SYNTH_00054"
SYNTH_00034,oracion_larga_reutilizada,max_frecuencia=5
SYNTH_00035,texto_duplicado_normalizado,"SYNTH_00026,SYNTH_00035,SYNTH_00044,SYNTH_00057"
SYNTH_00035,oracion_larga_reutilizada,max_frecuencia=4
SYNTH_00036,texto_duplicado_normalizado,"SYNTH_00025,SYNTH_00036,SYNTH_00058"
SYNTH_00036,oracion_larga_reutilizada,max_frecuencia=3
SYNTH_00037,texto_duplicado_normalizado,"SYNTH_00037,SYNTH_00043"
SYNTH_00037,oracion_larga_reutilizada,max_frecuencia=2
SYNTH_00038,texto_duplicado_normalizado,"SYNTH_00014,SYNTH_00038,SYNTH_00045,SYNTH_00062"
SYNTH_00038,oracion_larga_reutilizada,max_frecuencia=4
SYNTH_00039,texto_duplicado_normalizado,"SYNTH_00027,SYNTH_00039"
SYNTH_00039,oracion_larga_reutilizada,max_frecuencia=2
SYNTH_00040,texto_duplicado_normalizado,"SYNTH_00024,SYNTH_00040,SYNTH_00055"
SYNTH_00040,oracion_larga_reutilizada,max_frecuencia=3
SYNTH_00041,texto_duplicado_normalizado,"SYNTH_00017,SYNTH_00041"
SYNTH_00041,oracion_larga_reutilizada,max_frecuencia=2
SYNTH_00043,texto_duplicado_normalizado,"SYNTH_00037,SYNTH_00043"
SYNTH_00043,oracion_larga_reutilizada,max_frecuencia=2
SYNTH_00044,texto_duplicado_normalizado,"SYNTH_00026,SYNTH_00035,SYNTH_00044,SYNTH_00057"
SYNTH_00044,oracion_larga_reutilizada,max_frecuencia=4
SYNTH_00045,texto_duplicado_normalizado,"SYNTH_00014,SYNTH_00038,SYNTH_00045,SYNTH_00062"
SYNTH_00045,oracion_larga_reutilizada,max_frecuencia=4
SYNTH_00046,texto_duplicado_normalizado,"SYNTH_00002,SYNTH_00046,SYNTH_00051"
SYNTH_00046,oracion_larga_reutilizada,max_frecuencia=3
SYNTH_00047,texto_duplicado_normalizado,"SYNTH_00032,SYNTH_00033,SYNTH_00047,SYNTH_00050"
SYNTH_00047,oracion_larga_reutilizada,max_frecuencia=5
SYNTH_00049,texto_duplicado_normalizado,"SYNTH_00005,SYNTH_00049,SYNTH_00059"
SYNTH_00049,oracion_larga_reutilizada,max_frecuencia=3
SYNTH_00050,texto_duplicado_normalizado,"SYNTH_00032,SYNTH_00033,SYNTH_00047,SYNTH_00050"
SYNTH_00050,oracion_larga_reutilizada,max_frecuencia=5
SYNTH_00051,texto_duplicado_normalizado,"SYNTH_00002,SYNTH_00046,SYNTH_00051"
SYNTH_00051,oracion_larga_reutilizada,max_frecuencia=3
SYNTH_00054,texto_duplicado_normalizado,"SYNTH_00008,SYNTH_00010,SYNTH_00020,SYNTH_00034,SYNTH_00054"
SYNTH_00054,oracion_larga_reutilizada,max_frecuencia=5
SYNTH_00055,texto_duplicado_normalizado,"SYNTH_00024,SYNTH_00040,SYNTH_00055"
SYNTH_00055,oracion_larga_reutilizada,max_frecuencia=3
SYNTH_00056,texto_duplicado_normalizado,"SYNTH_00018,SYNTH_00056"
SYNTH_00056,oracion_larga_reutilizada,max_frecuencia=2
SYNTH_00057,texto_duplicado_normalizado,"SYNTH_00026,SYNTH_00035,SYNTH_00044,SYNTH_00057"
SYNTH_00057,oracion_larga_reutilizada,max_frecuencia=4
SYNTH_00058,texto_duplicado_normalizado,"SYNTH_00025,SYNTH_00036,SYNTH_00058"
SYNTH_00058,oracion_larga_reutilizada,max_frecuencia=3
SYNTH_00059,texto_duplicado_normalizado,"SYNTH_00005,SYNTH_00049,SYNTH_00059"
SYNTH_00059,oracion_larga_reutilizada,max_frecuencia=3
SYNTH_00060,texto_duplicado_normalizado,"SYNTH_00004,SYNTH_00060"
SYNTH_00060,oracion_larga_reutilizada,max_frecuencia=2
SYNTH_00061,texto_duplicado_normalizado,"SYNTH_00022,SYNTH_00028,SYNTH_00061"
SYNTH_00061,oracion_larga_reutilizada,max_frecuencia=3
SYNTH_00062,texto_duplicado_normalizado,"SYNTH_00014,SYNTH_00038,SYNTH_00045,SYNTH_00062"
SYNTH_00062,oracion_larga_reutilizada,max_frecuencia=4
SYNTH_00063,texto_duplicado_normalizado,"SYNTH_00016,SYNTH_00063"
SYNTH_00063,oracion_larga_reutilizada,max_frecuencia=2
SYNTH_00070,oracion_larga_reutilizada,max_frecuencia=5
