frag_id,fecha_ficticia,clase_origen,etiqueta_normalizada,tema,lote_inferido,sha256_texto,grupo_texto_normalizado,texto_duplicado_exacto_normalizado,n_repeticiones_texto,es_representante_texto_unico,cita_literal_espacios_normalizados,cita_coincide_solo_ignorando_mayusculas,n_oraciones_largas_repetidas,max_frecuencia_oracion_larga,contiene_caracter_no_ascii,n_caracteres_texto,n_caracteres_cita
SYNTH_00001,2021-10-14,Hawkish,hawkish,Sobrecalentamiento del consumo privado por liquidez de retiros de fondos de pensiones e IFE,1_517,3077dd8ea1bb4c295a4f139d6cc3333f20408f9523301a26fe375bd125ca7b5a,502b0f8d67d381bd,false,1,true,true,false,0,1,true,908,199
SYNTH_00002,2023-06-20,Hawkish,hawkish,Rechazo a iniciar recortes prematuros de la TPM ante resistencia inflacionaria en servicios,1_517,3d8145fdf9054ffcbf232a9a3f99829901b6e3e14679760731bd4d867e39fe29,d5259d0b2dd10536,true,3,true,true,false,4,3,true,852,249
SYNTH_00003,2024-01-25,Dovish,dovish,Disminución de las presiones de costos salariales y anclaje consolidado de las expectativas inflacionarias,1_517,8f4578dd6fa8ad76fa6d0c4f914a6c4c97df0518c45a37b300ee211e28c6caa9,2f0942b432cb926b,false,1,true,true,false,0,1,true,850,220
SYNTH_00004,2024-06-18,Neutral,neutral,TPM ubicada en nivel neutral consistente con la convergencia proyectada en el escenario central del IPoM,1_517,533a6cc95ae43a258b08a0edc8050ddf90896f80b2440c7ae5f56ffa63e21ce7,b7e70cc9ccb46b9d,true,2,true,true,false,4,2,true,722,235
SYNTH_00005,2022-06-14,Hawkish,hawkish,Aceleración del ritmo de alzas de TPM hacia terreno fuertemente contractivo para frenar segunda vuelta,1_517,3b817a2c6544eed506bad16f462cf9beba87529a20b509e9e582a99c7195e59b,17e9c22ff9544e44,true,3,true,true,false,4,3,true,825,251
SYNTH_00006,2022-09-06,Hawkish,hawkish,Aceleración del ritmo de alzas de TPM hacia terreno fuertemente contractivo para frenar segunda vuelta,1_517,64ae4c963108c5531d5dd3df43a90e5f67ab20997d3dcb9e2c00376862d47f5e,4e73a289877f3a99,false,1,true,true,false,0,1,true,886,197
SYNTH_00007,2024-09-03,Dovish,dovish,Aceleración del ciclo de recortes de la TPM (bajas de 75 o 100 pb) para evitar contracción excesiva del crédito,1_517,4e5d2c30ef915dfe3ae76bc23775a24b0b564c373ecc6c4fdcb89138209ff90f,a5d0d696376a8fcc,true,2,true,true,false,4,2,true,879,226
SYNTH_00008,2024-12-17,Neutral,neutral,Evaluación equilibrada entre riesgos al alza por el tipo de cambio y riesgos a la baja por la holgura de actividad,1_517,2eb2c0007d759b835a710bd2557ba9a5820d78e94ee284695d7ecef86eeb21cb,21bbef930460a940,true,5,true,true,false,5,5,true,849,216
SYNTH_00009,2024-07-30,Dovish,dovish,Llamado a avanzar con mayor celeridad hacia el rango neutral de la TPM (3.5% - 4.5% nominal),1_517,70d9d77e25253121276c185561973d2d2549049533c6fcd59c1a04374d8b555e,ffec9719cfbc2c7b,false,1,true,true,false,3,5,true,803,161
SYNTH_00010,2024-12-17,Neutral,neutral,Evaluación equilibrada entre riesgos al alza por el tipo de cambio y riesgos a la baja por la holgura de actividad,1_517,2eb2c0007d759b835a710bd2557ba9a5820d78e94ee284695d7ecef86eeb21cb,21bbef930460a940,true,5,false,true,false,5,5,true,849,216
SYNTH_00011,2023-12-19,Dovish,dovish,Rápida desaceleración de la demanda interna y convergencia del IPC más veloz que lo previsto en el IPoM,1_517,04a889e9232323898357ac0fc7665922313aa75c73dff2c7775c0b355f0a6c43,30776f646c5a6523,false,1,true,true,false,0,1,true,797,172
SYNTH_00012,2024-09-03,Dovish,dovish,Aceleración del ciclo de recortes de la TPM (bajas de 75 o 100 pb) para evitar contracción excesiva del crédito,1_517,4e5d2c30ef915dfe3ae76bc23775a24b0b564c373ecc6c4fdcb89138209ff90f,a5d0d696376a8fcc,true,2,false,true,false,4,2,true,879,171
SYNTH_00013,2025-01-28,Dovish,dovish,Aceleración del ciclo de recortes de la TPM (bajas de 75 o 100 pb) para evitar contracción excesiva del crédito,1_517,5d0cd43157f008b6cd7ec733d5291067c2ca1f7b0b4ec275dc3db9154183fe32,8ef82d9228ab28f3,false,1,true,true,false,0,1,true,800,210
SYNTH_00014,2023-05-12,Hawkish,hawkish,Voto de consejeros que abogan por una postura más restrictiva ante divergencia con la política de la Fed,1_517,8d287ba9744e76ffcf1fd00f2b15eb2850cc116115c48e85beec59cc6f4c10ca,f9c621595f2104b6,true,4,true,true,false,4,4,true,845,222
SYNTH_00015,2022-03-29,Hawkish,hawkish,Desanclaje de expectativas de inflación a 2 años plazo en la EEE y EOF requiriendo mayor restricción,1_517,b20c6f9b0b953928818b3b6d4633f7db2de54bda9b9c541c6b084a590a25c410,84da428e94467dab,false,1,true,true,false,0,1,true,819,213
SYNTH_00016,2024-10-15,Dovish,dovish,Voto disidente o minoritario de consejeros que proponen recortar la tasa con mayor magnitud que la mayoría,1_517,fcaa0f19bf10dea9d4b4192a3908b9c950e64220b49802be8ba566c9aa3457c9,8ae2499f03e3f8bb,true,2,true,true,false,3,2,true,794,260
SYNTH_00017,2024-06-18,Neutral,neutral,Acuerdo por unanimidad de mantener la TPM en su nivel vigente mientras se acumula información para el IPoM,1_517,39df8c6388a6083c04ba1a250cbe23383ca0501748bbd102b42079dff623a7f7,7c421e5bc76532a1,true,2,true,true,false,4,2,true,827,200
SYNTH_00018,2024-09-03,Dovish,dovish,Impacto contractivo de la astringencia financiera y estrictez de las condiciones de otorgamiento de crédito,1_517,577e5646dfe712e1757f1b8adc21fb65410717df6ebe3b6f4a3b078a01a3cab3,cf095d0bcace8137,true,2,true,true,false,4,2,true,845,182
SYNTH_00019,2021-06-22,Dovish,dovish,Resistencia o rechazo a subir la TPM para proteger la incipiente recuperación económica y el empleo,1_517,60013649582b28e5e7b60d365bde42007831125b621838a84363cfb59d3c9a6d,d789f8bc8374a73e,false,1,true,true,false,0,1,true,864,224
SYNTH_00020,2024-12-17,Neutral,neutral,Evaluación equilibrada entre riesgos al alza por el tipo de cambio y riesgos a la baja por la holgura de actividad,1_517,2eb2c0007d759b835a710bd2557ba9a5820d78e94ee284695d7ecef86eeb21cb,21bbef930460a940,true,5,false,true,false,5,5,true,849,216
