intervencion_id,fold,orden,nuevo_train_id,etiqueta_ia_nuevo,coseno,meeting_id_nuevo,misma_reunion_validacion
RPM-2005-03-10:192:1,1,1,RPM-2007-03-15:1159:1,dovish,0.11131876258045958,RPM-2007-03-15,False
RPM-2005-03-10:192:1,1,2,RPM-2006-07-13:778:1,hawkish,0.10791510707424776,RPM-2006-07-13,False
RPM-2005-03-10:192:1,1,3,RPM-2009-02-12:2370:1,dovish,0.10587064501735975,RPM-2009-02-12,False
RPM-2005-03-10:197:1,1,1,RPM-2011-05-12:4054:3,hawkish,0.08965899288295624,RPM-2011-05-12,False
RPM-2005-03-10:197:1,1,2,RPM-2010-12-16:3641:1,hawkish,0.08487990590774357,RPM-2010-12-16,False
RPM-2005-03-10:197:1,1,3,RPM-2005-09-08:396:1,hawkish,0.07928408800426061,RPM-2005-09-08,False
RPM-2006-05-11:672:1,1,1,RPM-2005-07-12:309:1,hawkish,0.1857534913939614,RPM-2005-07-12,False
RPM-2006-05-11:672:1,1,2,RPM-2005-09-08:396:1,hawkish,0.169177922111443,RPM-2005-09-08,False
RPM-2006-05-11:672:1,1,3,RPM-2006-07-13:778:1,hawkish,0.13919850039649595,RPM-2006-07-13,False
RPM-2008-07-10:1975:1,1,1,RPM-2008-09-04:2098:1,hawkish,0.4359663763004374,RPM-2008-09-04,False
RPM-2008-07-10:1975:1,1,2,RPM-2008-09-04:2097:1,hawkish,0.31797316950461857,RPM-2008-09-04,False
RPM-2008-07-10:1975:1,1,3,RPM-2008-01-10:1640:1,hawkish,0.23831537417275778,RPM-2008-01-10,False
RPM-2013-08-13:5748:1,1,1,RPM-2011-03-17:3890:1,hawkish,0.14320896662103968,RPM-2011-03-17,False
RPM-2013-08-13:5748:1,1,2,RPM-2005-09-08:396:1,hawkish,0.12805423726315177,RPM-2005-09-08,False
RPM-2013-08-13:5748:1,1,3,RPM-2014-08-14:6388:1,dovish,0.10084085804498219,RPM-2014-08-14,False
RPM-2008-09-04:2088:1,2,1,RPM-2014-02-18:6043:1,dovish,0.20806066419174699,RPM-2014-02-18,False
RPM-2008-09-04:2088:1,2,2,RPM-2007-08-09:1389:1,hawkish,0.16678259487164263,RPM-2007-08-09,False
RPM-2008-09-04:2088:1,2,3,RPM-2011-11-15:4449:1,dovish,0.1462994011482182,RPM-2011-11-15,False
RPM-2012-03-15:4721:1,2,1,RPM-2011-12-13:4508:1,dovish,0.16788346401790638,RPM-2011-12-13,False
RPM-2012-03-15:4721:1,2,2,RPM-2012-01-12:4571:1,dovish,0.15656422596658798,RPM-2012-01-12,False
RPM-2012-03-15:4721:1,2,3,RPM-2013-08-13:5742:1,dovish,0.15546701853192907,RPM-2013-08-13,False
RPM-2007-01-11:1049:3,3,1,RPM-2011-11-15:4449:1,dovish,0.12017750840304434,RPM-2011-11-15,False
RPM-2007-01-11:1049:3,3,2,RPM-2009-06-16:2598:1,dovish,0.11826738100787626,RPM-2009-06-16,False
RPM-2007-01-11:1049:3,3,3,RPM-2009-02-12:2375:1,dovish,0.11320298191459464,RPM-2009-02-12,False
RPM-2007-05-10:1260:1,4,1,RPM-2008-12-11:2253:1,dovish,0.16634655681068164,RPM-2008-12-11,False
RPM-2007-05-10:1260:1,4,2,RPM-2009-02-12:2375:1,dovish,0.1300132454260181,RPM-2009-02-12,False
RPM-2007-05-10:1260:1,4,3,RPM-2005-10-11:446:1,hawkish,0.1251736441861522,RPM-2005-10-11,False
RPM-2012-02-14:4648:1,4,1,RPM-2011-12-13:4508:1,dovish,0.2189823202819681,RPM-2011-12-13,False
RPM-2012-02-14:4648:1,4,2,RPM-2009-06-16:2598:1,dovish,0.15495391551367915,RPM-2009-06-16,False
RPM-2012-02-14:4648:1,4,3,RPM-2015-09-15:7037:1,hawkish,0.14807392688519344,RPM-2015-09-15,False
RPM-2012-06-14:4897:1,4,1,RPM-2013-10-17:5855:1,dovish,0.1739134556875461,RPM-2013-10-17,False
RPM-2012-06-14:4897:1,4,2,RPM-2011-12-13:4508:1,dovish,0.13264947196524993,RPM-2011-12-13,False
RPM-2012-06-14:4897:1,4,3,RPM-2006-07-13:778:1,hawkish,0.12401446475424394,RPM-2006-07-13,False
RPM-2012-09-13:5084:2,5,1,RPM-2011-12-13:4507:3,dovish,0.2830435258317568,RPM-2011-12-13,False
RPM-2012-09-13:5084:2,5,2,RPM-2013-10-17:5855:1,dovish,0.13611166994001545,RPM-2013-10-17,False
RPM-2012-09-13:5084:2,5,3,RPM-2009-02-12:2370:1,dovish,0.13461755079547855,RPM-2009-02-12,False
RPM-2007-02-08:1090:4,5,1,RPM-2007-08-09:1389:1,hawkish,0.17096512891991944,RPM-2007-08-09,False
RPM-2007-02-08:1090:4,5,2,RPM-2010-09-16:3423:1,hawkish,0.16679706264741517,RPM-2010-09-16,False
RPM-2007-02-08:1090:4,5,3,RPM-2006-01-12:559:1,hawkish,0.16512114587545706,RPM-2006-01-12,False
RPM-2007-02-08:1102:1,5,1,RPM-2007-01-11:1056:1,dovish,0.13915440295271408,RPM-2007-01-11,False
RPM-2007-02-08:1102:1,5,2,RPM-2005-07-12:309:2,hawkish,0.12266348578692665,RPM-2005-07-12,False
RPM-2007-02-08:1102:1,5,3,RPM-2012-01-12:4571:1,dovish,0.11829726263420054,RPM-2012-01-12,False
RPM-2007-12-13:1607:2,5,1,RPM-2007-08-09:1389:1,hawkish,0.12835078468945657,RPM-2007-08-09,False
RPM-2007-12-13:1607:2,5,2,RPM-2009-02-12:2375:1,dovish,0.12234873530076693,RPM-2009-02-12,False
RPM-2007-12-13:1607:2,5,3,RPM-2009-02-12:2370:1,dovish,0.10619255302509076,RPM-2009-02-12,False
RPM-2015-08-13:6965:1,5,1,RPM-2009-02-12:2370:1,dovish,0.12279112158101735,RPM-2009-02-12,False
RPM-2015-08-13:6965:1,5,2,RPM-2008-12-11:2253:1,dovish,0.12188063765365287,RPM-2008-12-11,False
RPM-2015-08-13:6965:1,5,3,RPM-2007-08-09:1389:1,hawkish,0.12003069596135783,RPM-2007-08-09,False
