intervencion_id,meeting_id,es_relevante,etiqueta_ia_original,etiqueta_corregida_v2,fold,supervision,pred_a,pred_b,pred,estado_revision_previa
RPM-2009-10-13:2758:1,RPM-2009-10-13,1,dovish,dovish,2,seis_mas_trece,1,hawkish,hawkish,referencia_respaldada
RPM-2011-08-18:4272:1,RPM-2011-08-18,1,dovish,dovish,3,seis_mas_trece,1,hawkish,hawkish,referencia_respaldada
RPM-2007-01-11:1057:1,RPM-2007-01-11,1,dovish,dovish,3,seis_mas_trece,1,hawkish,hawkish,referencia_respaldada
RPM-2008-02-07:1672:1,RPM-2008-02-07,1,dovish,dovish,4,seis_mas_trece,1,hawkish,hawkish,referencia_respaldada
RPM-2015-12-17:7210:1,RPM-2015-12-17,1,hawkish,hawkish,4,seis_mas_trece,1,dovish,dovish,referencia_respaldada
RPM-2008-03-13:1731:2,RPM-2008-03-13,1,hawkish,hawkish,4,seis_mas_trece,1,dovish,dovish,referencia_respaldada
RPM-2015-12-17:7212:1,RPM-2015-12-17,1,hawkish,hawkish,4,seis_mas_trece,1,dovish,dovish,referencia_respaldada
RPM-2015-09-15:7045:1,RPM-2015-09-15,1,hawkish,hawkish,5,seis_mas_trece,1,dovish,dovish,referencia_respaldada
RPM-2010-10-14:3491:1,RPM-2010-10-14,1,hawkish,hawkish,5,seis_mas_trece,1,dovish,dovish,referencia_respaldada
RPM-2015-08-13:6965:1,RPM-2015-08-13,1,neutral,dovish,5,seis_mas_trece,1,hawkish,hawkish,referencia_cuestionable
