caso_id,intervencion_id,fold,reunion_o_texto_validacion,candidato_hd_alta,potencialmente_incorporable,incorporado_a_train
F001,RPM-2006-02-09:592:1,1,0,1,1,0
F001,RPM-2006-02-09:592:1,2,0,1,1,0
F001,RPM-2006-02-09:592:1,3,0,1,1,0
F001,RPM-2006-02-09:592:1,4,0,1,1,0
F001,RPM-2006-02-09:592:1,5,1,1,0,0
F002,RPM-2013-10-17:5857:1,1,0,1,1,0
F002,RPM-2013-10-17:5857:1,2,0,1,1,0
F002,RPM-2013-10-17:5857:1,3,0,1,1,0
F002,RPM-2013-10-17:5857:1,4,0,1,1,0
F002,RPM-2013-10-17:5857:1,5,0,1,1,0
F003,RPM-2014-10-16:6470:1,1,1,1,0,0
F003,RPM-2014-10-16:6470:1,2,0,1,1,0
F003,RPM-2014-10-16:6470:1,3,0,1,1,0
F003,RPM-2014-10-16:6470:1,4,0,1,1,0
F003,RPM-2014-10-16:6470:1,5,0,1,1,0
F004,RPM-2005-07-12:310:3,1,0,1,1,0
F004,RPM-2005-07-12:310:3,2,0,1,1,0
F004,RPM-2005-07-12:310:3,3,0,1,1,0
F004,RPM-2005-07-12:310:3,4,1,1,0,0
F004,RPM-2005-07-12:310:3,5,0,1,1,0
F005,RPM-2010-09-16:3431:2,1,0,1,1,0
F005,RPM-2010-09-16:3431:2,2,1,1,0,0
F005,RPM-2010-09-16:3431:2,3,0,1,1,0
F005,RPM-2010-09-16:3431:2,4,0,1,1,0
F005,RPM-2010-09-16:3431:2,5,0,1,1,0
F006,RPM-2014-03-13:6097:1,1,0,1,1,0
F006,RPM-2014-03-13:6097:1,2,0,1,1,0
F006,RPM-2014-03-13:6097:1,3,1,1,0,0
F006,RPM-2014-03-13:6097:1,4,0,1,1,0
F006,RPM-2014-03-13:6097:1,5,0,1,1,0
F007,RPM-2011-05-12:4054:3,1,0,1,1,0
F007,RPM-2011-05-12:4054:3,2,0,1,1,0
F007,RPM-2011-05-12:4054:3,3,0,1,1,0
F007,RPM-2011-05-12:4054:3,4,0,1,1,0
F007,RPM-2011-05-12:4054:3,5,0,1,1,0
F008,RPM-2008-09-04:2097:1,1,0,1,1,0
F008,RPM-2008-09-04:2097:1,2,1,1,0,0
F008,RPM-2008-09-04:2097:1,3,0,1,1,0
F008,RPM-2008-09-04:2097:1,4,0,1,1,0
F008,RPM-2008-09-04:2097:1,5,0,1,1,0
F009,RPM-2014-01-16:6006:2,1,0,1,1,0
F009,RPM-2014-01-16:6006:2,2,0,1,1,0
F009,RPM-2014-01-16:6006:2,3,0,1,1,0
F009,RPM-2014-01-16:6006:2,4,0,1,1,0
F009,RPM-2014-01-16:6006:2,5,1,1,0,0
