intervencion_id,coleccion,lote,archivo_origen,etiqueta_origen,es_relevante_origen,etiqueta_previa_v3,es_relevante_previa_v3,estado_revision_v3,etiqueta_v3,es_relevante_v3,confianza_revision_v3,sha256_texto,n_caracteres_texto
RPM-2008-01-10:1628:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,0555b8f0c893610c26eeb070dee1bb7934b2d693073515c064f2bfcb1fbebf89,441
RPM-2008-02-07:1644:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,0,neutral,0,revisado,neutral,0,alta,5d928a0650483002c9384251ca0d66182fc6e20159162bf0534a35887aad49e2,407
RPM-2008-02-07:1648:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,d8756efd8e44fef19e795e193032c0050f28b7916c5f33e1ee512e87c3b8ad5c,203
RPM-2008-02-07:1674:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,4d1b2e9c1c7c891cec23ea099f46e6fb7f0a5a205cf3745bbf350f3bba60dfc7,247
RPM-2008-03-13:1731:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,dovish,1,dovish,1,revisado,hawkish,1,alta,e744282de07d153853aff275db6ab9af4c4860821bf8fdd369dce7b46ae0ff85,7454
RPM-2008-03-13:1731:2,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,hawkish,1,hawkish,1,revisado,hawkish,1,media,1a0920b92c9bd8d68e6e540132c1286e2ba32d5a67a72989f2b47e5a66df9079,4752
RPM-2008-04-10:1778:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,dovish,1,dovish,1,revisado,neutral,1,alta,9279e249f02332526bcf2201bfbca854a004d6d7fa78ec328a745b420e2d777b,1852
RPM-2008-04-10:1782:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,dovish,1,dovish,1,revisado,neutral,1,alta,840f5ac4cd0a7cc1b67ac3fd64d1dbb2bad634291c0d3b35a21606907399e5ae,3209
RPM-2008-05-08:1786:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,0,neutral,0,revisado,neutral,0,alta,5bb5299799f455e4189d31f42598d5653636c91d6eee4162ba1761052b3f0d74,1277
RPM-2008-05-08:1789:1,ia_base_v2,etiquetas_escalado_r10.csv,data/etiquetas/etiquetas_escalado_r10.csv,neutral,1,neutral,1,revisado,neutral,1,alta,dbdeb22225ea496384661708053a41b5b5cde3b4463d8e1b6e2863ccaa4900ce,96
