caso_id,intervencion_id,etiqueta_ia,es_relevante_ia,sha256_texto_original
R01,RPM-2005-06-09:288:4,neutral,1,c0fc40215eb53ad8b53512e4954a3ba196f9d33dcdbbeed9de0b2832a59eca42
R02,RPM-2014-02-18:6041:1,dovish,1,3e6427ffc059e1194b4b80b0ddb821852efeef2fb3f1ba5ca94f33f849bc5cb2
R03,RPM-2006-11-16:976:1,dovish,1,d9b95a6fa8211c818c755caf9e69fcec4d3a665d5aa7b304603bde0732241cfb
R04,RPM-2011-05-12:4045:1,hawkish,1,955c79623ff567d595859f7d7496fbb4a339bb8fc6fc0845917759f5f8f7a901
R05,RPM-2005-05-12:236:1,neutral,1,45b3a67308390e69e57ce070ee6ec8c5553227a2f9487a2f801f71cac7c11734
R06,RPM-2011-03-17:3889:2,hawkish,1,c2cf12047254a695cca1fecc29c111e4e31b3c7a68952480cf4f6e7ca2e94221
R07,RPM-2011-10-13:4380:1,neutral,1,c068559b7106ff8b2a4eaccda221c890829cb45e4f6daf6fff7f9b84cb993aab
R08,RPM-2005-05-12:262:1,dovish,1,a8d3bf2424e1f1641da706edbc2ceaa28b5690485eadfa5f25fc4620d06b8afb
R09,RPM-2009-04-09:2494:1,dovish,1,246f63ab4d040664ec4f0287d2f024163f0182f491c081c0f8cf2dc4d1f82d16
R10,RPM-2013-10-17:5857:2,dovish,1,b256205b720abd08502df74d839432592f0dede79c3568a1fc09fa7a093d8e89
R11,RPM-2011-03-17:3831:1,neutral,1,f45b62ec6592e6c9aa7d3e5030e6df3c8a5a3c3080abe32fa856b1e14a4828f2
R12,RPM-2005-06-09:291:1,dovish,1,05cd1557b4e7a3fd9c5aa3a53eb9b65be7c5948192145ef8760b2de523986c23
R13,RPM-2005-02-10:132:1,hawkish,1,3f72f50d043a5bffd64d0590ad0d536535ecd006b7aaeff05965e38c86782176
R14,RPM-2005-02-10:133:1,hawkish,1,14aac10e48f65b9d7f01069169c6897528702758cdaaf10a1eeff965d3af8fc5
R15,RPM-2005-02-10:95:1,neutral,1,ba3292ee22df2c45a1cb7e0752e1882a90f6e9d249b4f585b1853cf1e98d07bc
R16,RPM-2005-02-10:134:1,hawkish,1,08fc3d12b4c641a240981116892fb66d8d15ab28b51bdac93b8eed8ffe7ad7d4
R17,RPM-2011-10-13:4392:1,dovish,1,02401d9794d6a8d4c8d0db909d1584255888fbd213c7ab14088f61804e611253
R18,RPM-2011-02-17:3731:1,neutral,1,467519abb029e1375cfc366be5a0478433a23960cbf6f70bf394b955fc90789a
R19,RPM-2005-05-12:276:1,hawkish,1,4eb613b328323d789ac7bc01d22df992be6471e9d1a06bf0fc4c88d164ae634f
R20,RPM-2011-02-17:3808:1,hawkish,1,6b1425f9115b907753e6ea54145ee3cb77a1402a0ce81b7a7bfe0f8575cd1583
R21,RPM-2010-01-14:2887:1,dovish,1,883f687dd902b73c2ac18812b289452781b244b1be3545d692e7f788fcc0cbae
R22,RPM-2009-04-09:2488:1,neutral,1,19a341f1e421e3ae26969a7c7b06592b63399594badacd98783e820afbdb40f7
R23,RPM-2011-02-17:3813:1,hawkish,1,54bea0875e3eca1ad6f95830c2e5df39b7cf0bdbf19f467625e99b873490fc72
R24,RPM-2005-02-10:106:1,neutral,0,60293430291591868a80b0d40b2dc4654349135bec7b393607dff46d67a8a209
R25,RPM-2009-02-12:2377:1,dovish,1,04a190706cda8351f129b6ce3acd8849937923f95877302383eba61ef04655ad
R26,RPM-2005-02-10:136:1,hawkish,1,6727617dde16c78146418e4cda8fd7438cb7bf50aab02f1c7a19e6b1376f3717
R27,RPM-2005-05-12:268:1,hawkish,1,68f70712f93859a29668f4c1007c097e2b9fe05938039fd9fd80b1bfa2d9b243
R28,RPM-2011-07-14:4187:1,neutral,1,8cdab0ec08ab1dfac7ec81338238d7d9464278ff5a0f3af9e54c39c2f42ffc02
R29,RPM-2013-05-16:5556:1,dovish,1,ccc62c742e09d26896a69496c61ece67dcda923c8276745b51efb2201aa90096
R30,RPM-2005-02-10:98:1,neutral,1,118ec25dcced6adfc8ebe1da124b754dc262ceacaf5e8478c609713ba2b56438
