intervencion_id,meeting_id,fold,etiqueta_ia,pred_original,pred_adjudicada,es_error_nuevo,revision_cualitativa
RPM-2005-01-11:39:1,RPM-2005-01-11,3,neutral,hawkish,hawkish,False,pendiente
RPM-2005-01-11:42:1,RPM-2005-01-11,3,neutral,neutral,dovish,True,tanda_1_nuevos
RPM-2005-01-11:46:1,RPM-2005-01-11,3,hawkish,neutral,neutral,False,pendiente
RPM-2005-01-11:56:1,RPM-2005-01-11,3,hawkish,neutral,neutral,False,pendiente
RPM-2005-01-11:5:1,RPM-2005-01-11,3,neutral,hawkish,hawkish,False,pendiente
RPM-2005-03-10:178:1,RPM-2005-03-10,1,neutral,hawkish,hawkish,False,pendiente
RPM-2005-03-10:190:1,RPM-2005-03-10,1,hawkish,neutral,neutral,False,pendiente
RPM-2005-03-10:198:1,RPM-2005-03-10,1,neutral,hawkish,hawkish,False,pendiente
RPM-2005-04-07:215:1,RPM-2005-04-07,2,dovish,hawkish,hawkish,False,tanda_2_hd
RPM-2006-03-16:621:1,RPM-2006-03-16,4,dovish,dovish,hawkish,True,tanda_1_nuevos
RPM-2006-05-11:671:1,RPM-2006-05-11,1,dovish,dovish,hawkish,True,tanda_1_nuevos
RPM-2006-05-11:674:1,RPM-2006-05-11,1,dovish,hawkish,hawkish,False,tanda_2_hd
RPM-2006-07-13:774:1,RPM-2006-07-13,5,neutral,hawkish,hawkish,False,pendiente
RPM-2006-09-07:867:1,RPM-2006-09-07,3,dovish,hawkish,hawkish,False,tanda_2_hd
RPM-2006-10-12:936:1,RPM-2006-10-12,2,dovish,dovish,neutral,True,tanda_1_nuevos
RPM-2006-10-12:941:1,RPM-2006-10-12,2,neutral,dovish,dovish,False,pendiente
RPM-2006-12-14:1017:1,RPM-2006-12-14,3,neutral,dovish,dovish,False,pendiente
RPM-2006-12-14:1019:1,RPM-2006-12-14,3,hawkish,dovish,dovish,False,tanda_2_hd
RPM-2007-01-11:1049:3,RPM-2007-01-11,3,dovish,neutral,neutral,False,pendiente
RPM-2007-01-11:1050:1,RPM-2007-01-11,3,dovish,dovish,hawkish,True,tanda_1_nuevos
RPM-2007-01-11:1057:1,RPM-2007-01-11,3,dovish,hawkish,hawkish,False,tanda_2_hd
RPM-2007-02-08:1090:4,RPM-2007-02-08,5,neutral,dovish,hawkish,False,pendiente
RPM-2007-02-08:1102:1,RPM-2007-02-08,5,hawkish,neutral,neutral,False,pendiente
RPM-2007-03-15:1149:1,RPM-2007-03-15,5,dovish,neutral,neutral,False,pendiente
RPM-2007-03-15:1167:1,RPM-2007-03-15,5,hawkish,neutral,neutral,False,pendiente
RPM-2007-05-10:1260:1,RPM-2007-05-10,4,neutral,dovish,dovish,False,pendiente
RPM-2007-05-10:1261:1,RPM-2007-05-10,4,neutral,hawkish,hawkish,False,pendiente
RPM-2007-05-10:1261:2,RPM-2007-05-10,4,neutral,hawkish,hawkish,False,pendiente
RPM-2007-10-11:1519:1,RPM-2007-10-11,2,neutral,hawkish,hawkish,False,pendiente
RPM-2007-12-13:1602:1,RPM-2007-12-13,5,neutral,hawkish,hawkish,False,pendiente
RPM-2007-12-13:1607:2,RPM-2007-12-13,5,dovish,hawkish,hawkish,False,tanda_2_hd
RPM-2008-02-07:1672:1,RPM-2008-02-07,4,dovish,hawkish,hawkish,False,tanda_2_hd
RPM-2008-02-07:1684:1,RPM-2008-02-07,4,dovish,hawkish,hawkish,False,tanda_2_hd
RPM-2008-03-13:1721:1,RPM-2008-03-13,4,neutral,hawkish,hawkish,False,pendiente
RPM-2008-03-13:1731:2,RPM-2008-03-13,4,hawkish,dovish,dovish,False,tanda_2_hd
RPM-2008-03-13:1737:2,RPM-2008-03-13,4,hawkish,neutral,neutral,False,pendiente
RPM-2008-12-11:2238:1,RPM-2008-12-11,1,neutral,dovish,dovish,False,pendiente
RPM-2008-12-11:2249:1,RPM-2008-12-11,1,neutral,dovish,dovish,False,pendiente
RPM-2009-08-13:2681:1,RPM-2009-08-13,3,neutral,dovish,dovish,False,pendiente
RPM-2009-10-13:2758:1,RPM-2009-10-13,2,dovish,hawkish,hawkish,False,tanda_2_hd
RPM-2010-08-12:3337:1,RPM-2010-08-12,1,hawkish,neutral,neutral,False,pendiente
RPM-2010-10-14:3491:1,RPM-2010-10-14,5,hawkish,dovish,dovish,False,tanda_2_hd
RPM-2011-08-18:4272:1,RPM-2011-08-18,3,dovish,hawkish,hawkish,False,tanda_2_hd
RPM-2011-08-18:4280:1,RPM-2011-08-18,3,dovish,hawkish,hawkish,False,tanda_2_hd
RPM-2012-03-15:4721:1,RPM-2012-03-15,2,neutral,hawkish,hawkish,False,pendiente
RPM-2012-04-17:4790:2,RPM-2012-04-17,3,neutral,dovish,dovish,False,pendiente
RPM-2012-09-13:5089:1,RPM-2012-09-13,5,neutral,dovish,dovish,False,pendiente
RPM-2012-11-13:5215:1,RPM-2012-11-13,1,neutral,dovish,dovish,False,pendiente
RPM-2012-11-13:5217:1,RPM-2012-11-13,1,neutral,dovish,dovish,False,pendiente
RPM-2013-03-14:5443:1,RPM-2013-03-14,4,neutral,dovish,dovish,False,pendiente
RPM-2013-06-13:5632:1,RPM-2013-06-13,4,neutral,dovish,dovish,False,pendiente
RPM-2013-08-13:5748:1,RPM-2013-08-13,1,neutral,dovish,dovish,False,pendiente
RPM-2013-11-19:5900:1,RPM-2013-11-19,2,dovish,dovish,neutral,True,tanda_1_nuevos
RPM-2014-07-15:6325:1,RPM-2014-07-15,3,dovish,neutral,neutral,False,pendiente
RPM-2015-01-15:6585:1,RPM-2015-01-15,2,neutral,dovish,dovish,False,pendiente
RPM-2015-05-14:6804:1,RPM-2015-05-14,1,neutral,dovish,dovish,False,pendiente
RPM-2015-06-11:6854:1,RPM-2015-06-11,4,neutral,dovish,dovish,False,pendiente
RPM-2015-06-11:6856:1,RPM-2015-06-11,4,neutral,dovish,dovish,False,pendiente
RPM-2015-06-11:6857:2,RPM-2015-06-11,4,neutral,dovish,dovish,False,pendiente
RPM-2015-08-13:6965:1,RPM-2015-08-13,5,neutral,hawkish,hawkish,False,pendiente
RPM-2015-08-13:6969:1,RPM-2015-08-13,5,dovish,dovish,hawkish,True,tanda_1_nuevos
RPM-2015-09-15:7045:1,RPM-2015-09-15,5,hawkish,dovish,dovish,False,tanda_2_hd
RPM-2015-10-15:7097:1,RPM-2015-10-15,4,neutral,dovish,dovish,False,pendiente
RPM-2015-12-17:7207:1,RPM-2015-12-17,4,hawkish,neutral,neutral,False,pendiente
RPM-2015-12-17:7210:1,RPM-2015-12-17,4,hawkish,dovish,dovish,False,tanda_2_hd
RPM-2015-12-17:7212:1,RPM-2015-12-17,4,hawkish,dovish,dovish,False,tanda_2_hd
