intervencion_id,meeting_id,fecha,actor,cargo,texto,anio,flag_texto_danado,topico_humano,keywords_humano,orden_habla,subindice
RPM-2005-01-11:1:1,RPM-2005-01-11,2005-01-11,Consejo del Banco Central de Chile,Consejo,"En Santiago de Chile, a 11 de enero de 2005, siendo las 11:30 horas, se reúne el Consejo del Banco Central de Chile, bajo la presidencia del titular don Vittorio Corbo Lioi y con la asistencia del Vicepresidente don José De Gregorio Rebeco y de los Consejeros doña María Elena Ovalle Molina, don Jorge Desormeaux Jiménez y don Manuel Marfán Lewis. Asiste el señor Ministro de Hacienda, don Nicolás Eyzaguirre Guzmán. Asisten también: Gerente General, don Camilo Carrasco Alfonso; Fiscal y Ministro de Fe Subrogante, don Juan Esteban Laval Zaldívar; Gerente de División Estudios, don Rodrigo Valdés Pulido; Gerente de División Política Financiera, don Luis Oscar Herrera Barriga; Gerente de División Internacional, don Esteban Jadresic Marinovic; Gerente de Análisis Macroeconómico, don Pablo García Silva; Gerente de Información e Investigación Estadística, don Ricardo Vicuña Poblete; Gerente de Análisis Internacional, don Sergio Lehmann Beresi; Gerente de Comunicaciones, don Eduardo Arriagada Cardini; y Secretario General, don Jorge Court Larenas. Se encuentra también presente, especialmente invitada, la Asesora Macroeconómica del Ministerio de Hacienda, señora Bernardita Piedrabuena Keymer. Fecha Sesión de Política Monetaria del mes de julio de 2005.",2005,False,apertura_cierre,apertura_cierre,1,1
RPM-2005-01-11:2:1,RPM-2005-01-11,2005-01-11,Vittorio Corbo Lioi,Presidente del Banco Central,"El Presidente fija la sesión de política monetaria del mes de julio de 2005, para el día 12 de ese mes. II. Exposición.",2005,False,apertura_cierre,apertura_cierre,2,1
RPM-2005-01-11:3:1,RPM-2005-01-11,2005-01-11,Pablo García Silva,Gerente de Análisis Macroeconómico,"El Gerente de Análisis Macroeconómico, don Pablo García, en relación con el análisis de los desarrollos económicos y financieros recientes, señala lo siguiente: Durante el segundo semestre del año pasado el cuadro macroeconómico interno reflejó con más claridad, a través de los sectores productivos y los componentes de la demanda agregada, tanto las positivas condiciones externas como el impulso de la política monetaria. La actividad industrial acentuó el dinamismo que mostró durante la primera mitad del año, mientras que en la formación bruta de capital desaparecieron los rezagos de fines del 2003. En tanto, el consumo privado se mantuvo robusto a pesar del incremento del precio de los combustibles y las exportaciones mostraron un renovado empuje. En el mercado laboral, la ocupación volvió a crecer según las tendencias previas y la tasa de desocupación descendió después del inesperado incremento de mediados de año, aunque sólo de manera paulatina debido al aumento de la tasa de participación. Este cuadro, unido a la continuación de condiciones externas favorables y un impulso macroeconómico que persiste, anticipa un cierre algo más rápido de las holguras de capacidad que lo previsto con anterioridad. El incremento de los costos, en especial de los laborales, ha sido tenue, mientras que la inflación subyacente, que excluye los precios de bienes y servicios más volátiles, ha exhibido en los últimos trimestres un aumento lento. Esto ha llevado a esperar que las presiones de precios derivadas de la descompresión de márgenes serían menos intensas que lo anticipado anteriormente y muestra cómo la economía chilena ha podido acomodar incrementos de la demanda agregada sin inducir presiones inflacionarias indeseables. Ello ha permitido continuar con una normalización pausada de la política monetaria y congruente con una convergencia gradual de la inflación proyectada del IPC a 3%. En el plano internacional, el 2004 terminó siendo muy positivo para Chile, gracias al fuerte crecimiento mundial, el alto precio del cobre y buenas condiciones financieras. El panorama central considerado en este Informe incorpora un escenario favorable para la economía mundial hacia el 2005 y el 2006, con una desaceleración paulatina de la actividad global que refleja el impacto del elevado precio del petróleo y la disipación de los efectos del impulso monetario y fiscal de años recientes. También se espera una reducción gradual del precio del cobre en la medida que disminuya el notable crecimiento de la demanda por el metal y se materialicen incrementos de capacidad. Adicionalmente, este panorama considera un acomodo gradual y sin sobresaltos de los desequilibrios macroeconómicos de las principales economías. De hecho, la fuerte y reciente depreciación adicional del dólar es un fenómeno que puede vincularse a una mayor preocupación por estos desequilibrios en los mercados financieros internacionales. A pesar de lo anterior, y de las alzas de la tasa de política monetaria que está implementando la Reserva Federal, no se han alterado, por ahora, las favorables condiciones financieras que enfrentan las economías emergentes. Éstas se aprecian en spreads que se encuentran en mínimos históricos y reducidas tasas de interés de largo plazo en el mundo desarrollado. Así, se estima que el elemento principal tras los movimientos cambiarios de los meses recientes ha sido la pérdida de valor del dólar estadounidense frente a la mayoría de las monedas del mundo. En este contexto, y desde el último Informe de Política Monetaria, el peso chileno se ha apreciado 7,3% y 1,7% respecto del dólar y el yen, respectivamente, y se ha depreciado 3,1% con relación al euro. En suma, el peso ha tenido una leve apreciación multilateral, tanto real como nominal. Una vez que se toman en cuenta los efectos de las paridades en el mundo sobre precios de commodities y actividad global, no se considera que la depreciación real del dólar en el mundo traiga necesariamente aparejada una apreciación real del peso de importancia en el largo plazo, sobre todo considerando los exiguos flujos netos de capitales hacia economías emergentes. Por lo mismo, no se estima que esta apreciación del peso conlleve una profundización del impulso macroeconómico actual. internamente, la mantención de un importante estímulo monetario se advierte en las estimaciones del nivel real de la tasa de interés de política, así como en las brechas entre ésta y distintas medidas de la tasa de interés real natural y de las tasas de crecimiento de los distintos agregados monetarios y crediticios. Sin embargo, el estímulo monetario parece haber dejado de profundizarse en lo que se refiere a las condiciones financieras que enfrentan los hogares, donde ya se detectan algunos incrementos de las tasas de créditos de consumo y de vivienda respecto de los niveles prevalecientes en septiembre. En el caso de las empresas se ve un mayor dinamismo apoyado por la demanda de financiamiento para la inversión. Las medidas de compensación inflacionaria que se deducen del diferencial de tasas de interés nominales y reajustables de mediano y largo plazo continúan en niveles similares a los observados al cierre del Informe de Política Monetaria de septiembre, en torno a 2,5%. Como ha sido habitual, las primas de riesgo incluidas en estas medidas de compensación inflacionaria han reflejado el impacto de los movimientos cambiarios, del precio del petróleo y de la inflación misma. No se estima que estos vaivenes indiquen expectativas de inflación implícitas en los precios de activos financieros significativamente distintas de 3% a mediano y largo plazo. De hecho, las distintas encuestas a analistas señalan que la inflación esperada a dos años plazo se ubica en torno a 3%, el centro del rango meta de inflación. La demanda interna mostró en el curso del segundo semestre del 2004 una aceleración respecto de la primera mitad del año, empujada principalmente por un sostenido dinamismo de la formación bruta de capital fijo. La aceleración de la inversión se ha apreciado más marcadamente en el componente de maquinaria y equipos, la que parece ser bastante generalizada a través de sectores económicos y tipos de bienes de capital. Las mejores perspectivas empresariales y los buenos resultados del tercer trimestre apoyan este mayor dinamismo de la inversión, con lo que se ha disipado plenamente el rezago que mostraba este componente del gasto un año atrás. La mayor demanda de financiamiento corporativo que ha conllevado este dinamismo de la inversión ha sido satisfecha con el acceso a fuentes internas, incluyendo recursos propios. Por otro lado, la evidencia disponible indica que el consumo privado, luego de la significativa expansión observada hasta mediados de año, se mantuvo robusto a pesar del aumento transitorio del precio de los combustibles. La caída del precio internacional del petróleo respecto de los niveles máximos de mediados de octubre, junto con el mayor dinamismo de la ocupación, el repunte de la confianza de los hogares y las aún expansivas condiciones financieras, anticipan para los próximos trimestres un mayor crecimiento de este componente del gasto. La mantención de la regla fiscal en un contexto de importante repunte de los ingresos, tanto por la aceleración del crecimiento económico como por el nivel del precio del cobre, ha redundado en un incremento sustancial del ahorro público y en un superávit fiscal que probablemente superó el 2% del PIB. En términos consolidados, se estima que la deuda neta del Gobierno Central y del Banco Central llegó a cerca de 5% del PIB a fines del 2004. El presupuesto para el 2005 conlleva un mayor incremento del gasto público, en el marco de la aplicación de la regla fiscal actual, lo que añadirá un moderado empuje al impulso macroeconómico que seguirá proveyendo la política monetaria. De esta manera, el mayor nivel de los términos de intercambio ha contribuido básicamente a un incremento más intenso del ahorro público y nacional, con lo que se ha consolidado un escenario de superávit en cuenta corriente para el 2004. Aunque el incremento de la inversión ha sido sustancial, no alcanza a incidir en este escenario de cuenta corriente superavitaria.",2005,False,otros,otros,3,1
RPM-2005-01-11:4:1,RPM-2005-01-11,2005-01-11,Pablo García Silva,Gerente de Análisis Macroeconómico,"Por el lado de la actividad, el mayor crecimiento se aprecia fundamentalmente en la industria, aunque el comercio ha continuado también en una trayectoria dinámica. La dinámica industrial no obedece a un comportamiento de subsectores o empresas específicas sino que, por el contrario, es un fenómeno que se generalizó en el curso del año. Por otra parte, en el 2004 la producción minera experimentó un importante incremento, gracias a la maduración de proyectos de envergadura, junto con la superación de problemas técnicos de principios de año. Se espera que este ritmo de crecimiento no se repita en los años más próximos, debido a que los incrementos de capacidad en carpeta solo madurarán hacia el 2006 y 2007. Durante la segunda mitad del año, el mercado laboral comenzó a mostrar mayor dinamismo, como corroboran las diferentes fuentes de información disponibles. Esto disipa parte importante de la heterogeneidad evidente en las cifras al cierre del Informe de Política Monetaria de septiembre. Más allá de la volatilidad observada a mediados de año y de efectos estacionales, la información disponible para el 2004 muestra que la ocupación se ubica significativamente por encima de lo observado el 2003, lo que se asocia al importante incremento del empleo asalariado. Esto, junto con el incremento de la participación femenina y la composición de la desocupación, muestran que no es evidente deducir que la aún elevada tasa de desempleo indique debilidad generalizada en el mercado laboral. El escenario de mediano plazo más probable sigue siendo coherente con un crecimiento de tendencia en torno a 5% anual. Con ello, y al igual que en años recientes, una parte sustancial de los vaivenes de la productividad total de factores sería de carácter cíclico. Lo anterior, junto con el incremento de la tasa de inversión prevista, aumenta levemente el crecimiento de tendencia para el 2004 y 2005, en alrededor de un par de décimas de punto porcentual por año. El crecimiento del PIB de tendencia pasaría, de este modo, desde aproximadamente 4% anual en el 2004 hasta tasas más cercanas a 5% anual hacia fines del horizonte de proyección. Así, luego de que el PIB creciera en torno a 5,8% el 2004, la economía chilena debería alcanzar tasas de crecimiento entre 5% y 6% el 2005, para experimentar luego una suave desaceleración el 2006, de manera de copar gradualmente las holguras de capacidad que aún persistan. La demanda interna crecería sustancialmente más que el PIB, de forma que el superávit en cuenta corriente se disiparía de manera paulatina el 2005 y 2006, situación que también se vería influida por una normalización de los términos de intercambio. Como ha sido la tónica en los años recientes, la volatilidad del precio de los combustibles y del tipo de cambio ha tenido una incidencia transitoria en la inflación del IPC, mediante sus efectos directos y vía tarifas reguladas. Aunque los movimientos del cambio bilateral peso/dólar inciden de manera mecánica en diversos precios y tarifas reguladas, su incidencia en la inflación de mediano plazo no es mayor en la medida que ello no responda a cambios persistentes en la paridad real multilateral del peso. En un escenario en que esta última variable no presente modificaciones en el largo plazo, no se puede esperar que cambios en la paridad del dólar en los mercados internacionales tengan efectos duraderos en las presiones inflacionarias en Chile. Durante los últimos trimestres, las medidas de inflación subyacente han evolucionado por debajo de lo inicialmente previsto, diferencia que se redujo a algunas décimas desde el Informe de Política Monetaria de septiembre. Esta dinámica ha sido el resultado de menores presiones de precios derivadas de la descompresión de márgenes y a una trayectoria plana, o incluso declinante en lo más reciente, de los costos laborales unitarios. Ello se relaciona con un incremento de las remuneraciones nominales que sigue siendo acotado, con un crecimiento de la productividad del trabajo que sigue siendo significativo y con precios al productor que muestran un repunte muy moderado. Todo ello ha llevado a que el ritmo de convergencia al rango meta haya sido gradual.",2005,False,mercado_laboral,actividad_interna,4,1
RPM-2005-01-11:5:1,RPM-2005-01-11,2005-01-11,Pablo García Silva,Gerente de Análisis Macroeconómico,"De esta forma, el comportamiento previsible de los costos laborales unitarios y la débil evidencia de presiones de márgenes en la economía como un todo, llevan a estimar que las presiones inflacionarias en el curso del 2005 serían más limitadas que las previstas. A esto se agregan las reducciones esperables del precio de los combustibles, con lo que la inflación del IPC proyectada para el 2005 se mantendría cercana a la parte inferior del rango meta, incluso posiblemente por debajo de 2% para parte del año. Hacia el mediano plazo, sin embargo, el cierre de holguras más rápido que lo anticipado compensará esas menores presiones de precios, por lo que el panorama inflacionario hacia fines del horizonte de proyección no difiere mayormente de lo previsto en el Informe de Política Monetaria de septiembre. De esta manera, la inflación del IPC alcanzaría 2,8% en promedio durante el 2006 y 3,3% a fines del horizonte de proyección. Esto, gracias a que la tendencia inflacionaria subyacente continuaría con un ritmo de incremento similar al que mostró en el 2004, luego de la desaceleración de fines del 2003, superando levemente 3% hacia el 2006. En este contexto, el Consejo estima que ello permite continuar con un ritmo pausado de normalización de la política monetaria, cuya velocidad precisa dependerá de los antecedentes que se vayan acumulando en el tiempo. En el escenario central, como supuesto de trabajo, las proyecciones contenidas acá se realizan suponiendo una trayectoria para la tasa de política monetaria que aumenta a un ritmo levemente mayor que la implícita en los precios de activos durante las últimas dos semanas, y congruente con una convergencia gradual de la inflación del IPC a 3%. Los principales escenarios de riesgo están asociados a la forma como evolucione la economía mundial en los próximos años. La gradual desaceleración de la actividad global puede ser más abrupta que lo anticipado, especialmente en el contexto de un ajuste intenso y desordenado de las cuentas corrientes, tasas de interés y monedas de las principales zonas económicas. El mercado internacional del petróleo sigue siendo estrecho y persiste la posibilidad de problemas geopolíticos, por lo que es posible que la trayectoria del precio del petróleo sea distinta de la considerada en el escenario base de proyección, o que sus efectos contractivos sobre la economía mundial sean mayores que los considerados hasta ahora. En todo caso, a diferencia de años recientes, la mayor fortaleza financiera que muestran las economías emergentes, incluyendo Chile, las hace menos vulnerables a estos eventos. Internamente, se considera que las mayores incertidumbres dicen relación con la posibilidad de que la actividad y el gasto interno continúen reaccionando con más intensidad que la prevista a las favorables condiciones macroeconómicas actuales. El escenario central contempla que las sorpresas de actividad de los últimos meses no se repiten. Sin embargo, el importante incremento que siguen mostrando los diversos agregados monetarios puede ser indicativo de que este dinamismo persista. Igualmente, tampoco se puede descartar que el mejor tono del mercado laboral o las perspectivas de mayor crecimiento futuro incidan en un mayor dinamismo del consumo y de la inversión que el considerado como más probable. Por el lado de precios y costos, es posible delinear escenarios alternativos en que las presiones de márgenes lleven a una aceleración de los precios subyacentes mayor que la contemplada en el escenario base. Asimismo, queda por verse qué efectos tendrá el cambio de la jornada laboral sobre el cuadro macroeconómico. También cabe considerar escenarios en que el tipo de cambio sufre una apreciación adicional a la observada hasta ahora, por ejemplo por una depreciación adicional del dólar en los mercados internacionales. Finalmente, se estima que eventuales vicisitudes en la disponibilidad de gas natural argentino, de una magnitud como las observadas en el 2004, no tendrían implicancias macroeconómicas significativas. Las implicancias de los escenarios alternativos sobre la política monetaria en Chile dependen crucialmente de cómo ellos se manifiesten en el mediano plazo en presiones inflacionarias. Con todo, el Consejo estima que estos escenarios alternativos configuran un balance de riesgos que es balanceado para el crecimiento y con un sesgo al alza, en el mediano plazo, para la inflación.",2005,False,inflacion,inflacion,5,1
RPM-2005-01-11:6:1,RPM-2005-01-11,2005-01-11,Vittorio Corbo Lioi,Presidente del Banco Central,"El Presidente, señor Corbo ofrece la palabra para comentarios respecto al diagnóstico presentado por el Gerente de Análisis Macroeconómico, señor Pablo García.",2005,False,apertura_cierre,debate,6,1
RPM-2005-01-11:7:1,RPM-2005-01-11,2005-01-11,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,"En relación al escenario externo el señor Ministro de Hacienda consulta si la revisión hacia arriba respecto de algunos países tales como Estados Unidos de América, y algunos países del Asia, es primera vez que se hace en tal dirección.",2005,False,escenario_internacional,otros,7,1
RPM-2005-01-11:8:1,RPM-2005-01-11,2005-01-11,Sergio Lehmann Beresi,Gerente de Análisis Internacional,"Sobre el particular, el Gerente de Análisis Internacional señor Sergio Lehmann, señala que, en efecto, en Estados Unidos de América más bien se habían visto revisiones hacia abajo. Sin embargo, explica que hoy día se ha revertido dicha tendencia, por cuanto se ve, en realidad, que la economía americana ha tenido un desempeño más fuerte y ello ha repercutido positivamente en lugares como Asia y América Latina donde, en cierto modo, están recogiendo ese efecto.",2005,False,escenario_internacional,escenario_internacional,8,1
RPM-2005-01-11:9:1,RPM-2005-01-11,2005-01-11,Rodrigo Valdés Pulido,Gerente de División Estudios,"Interviene el señor Gerente de División Estudios, señor Rodrigo Valdés para señalar, que en el caso de latinoamérica ya teníamos en meses pasados revisiones hacia arriba, e indica que las proyecciones no saltan de 4,9% a 5,5% de un mes a otro.",2005,False,otros,otros,9,1
RPM-2005-01-11:10:1,RPM-2005-01-11,2005-01-11,Nicolás Eyzaguirre Guzmán,Ministro de Hacienda,"Consulta el señor Ministro si esto significa que el mercado cree que el promedio de la inflación de los próximos 10 años va a ser 2,5%.",2005,False,inflacion,inflacion,10,1
