intervencion_id,meeting_id,texto,etiqueta_v3,relevancia_v3,origen,miembros
RPM-2008-01-10:1628:1,RPM-2008-01-10,"El Presidente señor De Gregorio señala que si respecto del Dólar Chile se está apreciando, respecto del tipo de cambio multilateral se mantiene constante, pero en promedio con respecto al Euro y el Yen debería estar depreciándose en todo este período. Indica que esta información deberá continuar analizándose. El Presidente, señor José De Gregorio, suspende la Sesión a las 13.40 horas e informa que la misma se reanudará a las 16:00 horas.",neutral,1,base_v3,1|2|4|5
RPM-2008-02-07:1644:1,RPM-2008-02-07,"El Presidente señor José De Gregorio señala que asiste especialmente invitado el señor Jaime Troncoso Rojas. El señor Presidente fija la fecha de la Sesión de Política Monetaria del mes de agosto de 2008, para el día 14 de ese mes. El Presidente señor José De Gregorio ofrece la palabra al Gerente de Análisis Internacional don Sergio Lehmann Beresi, para que inicie su exposición de la parte internacional.",neutral,0,base_v3,1|2|3|5
RPM-2008-02-07:1648:1,RPM-2008-02-07,"El Consejero señor Sebastián Claro menciona que el Gerente de Análisis Internacional en algún momento señaló que la inflación en Asia está disminuyendo un poco. En su opinión, ese no es el caso de China.",neutral,1,base_v3,1|2|3|5
RPM-2008-02-07:1674:1,RPM-2008-02-07,"El Consejero señor Manuel Marfán consulta si el posible que se informe con algún detalle, de las decisiones del Banco de Inglaterra y el Banco Central Europeo, principalmente respecto a los sesgos que incluyeron en el fundamento de sus decisiones.",neutral,1,base_v3,1|2|3|5
RPM-2008-03-13:1731:1,RPM-2008-03-13,"El Consejero señor Enrique Marshall agradece al staff el material preparado para esta ocasión. Señala el señor Consejero que los antecedentes del último mes, lejos de clarificar las cosas, han tornado aún más complejo el escenario macro que enfrentamos. En el frente externo, los signos de deterioro se siguen acumulando, pero lo más relevante es que la incertidumbre y los riesgos han aumentado. Manifiesta que la economía norteamericana se ajusta en forma significativa, en tanto Europa y Japón se muestran más débiles. Los problemas de liquidez, después de algún respiro, vuelven a intensificarse, lo que se refleja en una nueva ampliación de márgenes en los mercados monetarios. Agrega el señor Consejero que los Bancos Centrales han dispuesto recientemente nuevas medidas para aliviar la situación. En los mercados de crédito, los spreads se han ampliado en forma bastante generalizada y algunos de ellos han alcanzado niveles record. Señala que a la preocupación por los bancos se ha sumado la preocupación por las compañías de seguro. En este escenario, los bonos gubernamentales han vuelto a mostrar caídas en sus índices de rendimiento. Las perspectivas para la política monetaria apuntan a nuevos recortes en Estados Unidos de América y a movimientos en la misma dirección, pero algo rezagados, en Europa. Congruente con todo ello, el dólar ha continuado depreciándose. No obstante lo anterior, señala el Consejero señor Marshall que los commodities han retomado una fuerte tendencia alcista. El petróleo y el cobre han alcanzado niveles record. Con ello, la preocupación por la inflación se ha intensificado en forma bastante generalizada y se plantea en estos momentos como un problema global. Comenta que los riesgos de un deterioro más intenso y/o más prolongado del previsto han aumentado. Indica el señor Consejero Enrique Marshall que especial preocupación despierta la persistencia de condiciones financieras adversas sobre la actividad real y la composición de efectos financieros y reales sobre las instituciones financieras y la provisión de crédito para la economía real. Finalmente, señala el Consejero que por el momento los ajustes reales y financieros en el mundo desarrollado han tocado en forma parcial y moderada a las economías emergentes. Comenta el Consejero señor Marshall que en el frente interno, la preocupación se centra en la alta inflación, cuya trayectoria futura se ha tornado más incierta y en la significativa apreciación del peso. Indica que este es un cuadro que se repite en numerosas economías emergentes. Los mercados monetario y crediticio no presentan mayores novedades. Las señales de ajuste que se observaban en el mercado del crédito bancario se han moderado. Las tasas largas en pesos suben, mientras las tasas en UF bajan. Ello responde a reacciones frente a noticias de actividad y la inflación, pero también a mayor volatilidad y a percepciones de mayor riesgo. Por su parte, indica el señor Consejero que en lo que constituye la principal noticia del mes, el peso se volvió a apreciar, aumentando la desviación respecto de valores congruentes con sus fundamentos de largo plazo. Señala que de persistir este cuadro, tendría efectos sobre la trayectoria de la actividad y muy especialmente, sobre la trayectoria de la inflación, los que deben ser monitoreados y procesados con atención para efectos de nuestras decisiones. Comenta el Consejero señor Marshall que la demanda interna mantiene su dinamismo. Las importaciones muestran especial vigor, en particular las de bienes de capital. La actividad interna, en tanto, se desacelera, incluso algo más de lo previsto a principios de año, en buena medida por factores de oferta. Por otro lado, en lo más reciente, el empleo repunta nuevamente, pero las tasas de desempleo no se modifican debido a que se mantiene un importante crecimiento de la fuerza de trabajo. Indica el señor Consejero que los salarios observan un ritmo de crecimiento que sigue siendo congruente con el nivel de la inflación y los mecanismos de indexación habituales. Agrega que la inflación del último mes sorprendió al alza en algunas décimas, reforzando la preocupación por su trayectoria futura, la que se ha visto alimentada adicionalmente por la evolución reciente de los precios de los commodities, en particular del petróleo y por los efectos de una sequía que podría extenderse en el tiempo. Señala el Consejero señor Marshall que las proyecciones de inflación para los próximos meses se han ajustado al alza, pero la incertidumbre asociada es alta. Manifiesta que congruente con lo anterior, las expectativas de inflación según las distintas fuentes han aumentado. Sin embargo, éstas siguen siendo congruentes con la convergencia de la inflación a la meta en el horizonte de política. En cuanto a las expectativas para la Tasa de Política Monetaria, indica que se ha vuelto a un cuadro similar al del último IPoM, en el que se contemplaban entre cero y dos alzas adicionales, que luego se revertían. En este contexto, señala que coincide con la Minuta de la Gerencia de División Estudios en el sentido que las opciones razonables son mantener la tasa en su actual nivel o subirla en 25 puntos base, y le parece que la decisión resulta bastante difícil. Al respecto, señala que descarta, por de pronto, la opción de bajar la tasa porque la inflación sigue siendo muy alta y, en estas circunstancias, una relajación de la Política Monetaria tendría efectos adversos sobre la formación de expectativas y aumentaría los riesgos de propagación. Señala el Consejero señor Marshall que se puede argumentar que un alza de 25 puntos base tendría efectos positivos sobre las expectativas y con ello reforzaría la convergencia inflacionaria y que también se puede sostener que ello permitiría adelantar el cierre del actual ciclo de tasas lo que aportaría certidumbre al mercado. Sin embargo, estima que un alza conlleva riesgos altos considerando la evolución del escenario externo. Considera, al mismo tiempo, que existen fuerzas en operación que apoyan la convergencia inflacionaria en el horizonte de política. Agrega que le parece que un alza, en esta oportunidad, no permitiría cerrar el actual ciclo de tasas, dada la incertidumbre prevaleciente. Por otro lado, la Tasa de Política Monetaria no presenta actualmente una desviación significativa o apreciable respecto de su nivel normal, lo que sugiere actuar con prudencia. Finalmente, el Consejero señor Marshall señala que las expectativas de mercado para esta Reunión se encuentran bastante divididas, lo que es bastante inusual, pero explicable, considerando el cuadro que se enfrenta, de manera que la decisión de mantener la Tasa de Política Monetaria no debería sorprender en forma exagerada al mercado. Por todo ello, el Consejero señor Marshall señala que su voto es por mantener la Tasa de Política Monetaria en 6,25%, sin desconocer que esta decisión conlleva también riesgos, los que le parece que son menores a los de la opción alternativa. Indica que en un escenario de alta incertidumbre, su preferencia es por esperar y acumular más antecedentes antes de decidir un nuevo movimiento en la Tasa de Política Monetaria. En cuanto al Comunicado, señala que éste debería mantener un sesgo relativamente similar al entregado en la última Reunión, con una referencia más explícita al eventual efecto que tendría la persistencia en la apreciación del peso observada en el último tiempo para la política monetaria",hawkish,1,base_v3,1|2|3|5
RPM-2008-03-13:1731:2,RPM-2008-03-13,"El Consejero señor Manuel Marfán agradece el análisis del staff que en esta ocasión de mayor dificultad para interpretar la coyuntura, ha estado particularmente esclarecedor. Destaca especialmente la Minuta de Opciones que de manera breve ha abordado temas de profundidad y hace suyas la lista de las principales noticias contenidas en esa Minuta para no alargar este voto. Indica que en ocasiones anteriores ha hecho referencia al elevado nivel de las compensaciones inflacionarias que se desprenden de los precios de los activos, y señala que el propio staff ha elaborado Minutas internas que muestran que se trata de un fenómeno generalizado en muchas otras economías y que en nuestro caso hay un componente de prima de riesgo que se ha elevado y que, por lo tanto, no hay una evidencia clara de desanclaje de expectativas. Manifiesta que un indicador más confiable en las actuales circunstancias es la Encuesta de Expectativas Económicas que muestra un aumento en las proyecciones de inflación que es considerablemente inferior al que está contenido en las compensaciones inflacionarias. Respecto del tipo de cambio, el Consejero señor Manuel Marfán destaca dos factores. Primero, que la apreciación del peso de los últimos meses no se explica por la mayor inflación mundial en dólares solamente y que, por lo tanto, la apreciación real también ha sido muy significativa. Segundo, que la apreciación de los últimos meses no se explica por un cambio en los fundamentales que determinan su equilibrio. Por lo tanto, en su opinión, sí se justifica lo que ha señalado en los dos últimas Reuniones, en cuanto a que el tipo de cambio real se encuentra por debajo, es decir más apreciado del rango que el Banco Central de Chile considera el equilibrio fundamental; que ese desalineamiento cambiario se ha profundizado; y, que los supuestos de convergencia que usualmente se imponen en nuestros modelos no se están dando. El Consejero señor Marfán agrega a su planteamiento que las políticas de estabilización cuando coinciden con desalineamientos cambiarios pronunciados no han tenido efecto permanente, ni en Chile ni en otras economías y que profundizar el efecto estabilizador a costa de exacerbar otros desequilibrios macroeconómicos está fuera de cualquier modelo racional que conozca. Comenta el señor Consejero Marfán que el papel de la política monetaria es acercar la economía lo más rápidamente posible a su equilibrio estacionario, donde una inflación igual a la meta forma parte de este equilibrio, pero acercar la inflación a su nivel meta a costa de alejar alguna otra variable de su equilibrio estacionario es inconsistente, a su juicio, con nuestra misión institucional. Indica que la actual coyuntura exige combinar una política monetaria estabilizadora con intervención en el mercado cambiario, es decir, un esfuerzo que nos acerque al equilibrio estacionario en todas sus variables fundamentales. Reconoce el Consejero señor Marfán que esta mezcla de política es altamente debatible, tanto teórica como empíricamente, y que en su argumento el peso de la prueba recae en él. Señala que se trata de una tarea qué está realizando, de la cual está convencido, pero donde está pendiente aún convencer a sus colegas del Consejo y del staff, cosa que espera hacer en los próximos días. En opinión del Consejero señor Manuel Marfán, hay que elevar la tasa de política monetaria en conjunto con una intervención cambiaria y que en ausencia de esta última, no corresponde elevar la tasa de política monetaria en esta Reunión. Por las razones ya expuestas, indica que lo anterior no significa renunciar a nuestra misión antiinflacionaria. Agrega que el esfuerzo antiinflacionario debe hacerse de manera duradera, sin exacerbar otros desequilibrios peligrosos. Manifiesta que el atraso cambiario no es una forma legítima, en el sentido de duradera, de lograr una meta que hemos definido de manera permanente, ya que hay amplia evidencia que los desalineamientos cambiarios se corrigen con brusquedad. Indica que tampoco está señalando que elevar la tasa de política hoy hará más controlable la inflación a futuro, solo por su efecto cambiario. Por el contrario, señala que lo que está diciendo es que ese aumento exacerbaría un desequilibrio que existe y que ya es grave. Finalmente, señala el Consejero señor Marfán que respecto del sesgo, hay que mantenerlo por simple coherencia con su propio argumento, y agrega que si cree debe hacerse una intervención cambiaria, desconocer ese sesgo sería una pura y simple manipulación. En consecuencia, el Consejero señor Manuel Marfán vota por mantener la tasa de política monetaria en su nivel actual, manteniendo el sesgo al alza en el Comunicado. Luego de la votación del Consejero señor Manuel Marfán,",hawkish,1,base_v3,1|2|3|5
RPM-2008-04-10:1778:1,RPM-2008-04-10,"El señor Ministro de Hacienda indica que, a riesgo de omitir argumentos, un
resumen escueto de lo tratado en la última Reunión de Política Monetaria sería el siguiente, en
esa reunión se esperaba que llegara mayor información respecto a dos hechos absolutamente
cruciales, que son la persistencia de la apreciación del peso, la actividad mundial y los riesgos
de una debacle de la actividad en otros países, particularmente en Estados Unidos de América.
Menciona el señor Ministro de Hacienda que en relación a estos dos puntos, hoy en día
efectivamente se tiene mayor información. La apreciación del peso ha sido bastante duradera,
y. en segundo lugar, y como lo señaló en su oportunidad el Gerente de Investigación Económica señor Klaus Schmidt-Hebbel en forma detallada y sin ahondar en mayores
consideraciones, prácticamente todas las innovaciones en materia de información en los últimos
treinta días, respecto a los alcances de la crisis financiera en Estados Unidos de América y en
el resto del mundo, no son muy buenas.
Agrega el señor Ministro de Hacienda que se cuenta con un escenario
claramente peor que el que había hace treinta días en materia de actividad. En relación a lo
anterior, manifiesta el señor Ministro que si en ese momento la decisión del Consejo del Banco
Central de Chile fue mantener la tasa a la espera de esta información, con estos antecedentes
adicionales, le parece que la decisión adecuada es precisamente la misma, esto es, continuar
con la misma tasa vigente en la actualidad.
Finalmente, señala que por añadidura, le parece que para mantener abiertas las
distintas opciones, en un panorama de gran incertidumbre tanto internacional como en menor
medida nacional, tendría sentido eliminar el sesgo, dejando así al Banco Central con un abanico
de opciones abiertas para proceder como estime pertinente en el futuro.",neutral,1,base_v3,1|2|3|4|5
RPM-2008-04-10:1782:1,RPM-2008-04-10,"El Consejero señor Manuel Marfán agradece una vez más al staff por todo el
esfuerzo realizado en la preparación de esta Reunión y en particular, el acierto, una vez más,
en la Minuta de Opciones. Incluso más, indica que quiere incorporar a su voto los primeros
ocho párrafos de esa Minuta de Opciones, la que plantea el dilema entre subir o mantener la
Tasa de Política Monetaria, los que en consecuencia, da por expresamente reproducidos.
Indica el señor Consejero que para dirimir entre esas dos alternativas apelará a
tres argumentos. Primero, como lo ha señalado en varias Reuniones de Política Monetaria
previas a ésta, a su juicio el tipo de cambio real está desalineado de sus fundamentos de largo
plazo y ese desalineamiento sigue profundizándose. En su opinión, debe considerarse que las políticas de estabilización,
cuando han coincidido
con
desalineamientos
cambiarios
pronunciados, no han tenido efectos permanentes ni en Chile ni en otras economías. Por ello,
profundizar el efecto estabilizador a costa de exacerbar otros desequilibrios macroeconómicos,
está fuera de lo que a su juicio es razonable. Indica que por el contrario, el papel de la política
monetaria es acercar la economía, lo más rápidamente posible, a su equilibrio estacionario del
que forma parte una inflación equivalente a la meta. Señala el Consejero señor Marfán que
acercar la inflación a su nivel meta, a costa de alejar alguna otra variable de su equilibrio
estacionario, es incoherente con los objetivos permanentes de la política monetaria, por lo que
a su juicio, el esfuerzo antiinflacionario debe hacerse de manera duradera sin exacerbar otros
desequilibrios peligrosos. Señala el Consejero señor Manuel Marfán que una reversión brusca
de esos desequilibrios puede generar efectos inflacionarios y contractivos serios en el futuro.
Agrega que lo que acaba de decir está publicado en la Minuta del mes anterior y está leyendo
prácticamente textual de ella.
En segundo lugar, quiere enfatizar que las decisiones de política monetaria, en
todas las economías, pero especialmente en Chile, deben considerar el contexto internacional
concomitante y sus principales riesgos. Menciona que no es lo mismo frente al mismo tipo de
estímulos, inflacionario y de actividad, tomar una decisión respecto de la Tasa de Política
Monetaria cualquiera que ésta sea, que tomar la misma decisión en un momento en que el resto
del mundo está cambiando sus políticas monetarias en una dirección inequívoca.
En
consecuencia, cree que considerar el contexto internacional o darle una mayor ponderación en
nuestra decisión, igualmente es un elemento importante, lo cual ha señalado en otras
oportunidades.
En tercer lugar, señala el Consejero señor Marfán y que es también un
argumento que ha desarrollado en otras ocasiones, ante tanta incertidumbre la proximidad del
IPoM permitirá poder definir y aproximarse de mejor manera a un buen diagnóstico con todos
los antecedentes que se han venido acumulando desde el IPoM anterior y por lo tanto,
considerando estos tres elementos, cree que la balanza se inclina, claramente, a mantener la
Tasa de Política Monetaria en su nivel actual de 6,25%, eliminando el sesgo de política hacia
delante.",neutral,1,base_v3,1|2|3|4|5
RPM-2008-05-08:1786:1,RPM-2008-05-08,"ACTA CORRESPONDIENTE A LA SESIÓN DE POLÍTICA MONETARIA N° 122 celebrada el 8 de mayo de 2008_____________________ En Santiago de Chile, a 8 de mayo de 2008, siendo las 11:30 horas, se reúne el Consejo del Banco Central de Chile, bajo la presidencia del titular don José De Gregorio Rebeco y con la asistencia del Vicepresidente don Jorge Desormeaux Jiménez y de los Consejeros don Manuel Marfán Lewis, don Enrique Marshall Rivera y don Sebastián Claro Edwards. Asiste la señora Ministro de Hacienda Subrogante, doña María Olivia Recart Herrera. Asisten también: Gerente General, don Alejandro Zurbuchen Silva; Fiscal y Ministro de Fe Subrogante, don Juan Esteban Laval Zaldívar; Gerente de División Estudios, don Pablo García Silva; Gerente de División Política Financiera, don Kevin Cowan Logan; Gerente de División Operaciones Financieras, don Beltrán De Ramón Acevedo; Gerente de División Estadísticas, don Ricardo Vicuña Poblete; Gerente de Análisis Internacional, don Sergio Lehmann Beresi; Gerente de Análisis Macroeconómico Interino, don Claudio Soto Gamboa; Gerente Asesor de Comunicaciones, don Luis Alberto Álvarez Vallejos; Economista Sénior, don Enrique Orellana Cifuentes; Economista Sénior, doña Erika Arraño González; Secretario General, don Jorge Court Larenas.",neutral,0,base_v3,1|2|3|4
RPM-2008-05-08:1789:1,RPM-2008-05-08,El Vicepresidente señor Jorge Desormeaux señala que puede que esos inventarios no sean deseados.,neutral,1,base_v3,1|2|3|4
