intervencion_id,metodo,etiqueta,prob_hawkish,prob_dovish,prob_neutral,score,frase_justificante,confianza,es_relevante,nota,ronda,version_codebook,fecha,etiquetador
RPM-2011-12-13:4466:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,varias economías reanudaron sus procesos de reducción de tasas,alta,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2011-12-13:4502:3,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,reanudación de sesión,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-01-12:4528:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,consulta aclaratoria sin contenido de postura,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-01-12:4537:2,ia_ronda,neutral,0.00,0.00,1.00,0.00,la incertidumbre respecto del precio del petróleo en los meses venideros es bastante significativa,alta,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-01-12:4559:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,su sugerencia apunta a ser cautelosos a la hora de extraer conclusiones muy definitivas respecto de los movimientos que se puedan estar apreciando en los mercados,alta,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-02-14:4615:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,consulta aclaratoria sin contenido de postura,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-02-14:4640:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,fórmula protocolar de felicitación,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-03-15:4713:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,la mayor parte del repunte de la demanda se concentró también en las compras de durables e importaciones de capital,alta,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-03-15:4719:6,ia_ronda,neutral,0.00,0.00,1.00,0.00,"la velocidad de la inflación subyacente ha tendido a aumentar en los últimos meses, explicando, en parte, la corrección al alza en la proyección de inflación",alta,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-05-17:4812:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,el Board de la Reserva Federal estaría mayormente inclinado a diseñar algún mecanismo para continuar con la tasa de interés inalterada,alta,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-05-17:4825:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"el alto dinamismo del sector EGA, que registró una tasa de crecimiento superior a 20%",alta,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-06-14:4862:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,lo expuesto ha dado espacio para aplicar políticas monetarias más expansivas,alta,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-06-14:4885:3,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,reanudación de sesión e incorporación de asistentes,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-07-12:4934:1,ia_ronda,neutral,0.00,0.10,0.90,-0.10,cuya proyección de crecimiento para el segundo y tercer trimestre disminuye respecto de lo contemplado en IPoM del mes de junio pasado,media,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-07-12:4942:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"la proyección de inflación en doce meses se ha corregido hasta un 2,1%, desde el 2,7% informado en el último IPoM de junio",alta,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-08-16:4989:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"la principal novedad en materia de actividad es la desaceleración de las economías emergentes, especialmente la de China",alta,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-08-16:5008:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"le sorprende que se anticipe un grado de desaceleración del sector construcción hacia el cuarto trimestre, considerando que la gran mayoría de los proyectos actualmente vigentes se encuentran en etapa de construcción",alta,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-09-13:5044:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,consulta aclaratoria sin contenido de postura,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-09-13:5084:2,ia_ronda,neutral,0.00,0.00,1.00,0.00,el Ministerio de Hacienda sugiere mantener la tasa de política monetaria en su nivel actual y validar así las expectativas del mercado,alta,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-10-18:5131:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"considerando una inflación proyectada para el presente año del orden del 2,1%, sería complejo justificar un crecimiento de la productividad en torno a 4%",alta,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-10-18:5137:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"el IPC alcanzaría a 2,1% al término del presente año y que en los meses siguientes se observarían registros inflacionarios anuales en torno a esa cifra",alta,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-10-18:5149:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,se sugiere mantener la tasa de política monetaria en su nivel actual y validar así las expectativas del mercado,alta,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-10-18:5159:3,ia_ronda,neutral,0.00,0.00,1.00,0.00,el Consejo del Banco Central de Chile acordó mantener la Tasa de Interés de Política Monetaria en 5% anual,alta,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-11-13:5166:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"las colocaciones se desaceleran en Brasil, Colombia, México y Perú, mientras que Chile exhibe un patrón similar en este ámbito",alta,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
RPM-2012-11-13:5168:1,ia_ronda,neutral,0.00,0.10,0.90,-0.10,por lo que conforme a ese gráfico comenzará a crecer por sobre su tendencia,media,1,,piloto_t3_r3,v2,2026-09-15,ia_agente
