fold,variante,n_train_a,n_train_b,n_train_hd,vocabulario_a,vocabulario_palabras,vocabulario_caracteres,accuracy,macro_f1,f1_hawkish,f1_dovish,f1_neutral,recall_hawkish,recall_dovish,recall_neutral,precision_hawkish,precision_dovish,precision_neutral,n_hawkish,n_dovish,n_neutral,f1_hd,recall_hd_balanceado,acierto_sobre_hd,n_hd,errores,errores_hd,neutral_a_direccion,direccion_a_neutral
1,original,1178,946,189,4431,36438,0,0.9240506329113924,0.7417974711140177,0.625,0.6363636363636364,0.9640287769784173,0.625,0.875,0.9436619718309859,0.625,0.5,0.9852941176470589,8,8,142,0.6306818181818181,0.75,0.75,16,12,2,8,2
1,adjudicada,1178,946,189,4431,36438,0,0.9240506329113924,0.7435651478816947,0.6666666666666666,0.6,0.9640287769784173,0.75,0.75,0.9436619718309859,0.6,0.5,0.9852941176470589,8,8,142,0.6333333333333333,0.75,0.75,16,12,2,8,2
2,original,1178,959,183,4431,36374,0,0.9622641509433962,0.8700617283950617,0.875,0.75,0.9851851851851852,1.0,0.75,0.9708029197080292,0.7777777777777778,0.75,1.0,14,8,137,0.8125,0.875,0.9090909090909091,22,6,2,4,0
2,adjudicada,1178,959,183,4431,36374,0,0.949685534591195,0.8081232492997198,0.875,0.5714285714285714,0.9779411764705882,1.0,0.5,0.9708029197080292,0.7777777777777778,0.6666666666666666,0.9851851851851852,14,8,137,0.7232142857142857,0.75,0.8181818181818182,22,8,2,4,2
3,original,1178,962,175,4482,37233,0,0.9119496855345912,0.7744074343296133,0.7428571428571429,0.6153846153846154,0.9649805447470817,0.8125,0.5714285714285714,0.9612403100775194,0.6842105263157895,0.6666666666666666,0.96875,16,14,129,0.6791208791208792,0.6919642857142857,0.7,30,14,5,5,4
3,adjudicada,1178,962,175,4482,37233,0,0.89937106918239,0.7405404202279202,0.7222222222222222,0.5384615384615384,0.9609375,0.8125,0.5,0.9534883720930233,0.65,0.5833333333333334,0.968503937007874,16,14,129,0.6303418803418803,0.65625,0.6666666666666666,30,16,6,6,4
4,original,1183,959,180,4439,37074,0,0.8930817610062893,0.7199095022624435,0.7058823529411765,0.5,0.9538461538461539,0.7058823529411765,0.75,0.9253731343283582,0.7058823529411765,0.375,0.9841269841269841,17,8,134,0.6029411764705883,0.7279411764705883,0.72,25,17,5,10,2
4,adjudicada,1183,959,180,4439,37074,0,0.8867924528301887,0.6914476827520306,0.6857142857142857,0.43478260869565216,0.9538461538461539,0.7058823529411765,0.625,0.9253731343283582,0.6666666666666666,0.3333333333333333,0.9841269841269841,17,8,134,0.5602484472049689,0.6654411764705883,0.68,25,18,6,10,2
5,original,1183,958,180,4450,36379,0,0.930379746835443,0.8113275613275613,0.7142857142857143,0.75,0.9696969696969697,0.7142857142857143,0.8181818181818182,0.9624060150375939,0.7142857142857143,0.6923076923076923,0.9770992366412213,14,11,133,0.7321428571428572,0.7662337662337663,0.76,25,11,3,5,3
5,adjudicada,1183,958,180,4450,36379,0,0.9240506329113924,0.787878787878788,0.6666666666666666,0.7272727272727273,0.9696969696969697,0.7142857142857143,0.7272727272727273,0.9624060150375939,0.625,0.7272727272727273,0.9770992366412213,14,11,133,0.696969696969697,0.7207792207792207,0.72,25,12,4,5,3
