intervencion_id,meeting_id,fold,etiqueta_v3,es_relevante_v3,pred_a_fase_b,pred_b_fase_b,pred_fase_b,pred_a_fase_c,pred_b_fase_c,pred_fase_c,cambio_pred_a,cambio_pred_b,cambio_pred_final,acierto_b,acierto_c,efecto_ampliacion,tipo_error
RPM-2005-03-10:179:1,RPM-2005-03-10,1,hawkish,1,1,neutral,neutral,1,neutral,neutral,False,False,False,False,False,sin_cambio,direccion_a_neutral
RPM-2005-03-10:186:1,RPM-2005-03-10,1,hawkish,1,1,neutral,neutral,1,neutral,neutral,False,False,False,False,False,sin_cambio,direccion_a_neutral
RPM-2005-03-10:190:1,RPM-2005-03-10,1,hawkish,1,1,neutral,neutral,1,neutral,neutral,False,False,False,False,False,sin_cambio,direccion_a_neutral
RPM-2005-03-10:196:1,RPM-2005-03-10,1,hawkish,1,1,neutral,neutral,1,neutral,neutral,False,False,False,False,False,sin_cambio,direccion_a_neutral
RPM-2005-03-10:197:1,RPM-2005-03-10,1,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2008-07-10:1975:1,RPM-2008-07-10,1,neutral,1,1,neutral,neutral,1,hawkish,hawkish,False,True,True,True,False,acierto_a_error,neutral_a_direccion
RPM-2008-12-11:2238:1,RPM-2008-12-11,1,dovish,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,inversion_h_d
RPM-2008-12-11:2249:1,RPM-2008-12-11,1,neutral,1,1,neutral,neutral,1,dovish,dovish,False,True,True,True,False,acierto_a_error,neutral_a_direccion
RPM-2008-12-11:2251:1,RPM-2008-12-11,1,dovish,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,inversion_h_d
RPM-2009-09-08:2711:2,RPM-2009-09-08,1,dovish,1,1,neutral,neutral,1,neutral,neutral,False,False,False,False,False,sin_cambio,direccion_a_neutral
RPM-2010-08-12:3337:1,RPM-2010-08-12,1,hawkish,1,1,neutral,neutral,1,neutral,neutral,False,False,False,False,False,sin_cambio,direccion_a_neutral
RPM-2012-11-13:5215:1,RPM-2012-11-13,1,neutral,1,1,dovish,dovish,1,dovish,dovish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2012-11-13:5217:1,RPM-2012-11-13,1,neutral,1,1,dovish,dovish,1,dovish,dovish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2015-05-14:6804:1,RPM-2015-05-14,1,neutral,1,1,dovish,dovish,1,dovish,dovish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2006-01-12:533:1,RPM-2006-01-12,2,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2006-10-12:941:1,RPM-2006-10-12,2,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2007-10-11:1519:1,RPM-2007-10-11,2,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2009-10-13:2757:2,RPM-2009-10-13,2,dovish,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,inversion_h_d
RPM-2009-10-13:2758:1,RPM-2009-10-13,2,dovish,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,inversion_h_d
RPM-2012-03-15:4721:1,RPM-2012-03-15,2,neutral,1,1,hawkish,hawkish,1,dovish,dovish,False,True,True,False,False,sin_cambio,neutral_a_direccion
RPM-2015-01-15:6585:1,RPM-2015-01-15,2,neutral,1,1,neutral,neutral,1,dovish,dovish,False,True,True,True,False,acierto_a_error,neutral_a_direccion
RPM-2005-01-11:30:1,RPM-2005-01-11,3,hawkish,1,1,neutral,neutral,1,neutral,neutral,False,False,False,False,False,sin_cambio,direccion_a_neutral
RPM-2005-01-11:46:1,RPM-2005-01-11,3,hawkish,1,1,neutral,neutral,1,neutral,neutral,False,False,False,False,False,sin_cambio,direccion_a_neutral
RPM-2006-09-07:867:1,RPM-2006-09-07,3,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2006-12-14:1017:1,RPM-2006-12-14,3,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2007-01-11:1050:1,RPM-2007-01-11,3,dovish,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,inversion_h_d
RPM-2007-01-11:1054:1,RPM-2007-01-11,3,dovish,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,inversion_h_d
RPM-2007-01-11:1057:1,RPM-2007-01-11,3,dovish,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,inversion_h_d
RPM-2009-08-13:2681:1,RPM-2009-08-13,3,neutral,1,1,hawkish,hawkish,1,dovish,dovish,False,True,True,False,False,sin_cambio,neutral_a_direccion
RPM-2011-08-18:4272:1,RPM-2011-08-18,3,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2011-08-18:4280:1,RPM-2011-08-18,3,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2012-04-17:4790:2,RPM-2012-04-17,3,neutral,1,1,dovish,dovish,1,dovish,dovish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2014-07-15:6325:1,RPM-2014-07-15,3,dovish,1,1,neutral,neutral,1,neutral,neutral,False,False,False,False,False,sin_cambio,direccion_a_neutral
RPM-2007-05-10:1260:1,RPM-2007-05-10,4,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2007-05-10:1261:2,RPM-2007-05-10,4,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2008-02-07:1672:1,RPM-2008-02-07,4,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2008-03-13:1721:1,RPM-2008-03-13,4,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2008-03-13:1737:2,RPM-2008-03-13,4,hawkish,1,1,neutral,neutral,1,neutral,neutral,False,False,False,False,False,sin_cambio,direccion_a_neutral
RPM-2015-06-11:6854:1,RPM-2015-06-11,4,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2015-12-17:7207:1,RPM-2015-12-17,4,hawkish,1,1,neutral,neutral,1,neutral,neutral,False,False,False,False,False,sin_cambio,direccion_a_neutral
RPM-2015-12-17:7210:1,RPM-2015-12-17,4,hawkish,1,1,hawkish,hawkish,1,dovish,dovish,False,True,True,True,False,acierto_a_error,inversion_h_d
RPM-2015-12-17:7211:2,RPM-2015-12-17,4,dovish,1,1,neutral,neutral,1,neutral,neutral,False,False,False,False,False,sin_cambio,direccion_a_neutral
RPM-2006-07-13:775:1,RPM-2006-07-13,5,hawkish,1,1,neutral,neutral,1,neutral,neutral,False,False,False,False,False,sin_cambio,direccion_a_neutral
RPM-2007-02-08:1090:4,RPM-2007-02-08,5,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2007-02-08:1102:1,RPM-2007-02-08,5,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2007-03-15:1149:1,RPM-2007-03-15,5,dovish,1,1,neutral,neutral,1,neutral,neutral,False,False,False,False,False,sin_cambio,direccion_a_neutral
RPM-2007-03-15:1161:1,RPM-2007-03-15,5,dovish,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,inversion_h_d
RPM-2007-03-15:1167:1,RPM-2007-03-15,5,hawkish,1,1,neutral,neutral,1,neutral,neutral,False,False,False,False,False,sin_cambio,direccion_a_neutral
RPM-2007-12-13:1602:1,RPM-2007-12-13,5,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2007-12-13:1607:2,RPM-2007-12-13,5,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2008-05-08:1848:1,RPM-2008-05-08,5,neutral,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2011-09-15:4329:1,RPM-2011-09-15,5,neutral,1,1,dovish,dovish,1,dovish,dovish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2011-09-15:4332:1,RPM-2011-09-15,5,neutral,1,1,hawkish,hawkish,1,dovish,dovish,False,True,True,False,False,sin_cambio,neutral_a_direccion
RPM-2012-09-13:5089:1,RPM-2012-09-13,5,neutral,1,1,dovish,dovish,1,dovish,dovish,False,False,False,False,False,sin_cambio,neutral_a_direccion
RPM-2015-08-13:6965:1,RPM-2015-08-13,5,dovish,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,inversion_h_d
RPM-2015-08-13:6969:1,RPM-2015-08-13,5,dovish,1,1,hawkish,hawkish,1,hawkish,hawkish,False,False,False,False,False,sin_cambio,inversion_h_d
RPM-2015-09-15:7045:1,RPM-2015-09-15,5,hawkish,1,1,dovish,dovish,1,dovish,dovish,False,False,False,False,False,sin_cambio,inversion_h_d
