intervencion_id,meeting_id,fold,etiqueta,pred_a,pred_control,pred_ampliado,cambio
RPM-2005-03-10:165:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:180:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2006-08-10:806:1,RPM-2006-08-10,1,neutral,1,neutral,neutral,False
RPM-2006-08-10:808:1,RPM-2006-08-10,1,neutral,1,neutral,neutral,False
RPM-2007-06-14:1296:3,RPM-2007-06-14,1,neutral,1,neutral,neutral,False
RPM-2007-07-12:1325:1,RPM-2007-07-12,1,neutral,0,neutral,neutral,False
RPM-2008-06-10:1854:1,RPM-2008-06-10,1,neutral,1,neutral,neutral,False
RPM-2008-06-10:1870:3,RPM-2008-06-10,1,neutral,1,neutral,neutral,False
RPM-2008-06-10:1878:1,RPM-2008-06-10,1,neutral,1,neutral,neutral,False
RPM-2008-06-10:1904:1,RPM-2008-06-10,1,hawkish,1,hawkish,hawkish,False
RPM-2008-07-10:1923:8,RPM-2008-07-10,1,neutral,1,neutral,neutral,False
RPM-2008-07-10:1959:1,RPM-2008-07-10,1,neutral,1,neutral,neutral,False
RPM-2008-12-11:2176:1,RPM-2008-12-11,1,neutral,0,neutral,neutral,False
RPM-2008-12-11:2187:1,RPM-2008-12-11,1,neutral,1,neutral,neutral,False
RPM-2009-09-08:2689:1,RPM-2009-09-08,1,neutral,0,neutral,neutral,False
RPM-2009-09-08:2699:4,RPM-2009-09-08,1,neutral,1,neutral,neutral,False
RPM-2009-09-08:2711:2,RPM-2009-09-08,1,dovish,1,dovish,dovish,False
RPM-2010-08-12:3281:1,RPM-2010-08-12,1,neutral,1,neutral,neutral,False
RPM-2010-08-12:3306:1,RPM-2010-08-12,1,neutral,1,neutral,neutral,False
RPM-2012-11-13:5166:1,RPM-2012-11-13,1,neutral,1,neutral,neutral,False
RPM-2012-11-13:5168:1,RPM-2012-11-13,1,neutral,1,neutral,neutral,False
RPM-2012-11-13:5175:1,RPM-2012-11-13,1,neutral,1,neutral,neutral,False
RPM-2012-11-13:5217:1,RPM-2012-11-13,1,neutral,1,dovish,dovish,False
RPM-2013-08-13:5703:1,RPM-2013-08-13,1,neutral,1,neutral,neutral,False
RPM-2013-08-13:5714:1,RPM-2013-08-13,1,neutral,1,neutral,neutral,False
RPM-2014-10-16:6466:2,RPM-2014-10-16,1,neutral,0,neutral,neutral,False
RPM-2014-10-16:6473:1,RPM-2014-10-16,1,neutral,0,neutral,neutral,False
RPM-2015-05-14:6763:1,RPM-2015-05-14,1,neutral,1,neutral,neutral,False
RPM-2015-05-14:6768:1,RPM-2015-05-14,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:140:1,RPM-2005-03-10,1,neutral,0,neutral,neutral,False
RPM-2005-03-10:141:1,RPM-2005-03-10,1,neutral,0,neutral,neutral,False
RPM-2005-03-10:142:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:143:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:144:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:145:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:146:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:147:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:148:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:149:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:150:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:151:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:152:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:153:1,RPM-2005-03-10,1,neutral,0,neutral,neutral,False
RPM-2005-03-10:154:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:155:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:156:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:157:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:158:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:159:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:160:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:161:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:162:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:163:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:164:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:166:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:167:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:168:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:169:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:170:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:171:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:172:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:173:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:174:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:175:1,RPM-2005-03-10,1,neutral,0,neutral,neutral,False
RPM-2005-03-10:176:1,RPM-2005-03-10,1,neutral,0,neutral,neutral,False
RPM-2005-03-10:177:1,RPM-2005-03-10,1,neutral,0,neutral,neutral,False
RPM-2005-03-10:178:1,RPM-2005-03-10,1,hawkish,1,hawkish,hawkish,False
RPM-2005-03-10:178:2,RPM-2005-03-10,1,neutral,0,neutral,neutral,False
RPM-2005-03-10:179:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:181:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:182:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:183:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:184:1,RPM-2005-03-10,1,neutral,1,neutral,neutral,False
