fold,intervencion_id,meeting_id,etiqueta,excluir_reunion,excluir_texto,incluido
1,RPM-2005-07-12:309:1,RPM-2005-07-12,hawkish,False,False,True
1,RPM-2005-07-12:309:2,RPM-2005-07-12,hawkish,False,False,True
1,RPM-2005-07-12:310:2,RPM-2005-07-12,hawkish,False,False,True
1,RPM-2005-07-12:310:3,RPM-2005-07-12,hawkish,False,False,True
1,RPM-2005-08-11:366:1,RPM-2005-08-11,hawkish,False,False,True
1,RPM-2005-09-08:396:1,RPM-2005-09-08,hawkish,False,False,True
1,RPM-2005-09-08:400:1,RPM-2005-09-08,hawkish,False,False,True
1,RPM-2005-10-11:446:1,RPM-2005-10-11,hawkish,False,False,True
1,RPM-2006-01-12:559:1,RPM-2006-01-12,hawkish,False,False,True
1,RPM-2006-02-09:592:1,RPM-2006-02-09,hawkish,False,False,True
1,RPM-2006-04-13:654:2,RPM-2006-04-13,hawkish,False,False,True
1,RPM-2006-07-13:778:1,RPM-2006-07-13,hawkish,False,False,True
1,RPM-2007-01-11:1056:1,RPM-2007-01-11,dovish,False,False,True
1,RPM-2007-03-15:1159:1,RPM-2007-03-15,dovish,False,False,True
1,RPM-2007-07-12:1352:1,RPM-2007-07-12,hawkish,True,False,False
1,RPM-2007-08-09:1389:1,RPM-2007-08-09,hawkish,False,False,True
1,RPM-2008-01-10:1640:1,RPM-2008-01-10,hawkish,False,False,True
1,RPM-2008-02-07:1673:2,RPM-2008-02-07,hawkish,False,False,True
1,RPM-2008-07-10:1975:2,RPM-2008-07-10,hawkish,True,False,False
1,RPM-2008-09-04:2097:1,RPM-2008-09-04,hawkish,False,False,True
1,RPM-2008-09-04:2098:1,RPM-2008-09-04,hawkish,False,False,True
1,RPM-2008-12-11:2250:1,RPM-2008-12-11,dovish,True,False,False
1,RPM-2008-12-11:2253:1,RPM-2008-12-11,dovish,True,False,False
1,RPM-2009-01-08:2298:1,RPM-2009-01-08,dovish,False,False,True
1,RPM-2009-02-12:2370:1,RPM-2009-02-12,dovish,False,False,True
1,RPM-2009-02-12:2373:1,RPM-2009-02-12,dovish,False,False,True
1,RPM-2009-02-12:2375:1,RPM-2009-02-12,dovish,False,False,True
1,RPM-2009-03-12:2436:1,RPM-2009-03-12,dovish,False,False,True
1,RPM-2009-06-16:2598:1,RPM-2009-06-16,dovish,False,False,True
1,RPM-2010-06-15:3205:2,RPM-2010-06-15,hawkish,False,False,True
1,RPM-2010-07-15:3272:1,RPM-2010-07-15,hawkish,False,False,True
1,RPM-2010-09-16:3423:1,RPM-2010-09-16,hawkish,False,False,True
1,RPM-2010-09-16:3431:2,RPM-2010-09-16,hawkish,False,False,True
1,RPM-2010-12-16:3641:1,RPM-2010-12-16,hawkish,False,False,True
1,RPM-2011-03-17:3890:1,RPM-2011-03-17,hawkish,False,False,True
1,RPM-2011-05-12:4054:3,RPM-2011-05-12,hawkish,False,False,True
1,RPM-2011-11-15:4449:1,RPM-2011-11-15,dovish,False,False,True
1,RPM-2011-12-13:4507:3,RPM-2011-12-13,dovish,False,False,True
1,RPM-2011-12-13:4508:1,RPM-2011-12-13,dovish,False,False,True
1,RPM-2012-01-12:4570:1,RPM-2012-01-12,dovish,False,False,True
1,RPM-2012-01-12:4571:1,RPM-2012-01-12,dovish,False,False,True
1,RPM-2012-01-12:4572:1,RPM-2012-01-12,dovish,False,False,True
1,RPM-2013-07-11:5687:1,RPM-2013-07-11,dovish,False,False,True
1,RPM-2013-08-13:5742:1,RPM-2013-08-13,dovish,True,False,False
