intervencion_id,meeting_id,etiqueta,fold,pred_a,pred_b,pred,condicion,prob_b_dovish,prob_b_hawkish,prob_b_neutral
RPM-2005-03-10:165:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:180:1,RPM-2005-03-10,neutral,1,1,neutral,neutral,control,,,
RPM-2006-08-10:806:1,RPM-2006-08-10,neutral,1,1,neutral,neutral,control,,,
RPM-2006-08-10:808:1,RPM-2006-08-10,neutral,1,1,neutral,neutral,control,,,
RPM-2007-06-14:1296:3,RPM-2007-06-14,neutral,1,1,neutral,neutral,control,,,
RPM-2007-07-12:1325:1,RPM-2007-07-12,neutral,1,0,neutral,neutral,control,,,
RPM-2008-06-10:1854:1,RPM-2008-06-10,neutral,1,1,neutral,neutral,control,,,
RPM-2008-06-10:1870:3,RPM-2008-06-10,neutral,1,1,neutral,neutral,control,,,
RPM-2008-06-10:1878:1,RPM-2008-06-10,neutral,1,1,neutral,neutral,control,,,
RPM-2008-06-10:1904:1,RPM-2008-06-10,hawkish,1,1,hawkish,hawkish,control,,,
RPM-2008-07-10:1923:8,RPM-2008-07-10,neutral,1,1,neutral,neutral,control,,,
RPM-2008-07-10:1959:1,RPM-2008-07-10,neutral,1,1,neutral,neutral,control,,,
RPM-2008-12-11:2176:1,RPM-2008-12-11,neutral,1,0,neutral,neutral,control,,,
RPM-2008-12-11:2187:1,RPM-2008-12-11,neutral,1,1,neutral,neutral,control,,,
RPM-2009-09-08:2689:1,RPM-2009-09-08,neutral,1,0,neutral,neutral,control,,,
RPM-2009-09-08:2699:4,RPM-2009-09-08,neutral,1,1,neutral,neutral,control,,,
RPM-2009-09-08:2711:2,RPM-2009-09-08,dovish,1,1,dovish,dovish,control,,,
RPM-2010-08-12:3281:1,RPM-2010-08-12,neutral,1,1,neutral,neutral,control,,,
RPM-2010-08-12:3306:1,RPM-2010-08-12,neutral,1,1,neutral,neutral,control,,,
RPM-2012-11-13:5166:1,RPM-2012-11-13,neutral,1,1,neutral,neutral,control,,,
RPM-2012-11-13:5168:1,RPM-2012-11-13,neutral,1,1,neutral,neutral,control,,,
RPM-2012-11-13:5175:1,RPM-2012-11-13,neutral,1,1,neutral,neutral,control,,,
RPM-2012-11-13:5217:1,RPM-2012-11-13,neutral,1,1,dovish,dovish,control,,,
RPM-2013-08-13:5703:1,RPM-2013-08-13,neutral,1,1,neutral,neutral,control,,,
RPM-2013-08-13:5714:1,RPM-2013-08-13,neutral,1,1,neutral,neutral,control,,,
RPM-2014-10-16:6466:2,RPM-2014-10-16,neutral,1,0,neutral,neutral,control,,,
RPM-2014-10-16:6473:1,RPM-2014-10-16,neutral,1,0,neutral,neutral,control,,,
RPM-2015-05-14:6763:1,RPM-2015-05-14,neutral,1,1,neutral,neutral,control,,,
RPM-2015-05-14:6768:1,RPM-2015-05-14,neutral,1,1,neutral,neutral,control,,,
RPM-2005-03-10:140:1,RPM-2005-03-10,neutral,1,0,neutral,neutral,control,,,
RPM-2005-03-10:141:1,RPM-2005-03-10,neutral,1,0,neutral,neutral,control,,,
