orden,intervencion_id,meeting_id,fecha_reunion,actor,cargo,texto,etiqueta_v3,es_relevante_v3,confianza,cita_literal,fundamento,estado_revision_v3,incluir_evaluacion,sha256_texto,procedencia,pred_c_m1,pred_wc_m1,pred_c_m2,pred_wc_m2,pred_c_m3,pred_wc_m3,pred_c_m4,pred_wc_m4,pred_c_m5,pred_wc_m5,pred_c_89,pred_wc_600,fold,estrato_recuperacion,pred_c600_m1,pred_wc89_m1,pred_c600_m2,pred_wc89_m2,pred_c600_m3,pred_wc89_m3,pred_c600_m4,pred_wc89_m4,pred_c600_m5,pred_wc89_m5,pred_c_600,pred_wc_89,anio,longitud,banda_longitud,desacuerdo_wc600,tipo_error
2,RPM-2011-03-17:3851:1,RPM-2011-03-17,2011-03-17,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,"El Gerente de Análisis Macroeconómico señor Claudio Soto prosigue, refiriéndose a los agregados monetarios. Sobre el particular, menciona que el M1 ha tendido a reducir sus tasas de crecimiento, en línea con lo que se esperaría, dado el aumento de la TPM y la contracción del impulso monetario, mientras que las tasas de crecimiento de los agregados menos líquidos, esto es, el M2 y el M3, han ido aumentando en el margen, fundamentalmente por la recuperación de los depósitos.",hawkish,1,alta,"Sobre el particular, menciona que el M1 ha tendido a reducir sus tasas de crecimiento, en línea con lo que se esperaría, dado el aumento de la TPM y la contracción del impulso monetario, mientras que las tasas de crecimiento de los agregados menos líquidos, esto es, el M2 y el M3, han ido aumenta","La unidad describe y valida explícitamente el aumento de la TPM y la contracción del impulso monetario como el comportamiento esperado, lo que constituye respaldo a una dirección monetaria restrictiva (H). La referencia a la contracción del impulso monetario conecta directamente el diagnóstico con la orientación de tasa.",cerrado,true,d929dfe4d09e730a089b230a1e19dfd2f5eadeeaccac6f2a4355a8d5bef5af2a,IA asistida; validación humana fila por fila,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1,candidato_dovish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,2011,477,Q2,unánime,direccion_a_N
3,RPM-2011-03-17:3859:1,RPM-2011-03-17,2011-03-17,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,"El señor Claudio Soto hace presente que el supuesto de la Gerencia a su cargo es que sí habría espacio para generar una caída en esa tarifa por la vía de modificar las ponderaciones de los precios futuros y los precios históricos, pero ello implicaría aumentar la pendiente en adelante, esto es, implicaría una caída de la tarifa ahora, pero fuertes alzas después.",hawkish,1,media,"El señor Claudio Soto hace presente que el supuesto de la Gerencia a su cargo es que sí habría espacio para generar una caída en esa tarifa por la vía de modificar las ponderaciones de los precios futuros y los precios históricos, pero ello implicaría aumentar la pendiente en adelante, esto es, i","La unidad plantea una opción de política que implica una caída de la tarifa ahora pero fuertes alzas después, lo que introduce un sesgo futuro al alza de la tasa. Aunque menciona una caída inicial, la resolución propuesta respalda un endurecimiento posterior, alineándose con H según el Codebook v3. La ambigüedad sobre la tarifa específica y el contexto de opciones balanceadas justifica confianza media.",cerrado,true,59e9578743be34dae5b8b0975567c96a92cc1a00505b1ae189a1eb048bba7f09,IA asistida; validación humana fila por fila,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,2011,364,Q1_corto,unánime,direccion_a_N
10,RPM-2014-06-12:6293:1,RPM-2014-06-12,2014-06-12,Rodrigo Vergara Montes,Presidente del Banco Central,"El Presidente señor Rodrigo Vergara agradece el planteamiento efectuado por el Vicepresidente señor Enrique Marshall e inicia su intervención expresando su reconocimiento al staff por el excelente análisis que se ha presentado a consideración del Consejo. Manifiesta que en el escenario externo se aprecia una consolidación de la recuperación en el mundo avanzado, junto con un mejoramiento de las condiciones financieras internacionales que se refleja, entre otros aspectos, en bajas en premios soberanos y bancarios, el repunte de las bolsas de valores y los flujos de capital hacia economías emergentes. Plantea que la velocidad e intensidad de algunos de estos movimientos no deja de sorprender y llama a cierta cautela. En el ámbito interno, señala que el aspecto principal lo constituye que la inflación en doce meses se sitúe en 4,7%. En este sentido, indica que en el mes de mayo pasado, luego de varios meses, la inflación estuvo dentro del rango de las estimaciones, aunque en su parte superior. La dinámica inflacionaria ha sido mayor que la esperada y, si f /• bien se estima que es transitoria, evidentemente preocupa cuando, en promedio, el traspaso de la depreciación a precios parece haber sido algo superior a lo previsto y se ha extendido además a numerosos bienes y servicios. Asimismo, se espera que la inflación se mantenga por sobre 4% por varios meses para confluir a 3% el próximo año, lo que implica una postergación de la convergencia a la meta, que hasta hace un tiempo reciente se esperaba para fines de este año. Agrega que la inflación subyacente se sitúa cerca de la parte superior del rango de tolerancia, esperándose que se mantenga en ese nivel por algunos meses; y que las expectativas siguen ancladas en 3% anual en el horizonte de política. Consigna que el ritmo de crecimiento de la actividad sigue lento y que no se proyecta un repunte significativo en lo inmediato. A la conocida caída de la inversión se suma una desaceleración del consumo, en particular, el de bienes durables; y que esta desaceleración de la demanda ha implicado un mejoramiento en las cifras de cuenta corriente, cuyo déficit se estima que será significativamente menor al que se proyectaba hace algunos meses. El mercado laboral, por su parte, sigue sólido en términos de la tasa de desempleo, aunque se aprecia un menor dinamismo en el empleo asalariado, compensado por el mayor dinamismo en los empleos por cuenta propia. Añade que los salarios nominales muestran una tendencia al alza, aunque más moderada en el último dato. En el escenario expuesto, considera que las opciones que presenta la Gerencia de División de Estudios son las más razonables, aunque estima que la de mantener la TPM en su nivel actual se impone en esta oportunidad. El Presidente señor Rodrigo Vergara destaca que la TPM ya se ha disminuido en 100 puntos base desde el pasado mes de octubre y que las tasas de largo plazo se mantienen particularmente bajas. Además, los costos de financiamiento se encuentran en niveles que no se habían visto en varios años, e incluso en algunos casos se trata de mínimos históricos; las tasas de interés para los créditos hipotecarios se encuentran cerca de sus límites inferiores; los spreads en las tasas cortas son muy bajos, y existe amplia liquidez en el marcado. En su opinión, todo estos antecedentes llevan a concluir que la política monetaria más expansiva, junto a condiciones de mercado, están imprimiendo un impulso relevante a la economía. Agrega que llaman a actuar con cautela el hecho que la inflación sea superior a la esperada, que se sitúe sobre el rango meta y que se espere que se mantenga en esos niveles por varios meses, como asimismo, el riesgo de que alguna sorpresa imprevista pueda llevarnos incluso por sobre la cifra actual, En las actuales condiciones de desaceleración de la economía, considera que el riesgo inflacionario es bajo, pero no nulo, y que ello, más el impulso monetario ya en operación, hacen, en su opinión, que sea contraproducente entregar una señal de mayor relajamiento. Destaca que en materia de inflación son importantes las señales; ya que el Banco no puede arriesgarse a que las expectativas se desanclen, por lo que se debe entregar un mensaje claro al respecto. A su juicio, este es un momento importante para dar ese mensaje y es lo más apropiado que el Banco Central de Chile puede hacer para lograr un crecimiento sostenible en el largo plazo. Por el contrario, estima que una baja de la tasa rectora en esta oportunidad podría entregar una señal equívoca. Por lo demás, considera que en las actuales circunstancias, esperar un tiempo antes de seguir dando mayor estímulo monetario representa los beneficios antes mencionados y no produce grandes efectos porque, como se comentó, las condiciones de tasas de interés a los distintos plazos ya son expansivas Por los motivos antedichos, manifiesta que su voto es por mantener la Tasa de Política Monetaria en 4,0% anual y el sesgo expansivo del último Comunicado. En consecuencia, conforme a lo manifestado por los señores Consejeros, el Presidente señor Rodrigo Vergara señala que se acuerda por cuatro votos a favor y uno en contra, mantener la Tasa de Política Monetaria en 4,0% anual. Como es tradicional para el caso de producirse votos disidentes, el Presidente señor Rodrigo Vergara consulta al Consejero señor Pablo García si desea sumarse a la votación de la mayoría de los señores Consejeros",hawkish,1,alta,"estima que una baja de la tasa rectora en esta oportunidad podría entregar una señal equívoca. Por lo demás, considera que en las actuales circunstancias, esperar un tiempo antes de seguir dando mayor estímulo monetario representa los beneficios antes mencionados","La unidad, si bien concluye manteniendo la TPM en 4,0%, rechaza sustantivamente un mayor relajamiento monetario: descarta la baja de tasa por su señal equívoca, sostiene que es contraproducente entregar una señal de mayor relajamiento y aboga por esperar antes de dar mayor estímulo. Ese rechazo explícito a ampliar el impulso monetario con riesgo inflacionario configuran una dirección Hawkish según el Codebook v3.",cerrado,true,6662a4d56d054791cac1868b9be0c8aa11e22c96e31fd0483d1ede80c41bb577,IA asistida; validación humana fila por fila,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,1,neutral_dificil,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,2014,5433,Q4_largo,unánime,inversion_HD
20,RPM-2010-05-13:3113:1,RPM-2010-05-13,2010-05-13,Pablo García Silva,Gerente de División Estudios,"El señor Pablo García sostiene a continuación que en caso que se considere que los desarrollos coyunturales sí afectan la trayectoria de política monetaria, ello debería incidir principalmente en su ritmo de normalización en los trimestres venideros y, en menor medida, en el momento del inicio de este proceso. Especial mención hace a que este último sigue dependiendo más del trade-off de un inicio más pronto, pero con alzas graduales versus un inicio algo más tardío con alzas más intensas, y que sigue siendo evidente que la política monetaria es altamente expansiva y que el logro de la meta de inflación requiere comenzar a reducir su expansividad en el corto plazo. El señor García plantea también que, en general, los desarrollos internos y externos en los próximos trimestres, principalmente la marcha de la economía mundial y las características y la temporalidad del esfuerzo de reconstrucción público/privado, incidirán en la velocidad de la normalización que tome la política monetaria, pero que, dado que la TPM se ubica en su nivel mínimo en un contexto macroeconómico que es de recuperación, es muy improbable que escenarios de riesgo pudieran motivar mantener la TPM en 0,5% por varios meses más. En ese sentido, es de opinión que los flujos de información futuros permitirán calibrar mejor la magnitud del aumento de la TPM requerido en función de la meta, pero que ello no implica esperar que aporte relativamente más información sobre el momento óptimo para dar inicio a la normalización.",hawkish,1,alta,sigue siendo evidente que la política monetaria es altamente expansiva y que el logro de la meta de inflación requiere comenzar a reducir su expansividad en el corto plazo.,"La unidad sostiene explícitamente que la política monetaria es altamente expansiva y que para lograr la meta de inflación se requiere comenzar a reducir su expansividad en el corto plazo, descartando mantener la TPM en 0,5% por varios meses más y enfocándose en la normalización (alzas). Ello constituye una dirección Hawkish de retiro del impulso monetario con sesgo al alza, correspondiendo H con confianza alta.",cerrado,true,48a0753221a35f287e72d93c8a600af19f3f2fa9ea249b41d22919dffdab531d,IA asistida; validación humana fila por fila,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1,candidato_dovish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,2010,1509,Q2,unánime,direccion_a_N
28,RPM-2006-11-16:985:1,RPM-2006-11-16,2006-11-16,José De Gregorio Rebeco,Vicepresidente del Banco Central,"El
Vicepresidente
señor
José
De
Gregorio
señala
que
el
panorama
macroeconómico no es muy distinto al discutido en el mes pasado. En el escenario externo la
desaceleración de los Estados Unidos de América no amenaza de manera significativa el
dinamismo de la economía mundial. Por su parte, señala el señor De Gregorio que se ha consolidado una moderada
reducción del precio del petróleo, el que probablemente estará por debajo de lo previsto en el
IPoM, aunque dadas las fortalezas de la economía mundial, en especial las presiones de
demanda del petróleo que provienen de China y Asia en general, hacen improbable una caída
más significativa.
Indica que todo lo anterior, unido a un moderado aumento de los costos
laborales hace prever un escenario inflacionario donde se espera que el IPC se ubique en la
parte baja del rango meta. En todo caso, las perspectivas en materia de actividad son que ésta
crezca con algo de mayor fuerza hacia el próximo año, aunque probablemente con un
escenario de menores presiones inflacionarias que el previsto anteriormente.
Los antecedentes recopilados hasta ahora, sugieren mantener la tasa de política
monetaria, aunque a juicio del Consejero señor De Gregorio se debería revisar la estrategia
actual, así como su comunicación al mercado, la que se ha denominado como de retiro
pausado del impulso monetario.
Señala el Consejero señor José De Gregorio que a diferencia de los meses
anteriores donde hubo un recomendable sesgo al alza de la tasa de política monetaria, cree
igualmente probable que el próximo movimiento de la tasa de política monetaria, sea tanto al
alza como a la baja, tal como se ha indicado en la minuta de opciones. Asimismo, se ve como
algo no muy cercano otro movimiento de tasa, lo que ciertamente dependerá de las noticias
que se recíban en futuros cercanos.
Señala el señor De Gregorio que, sin embargo, en la
medida que las presiones inflacionarias continúen débiles, se hace más probable que haya que
reducir la tasa de interés para cumplir con nuestra meta inflacionaria.
Por otra parte, una recuperación del ritmo de crecimiento de la actividad, que
venga acompañada de aumentos de la inflación proyectada, podría renovar las razones para
subir la tasa de política monetaria. Señala que en varias ocasiones ha afirmado que lo ideal es
una política monetaria gradual, que pase de fases de alza a períodos de tranquilidad y luego de
baja. Indica que, ciertamente no se puede afirmar que pronto entraremos en una fase de baja,
sin embargo el cumplimiento de la meta podría sugerir en el futuro un aumento del impulso
monetario, con el propósito de alinear la inflación esperada con el centro del rango meta en
nuestro horizonte de política. Indica que esa es la virtud de la manera en que conducimos la
política monetaria, en la cual podemos apartarnos transitoriamente de una estrategia de
movimientos graduales y en una sola dirección de la tasa de interés a la luz de las novedades
que se van observando en el desempeño macroeconómico, en particular de las noticias de
inflación y sus perspectivas futuras.
Señala que éste no es un fenómeno inusual en otros
países que siguen metas de inflación. En este contexto se debe evitar caer en la trampa que
este tipo de movimientos, no previstos y en dirección opuesta a lo que venía ocurriendo, sean
usados como justificación para asegurar que las decisiones pasadas no fueron las más
adecuadas. Por el contrario, ellos son una señal de la flexibilidad de la política monetaria y su
capacidad de dar respuesta a fenómenos no anticipados.
El Consejero señor José De Gregorio señala que es por lo anterior que su voto
es por mantener la tasa y sugerir que se debería comunicar un sesgo neutral respecto de
futuros movimientos de tasas.",neutral,1,alta,El Consejero señor José De Gregorio señala que es por lo anterior que su voto es por mantener la tasa y sugerir que se debería comunicar un sesgo neutral respecto de futuros movimientos de tasas.,"La unidad discute explícitamente las opciones balanceadas (alza o baja igualmente probables), señala que se debe mantener la tasa y votar por una mantención comunicando un sesgo neutral respecto de futuros movimientos. Conforme al Codebook v3, la mantención sin sesgo direccional propio y las opciones balanceadas sin resolución corresponden a N.",cerrado,true,01c1143136f59c5d27e11a879c6d95c547d4886de0c244a874ced8c53c1948e9,IA asistida; validación humana fila por fila,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,1,aleatorio_contextual,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,2006,3746,Q3,unánime,N_a_direccion
32,RPM-2010-05-13:3121:1,RPM-2010-05-13,2010-05-13,Rodrigo Vergara Montes,Consejero,"El señor Rodrigo Vergara agradece el trabajo preparado por el staff del Banco y señala, en primer término, que las principales noticias del último mes tienen que ver con el aumento en la incertidumbre en el frente externo. Al respecto, plantea que la situación se ha vuelto turbulenta; que los problemas en Grecia se extendieron al resto de Europa, con fuertes caída en los precios de los activos y una depreciación del euro; que si bien países como Portugal y España fueron los más afectados, las repercusiones se trasladaron, incluso, al resto del mundo; y que luego del paquete de ayuda, coordinado por las principales economías del mundo y el FMI, que también incluyó la participación de los bancos centrales, la situación se ha calmado, pero sigue siendo frágil. En segundo término, el señor Vergara comenta que las dudas sobre la solvencia fiscal de muchos países, incluyendo algunos que no parecen tener una deuda demasiado elevada, aunque sí presentan déficits muy altos, se mantienen. Sostiene que tal es así, que hay fuertes presiones para producir ajustes fiscales, en una situación de bajo crecimiento y con perspectivas empeorando. Manifiesta que España es un ejemplo reciente de dicho ajuste fiscal y que otros países también han dado indicios que irían en esa misma dirección. El Consejero aludido hace presente que en el frente interno también ha habido noticias, mencionando que la volatilidad externa tuvo sus efectos en el país, aunque afortunadamente bastante amortiguados; que la cifra de inflación de abril estuvo en línea con lo esperado, pero que, con todo, la inflación de los dos meses post terremoto es bastante inferior a lo estimado luego del sismo y la inflación subyacente se mantiene en terreno negativo; que algo similar ocurre con el crecimiento del PIB, por cuanto mientras las primeras predicciones luego del terremoto para el crecimiento del primer trimestre se situaban en torno a 3%, más tarde se redujeron a 2%, las cifras de Imacec hacen prever un crecimiento más cercano a 1% por ciento y las proyecciones para el segundo trimestre también se han reducido. A pesar de eso, el señor Vergara destaca que cabe esperar un repunte importante en la segunda parte del año y en 2011. Por otra parte, el señor Rodrigo Vergara hace notar que la demanda interna presenta un crecimiento vigoroso y que distintos indicadores de consumo reflejan una recuperación importante, destacando que los indicadores de ventas han exhibido un fuerte dinamismo, producto, en parte, de bases de comparación muy bajas en 2009, pero también con una dinámica propia. A pesar de todas estas noticias, el Consejero señor Rodrigo Vergara considera que el grueso del análisis indica que el escenario del IPoM sigue siendo válido en cuanto a tendencias, aunque estas estén probablemente algo retrasadas respecto a dicho Informe. En cuanto al escenario externo, plantea que la incertidumbre ha aumentado. Sobre la base lo anterior, el señor Rodrigo Vergara señala que se puede sostener que el inicio del proceso de normalización de la política monetaria está muy cerca. En su opinión, y basado en los antecedentes aportados, en particular en las turbulencias externas, iniciarlo en esta Reunión es una opción inferior a mantener por ahora la actual situación. No obstante, manifiesta que dado que se le asigna una alta probabilidad a que el escenario de mediano y largo plazo planteado en el IPoM se mantenga, estima que es importante dar un mensaje claro, incluso con un sesgo explícito, que el comienzo del proceso de normalización de la política monetaria se vislumbra muy cercano. En razón de lo expuesto, el Consejero señor Rodrigo Vergara manifiesta que su voto es por mantener la TPM en su nivel actual. Continuando con la votación,",hawkish,1,alta,"estima que es importante dar un mensaje claro, incluso con un sesgo explícito, que el comienzo del proceso de normalización de la política monetaria se vislumbra muy cercano. En razón de lo expuesto, el Consejero señor Rodrigo Vergara manifiesta que su voto es por mantener la TPM en su nivel actual.","Aunque vota mantener, hace propio un sesgo explícito hacia el inicio muy cercano de la normalización. La orientación futura respaldada cuenta y corresponde H.",cerrado,true,f28a00be7a6e878988357b9bc0186957655c56900cdd18faaa7bb00bcb9f1789,IA asistida; validación humana fila por fila,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1,candidato_hawkish,neutral,neutral,neutral,hawkish,neutral,neutral,neutral,neutral,neutral,hawkish,neutral,neutral,2010,3745,Q3,unánime,direccion_a_N
34,RPM-2014-03-13:6102:1,RPM-2014-03-13,2014-03-13,Matías Bernier Bórquez,Gerente de Mercados Nacionales,"El señor Matías Bernier observa que en la Minuta de Opciones no se hace referencia a la mediana. Sobre este aspecto, hace notar que las distribuciones de las encuestas hacia adelante concentran algo más de masa hacia niveles inferiores al 4%, lo que, a su juicio, es algo que debe ser monitoreado y que de seguro será abordado con un mayor desarrollo en el próximo IPoM. Desde el punto de vista de los precios e inflaciones proyectadas, indica que las expectativas de corto plazo han ido aumentando, como lo reflejan los seguros de inflación; no obstante, el mercado percibe que estas alzas son de carácter transitorio. Precisa que en doce meses, se ubican en 2,33%, algo por debajo del punto central de la meta de inflación, y que para dos años, las proyecciones de activos financieros se vuelven a mantener en 3%, confirmando, en alguna medida, el anclaje a que hacía mención el Gerente de División Operaciones Financieras señor Beltrán de Ramón. En su opinión, también hay componentes externos a considerar, en particular, China. Estima que el debate en cuanto a si las tensiones en esa economía son de orden financiero o de orden económico será abordado en el próximo Informe, y que cualquiera sea el caso, parece recomendable preparar al mercado con una reducción de la TPM y volver a esta discusión in extenso en el próximo IPoM.",dovish,1,media,"Estima que el debate en cuanto a si las tensiones en esa economía son de orden financiero o de orden económico será abordado en el próximo Informe, y que cualquiera sea el caso, parece recomendable preparar al mercado con una reducción de la TPM y volver a esta discusión in extenso en el próximo","La unidad recomienda explícitamente preparar al mercado con una reducción de la TPM, lo que constituye una recomendación de bajar la tasa de política (D) según el Codebook v3. La confianza es media por el carácter condicional y preparatorio de la recomendación, aunque la dirección dovish es clara.",cerrado,true,d4adf9c08a1bbc466c515be3e5ad5d76582efd0836897cab211fc16e3e9c948b,IA asistida; validación humana fila por fila,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,2014,1335,Q2,unánime,direccion_a_N
35,RPM-2014-06-12:6280:1,RPM-2014-06-12,2014-06-12,Luis Óscar Herrera Barriga,Gerente de División Estudios,"El señor Luis Óscar Herrera expresa que por las razones antedichas, la recomendación de la Gerencia de División Estudios es por mantener la TPM en 4,0% anual en esta oportunidad.",neutral,1,alta,"El señor Luis Óscar Herrera expresa que por las razones antedichas, la recomendación de la Gerencia de División Estudios es por mantener la TPM en 4,0% anual en esta oportunidad.","La unidad es una recomendación de mantener la TPM en 4,0% anual sin un sesgo direccional explícito asociado. Al ser una mantención sin sesgo direccional propio, corresponde N según el Codebook v3.",cerrado,true,4310962b7883034ba28a521e533ee3bbd7f854ff66e1411e037ec26039acf0d5,IA asistida; validación humana fila por fila,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,1,neutral_dificil,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,neutral,dovish,dovish,2014,178,Q1_corto,unánime,N_a_direccion
37,RPM-2013-08-13:5752:3,RPM-2013-08-13,2013-08-13,Consejo del Banco Central de Chile,Consejo,"Conforme a la votación unánime efectuada por los señores Consejeros, el Consejo adoptó el siguiente Acuerdo: N° 201-01-130813 - Tasa de Política Monetaria En su reunión mensual de política monetaria, el Consejo del Banco Central de Chile acordó mantener la Tasa de Interés de Política Monetaria en 5% anual. Al concluir la Reunión, se procede a dar lectura al texto del Comunicado, que es del siguiente tenor: Comunicado “En su reunión mensual de política monetaria, el Consejo del Banco Central de Chile acordó mantener la tasa de interés de política monetaria en 5% anual. En el ámbito externo, las condiciones financieras globales se tornaron algo más favorables durante el último mes, incluyendo menores premios por riesgo de crédito, tanto soberanos como corporativos. Las cifras de actividad mundial del segundo trimestre han sido, en general, algo menores a lo esperado, aunque las proyecciones de consenso continúan anticipando una recuperación de Estados Unidos. Las expectativas de crecimiento para las economías emergentes han continuado disminuyendo, si bien algunos antecedentes recientes para China indican una estabilización en su ritmo de expansión. Los precios de los metales, incluido el cobre, repuntaron en las últimas semanas, en tanto que los de alimentos declinaron. El dólar se depreció en los mercados internacionales. En el plano local, los antecedentes recientes muestran una desaceleración de la actividad más marcada que la de la demanda. El consumo se mantiene dinámico, aunque las encuestas de confianza anticipan un menor impulso de esta variable a futuro, en tanto la inversión se modera. La inflación total se ubicó dentro del rango de tolerancia, de acuerdo a lo previsto, mientras que las medidas subyacentes continúan en valores cercanos a 1% anual. Las expectativas inflacionarias permanecen en torno a la meta en el horizonte de política. La consolidación de las tendencias delineadas en el último IPoM podría requerir de ajustes en la Tasa de Política Monetaria en los próximos meses. El Consejo reafirma su compromiso de conducir la política monetaria con flexibilidad, de manera que la inflación proyectada se ubique en 3% en el horizonte de política. Cambios futuros en la TPM dependerán de las implicancias de las condiciones macroeconómicas internas y externas sobre las perspectivas inflacionarias.”",neutral,1,alta,"En su reunión mensual de política monetaria, el Consejo del Banco Central de Chile acordó mantener la Tasa de Interés de Política Monetaria en 5% anual.","La unidad es el Acuerdo y Comunicado oficial del Consejo que decide mantener la TPM en 5% anual. Aunque el comunicado señala que la consolidación de las tendencias podría requerir ajustes futuros, no explicita un sesgo direccional definido. Al tratarse de una mantención sin sesgo direccional propio en el fragmento citado, corresponde N.",cerrado,true,2572e5e6431fbdc2efbdbb7c297beffe026786cfe963935f480c52311cedbc8a,IA asistida; validación humana fila por fila,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,1,neutral_dificil,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,2013,2345,Q3,unánime,N_a_direccion
43,RPM-2013-09-12:5807:1,RPM-2013-09-12,2013-09-12,Enrique Marshall Rivera,Consejero,"El Consejero señor Enrique Marshall inicia su intervención agradeciendo al staff por el apoyo proporcionado para esta Reunión de Política Monetaria. Indica que el Consejo llega a esta Reunión una semana después de haber divulgado el último IPoM, y que las noticias conocidas desde entonces no son muchas y tampoco modifican sustancialmente el panorama descrito en dicho Informe. En el frente externo, los mercados financieros han mostrado una leve mejoría mientras permanecen atentos a las decisiones que puedan adoptar las autoridades monetarias en Estados Unidos de América; y en materia de crecimiento, se reafirman las perspectivas de una gradual recuperación en las economías desarrolladas junto con una desaceleración en el mundo emergente que se manifiesta con variantes apreciables entre países. En lo atinente al frente interno, menciona que los datos de actividad siguen dando cuenta de una desaceleración; sin embargo, la demanda continúa ajustándose con lentitud. En particular, el consumo sigue mostrando dinamismo, lo que se sustenta en la positiva evolución del empleo y las remuneraciones. Con todo, el ajuste a la baja en las expectativas de los hogares, la desaceleración de la inversión y el ritmo moderado al que evolucionan los créditos de consumo, permiten anticipar un ajuste del consumo en los próximos trimestres. Agrega que la inflación sigue en un proceso de normalización, en línea con expectativas de mercado en torno al 3% anual en el horizonte de política. En lo concerniente a la TPM, comenta que las expectativas de mercado han reducido levemente la magnitud de un eventual ajuste y han postergado la fecha de su materialización. El Consejero señor Enrique Marshall expresa coincidir con la minuta de la Gerencia de División Estudios en el sentido que las opciones de política plausibles son nuevamente mantener la TPM o reducirla en 25 puntos base. A su juicio, ambas opciones son coherentes con una estrategia de política que, sin señalizar el momento preciso en que ello ocurrirá, anticipa un recorte acotado en el nivel de la tasa rectora. Pensando en la decisión de esta Reunión y en la orientación de la política para los próximos meses, considera que son varios los elementos que es necesario ponderar. Plantea que una primera consideración es si las señales de desaceleración son o no suficientes para justificar un recorte. En su opinión, tales señales existen, pero parece recomendable o prudente esperar hasta que se consoliden. Un segundo punto, muy relacionado con el anterior, se refiere al nivel de la tasa. Si bien la TPM se ubica en un rango de valores que se puede considerar como normal para Chile, es enorme el diferencial que presenta respecto del resto del mundo y particularmente de los países desarrollados, con todas las implicancias que tiene para la conducción de la política monetaria. A su juicio, ello sugiere que existe espacio para un recorte y que no va a cambiar esta situación en los próximos meses. Manifiesta que un tercer elemento lo constituye la magnitud del ajuste que se proyecta realizar. En efecto, cuando se plantea un recorte muy acotado, surge una inquietud, que le parece legítima, en orden a si no es mejor privilegiar la estabilidad. En su opinión, el Consejo no está enfrentado a una disyuntiva de este tipo en la presente coyuntura. Indica que un cuarto punto se refiere a los efectos de un recorte. Estima que en estas circunstancias, un ajuste acotado como se ha planteado, puede inducir cambios en la composición de la demanda que faciliten el necesario ajuste interno de la economía, mientras que postergar indefinidamente una decisión favorece el retorno a un escenario con un peso más apreciado, baja inflación y un consumo que modera su crecimiento muy lentamente, con todas las complejidades que ello conlleva. Expresa que una consideración adicional relevante para esta Reunión es que el mercado espera que se mantenga la tasa rectora. Si bien ello no debe ser tomado en sí como una limitación o una restricción absoluta, considera que en estas circunstancias, una acción sorpresiva no sería fácil de absorber por el mercado. En suma, estima que la opción de mantener la Tasa de Política Monetaria y esperar un tiempo adicional antes de adoptar una decisión surge con mayor claridad, sobre todo si no se advierte la existencia de alguna situación contraria en este sentido.",neutral,1,media,"estima que la opción de mantener la Tasa de Política Monetaria y esperar un tiempo adicional antes de adoptar una decisión surge con mayor claridad, sobre todo si no se advierte la existencia de alguna situación contraria en este sentido.","La unidad pondera opciones balanceadas (mantener la TPM o reducirla en 25 puntos base), reconoce espacio para un recorte futuro pero recomienda esperar, inclinándose por la mantención sin adoptar un sesgo direccional resuelto. Conforme al Codebook v3, las opciones balanceadas sin resolución y la mantención sin sesgo direccional propio corresponden a N.",cerrado,true,89477dece326601c7ac9079901369979687fdf9be4407a2b332c5018f62e7aee,IA asistida; validación humana fila por fila,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,1,candidato_dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,2013,4367,Q3,unánime,N_a_direccion
