meeting_id,anio,n,aciertos_c89,aciertos_c600,aciertos_wc600,delta_wc600_vs_c89,delta_wc600_vs_c600,errores_c89,errores_wc600
RPM-2005-08-11,2005,7,7,7,7,0,0,0,0
RPM-2005-10-11,2005,7,7,7,7,0,0,0,0
RPM-2005-11-10,2005,7,6,6,6,0,0,1,1
RPM-2006-06-15,2006,12,6,6,6,0,0,6,6
RPM-2006-10-12,2006,7,5,5,6,1,1,2,1
RPM-2006-11-16,2006,7,2,3,3,1,0,5,4
RPM-2007-04-12,2007,8,5,6,6,1,0,3,2
RPM-2007-07-12,2007,9,8,8,8,0,0,1,1
RPM-2007-08-09,2007,10,9,9,8,-1,-1,1,2
RPM-2008-06-10,2008,10,10,10,10,0,0,0,0
RPM-2008-07-10,2008,6,6,6,6,0,0,0,0
RPM-2008-12-11,2008,7,5,6,7,2,1,2,0
RPM-2009-05-07,2009,6,5,6,6,1,0,1,0
RPM-2009-06-16,2009,7,6,7,7,1,0,1,0
RPM-2009-11-12,2009,13,10,10,9,-1,-1,3,4
RPM-2010-02-11,2010,7,4,6,6,2,0,3,1
RPM-2010-05-13,2010,11,7,8,9,2,1,4,2
RPM-2010-11-16,2010,9,8,9,9,1,0,1,0
RPM-2011-03-17,2011,8,6,6,6,0,0,2,2
RPM-2011-11-15,2011,9,6,7,8,2,1,3,1
RPM-2011-12-13,2011,7,6,6,6,0,0,1,1
RPM-2012-06-14,2012,11,10,10,10,0,0,1,1
RPM-2012-08-16,2012,12,10,12,12,2,0,2,0
RPM-2012-12-13,2012,11,9,11,11,2,0,2,0
RPM-2013-08-13,2013,14,9,10,10,1,0,5,4
RPM-2013-09-12,2013,13,9,12,12,3,0,4,1
RPM-2013-10-17,2013,8,7,8,8,1,0,1,0
RPM-2014-03-13,2014,12,10,10,10,0,0,2,2
RPM-2014-06-12,2014,11,8,8,8,0,0,3,3
RPM-2014-09-11,2014,7,7,7,7,0,0,0,0
RPM-2015-03-19,2015,8,5,5,5,0,0,3,3
RPM-2015-05-14,2015,11,8,10,10,2,0,3,1
RPM-2015-07-14,2015,7,6,6,7,1,1,1,0
