intervencion_id,etiqueta_humana,etiqueta_adjudicada_v3,es_relevante_adjudicada_v3,confianza_adjudicacion,cita_literal_adjudicacion,fundamento_adjudicacion,resultado_revision,estado_revision
RPM-2011-07-14:4212:1,hawkish,hawkish,1,alta,"Con todo, estima que sigue vigente la evaluación de que se debe continuar con el ajuste monetario. De hecho, indica que el mejor panorama inflacionario y la reducción de las expectativas, con sus consecuencias sobre la inflación actual, constituyen, en gran medida, los resultados de la política m","Ratificada tras lectura completa: El Presidente respalda explícitamente continuar el ajuste monetario y afirma que la política actual y esperada es consistente con aumentos adicionales de la TPM. El voto por mantener la tasa se enmarca como pausa dentro de un proceso de alzas, no como término del ajuste, por lo que la dirección es hawkish.",ratificada_v3,cerrado
RPM-2014-11-18:6516:1,dovish,dovish,1,media,"En su opinión, la política monetaria ha actuado de acuerdo a la etapa del ciclo que está viviendo la economía. En efecto, se ha recortado fuertemente la TPM hasta dejarla en 3%, lo que implica un nivel con un impulso monetario importante.","Ratificada tras lectura completa: El Presidente valida explícitamente la trayectoria de fuertes recortes de la TPM hasta 3% y caracteriza el nivel resultante como un impulso monetario importante, respaldando la orientación expansiva adoptada. Dirección dovish, aunque con confianza media por tratarse principalmente de una validación retrospectiva del impulso ya otorgado antes que de una recomendación de nuevos recortes.",ratificada_v3,cerrado
RPM-2008-01-10:1639:1,hawkish,hawkish,1,alta,"se suma a la votación de los señores Consejeros, en el sentido de aumentar la Tasa de Política Monetaria en 25 puntos base. Agrega, que sin perjuicio de lo anterior, quiere manifestar que entendiendo que no existe un acuerdo previo del Consejo respecto a decisiones futuras, quiere recalcar lo señ",Ratificada tras lectura completa: El Consejero vota por aumentar la TPM en 25 puntos base y solicita que el Comunicado incluya un sesgo al alza. Concurren dos señales hawkish explícitas: subir la tasa y sesgo futuro al alza.,ratificada_v3,cerrado
RPM-2014-08-14:6389:4,dovish,dovish,1,alta,"el Consejo del Banco Central de Chile acordó reducir la tasa de interés de política monetaria en 25 puntos base, a 3,5% anual. Al concluir la Reunión, se procede a dar lectura al texto del Comunicado, que es del siguiente tenor: Comunicado “En su reunión mensual de política monetaria, el Consejo","Ratificada tras lectura completa: El Acuerdo del Consejo reduce la TPM en 25 puntos base y el Comunicado señala que se evaluarán recortes adicionales según la evolución macroeconómica, configurando acción dovish explícita con sesgo a la baja. La cita es un fragmento continuo y literal del texto.",ratificada_v3,cerrado
RPM-2007-01-11:1048:1,dovish,dovish,1,alta,"comenta que los antecedentes acumulados en esta oportunidad, sugieren claramente reducir la tasa de política monetaria. Agrega que la opción de reducir la tasa de política monetaria es más coherente con el escenario central que se proyecta aquí","Ratificada tras lectura completa: El Gerente recomienda explícitamente reducir la TPM, argumenta contra el riesgo de mantenerla y advierte sobre riesgos de desanclaje de expectativas si no se actúa. Acción dovish explícita (bajar tasa) con sesgo expansivo.",ratificada_v3,cerrado
RPM-2013-07-11:5685:1,dovish,dovish,1,alta,"el Gerente de Investigación Económica señor Claudio Raddatz manifiesta que su recomendación al Consejo es la opción de disminuir la TPM a 4,75% anual.","Ratificada tras lectura completa: El Gerente recomienda explícitamente disminuir la TPM a 4,75% anual, optando por iniciar un ciclo moderadamente expansivo para adelantarse a la desaceleración. Acción dovish explícita con respaldo argumentado.",ratificada_v3,cerrado
RPM-2008-07-10:1972:1,hawkish,hawkish,1,alta,"el Consejero señor Manuel Marfán vota por un aumento en la tasa de 50 puntos base con un sesgo al alza en el Comunicado, y un mensaje que concentre la argumentación principalmente en el alineamiento de las expectativas.","Ratificada tras lectura completa: El Consejero vota por aumentar la TPM en 50 puntos base con sesgo al alza en el Comunicado, y respalda explícitamente mantener un ritmo de aumentos fuertes hasta converger las expectativas a la meta. Acción hawkish explícita (subir tasa y sesgo al alza).",ratificada_v3,cerrado
RPM-2010-08-12:3330:1,hawkish,hawkish,1,alta,"Indica que todo ello lleva a evaluar que, al igual que el mes pasado, la opción más plausible para esta Reunión sea incrementar la TPM en 50 puntos base.",Ratificada tras lectura completa: El Gerente recomienda incrementar la TPM en 50 puntos base y respalda continuar el ritmo de normalización de la política monetaria. Acción hawkish explícita (subir tasa / retirar estímulo) según Codebook v3.,ratificada_v3,cerrado
RPM-2006-10-12:935:1,dovish,neutral,1,alta,"está de acuerdo con la recomendación que ha planteado la Gerencia de División Estudios de mantener la tasa de política monetaria y especialmente, la recomendación final en el sentido de evaluar la posibilidad de eliminar el sesgo para la política monetaria que estaba implícito en los comunicados",Retirar el sesgo al alza y mencionar que el próximo cambio podría ser a la baja no adopta un sesgo bajista; mantener sin nueva dirección es N.,corregida_v3,cerrado
RPM-2013-11-19:5891:1,dovish,dovish,1,alta,"coincide con la propuesta de la Gerencia de División Estudios en lo referente a bajar la Tasa de Política Monetaria en 25 puntos base, atendidos los siguientes puntos que, a su juicio, son sustanciales para este análisis.",Ratificada tras lectura completa: El Gerente respalda bajar la TPM en 25 puntos base y argumenta a favor de continuar un ciclo de baja de tasas para anticipar shocks externos contractivos y conducir la inflación a la meta. Acción dovish explícita según Codebook v3.,ratificada_v3,cerrado
RPM-2008-07-10:1962:1,hawkish,neutral,1,alta,"si no existe un efecto de segunda vuelta indeseado, pero hay shock de precios que afecta a la inflación y eso genera toda una dinámica de indexación, de acuerdo a las reglas preestablecidas, igualmente se requeriría una respuesta de política monetaria.","Afirma que se requeriría una respuesta monetaria, pero no identifica su dirección; la inflación no permite inferir H por sí sola.",corregida_v3,cerrado
RPM-2014-05-15:6224:1,dovish,dovish,1,alta,"recomienda mantener la TPM en 4,0% anual y el sesgo a la baja en el Comunicado de esta Reunión, pero expresando mayor cautela por el comportamiento reciente de la inflación.","Ratificada tras lectura completa: El Gerente recomienda mantener la TPM pero con sesgo a la baja en el Comunicado, respaldando la opción de recorte como coherente con las holguras de capacidad y la posible necesidad de un impulso adicional. Mantención con sesgo futuro a la baja configura dirección dovish según Codebook v3.",ratificada_v3,cerrado
RPM-2006-05-11:667:1,hawkish,hawkish,1,media,"no se ha modificado el escenario que se tenía ni tampoco, por ende, la estrategia que se ha discutido en reuniones anteriores, caracterizada como una reducción gradual del impulso monetario.","Ratificada tras lectura completa: El Gerente respalda mantener la TPM en el marco de una estrategia caracterizada como reducción gradual del impulso monetario, lo que implica continuar retirando estímulo. Retiro de impulso monetario con sesgo restrictivo gradual configura dirección hawkish, aunque sin alza inmediata, lo que reduce la confianza a media.",ratificada_v3,cerrado
RPM-2006-09-07:871:1,dovish,neutral,1,alta,"la sensación indica que hoy existe más espacio para avanzar de modo más decidido en el proceso del cierre de brechas. El señor Arenas hace presente, que todos estos elementos tienen importantes implicancias para esta decisión",Señalar que la normalización estaría llegando a su fin no respalda expansión ni recorte; termina un sesgo restrictivo sin adoptar uno bajista.,corregida_v3,cerrado
RPM-2008-04-10:1780:1,hawkish,neutral,1,alta,"más allá del sesgo que contenga el Comunicado, el Banco Central de Chile deberá preocuparse de reafirmar su compromiso antiinflacionario en los próximos meses.","Vota mantener y reafirma un compromiso antiinflacionario general, sin alza, restricción explícita ni sesgo futuro direccional.",corregida_v3,cerrado
RPM-2009-11-12:2793:1,dovish,hawkish,1,media,"su recomendación al Consejo es que en la presente Reunión se pronuncie sobre dos aspectos: en primer término, sobre un acortamiento gradual de la FLAP a partir de ciertas fechas. Hoy, enfatiza, es más importante que se anuncie su fin más que la fecha en que esto comience, así como su ritmo de reducc",Recomienda anunciar el acortamiento gradual y término de la FLAP. La acción propia retira una facilidad expansiva documentada; evitar sobrerreacciones no cambia su signo.,corregida_v3,cerrado
RPM-2013-09-12:5810:1,dovish,dovish,1,alta,"coincide con la recomendación de la Minuta de Opciones en cuanto a mantener la Tasa de Política Monetaria en 5% anual, así como también con el sesgo a la baja en el Comunicado.","Ratificada tras lectura completa: El Vicepresidente respalda mantener la TPM con sesgo a la baja en el Comunicado, en un contexto de inflación baja y posibles elementos de debilidad. Mantención con sesgo futuro a la baja configura dirección dovish según Codebook v3.",ratificada_v3,cerrado
RPM-2014-07-15:6334:1,dovish,dovish,1,alta,"está dispuesto a votar por su recorte a 3,75%, dado que ello es consistente con el escenario delineado en el IPoM y con las expectativas casi unánimes del mercado en ese sentido.","Ratificada tras lectura completa: El Consejero manifiesta disposición a votar por recortar la TPM a 3,75%, respaldando la baja como consistente con el escenario del IPoM y las expectativas de mercado, y advierte que no hacerlo daría una señal equivocada sobre la transitoriedad de la inflación. Acción dovish explícita (bajar tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2007-07-12:1340:1,hawkish,hawkish,1,alta,"de decidirse un aumento de 25 puntos base, como se recomienda, cabe analizar las ventajas de mantener el sesgo en el comunicado de la reunión. En principio, no se ven razones para modificar el sesgo incluido en la reunión anterior.","Ratificada tras lectura completa: El Gerente recomienda un aumento de 25 puntos base de la TPM, argumenta que la mantención involucra riesgo de desanclaje de expectativas y que la TPM debería ubicarse en su nivel neutral (estimado por encima de 6%), y respalda mantener el sesgo del comunicado anterior. Subir tasa con sesgo al alza configura dirección hawkish según Codebook v3.",ratificada_v3,cerrado
RPM-2010-08-12:3344:1,hawkish,hawkish,1,alta,"El Consejo aprobó, por la unanimidad de sus miembros, aumentar la tasa de interés de política monetaria en 50 puntos base, hasta 2,00% anual.","Ratificada tras lectura completa: El Acuerdo del Consejo aumenta la TPM en 50 puntos base hasta 2,00% anual, en un contexto de actividad y demanda más dinámicas que lo previsto. Acción hawkish explícita (subir tasa) según Codebook v3.",ratificada_v3,cerrado
RPM-2013-12-12:5951:1,dovish,dovish,1,alta,"considerando los rezagos con que opera la política monetaria, resulta razonable continuar con el ciclo de reducción de la tasa rectora. En este sentido, la inflación se encuentra aún por debajo del rango de tolerancia y con este movimiento se contribuiría a contrarrestar la debilidad de la demand",Ratificada tras lectura completa: El Ministro de Hacienda respalda continuar con el ciclo de reducción de la tasa rectora para contrarrestar la debilidad de la demanda interna y mantener un tipo de cambio competitivo. Ampliar impulso monetario mediante recortes configura dirección dovish explícita según Codebook v3.,ratificada_v3,cerrado
RPM-2008-10-09:2127:1,hawkish,neutral,1,alta,"Aunque la trayectoria futura de la TPM en el escenario base del último Informe de Política Monetaria contempla ajustes adicionales para asegurar la convergencia de la inflación a la meta, el Consejo evaluará en sus futuras decisiones las implicancias que se derivan de los desarrollos financieros","Mantiene la TPM y habla de ajustes adicionales sin indicar su signo, condicionando decisiones a nueva información; no se infiere alza desde la inflación.",corregida_v3,cerrado
RPM-2011-05-12:4055:1,hawkish,hawkish,1,alta,"el Consejo del Banco Central de Chile acordó aumentar la tasa de interés de política monetaria en 50 puntos base, hasta 5% anual.",Ratificada tras lectura completa: El Acuerdo del Consejo aumenta la TPM en 50 puntos base hasta 5% anual. Acción hawkish explícita (subir tasa) según Codebook v3.,ratificada_v3,cerrado
RPM-2006-06-15:731:1,hawkish,hawkish,1,media,cree que estos dos puntos nos llevan obviamente a rechazar o descartar lo que ha sido la trayectoria que está implícita en las últimas proyecciones del IPoM en el sentido que todavía queda algo de camino por recorrer en la normalización de la política monetaria,"Ratificada tras lectura completa: El Gerente respalda que aún queda camino por recorrer en la normalización de la política monetaria y señala que hay empuje monetario que se debe ir retirando, aunque no necesariamente en la reunión de hoy. Retiro gradual del impulso monetario configura dirección hawkish; confianza media porque no propone alza inmediata y sugiere que podría materializarse en el segundo semestre.",ratificada_v3,cerrado
