intervencion_id,meeting_id,fold_validacion,texto_identico_en_train
RPM-2005-01-11:24:1,RPM-2005-01-11,3,False
RPM-2005-01-11:45:1,RPM-2005-01-11,3,False
RPM-2005-01-11:48:1,RPM-2005-01-11,3,False
RPM-2005-02-10:60:1,RPM-2005-02-10,0,False
RPM-2005-02-10:73:1,RPM-2005-02-10,0,False
RPM-2005-02-10:87:1,RPM-2005-02-10,0,False
RPM-2005-02-10:118:1,RPM-2005-02-10,0,False
RPM-2005-02-10:121:1,RPM-2005-02-10,0,False
RPM-2005-02-10:124:1,RPM-2005-02-10,0,False
RPM-2005-03-10:165:1,RPM-2005-03-10,1,False
RPM-2005-03-10:180:1,RPM-2005-03-10,1,False
RPM-2005-04-07:207:10,RPM-2005-04-07,2,False
RPM-2005-05-12:240:1,RPM-2005-05-12,0,False
RPM-2005-08-11:316:1,RPM-2005-08-11,0,False
RPM-2005-10-11:405:1,RPM-2005-10-11,3,False
RPM-2005-10-11:436:1,RPM-2005-10-11,3,False
RPM-2005-11-10:479:1,RPM-2005-11-10,4,False
RPM-2005-11-10:500:1,RPM-2005-11-10,4,False
RPM-2005-11-10:503:2,RPM-2005-11-10,4,False
RPM-2005-12-13:516:7,RPM-2005-12-13,0,False
RPM-2006-01-12:527:1,RPM-2006-01-12,2,False
RPM-2006-01-12:571:1,RPM-2006-01-12,2,False
RPM-2006-02-09:587:9,RPM-2006-02-09,5,False
RPM-2006-03-16:601:2,RPM-2006-03-16,4,False
RPM-2006-04-13:632:2,RPM-2006-04-13,0,False
RPM-2006-04-13:643:2,RPM-2006-04-13,0,False
RPM-2006-04-13:644:3,RPM-2006-04-13,0,False
RPM-2006-04-13:644:8,RPM-2006-04-13,0,False
RPM-2006-06-15:691:1,RPM-2006-06-15,0,False
RPM-2006-06-15:715:1,RPM-2006-06-15,0,False
RPM-2006-06-15:718:1,RPM-2006-06-15,0,False
RPM-2006-07-13:745:6,RPM-2006-07-13,5,False
RPM-2006-07-13:761:1,RPM-2006-07-13,5,False
RPM-2006-08-10:806:1,RPM-2006-08-10,1,False
RPM-2006-08-10:808:1,RPM-2006-08-10,1,False
