referencia,fold,accuracy,macro_f1,f1_hawkish,f1_dovish,f1_neutral,recall_hawkish,recall_dovish,recall_neutral,precision_hawkish,precision_dovish,precision_neutral,n_hawkish,n_dovish,n_neutral,f1_hd,recall_hd_balanceado,acierto_sobre_hd,n_hd,errores,errores_hd,neutral_a_direccion,direccion_a_neutral
mayoritaria,0,0.8511979823455234,0.3065395095367847,0.0,0.0,0.9196185286103542,0.0,0.0,1.0,0.0,0.0,0.8511979823455234,69,49,675,0.0,0.0,0.0,118,118,0,0,118
mayoritaria,1,0.8987341772151899,0.31555555555555553,0.0,0.0,0.9466666666666667,0.0,0.0,1.0,0.0,0.0,0.8987341772151899,8,8,142,0.0,0.0,0.0,16,16,0,0,16
mayoritaria,2,0.8616352201257862,0.30855855855855857,0.0,0.0,0.9256756756756757,0.0,0.0,1.0,0.0,0.0,0.8616352201257862,14,8,137,0.0,0.0,0.0,22,22,0,0,22
mayoritaria,3,0.8113207547169812,0.2986111111111111,0.0,0.0,0.8958333333333334,0.0,0.0,1.0,0.0,0.0,0.8113207547169812,16,14,129,0.0,0.0,0.0,30,30,0,0,30
mayoritaria,4,0.8427672955974843,0.3048919226393629,0.0,0.0,0.9146757679180887,0.0,0.0,1.0,0.0,0.0,0.8427672955974843,17,8,134,0.0,0.0,0.0,25,25,0,0,25
mayoritaria,5,0.8417721518987342,0.3046964490263459,0.0,0.0,0.9140893470790378,0.0,0.0,1.0,0.0,0.0,0.8417721518987342,14,11,133,0.0,0.0,0.0,25,25,0,0,25
mayoritaria_hd,0,0.08701134930643127,0.05336426914153133,0.16009280742459397,0.0,0.0,1.0,0.0,0.0,0.08701134930643127,0.0,0.0,69,49,675,0.08004640371229699,0.5,0.5847457627118644,118,724,49,675,0
mayoritaria_hd,1,0.05063291139240506,0.032128514056224904,0.0963855421686747,0.0,0.0,1.0,0.0,0.0,0.05063291139240506,0.0,0.0,8,8,142,0.04819277108433735,0.5,0.5,16,150,8,142,0
mayoritaria_hd,2,0.0880503144654088,0.05394990366088632,0.16184971098265896,0.0,0.0,1.0,0.0,0.0,0.0880503144654088,0.0,0.0,14,8,137,0.08092485549132948,0.5,0.6363636363636364,22,145,8,137,0
mayoritaria_hd,3,0.10062893081761007,0.06095238095238095,0.18285714285714286,0.0,0.0,1.0,0.0,0.0,0.10062893081761007,0.0,0.0,16,14,129,0.09142857142857143,0.5,0.5333333333333333,30,143,14,129,0
mayoritaria_hd,4,0.1069182389937107,0.06439393939393939,0.19318181818181818,0.0,0.0,1.0,0.0,0.0,0.1069182389937107,0.0,0.0,17,8,134,0.09659090909090909,0.5,0.68,25,142,8,134,0
mayoritaria_hd,5,0.08860759493670886,0.054263565891472874,0.16279069767441862,0.0,0.0,1.0,0.0,0.0,0.08860759493670886,0.0,0.0,14,11,133,0.08139534883720931,0.5,0.56,25,144,11,133,0
