fold,intervencion_id,etiqueta,referencia,pred
1,RPM-2005-03-10:165:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:180:1,neutral,mayoritaria,neutral
1,RPM-2006-08-10:806:1,neutral,mayoritaria,neutral
1,RPM-2006-08-10:808:1,neutral,mayoritaria,neutral
1,RPM-2007-06-14:1296:3,neutral,mayoritaria,neutral
1,RPM-2007-07-12:1325:1,neutral,mayoritaria,neutral
1,RPM-2008-06-10:1854:1,neutral,mayoritaria,neutral
1,RPM-2008-06-10:1870:3,neutral,mayoritaria,neutral
1,RPM-2008-06-10:1878:1,neutral,mayoritaria,neutral
1,RPM-2008-06-10:1904:1,hawkish,mayoritaria,neutral
1,RPM-2008-07-10:1923:8,neutral,mayoritaria,neutral
1,RPM-2008-07-10:1959:1,neutral,mayoritaria,neutral
1,RPM-2008-12-11:2176:1,neutral,mayoritaria,neutral
1,RPM-2008-12-11:2187:1,neutral,mayoritaria,neutral
1,RPM-2009-09-08:2689:1,neutral,mayoritaria,neutral
1,RPM-2009-09-08:2699:4,neutral,mayoritaria,neutral
1,RPM-2009-09-08:2711:2,dovish,mayoritaria,neutral
1,RPM-2010-08-12:3281:1,neutral,mayoritaria,neutral
1,RPM-2010-08-12:3306:1,neutral,mayoritaria,neutral
1,RPM-2012-11-13:5166:1,neutral,mayoritaria,neutral
1,RPM-2012-11-13:5168:1,neutral,mayoritaria,neutral
1,RPM-2012-11-13:5175:1,neutral,mayoritaria,neutral
1,RPM-2012-11-13:5217:1,neutral,mayoritaria,neutral
1,RPM-2013-08-13:5703:1,neutral,mayoritaria,neutral
1,RPM-2013-08-13:5714:1,neutral,mayoritaria,neutral
1,RPM-2014-10-16:6466:2,neutral,mayoritaria,neutral
1,RPM-2014-10-16:6473:1,neutral,mayoritaria,neutral
1,RPM-2015-05-14:6763:1,neutral,mayoritaria,neutral
1,RPM-2015-05-14:6768:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:140:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:141:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:142:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:143:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:144:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:145:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:146:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:147:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:148:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:149:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:150:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:151:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:152:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:153:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:154:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:155:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:156:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:157:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:158:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:159:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:160:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:161:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:162:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:163:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:164:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:166:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:167:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:168:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:169:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:170:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:171:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:172:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:173:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:174:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:175:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:176:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:177:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:178:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:178:2,neutral,mayoritaria,neutral
1,RPM-2005-03-10:179:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:181:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:182:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:183:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:184:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:185:1,dovish,mayoritaria,neutral
1,RPM-2005-03-10:186:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:187:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:188:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:189:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:190:1,hawkish,mayoritaria,neutral
1,RPM-2005-03-10:191:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:192:1,hawkish,mayoritaria,neutral
1,RPM-2005-03-10:193:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:194:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:195:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:196:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:197:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:198:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:199:1,neutral,mayoritaria,neutral
1,RPM-2005-03-10:200:1,hawkish,mayoritaria,neutral
1,RPM-2006-05-11:657:2,neutral,mayoritaria,neutral
1,RPM-2006-05-11:661:1,neutral,mayoritaria,neutral
1,RPM-2006-05-11:671:1,dovish,mayoritaria,neutral
1,RPM-2006-05-11:672:1,dovish,mayoritaria,neutral
1,RPM-2006-05-11:673:1,dovish,mayoritaria,neutral
1,RPM-2006-05-11:674:1,dovish,mayoritaria,neutral
1,RPM-2006-08-10:789:1,neutral,mayoritaria,neutral
1,RPM-2006-08-10:807:1,neutral,mayoritaria,neutral
1,RPM-2006-08-10:816:1,neutral,mayoritaria,neutral
1,RPM-2006-08-10:818:1,neutral,mayoritaria,neutral
1,RPM-2006-08-10:820:1,neutral,mayoritaria,neutral
1,RPM-2006-08-10:826:1,hawkish,mayoritaria,neutral
1,RPM-2007-06-14:1278:1,neutral,mayoritaria,neutral
1,RPM-2007-06-14:1305:1,hawkish,mayoritaria,neutral
1,RPM-2007-07-12:1314:2,neutral,mayoritaria,neutral
1,RPM-2007-07-12:1324:1,neutral,mayoritaria,neutral
1,RPM-2007-07-12:1325:3,neutral,mayoritaria,neutral
1,RPM-2007-07-12:1329:1,neutral,mayoritaria,neutral
1,RPM-2007-07-12:1332:1,neutral,mayoritaria,neutral
1,RPM-2007-07-12:1335:2,neutral,mayoritaria,neutral
1,RPM-2008-06-10:1869:7,neutral,mayoritaria,neutral
1,RPM-2008-06-10:1873:4,neutral,mayoritaria,neutral
1,RPM-2008-06-10:1874:1,neutral,mayoritaria,neutral
1,RPM-2008-06-10:1879:1,neutral,mayoritaria,neutral
1,RPM-2008-06-10:1889:3,neutral,mayoritaria,neutral
1,RPM-2008-06-10:1902:1,hawkish,mayoritaria,neutral
1,RPM-2008-07-10:1916:2,neutral,mayoritaria,neutral
1,RPM-2008-07-10:1917:3,neutral,mayoritaria,neutral
1,RPM-2008-07-10:1923:7,neutral,mayoritaria,neutral
1,RPM-2008-07-10:1945:1,neutral,mayoritaria,neutral
1,RPM-2008-07-10:1948:2,neutral,mayoritaria,neutral
1,RPM-2008-07-10:1953:1,neutral,mayoritaria,neutral
1,RPM-2008-07-10:1975:1,neutral,mayoritaria,neutral
1,RPM-2008-12-11:2177:2,neutral,mayoritaria,neutral
1,RPM-2008-12-11:2206:3,neutral,mayoritaria,neutral
1,RPM-2008-12-11:2217:1,neutral,mayoritaria,neutral
1,RPM-2008-12-11:2221:2,neutral,mayoritaria,neutral
1,RPM-2008-12-11:2229:1,neutral,mayoritaria,neutral
1,RPM-2008-12-11:2232:1,neutral,mayoritaria,neutral
