fold,variante,n_train_a,n_train_b,n_train_hd,vocabulario_a,vocabulario_palabras,vocabulario_caracteres,accuracy,macro_f1,f1_hawkish,f1_dovish,f1_neutral,recall_hawkish,recall_dovish,recall_neutral,precision_hawkish,precision_dovish,precision_neutral,n_hawkish,n_dovish,n_neutral,f1_hd,recall_hd_balanceado,acierto_sobre_hd,n_hd,errores,errores_hd,neutral_a_direccion,direccion_a_neutral
1,H0_historica,1194,949,189,4431,36444,0,0.9240506329113924,0.7417974711140177,0.625,0.6363636363636364,0.9640287769784173,0.625,0.875,0.9436619718309859,0.625,0.5,0.9852941176470589,8,8,142,0.6306818181818181,0.75,0.75,16,12,2,8,2
1,B0_limpia,1178,946,189,4431,36438,0,0.9240506329113924,0.7417974711140177,0.625,0.6363636363636364,0.9640287769784173,0.625,0.875,0.9436619718309859,0.625,0.5,0.9852941176470589,8,8,142,0.6306818181818181,0.75,0.75,16,12,2,8,2
1,B1_svm,1178,946,189,4431,36438,0,0.9177215189873418,0.6510683760683761,0.5333333333333333,0.46153846153846156,0.9583333333333334,0.5,0.375,0.971830985915493,0.5714285714285714,0.6,0.9452054794520548,8,8,142,0.49743589743589745,0.4375,0.4375,16,13,1,4,8
1,B2_lr_mixta,1178,946,189,4431,36438,23457,0.9050632911392406,0.6847553666775635,0.5714285714285714,0.5263157894736842,0.9565217391304348,0.75,0.625,0.9295774647887324,0.46153846153846156,0.45454545454545453,0.9850746268656716,8,8,142,0.5488721804511278,0.6875,0.6875,16,15,3,10,2
1,B3_svm_mixta,1178,946,189,4431,36438,23457,0.9367088607594937,0.7569806870116468,0.5882352941176471,0.7142857142857143,0.968421052631579,0.625,0.625,0.971830985915493,0.5555555555555556,0.8333333333333334,0.965034965034965,8,8,142,0.6512605042016807,0.625,0.625,16,10,1,4,5
1,B4_jerarquica,1178,946,189,4431,36438,0,0.9050632911392406,0.7014798912265636,0.5882352941176471,0.56,0.9562043795620438,0.625,0.875,0.9225352112676056,0.5555555555555556,0.4117647058823529,0.9924242424242424,8,8,142,0.5741176470588236,0.75,0.75,16,15,3,11,1
2,H0_historica,1193,959,183,4433,36374,0,0.9622641509433962,0.8700617283950617,0.875,0.75,0.9851851851851852,1.0,0.75,0.9708029197080292,0.7777777777777778,0.75,1.0,14,8,137,0.8125,0.875,0.9090909090909091,22,6,2,4,0
2,B0_limpia,1178,959,183,4431,36374,0,0.9622641509433962,0.8700617283950617,0.875,0.75,0.9851851851851852,1.0,0.75,0.9708029197080292,0.7777777777777778,0.75,1.0,14,8,137,0.8125,0.875,0.9090909090909091,22,6,2,4,0
2,B1_svm,1178,959,183,4431,36374,0,0.9559748427672956,0.8134154944188556,0.9655172413793104,0.5,0.9747292418772563,1.0,0.375,0.9854014598540146,0.9333333333333333,0.75,0.9642857142857143,14,8,137,0.7327586206896552,0.6875,0.7727272727272727,22,7,0,2,5
2,B2_lr_mixta,1178,959,183,4431,36374,23449,0.9559748427672956,0.854098330782127,0.875,0.7058823529411765,0.9814126394052045,1.0,0.75,0.9635036496350365,0.7777777777777778,0.6666666666666666,1.0,14,8,137,0.7904411764705883,0.875,0.9090909090909091,22,7,2,5,0
2,B3_svm_mixta,1178,959,183,4431,36374,23449,0.949685534591195,0.7483743465510647,0.9032258064516129,0.36363636363636365,0.9782608695652174,1.0,0.25,0.9854014598540146,0.8235294117647058,0.6666666666666666,0.9712230215827338,14,8,137,0.6334310850439883,0.625,0.7272727272727273,22,8,2,2,4
2,B4_jerarquica,1178,959,183,4431,36374,0,0.9433962264150944,0.8158208478840449,0.8484848484848485,0.625,0.9739776951672863,1.0,0.625,0.9562043795620438,0.7368421052631579,0.625,0.9924242424242424,14,8,137,0.7367424242424243,0.8125,0.8636363636363636,22,9,2,6,1
3,H0_historica,1193,962,175,4483,37233,0,0.9119496855345912,0.7744074343296133,0.7428571428571429,0.6153846153846154,0.9649805447470817,0.8125,0.5714285714285714,0.9612403100775194,0.6842105263157895,0.6666666666666666,0.96875,16,14,129,0.6791208791208792,0.6919642857142857,0.7,30,14,5,5,4
3,B0_limpia,1178,962,175,4482,37233,0,0.9119496855345912,0.7744074343296133,0.7428571428571429,0.6153846153846154,0.9649805447470817,0.8125,0.5714285714285714,0.9612403100775194,0.6842105263157895,0.6666666666666666,0.96875,16,14,129,0.6791208791208792,0.6919642857142857,0.7,30,14,5,5,4
3,B1_svm,1178,962,175,4482,37233,0,0.9056603773584906,0.7281644858810474,0.7878787878787878,0.43478260869565216,0.9618320610687023,0.8125,0.35714285714285715,0.9767441860465116,0.7647058823529411,0.5555555555555556,0.9473684210526315,16,14,129,0.61133069828722,0.5848214285714286,0.6,30,15,5,3,7
