intervencion_id,meeting_id,fold,etiqueta_v2,pred_a,pred_tfidf,pred_beto,pred_b_tfidf,pred_b_beto,prob_b_hawkish,prob_b_dovish,prob_b_neutral,error_tfidf,error_beto,ambiguo_hd_conocido,n_segmentos_declarados
RPM-2005-01-11:10:1,RPM-2005-01-11,3,neutral,1,neutral,neutral,neutral,neutral,0.001154273864813149,0.003813187126070261,0.995032548904419,correcto,correcto,0,1
RPM-2005-01-11:11:1,RPM-2005-01-11,3,neutral,1,neutral,neutral,neutral,neutral,0.0009860993595793843,0.00237523065879941,0.9966386556625366,correcto,correcto,0,1
RPM-2005-01-11:12:1,RPM-2005-01-11,3,neutral,1,neutral,neutral,neutral,neutral,0.0009510429226793349,0.0021039939019829035,0.9969449639320374,correcto,correcto,0,1
RPM-2005-01-11:13:1,RPM-2005-01-11,3,neutral,1,neutral,neutral,neutral,neutral,0.0010769274085760117,0.002647176617756486,0.9962759017944336,correcto,correcto,0,1
RPM-2005-01-11:14:1,RPM-2005-01-11,3,neutral,1,neutral,neutral,neutral,neutral,0.0008726374362595379,0.002398089971393347,0.9967292547225952,correcto,correcto,0,1
RPM-2005-01-11:15:1,RPM-2005-01-11,3,neutral,1,neutral,neutral,neutral,neutral,0.000999033683910966,0.0028445657808333635,0.9961563944816589,correcto,correcto,0,1
RPM-2005-01-11:16:1,RPM-2005-01-11,3,neutral,1,neutral,neutral,neutral,neutral,0.00088520284043625,0.0021278164349496365,0.9969870448112488,correcto,correcto,0,1
RPM-2005-01-11:17:1,RPM-2005-01-11,3,neutral,1,neutral,neutral,neutral,neutral,0.0010625328868627548,0.0028222103137522936,0.9961152076721191,correcto,correcto,0,1
RPM-2005-01-11:18:1,RPM-2005-01-11,3,neutral,1,neutral,neutral,neutral,neutral,0.0008749014814384282,0.0021373836789280176,0.9969877600669861,correcto,correcto,0,1
RPM-2005-01-11:19:1,RPM-2005-01-11,3,neutral,1,neutral,neutral,neutral,neutral,0.0008976205717772245,0.0020776360761374235,0.9970248341560364,correcto,correcto,0,1
