orden,intervencion_id,cita_recibida,cita_final
1,RPM-2009-06-16:2573:1,"El Consejero señor Manuel Marfán señala que se debe tener cuidado con los resultados de las regresiones, puesto que las observaciones de que se dispone desde agosto del año pasado a la fecha, podrían estar alterando de modo importante el valor de los parámetros del modelo y, por ende, llevando a ...","El Consejero señor Manuel Marfán señala que se debe tener cuidado con los resultados de las regresiones, puesto que las observaciones de que se dispone desde agosto del año pasado a la fecha, podrían estar alterando de modo importante el valor de los parámetros del modelo y, por ende, llevando a"
2,RPM-2011-03-17:3851:1,"Sobre el particular, menciona que el M1 ha tendido a reducir sus tasas de crecimiento, en línea con lo que se esperaría, dado el aumento de la TPM y la contracción del impulso monetario, mientras que las tasas de crecimiento de los agregados menos líquidos, esto es, el M2 y el M3, han ido aumenta...","Sobre el particular, menciona que el M1 ha tendido a reducir sus tasas de crecimiento, en línea con lo que se esperaría, dado el aumento de la TPM y la contracción del impulso monetario, mientras que las tasas de crecimiento de los agregados menos líquidos, esto es, el M2 y el M3, han ido aumenta"
3,RPM-2011-03-17:3859:1,"El señor Claudio Soto hace presente que el supuesto de la Gerencia a su cargo es que sí habría espacio para generar una caída en esa tarifa por la vía de modificar las ponderaciones de los precios futuros y los precios históricos, pero ello implicaría aumentar la pendiente en adelante, esto es, i...","El señor Claudio Soto hace presente que el supuesto de la Gerencia a su cargo es que sí habría espacio para generar una caída en esa tarifa por la vía de modificar las ponderaciones de los precios futuros y los precios históricos, pero ello implicaría aumentar la pendiente en adelante, esto es, i"
4,RPM-2012-12-13:5266:1,El Presidente señor Rodrigo Vergara agradece el planteamiento del Vicepresidente señor Manuel Marfán e inicia su intervención expresando su reconocimiento al staff por el excelente análisis consignado precedentemente. Hace presente que en el escenario externo se ha observado una reducción de ries...,El Presidente señor Rodrigo Vergara agradece el planteamiento del Vicepresidente señor Manuel Marfán e inicia su intervención expresando su reconocimiento al staff por el excelente análisis consignado precedentemente. Hace presente que en el escenario externo se ha observado una reducción de ries
12,RPM-2013-08-13:5717:3,"la curva forward se ajusta a la baja desde la última Reunión y las encuestas siguen señalando que la Tasa de Política Monetaria debería bajar en los próximos meses. Sin embargo, para esta Reunión, el mercado espera que dicha tasa se mantenga en 5% anual, pero, a diferencia de Reuniones anteriores...","la curva forward se ajusta a la baja desde la última Reunión y las encuestas siguen señalando que la Tasa de Política Monetaria debería bajar en los próximos meses. Sin embargo, para esta Reunión, el mercado espera que dicha tasa se mantenga en 5% anual, pero, a diferencia de Reuniones anteriores"
21,RPM-2011-11-15:4404:1,"El señor Sergio Lehmann inicia su intervención, exhibiendo el cuadro que se contiene en la lámina N°4 de la presentación, que resume los principales eventos desde la última Reunión de Política Monetaria (RPM) en materia de movimientos políticos y de planes y ajustes que se están proponiendo, anun...","El señor Sergio Lehmann inicia su intervención, exhibiendo el cuadro que se contiene en la lámina N°4 de la presentación, que resume los principales eventos desde la última Reunión de Política Monetaria (RPM) en materia de movimientos políticos y de planes y ajustes que se están proponiendo, anun"
25,RPM-2010-02-11:2962:1,"A juicio del señor Vergara, otros antecedentes importantes a tener en cuenta es tener una política fiscal más restrictiva o menos expansiva para este año. Con respecto al mensaje sobre hasta cuándo se mantendría la TPM, considera que los riesgos de inflación muy baja por un tiempo prolongado se h...","A juicio del señor Vergara, otros antecedentes importantes a tener en cuenta es tener una política fiscal más restrictiva o menos expansiva para este año. Con respecto al mensaje sobre hasta cuándo se mantendría la TPM, considera que los riesgos de inflación muy baja por un tiempo prolongado se h"
34,RPM-2014-03-13:6102:1,"Estima que el debate en cuanto a si las tensiones en esa economía son de orden financiero o de orden económico será abordado en el próximo Informe, y que cualquiera sea el caso, parece recomendable preparar al mercado con una reducción de la TPM y volver a esta discusión in extenso en el próximo ...","Estima que el debate en cuanto a si las tensiones en esa economía son de orden financiero o de orden económico será abordado en el próximo Informe, y que cualquiera sea el caso, parece recomendable preparar al mercado con una reducción de la TPM y volver a esta discusión in extenso en el próximo"
36,RPM-2006-10-12:893:1,"El Gerente de División Operaciones Financieras, señor Esteban Jadresic, hace presente que las bolsas han estado funcionando bien Dow Jones y Nasdaq al 3,5 y 5%, lo que sugiere que existe una caída del precio del petróleo que no se debe a una desaceleración sino que está contribuyendo a mejorar la...","El Gerente de División Operaciones Financieras, señor Esteban Jadresic, hace presente que las bolsas han estado funcionando bien Dow Jones y Nasdaq al 3,5 y 5%, lo que sugiere que existe una caída del precio del petróleo que no se debe a una desaceleración sino que está contribuyendo a mejorar la"
47,RPM-2014-03-13:6109:1,"El conjunto de antecedentes dan validez al proceso que se ha realizado y, a su juicio, justifican una baja adicional. En adelante, estima que se debe evaluar la trayectoria esperada de la inflación","el conjunto de antecedentes dan validez al proceso que se ha realizado y, a su juicio, justifican una baja adicional. En adelante, estima que se debe evaluar la trayectoria esperada de la inflación, así como el impacto macroeconómico de los cambios en tasas y precios relativos que han estado"
