fold,variante,primero,segundo,invariante,ambos_correctos
1,B0_base,decimal_coma,decimal_punto,True,False
1,B0_base,nombre_uno,nombre_dos,True,True
1,B0_base,baja,extranjero,True,False
1,B0_base,baja,conclusion,False,False
1,B1_numeros,decimal_coma,decimal_punto,True,False
1,B1_numeros,nombre_uno,nombre_dos,True,True
1,B1_numeros,baja,extranjero,True,False
1,B1_numeros,baja,conclusion,False,False
1,B2_contexto,decimal_coma,decimal_punto,True,False
1,B2_contexto,nombre_uno,nombre_dos,True,True
1,B2_contexto,baja,extranjero,False,False
1,B2_contexto,baja,conclusion,True,False
1,B3_ambos,decimal_coma,decimal_punto,True,False
1,B3_ambos,nombre_uno,nombre_dos,True,True
1,B3_ambos,baja,extranjero,False,False
1,B3_ambos,baja,conclusion,True,False
2,B0_base,decimal_coma,decimal_punto,True,False
2,B0_base,nombre_uno,nombre_dos,True,True
2,B0_base,baja,extranjero,True,False
2,B0_base,baja,conclusion,False,False
2,B1_numeros,decimal_coma,decimal_punto,True,False
2,B1_numeros,nombre_uno,nombre_dos,True,True
2,B1_numeros,baja,extranjero,True,False
2,B1_numeros,baja,conclusion,False,False
2,B2_contexto,decimal_coma,decimal_punto,True,False
2,B2_contexto,nombre_uno,nombre_dos,True,True
2,B2_contexto,baja,extranjero,True,False
2,B2_contexto,baja,conclusion,True,False
2,B3_ambos,decimal_coma,decimal_punto,True,False
2,B3_ambos,nombre_uno,nombre_dos,True,True
2,B3_ambos,baja,extranjero,True,False
2,B3_ambos,baja,conclusion,True,False
3,B0_base,decimal_coma,decimal_punto,True,False
3,B0_base,nombre_uno,nombre_dos,True,True
3,B0_base,baja,extranjero,True,False
3,B0_base,baja,conclusion,False,False
3,B1_numeros,decimal_coma,decimal_punto,True,False
3,B1_numeros,nombre_uno,nombre_dos,True,True
3,B1_numeros,baja,extranjero,True,False
3,B1_numeros,baja,conclusion,False,False
3,B2_contexto,decimal_coma,decimal_punto,True,False
3,B2_contexto,nombre_uno,nombre_dos,True,True
3,B2_contexto,baja,extranjero,False,False
3,B2_contexto,baja,conclusion,False,False
3,B3_ambos,decimal_coma,decimal_punto,True,False
3,B3_ambos,nombre_uno,nombre_dos,True,True
3,B3_ambos,baja,extranjero,False,False
3,B3_ambos,baja,conclusion,True,False
4,B0_base,decimal_coma,decimal_punto,True,False
4,B0_base,nombre_uno,nombre_dos,True,True
4,B0_base,baja,extranjero,True,False
4,B0_base,baja,conclusion,False,False
4,B1_numeros,decimal_coma,decimal_punto,True,False
4,B1_numeros,nombre_uno,nombre_dos,True,True
4,B1_numeros,baja,extranjero,True,False
4,B1_numeros,baja,conclusion,False,False
4,B2_contexto,decimal_coma,decimal_punto,True,False
4,B2_contexto,nombre_uno,nombre_dos,True,True
4,B2_contexto,baja,extranjero,True,False
4,B2_contexto,baja,conclusion,True,False
4,B3_ambos,decimal_coma,decimal_punto,True,False
4,B3_ambos,nombre_uno,nombre_dos,True,True
4,B3_ambos,baja,extranjero,True,False
4,B3_ambos,baja,conclusion,True,False
5,B0_base,decimal_coma,decimal_punto,True,False
5,B0_base,nombre_uno,nombre_dos,True,True
5,B0_base,baja,extranjero,False,False
5,B0_base,baja,conclusion,False,False
5,B1_numeros,decimal_coma,decimal_punto,True,False
5,B1_numeros,nombre_uno,nombre_dos,True,True
5,B1_numeros,baja,extranjero,False,False
5,B1_numeros,baja,conclusion,False,False
5,B2_contexto,decimal_coma,decimal_punto,True,False
5,B2_contexto,nombre_uno,nombre_dos,True,True
5,B2_contexto,baja,extranjero,False,False
5,B2_contexto,baja,conclusion,False,False
5,B3_ambos,decimal_coma,decimal_punto,True,False
5,B3_ambos,nombre_uno,nombre_dos,True,True
5,B3_ambos,baja,extranjero,False,False
5,B3_ambos,baja,conclusion,False,False
