fold,variante,n_train,n_validacion,vocabulario_a,vocabulario_b,vocabulario_contexto,accuracy,macro_f1,f1_hawkish,f1_dovish,f1_neutral,recall_hawkish,recall_dovish,recall_neutral,precision_hawkish,precision_dovish,precision_neutral,n_hawkish,n_dovish,n_neutral
1,B0_base,1194,158,4431,36444,0,0.9240506329113924,0.7417974711140177,0.625,0.6363636363636364,0.9640287769784173,0.625,0.875,0.9436619718309859,0.625,0.5,0.9852941176470589,8,8,142
1,B1_numeros,1194,158,4431,37044,0,0.930379746835443,0.7531362007168458,0.625,0.6666666666666666,0.967741935483871,0.625,0.875,0.9507042253521126,0.625,0.5384615384615384,0.9854014598540146,8,8,142
1,B2_contexto,1194,158,4431,36444,15975,0.9113924050632911,0.7090963592762153,0.625,0.5454545454545454,0.9568345323741008,0.625,0.75,0.9366197183098591,0.625,0.42857142857142855,0.9779411764705882,8,8,142
1,B3_ambos,1194,158,4431,37044,16176,0.9050632911392406,0.6933509063472961,0.5555555555555556,0.5714285714285714,0.9530685920577617,0.625,0.75,0.9295774647887324,0.5,0.46153846153846156,0.9777777777777777,8,8,142
2,B0_base,1193,159,4433,36374,0,0.9622641509433962,0.8700617283950617,0.875,0.75,0.9851851851851852,1.0,0.75,0.9708029197080292,0.7777777777777778,0.75,1.0,14,8,137
2,B1_numeros,1193,159,4433,36950,0,0.9622641509433962,0.8700617283950617,0.875,0.75,0.9851851851851852,1.0,0.75,0.9708029197080292,0.7777777777777778,0.75,1.0,14,8,137
2,B2_contexto,1193,159,4433,36374,15399,0.9685534591194969,0.8807185652501687,0.9032258064516129,0.75,0.988929889298893,1.0,0.75,0.9781021897810219,0.8235294117647058,0.75,1.0,14,8,137
2,B3_ambos,1193,159,4433,36950,15601,0.9685534591194969,0.8807185652501687,0.9032258064516129,0.75,0.988929889298893,1.0,0.75,0.9781021897810219,0.8235294117647058,0.75,1.0,14,8,137
3,B0_base,1193,159,4483,37233,0,0.9119496855345912,0.7744074343296133,0.7428571428571429,0.6153846153846154,0.9649805447470817,0.8125,0.5714285714285714,0.9612403100775194,0.6842105263157895,0.6666666666666666,0.96875,16,14,129
3,B1_numeros,1193,159,4483,37860,0,0.9056603773584906,0.7490675889897681,0.7222222222222222,0.56,0.9649805447470817,0.8125,0.5,0.9612403100775194,0.65,0.6363636363636364,0.96875,16,14,129
3,B2_contexto,1193,159,4483,37233,15505,0.9119496855345912,0.7973341567598168,0.7647058823529411,0.6666666666666666,0.9606299212598425,0.8125,0.7142857142857143,0.9457364341085271,0.7222222222222222,0.625,0.976,16,14,129
3,B3_ambos,1193,159,4483,37860,15696,0.9056603773584906,0.7887963039353189,0.7647058823529411,0.6451612903225806,0.9565217391304348,0.8125,0.7142857142857143,0.937984496124031,0.7222222222222222,0.5882352941176471,0.9758064516129032,16,14,129
4,B0_base,1193,159,4440,37080,0,0.8805031446540881,0.7038169066076043,0.6857142857142857,0.48,0.9457364341085271,0.7058823529411765,0.75,0.9104477611940298,0.6666666666666666,0.35294117647058826,0.9838709677419355,17,8,134
4,B1_numeros,1193,159,4440,37734,0,0.8867924528301887,0.7127375823027996,0.6666666666666666,0.5217391304347826,0.9498069498069498,0.7058823529411765,0.75,0.917910447761194,0.631578947368421,0.4,0.984,17,8,134
4,B2_contexto,1193,159,4440,37080,15626,0.8930817610062893,0.7158647227612746,0.7428571428571429,0.45454545454545453,0.9501915708812261,0.7647058823529411,0.625,0.9253731343283582,0.7222222222222222,0.35714285714285715,0.9763779527559056,17,8,134
4,B3_ambos,1193,159,4440,37734,15824,0.8930817610062893,0.7158647227612746,0.7428571428571429,0.45454545454545453,0.9501915708812261,0.7647058823529411,0.625,0.9253731343283582,0.7222222222222222,0.35714285714285715,0.9763779527559056,17,8,134
5,B0_base,1194,158,4450,36379,0,0.930379746835443,0.8113275613275613,0.7142857142857143,0.75,0.9696969696969697,0.7142857142857143,0.8181818181818182,0.9624060150375939,0.7142857142857143,0.6923076923076923,0.9770992366412213,14,11,133
5,B1_numeros,1194,158,4450,37016,0,0.930379746835443,0.8113275613275613,0.7142857142857143,0.75,0.9696969696969697,0.7142857142857143,0.8181818181818182,0.9624060150375939,0.7142857142857143,0.6923076923076923,0.9770992366412213,14,11,133
5,B2_contexto,1194,158,4450,36379,15787,0.9240506329113924,0.7787470577584646,0.6428571428571429,0.72,0.973384030418251,0.6428571428571429,0.8181818181818182,0.9624060150375939,0.6428571428571429,0.6428571428571429,0.9846153846153847,14,11,133
5,B3_ambos,1194,158,4450,37016,15996,0.930379746835443,0.803093822105229,0.6666666666666666,0.7692307692307693,0.973384030418251,0.6428571428571429,0.9090909090909091,0.9624060150375939,0.6923076923076923,0.6666666666666666,0.9846153846153847,14,11,133
