intervencion_id,n_ventanas,caracteres,caracteres_contexto,numero_ambiguo
RPM-2005-01-11:24:1,1,354,354,False
RPM-2005-01-11:45:1,1,184,184,False
RPM-2005-01-11:48:1,1,463,463,False
RPM-2005-03-10:165:1,0,435,0,False
RPM-2005-03-10:180:1,0,643,0,False
RPM-2005-04-07:207:10,0,79,0,False
RPM-2005-10-11:405:1,0,49,0,False
RPM-2005-10-11:436:1,0,128,0,False
RPM-2005-11-10:479:1,0,641,0,False
RPM-2005-11-10:500:1,2,3668,2302,False
RPM-2005-11-10:503:2,1,142,142,False
RPM-2006-01-12:527:1,1,1607,1607,False
RPM-2006-01-12:571:1,4,4683,4086,False
RPM-2006-02-09:587:9,1,73,73,False
RPM-2006-03-16:601:2,1,3688,376,False
RPM-2006-07-13:745:6,0,406,0,False
RPM-2006-07-13:761:1,0,505,0,False
RPM-2006-08-10:806:1,0,1037,0,False
RPM-2006-08-10:808:1,1,10320,442,True
RPM-2006-09-07:835:1,0,249,0,False
RPM-2006-09-07:857:1,0,506,0,False
RPM-2006-09-07:873:1,3,5440,675,False
RPM-2006-10-12:941:1,4,2134,1347,False
RPM-2006-12-14:1017:1,2,6728,2178,False
RPM-2007-01-11:1030:1,0,219,0,False
RPM-2007-01-11:1047:5,0,88,0,False
RPM-2007-01-11:1049:3,2,2651,1653,False
RPM-2007-02-08:1087:1,0,2460,0,False
RPM-2007-02-08:1103:1,0,83,0,False
RPM-2007-05-10:1233:2,0,272,0,False
RPM-2007-05-10:1241:1,0,322,0,False
RPM-2007-05-10:1261:2,2,2159,957,False
RPM-2007-06-14:1296:3,0,379,0,False
RPM-2007-07-12:1325:1,0,82,0,False
RPM-2007-10-11:1505:1,0,275,0,False
RPM-2007-12-13:1577:1,0,473,0,False
RPM-2007-12-13:1582:2,0,299,0,False
RPM-2007-12-13:1587:2,2,13435,1610,True
RPM-2007-12-13:1590:1,0,1142,0,False
RPM-2007-12-13:1594:2,0,614,0,False
RPM-2007-12-13:1596:1,0,314,0,False
RPM-2007-12-13:1608:3,0,112,0,False
RPM-2008-01-10:1619:2,0,350,0,False
RPM-2008-01-10:1628:2,1,74,74,False
RPM-2008-02-07:1649:2,0,336,0,False
RPM-2008-02-07:1672:1,2,4212,3157,False
RPM-2008-03-13:1716:1,0,156,0,False
RPM-2008-03-13:1718:12,0,324,0,False
RPM-2008-03-13:1724:1,0,100,0,False
RPM-2008-05-08:1808:1,0,531,0,False
RPM-2008-05-08:1841:1,0,134,0,False
RPM-2008-06-10:1854:1,0,244,0,False
RPM-2008-06-10:1870:3,0,305,0,False
RPM-2008-06-10:1878:1,0,941,0,False
RPM-2008-06-10:1904:1,2,3049,1663,False
RPM-2008-07-10:1923:8,1,6736,299,False
RPM-2008-07-10:1959:1,0,930,0,False
RPM-2008-08-14:2011:1,0,85,0,False
RPM-2008-08-14:2017:1,0,573,0,False
RPM-2008-08-14:2045:1,3,2205,1870,False
RPM-2008-09-04:2048:1,1,212,212,False
RPM-2008-09-04:2083:1,0,161,0,False
RPM-2008-09-04:2088:1,4,4349,3009,False
RPM-2008-12-11:2176:1,1,705,705,False
RPM-2008-12-11:2187:1,0,192,0,False
RPM-2009-05-07:2517:1,0,261,0,False
RPM-2009-05-07:2519:1,0,255,0,False
RPM-2009-05-07:2528:2,0,650,0,False
RPM-2009-05-07:2532:2,0,523,0,False
RPM-2009-07-09:2608:4,0,106,0,False
RPM-2009-07-09:2644:2,1,4102,4102,False
RPM-2009-08-13:2659:1,0,1191,0,False
RPM-2009-09-08:2689:1,1,1633,1633,False
RPM-2009-09-08:2699:4,0,2251,0,False
RPM-2009-09-08:2711:2,1,1523,549,False
RPM-2009-10-13:2714:1,1,295,295,False
RPM-2009-10-13:2725:5,0,774,0,False
RPM-2009-10-13:2742:1,0,242,0,False
RPM-2009-12-15:2809:1,0,213,0,False
RPM-2009-12-15:2821:1,0,1395,0,False
RPM-2009-12-15:2823:2,0,1365,0,False
RPM-2009-12-15:2829:1,0,381,0,False
RPM-2010-02-11:2911:2,0,43,0,False
RPM-2010-02-11:2918:2,0,215,0,False
RPM-2010-02-11:2933:1,0,2726,0,False
RPM-2010-02-11:2947:4,0,214,0,False
RPM-2010-02-11:2957:3,0,117,0,False
RPM-2010-04-15:3042:1,0,454,0,False
RPM-2010-04-15:3044:3,0,221,0,False
RPM-2010-04-15:3051:4,0,1705,0,False
