intervencion_id,meeting_id,fold,etiqueta_ia,relevancia_ia,pred_a,pred_b_sin_mascara,pred,acierto,confusion_hd,texto,texto_identico_en_train
RPM-2005-03-10:165:1,RPM-2005-03-10,1,neutral,1,1,neutral,neutral,True,False,"Señala el señor Ministro que si las explicaciones al alto nivel del tipo de cambio real corresponden a la primera o a la segunda hipótesis, parecería que tendremos mayores niveles inflacionarios que en otros ciclos, lo que puede ser bueno porque el tipo de cambio real se apreciaría menos. Si fuera la tercera hipótesis, significaría que habría que esperar más apreciación cambiaria conforme sigamos acercándonos al producto potencial.",False
RPM-2005-03-10:180:1,RPM-2005-03-10,1,neutral,1,1,neutral,neutral,True,False,"El Gerente de Análisis Financiero, señor Sergio Lehmann, estima que es importante también poner sobre el tapete de la discusión algo que se mencionó en la reunión de la mañana que se refiere al balance de riesgo, que, al menos, desde el punto de vista de la División Internacional, es más bien negativo, desde el punto de vista de la inflación externa que, al parecer, puede presentar algunas presiones en ese sentido, así como también en lo referente al precio del petróleo, y por lo tanto, desde el punto de vista de la estrategia táctica habría que tomar en consideración esos escenarios de manera de no aparecer también sobrerreaccionando.",False
RPM-2006-08-10:806:1,RPM-2006-08-10,1,neutral,1,1,neutral,neutral,True,False,"El Presidente señor Vittorio Corbo, indica que estas proyecciones que están muy
alineadas, se construyen con un modelo de interacción entre países, o sea, el efecto de
Estados Unidos de América en los otros países es tomado en cuenta dentro de un modelo
integrado. Le parece al señor Presidente que se presenta un escenario en el que la economía
mundial se está desacelerando como se esperaba, y la duda es si se intensifica esta
desaceleración, especialmente si Estados Unidos de América tiene una corrección más grande en el precio de las viviendas. Sin embargo, cree que se trata de una desaceleración buscada,
que va en la dirección correcta. Comenta que existe un riesgo adicional que es el petróleo,
pero le parece que el escenario central sigue siendo favorable. Además menciona que existen,
aparte del petróleo, otros riesgos como que la inflación en los países industriales sea mucho
más persistente de lo que se pensaba y ello significa aumento de tasas de interés más fuerte y
en esta situación sí habría mayor desaceleración.",False
RPM-2006-08-10:808:1,RPM-2006-08-10,1,neutral,1,1,neutral,neutral,True,False,"El señor Magendzo señala que tipo de cambio no ha mostrado grandes
movimientos, oscilando entre $ 539 y $ 546 por dólar en el último mes y promediando en lo
más reciente una cifra algo por sobre la vigente al cierre de la reunión de julio. Las medidas
multilaterales, TCM, TCM-5 y TCM-X tuvieron variaciones de 0,9%, 1,0% y 0,8% en igual lapso,
respectivamente. El TCR finalizó julio con un nivel promedio de 93,7, igual al valor del mes
anterior.
Al igual que el mes pasado, señala el señor Magendzo, la expansividad de las
condiciones financieras internas no continuó reduciéndose.
Las tasas de interés de los
documentos en pesos del Banco Central de Chile cayeron desde la última reunión, los BCP
entre 15 y 17 puntos base, lo mismo que las de los BCU, entre 12 y 13 puntos base, ambas en
línea con sus símiles externas.
La tasa de crecimiento anual del dinero M1 disminuyó
levemente, manteniéndose por sobre los niveles de los primeros meses del año. El incremento
anual de los agregados crediticios sigue estable en niveles altos, al igual que en los últimos
dieciocho meses. La tasa de interés aplicada en las colocaciones de consumo cayó en julio 30
puntos base, hasta 27,4% anual, mientras la de operaciones con empresas no varió, 10,4%
anual.
La bolsa local, en línea con otras economías emergentes, aumentó su valor, 3,3%
medida en pesos desde el cierre de la reunión de julio.
Hace presente el señor Magendzo, que las cifras de junio indicaron, por segundo
mes consecutivo, que la actividad continúa aumentando lentamente su tasa de crecimiento una
vez eliminados efectos estacionales y calendario.
La tasa de crecimiento anual del Imacec
llegó a 4,5% en junio, cifra por debajo de lo esperado hace un mes por el mercado (5% a
5,5%). Al mismo tiempo, se siguió apreciando una heterogeneidad en la evolución sectorial,
con un mayor dinamismo del comercio y uno menor de la industria. Con esto, en el segundo
trimestre la actividad habría aumentado a una tasa cercana a 4,5% anual (5,1% el primer
trimestre). Los antecedentes disponibles apuntan a que el ritmo de crecimiento contemplado
para el segundo semestre sería algo inferior al previsto.
Menciona el señor Gerente, que durante el último mes se conjugaron diversas
noticias de distinto signo sobre la inversión.
En julio las importaciones de bienes de capital
totalizaron US$ 607 millones CIF (US$ 641 y US$ 577 millones en mayo y junio,
respectivamente), y su tasa de variación anual fue negativa: -2,7% (16,6% y -1,3% en mayo y
junio, respectivamente), principalmente por el efecto de la alta base de comparación de 2005.
Las ventas del sector inmobiliario mostraron una fuerte caída anual en junio: -16% (1,4% y -
10,2% en abril y mayo), tendencia que fue corroborada por fuentes alternativas, apreciándose
un aumento en el número de meses necesarios para agotar el stock disponible (esto pese a
que se aprecian divergencias de la evolución del stock en las distintas fuentes de información).
Los indicadores de actividad del sector construcción para junio muestran tasas de variación
anual crecientes, aunque en julio, considerada la escasa información disponible, el panorama
es menos optimista.
Finalmente, la información del catastro de obras de ingeniería de julio
indicó una corrección al alza en el valor de los proyectos para el período 2006-2009. Para el
año en curso, la corrección fue relativamente acotada, con tasas de variación anual similares a las informadas en abril, pero con perfiles de cumplimiento algo distintos. Para el 2007, 2008 y
2009, en cambio, se verificó una corrección importante en el valor de los proyectos. Más allá
de que en la medida que se acerca el período calendario se incorpora mayor información, la
revisión de 2007 a esta fecha fue del orden de 30% en el valor de los proyectos, cifra mayor a
la observada el año anterior para la inversión proyectada a un año plazo (10%).
Comenta el señor Magendzo, que la evolución de los indicadores parciales del
resto de la demanda interna —consumo y existencias— sigue en línea con el escenario base
del IPoM de mayo y lo apreciado en los meses recientes.
Agrega, que los indicadores
parciales de consumo de junio, con su volatilidad habitual, apuntan a tasas de crecimiento
anual similares a las del primer trimestre. El comportamiento de los indicadores de consumo
reafirma la resistencia que este componente de la demanda interna ha mostrado a los altos
precios del petróleo y sus derivados. Con ello, se sigue configurando un escenario en que la
demanda interna continúa creciendo a tasas similares a las previstas, pero con un mayor
protagonismo del consumo y uno menor de la inversión.
Señala el Gerente de Análisis Macroeconómico, respecto de las expectativas de
consumidores y productores en el último mes, que éstas no repitieron la importante caída de
junio, tendiendo a mantenerse en los niveles relativamente bajos alcanzados en dicho mes. El
IPEC subió 0,3 puntos respecto de junio, siguiendo en la zona pesimista (48,5).
El IMCE
aumentó 0,5 puntos, llegando a 52,3, aún en la zona optimista. La revisión de las preguntas
que conforman el IPEC apunta a que las expectativas respecto del consumo, en particular el
durable, siguen en la zona optimista y con un crecimiento bastante mayor al del agregado en
julio.
Por otra parte, indica que en julio las exportaciones industriales sorprendieron al
alza, en parte importante por los mayores precios de algunos envíos, en particular la celulosa y
la harina de pescado. Desde la perspectiva de los volúmenes, estos siguen creciendo a tasas
anuales moderadas y similares a las de meses previos. Los envíos mineros se han recuperado
por mayores exportaciones de cobre y mejores precios. En cuanto a las importaciones, las de
consumo siguen relativamente dinámicas. Así, en julio las exportaciones registraron US$ 5.558
millones FOB (69% anual), mientras las importaciones llegaron a US$ 2.913 millones FOB (9%
anual).
También señala el señor Gerente, que en el mercado laboral, las cifras
publicadas por el INE del trimestre móvil abril-junio siguen sin ser comparables con las del año
anterior debido a las innovaciones realizadas en la encuesta de empleo.
Utilizando un
empalme preliminar, el crecimiento anual de los ocupados se desacelera respecto de los
valores de comienzos de año, principalmente por un menor dinamismo del empleo por cuenta
propia.
El empleo asalariado, en tanto, desacelera su tasa de crecimiento anual menos
marcadamente que el empleo total, manteniéndose éste en valores algo superiores a 3%. Esta
trayectoria es coherente con la que se aprecia en otras fuentes de información del mercado
laboral. Por su lado, la tasa de desempleo, eliminada estacionalidad, descendió a 8,4% (8,9%
en marzo; 8,7% en mayo).
En todo caso, esta evaluación podría cambiar una vez que se
disponga de un empalme definitivo.
En relación con los costos laborales, el señor Magendzo menciona que en junio
la tasa de crecimiento anual de los salarios nominales nuevamente no tuvo mayores
variaciones, alcanzando un aumento de 5,5% en el costo de la mano de obra (igual al mes
anterior).
Por su lado, la tasa de crecimiento anual de los costos laborales unitarios (CLU),
calculados a partir de los datos publicados, cayó marginalmente respecto del mes anterior:
7,9% y 7,2% para los CLU totales y CLUX, respectivamente (8,0% y 7,3% el mes anterior,
respectivamente). Sin embargo, sigue siendo difícil precisar cuánto de la mayor variación anual
de los CLU podría responder a presiones genuinas de costos o más bien reflejar la volatilidad
propia de la productividad medida y de los cambios a las mediciones del empleo y los salarios.
Por otra parte, en julio la inflación IPC estuvo en línea con lo proyectado internamente, pero en el límite superior de las proyecciones de mercado (0,5% mensual; 3.8% anual), aunque las
medidas subyacentes estuvieron algo por encima. La inflación de IPCX aumentó 0,5% en el
mes (3,2% anual), afectada por el incremento en la tarifa del transporte público. La inflación del
IPCX1 aumentó 0,3% en el mes, con una tasa de variación anual que se mantiene por debajo
de 3% (2,6% en julio; 2,7% en junio). Al mismo tiempo, la velocidad de expansión del IPCX1 se
mantuvo en cifras del orden de 2% anualizado, y la tasa de variación anual de los indicadores
alternativos, medias podadas e IPCX2, siguieron oscilando en torno a los valores de los últimos
meses, sin una trayectoria clara de aumento o disminución.
Por otro lado, las tasas de
crecimiento anual de los precios al productor y mayoristas han tenido aumentos sustanciales en
los últimos meses (24% y 10% el IPP e IPM en julio; 11% y 3% en diciembre, respectivamente).
Sin embargo, considerados los precios mayormente vinculados al IPCX1 se aprecia un
panorama bastante distinto. En el caso del IPP, los precios con contraparte en el IPCX1 crecen
3,4% anual en julio (2,9% en diciembre; 4,2% en marzo), mientras los precios de durables del
IPM caen 4% anual en julio (-3% en diciembre; -4,5% en marzo).
Indica el señor Gerente, que la generalidad de las medidas de expectativas de
inflación de mediano plazo siguieron bien ancladas en torno a 3%, aunque han mostrado
comportamientos algo diferentes según su medición. La compensación inflacionaria a 2, 5 y 10
años, continuó en valores marginalmente por encima de 3%.
La Encuesta de Expectativas
Económicas (EEE) de agosto mostró un incremento de la inflación esperada a diciembre de
este año, que ahora se ubica en 3,8% (3,4% el mes pasado).
A doce meses, en tanto, la
inflación esperada pasó de 3% el mes pasado a 3,2% este mes. A dos años plazo se mantuvo
en 3%. Respecto de la tasa de política monetaria (TPM), las expectativas que se deducen de
la curva forward son algo menores respecto de las consideradas hace un mes, derivándose
una TPM de 5,5% a diciembre de este año y una de 6,3% a diciembre de 2007 (5,7% y 6,4%,
respectivamente, el mes pasado). La EEE, en tanto, anticipa que la TPM se mantendría en
esta reunión, y llegaría a 5,5% y 6% a diciembre de 2006 y 2007, respectivamente, ambos
valores idénticos a lo esperado el mes anterior. Las expectativas de crecimiento de la actividad
para este año cayeron marginalmente (5,3%, comparado con 5,4% el mes anterior), mientras
que para el próximo aumentaron marginalmente (5,3%, comparado con 5,2% el mes anterior).",False
RPM-2007-06-14:1296:3,RPM-2007-06-14,1,neutral,1,1,neutral,neutral,True,False,"Agrega el Vicepresidente señor José De Gregorio que la inversión sigue creciendo muy fuerte y empuja a la demanda hacia arriba, mucho más arriba del promedio comparado con consumo y con cualquier otro determinante. Desde el punto de vista de la demanda agregada, lo que más contribuye a su crecimiento puede ser el consumo, pero es la inversión el ítem que está creciendo fuerte.",False
RPM-2007-07-12:1325:1,RPM-2007-07-12,1,neutral,0,0,neutral,neutral,True,False,El señor Presidente ofrece la palabra para comentarios sobre el escenario interno.,False
RPM-2008-06-10:1854:1,RPM-2008-06-10,1,neutral,1,1,neutral,neutral,True,False,"El Consejero señor Sebastián Claro consulta cuál es la explicación que en la tabla que se exhibe aparezca una creación de empleo de menos 60 mil con una tasa de 5,1%, si la creación de empleo real fue menos 49 mil y figura con una tasa de 5,5%.",False
RPM-2008-06-10:1870:3,RPM-2008-06-10,1,neutral,1,1,neutral,neutral,True,False,"El Consejero señor Marfán menciona que su observación conduce a evitar que se pueda decir que hay que bajar más, que el impuesto que está implícito es más alto de lo que está diciendo el Gobierno, o cosas por el estilo. Indica que hay situaciones delicadas como ésta, en que hay muchos pesos de por medio.",False
RPM-2008-06-10:1878:1,RPM-2008-06-10,1,neutral,1,1,neutral,neutral,True,False,"El Gerente de División Estudios señor Pablo García, en relación a la consulta del señor Vicepresidente menciona que existen dos aspectos a considerar. Uno de ellos es que la aceleración del primer trimestre y parte del segundo es la evolución del ciclo y el rebote de lo que se observó la segunda mitad del año pasado. Agrega que hacia el segundo semestre estaría afectando la desaceleración global y el efecto que eso tiene sobre el crecimiento en Chile y que de hecho, si se recuerdan las discusiones del IPoM, se hablaba de la ampliación de brechas que comienzan desde el segundo al cuarto trimestre y que después hacia la mitad del próximo año nuevamente comienza a cerrarse la brecha. En consecuencia, la desaceleración y la ampliación de brecha que se consideraba en el IPoM es producto del escenario mundial que es justamente hacia fines de este año y principios del próximo, lo que se captura, en parte, en la desaceleración del PIB.",False
RPM-2008-06-10:1904:1,RPM-2008-06-10,1,hawkish,1,1,hawkish,hawkish,True,False,"El Gerente de Mercados Financieros Nacionales señor Beltrán De Ramón manifiesta que desde la Reunión de Política Monetaria anterior, se han tenido las siguientes noticias inesperadas que han cambiado el panorama inflacionario que se enfrenta: a) La inflación proyectada por el Banco Central de Chile a diciembre pasó de 4,7% (IPoM) a 6,2% (Reunión de Política Monetaria de junio), esto es, 150 puntos base en menos de un mes. Los factores detrás de este aumento fueron ampliamente debatidos en la Reunión de la mañana. Sin embargo, consigna que la sorpresa en el IPC de mayo representa sólo un tercio de este aumento. b) Las expectativas de inflación medidas en encuestas y las compensaciones inflacionarias de los distintos instrumentos han subido significativamente, destacando que estas últimas han aumentado en aproximadamente 70 puntos base para los próximos doce meses y 85 puntos base para los siguientes doce meses. Si bien se sabe que estas compensaciones tienen premios, le parece que es ilustrativo observar que la proyección de inflación del mercado a diciembre está en 6,5%, no muy distinto a lo reportado por la Gerencia de División Estudios. Manifiesta el señor Gerente que por el lado de la actividad y salarios, no se observan elementos significativamente distintos a lo proyectado anteriormente. Señala que el conjunto de antecedentes anteriores, materializa un escenario de riesgos que es distinto al proyectado en el IPoM, el cual al mismo tiempo aleja al Banco Central de Chile del pronóstico de que la inflación va a converger al rango de meta a mediados del año 2009. El riesgo mayor, y es lo que se debe evitar, es que los aumentos de precios se hagan más persistentes y que los agentes se acostumbren a tener inflaciones altas por más de dos años, considerando que subió del 4% hace casi un año (julio 2007) y que en el mejor escenario en algo menos de un año más volvería a 4%. Este acostumbramiento, podría hacer que incluso la vuelta al rango meta se postergue hasta fines del año 2009, configurando dos años y medio de inflaciones por sobre el 4%. Con estos antecedentes, el Gerente señor De Ramón recomienda al Consejo un aumento de 50 puntos base en la Tasa de Política Monetaria en esta Reunión. Indica que un aumento de 25 puntos base sería visto como una respuesta inadecuada a un shock de inflación de magnitud y a expectativas de inflación que han subido significativamente y un aumento de 50 puntos base, hasta 6,75%, si bien es inesperado, está incorporado en la curva swap para los próximos dos o tres meses. Señala que si bien un aumento mayor a 50 puntos base debe eliminarse, para no distorsionar significativamente los precios, considera que no debe descartarse para nada realizar otros aumentos adicionales en los próximos meses, considerando que una sorpresa de 150 puntos base para el año 2008, como está considerado en el escenario de proyecciones de esta Reunión de Política Monetaria, es altamente probable si se cumple la proyección de la Gerencia de División Estudios y de los seguros de inflación.",False
