fold,etapa,termino,df_train,reuniones_train,coef_contraste,contraste
1,A,agrega,368,99,0.9694231655028978,relevante_vs_irrelevante
1,A,alza,254,93,1.3893791932127122,relevante_vs_irrelevante
1,A,ano,331,99,1.4048266756926127,relevante_vs_irrelevante
1,A,anual,146,77,0.9684777012691402,relevante_vs_irrelevante
1,A,base,242,85,0.8021091175627865,relevante_vs_irrelevante
1,A,cambio,242,94,0.8113810965997099,relevante_vs_irrelevante
1,A,como,399,110,0.9913610771939049,relevante_vs_irrelevante
1,A,con,614,116,1.7875977557235936,relevante_vs_irrelevante
1,A,consumo,166,73,0.9666844236948818,relevante_vs_irrelevante
1,A,crecimiento,324,103,1.2697350927798792,relevante_vs_irrelevante
1,A,cuanto,188,84,1.035856726776201,relevante_vs_irrelevante
1,A,del,792,117,1.1841858237363176,relevante_vs_irrelevante
1,A,en,909,117,2.3012769776798927,relevante_vs_irrelevante
1,A,es,585,114,1.0227106933846264,relevante_vs_irrelevante
1,A,este,415,106,1.1823996848117355,relevante_vs_irrelevante
1,A,ha,468,113,1.005850498663665,relevante_vs_irrelevante
1,A,inflacion,380,105,1.4949390680111931,relevante_vs_irrelevante
1,A,lo,656,113,1.388246186613246,relevante_vs_irrelevante
1,A,los,728,117,1.2502178911225763,relevante_vs_irrelevante
1,A,mas,516,110,1.4796838986786187,relevante_vs_irrelevante
1,A,petroleo,169,69,1.0222153201664401,relevante_vs_irrelevante
1,A,proyeccion,143,66,1.1093057304851563,relevante_vs_irrelevante
1,A,puntos,205,78,1.1031867574491319,relevante_vs_irrelevante
1,A,que,1025,118,2.690485098958898,relevante_vs_irrelevante
1,A,se,898,118,1.3658392177330432,relevante_vs_irrelevante
1,A,senala,484,104,1.0915025034559873,relevante_vs_irrelevante
1,A,si,419,105,0.6551517696067373,relevante_vs_irrelevante
1,A,sobre,352,110,0.6250256633637714,relevante_vs_irrelevante
1,A,su,471,114,0.8964715097323097,relevante_vs_irrelevante
1,A,tambien,368,103,0.7289836336660781,relevante_vs_irrelevante
1,A,tasa,381,108,2.318880965916707,relevante_vs_irrelevante
1,A,tipo,161,83,1.1541449570367819,relevante_vs_irrelevante
1,A,un,660,116,1.7107940224108875,relevante_vs_irrelevante
1,A,una,607,115,1.0756567388582896,relevante_vs_irrelevante
2,A,agrega,374,101,0.9816319613685772,relevante_vs_irrelevante
2,A,alza,250,94,1.3956357529239396,relevante_vs_irrelevante
2,A,ano,329,101,1.194141305987652,relevante_vs_irrelevante
2,A,anual,153,82,0.990248433228478,relevante_vs_irrelevante
2,A,base,237,84,0.798729720286532,relevante_vs_irrelevante
2,A,cambio,247,93,0.7729758346721735,relevante_vs_irrelevante
2,A,como,401,109,0.9532146502230345,relevante_vs_irrelevante
2,A,con,625,115,1.778815454057011,relevante_vs_irrelevante
2,A,consumo,163,73,1.0718615746974272,relevante_vs_irrelevante
2,A,crecimiento,331,103,1.0922607965972926,relevante_vs_irrelevante
2,A,cuanto,193,87,1.0143113324856077,relevante_vs_irrelevante
2,A,del,790,116,0.7486519023279401,relevante_vs_irrelevante
2,A,en,920,116,2.0543621147258575,relevante_vs_irrelevante
2,A,es,590,113,1.099640106888796,relevante_vs_irrelevante
2,A,este,415,105,1.0149165393707003,relevante_vs_irrelevante
2,A,ha,465,113,0.8733902478324189,relevante_vs_irrelevante
2,A,inflacion,375,104,1.2940332993875716,relevante_vs_irrelevante
2,A,lo,670,112,1.528673518587812,relevante_vs_irrelevante
2,A,los,746,116,1.5404414098113928,relevante_vs_irrelevante
2,A,mas,529,109,1.4435106602626897,relevante_vs_irrelevante
2,A,petroleo,163,68,0.8615120188431207,relevante_vs_irrelevante
2,A,proyeccion,141,67,1.0833754275463712,relevante_vs_irrelevante
2,A,puntos,204,79,1.1228623909345172,relevante_vs_irrelevante
2,A,que,1028,117,2.556269576802733,relevante_vs_irrelevante
2,A,se,898,117,1.293350879620608,relevante_vs_irrelevante
2,A,senala,491,104,1.1125450353842747,relevante_vs_irrelevante
2,A,si,419,105,0.6438259574462372,relevante_vs_irrelevante
2,A,sobre,361,108,1.0498168776628634,relevante_vs_irrelevante
2,A,su,472,114,0.7871557021173015,relevante_vs_irrelevante
2,A,tambien,363,104,0.5982736152703118,relevante_vs_irrelevante
2,A,tasa,400,108,2.444295012154334,relevante_vs_irrelevante
2,A,tipo,170,80,1.1815630963822448,relevante_vs_irrelevante
2,A,un,664,115,1.5864654940419674,relevante_vs_irrelevante
2,A,una,620,115,1.170703734386954,relevante_vs_irrelevante
3,A,agrega,378,100,1.0976063639560434,relevante_vs_irrelevante
3,A,alza,254,93,1.3618679274501075,relevante_vs_irrelevante
3,A,ano,329,100,1.3160697185727916,relevante_vs_irrelevante
3,A,anual,151,78,1.1135264990348746,relevante_vs_irrelevante
3,A,base,230,82,0.7032339852156863,relevante_vs_irrelevante
3,A,cambio,248,94,0.8626523011214113,relevante_vs_irrelevante
3,A,como,397,109,1.018462688521654,relevante_vs_irrelevante
3,A,con,624,116,1.6971712723413872,relevante_vs_irrelevante
3,A,consumo,161,68,1.071910883713006,relevante_vs_irrelevante
3,A,crecimiento,324,102,1.2076037425792157,relevante_vs_irrelevante
