ngrama,n_palabras,intervenciones,reuniones,apariciones,tfidf_medio,df_hawkish,tasa_hawkish,df_dovish,tasa_dovish,df_neutral,tasa_neutral,asociacion_hawkish,asociacion_dovish,senal,justificacion
el,1,1333,132,12188,0.036974926519044125,115,0.9871794871794872,89,0.9944444444444445,1129,0.9838850174216028,0.00312357108568217,0.014392914130649056,no_revisado,
de,1,1234,132,23666,0.04275490039259283,116,0.9957264957264957,89,0.9944444444444445,1029,0.8967770034843205,0.13910166898812676,0.13398168580700962,no_revisado,
la,1,1186,132,12825,0.03386229592728567,116,0.9957264957264957,89,0.9944444444444445,981,0.8549651567944251,0.20238212966173605,0.1957382046889642,no_revisado,
senor,1,1172,132,2496,0.02363721691658616,92,0.7905982905982906,76,0.85,1004,0.875,-0.14383683095023003,-0.029374602133513564,sin_direccion,"Tratamiento protocolar de personas, no señal monetaria."
que,1,1161,132,15143,0.03917315645904832,114,0.9786324786324786,88,0.9833333333333333,959,0.835801393728223,0.208734324903195,0.2114267260716522,no_revisado,
en,1,1036,131,12640,0.03197670197856709,116,0.9957264957264957,89,0.9944444444444445,831,0.7243031358885017,0.42017729869733916,0.4077612960532305,no_revisado,
a,1,1027,132,5997,0.026258119976537243,115,0.9871794871794872,86,0.9611111111111111,826,0.7199477351916377,0.4203333581542809,0.3677385948699246,no_revisado,
se,1,1017,132,5798,0.026179308171920983,113,0.9700854700854701,86,0.9611111111111111,818,0.712979094076655,0.4078368600626391,0.3831439205425152,no_revisado,
y,1,971,131,6041,0.02489911899336326,114,0.9786324786324786,83,0.9277777777777778,774,0.6746515679442509,0.4974759924297344,0.4004039782928023,no_revisado,
del,1,897,131,4989,0.02317451526307946,111,0.9529914529914529,81,0.9055555555555556,705,0.6145470383275261,0.5838620098975831,0.48734673051681104,no_revisado,
las,1,852,130,4764,0.021854254086624076,111,0.9529914529914529,81,0.9055555555555556,660,0.5753484320557491,0.6688620828586395,0.569133459507771,no_revisado,
los,1,835,131,4986,0.022252009229295527,110,0.9444444444444444,81,0.9055555555555556,644,0.561411149825784,0.6873358207176523,0.6012787155518224,no_revisado,
