ngrama,n_palabras,intervenciones,reuniones,apariciones,tfidf_medio,df_hawkish,tasa_hawkish,df_dovish,tasa_dovish,df_neutral,tasa_neutral,asociacion_hawkish,asociacion_dovish
el,1,1333,132,12188,0.036974926519044125,115,0.9871794871794872,89,0.9944444444444445,1129,0.9838850174216028,0.00312357108568217,0.014392914130649056
de,1,1234,132,23666,0.04275490039259283,116,0.9957264957264957,89,0.9944444444444445,1029,0.8967770034843205,0.13910166898812676,0.13398168580700962
la,1,1186,132,12825,0.03386229592728567,116,0.9957264957264957,89,0.9944444444444445,981,0.8549651567944251,0.20238212966173605,0.1957382046889642
senor,1,1172,132,2496,0.02363721691658616,92,0.7905982905982906,76,0.85,1004,0.875,-0.14383683095023003,-0.029374602133513564
que,1,1161,132,15143,0.03917315645904832,114,0.9786324786324786,88,0.9833333333333333,959,0.835801393728223,0.208734324903195,0.2114267260716522
en,1,1036,131,12640,0.03197670197856709,116,0.9957264957264957,89,0.9944444444444445,831,0.7243031358885017,0.42017729869733916,0.4077612960532305
a,1,1027,132,5997,0.026258119976537243,115,0.9871794871794872,86,0.9611111111111111,826,0.7199477351916377,0.4203333581542809,0.3677385948699246
se,1,1017,132,5798,0.026179308171920983,113,0.9700854700854701,86,0.9611111111111111,818,0.712979094076655,0.4078368600626391,0.3831439205425152
y,1,971,131,6041,0.02489911899336326,114,0.9786324786324786,83,0.9277777777777778,774,0.6746515679442509,0.4974759924297344,0.4004039782928023
del,1,897,131,4989,0.02317451526307946,111,0.9529914529914529,81,0.9055555555555556,705,0.6145470383275261,0.5838620098975831,0.48734673051681104
las,1,852,130,4764,0.021854254086624076,111,0.9529914529914529,81,0.9055555555555556,660,0.5753484320557491,0.6688620828586395,0.569133459507771
los,1,835,131,4986,0.022252009229295527,110,0.9444444444444444,81,0.9055555555555556,644,0.561411149825784,0.6873358207176523,0.6012787155518224
por,1,753,130,3534,0.019885006795707035,109,0.9358974358974359,87,0.9722222222222222,557,0.4856271777003484,0.8450155766324876,0.8826776985907839
lo,1,750,127,2717,0.018477180209843073,107,0.9188034188034188,80,0.8944444444444445,563,0.49085365853658536,0.8206615767617236,0.7537510080575713
un,1,748,130,3283,0.018852704331050137,108,0.9273504273504274,79,0.8833333333333333,561,0.4891114982578397,0.8407615374957979,0.7378703618074731
al,1,710,130,1906,0.016399339807453856,96,0.8247863247863247,72,0.8055555555555556,542,0.4725609756097561,0.7314529022883838,0.673293932159639
con,1,698,130,2641,0.016874376253296294,107,0.9188034188034188,77,0.8611111111111112,514,0.4481707317073171,0.942223556642637,0.8084414760691808
una,1,691,129,2544,0.01708159111216195,104,0.8931623931623932,77,0.8611111111111112,510,0.44468641114982577,0.9111791560214859,0.8247828567490042
no,1,685,127,1968,0.01647518303559516,95,0.8162393162393162,72,0.8055555555555556,518,0.45165505226480834,0.7739006440315568,0.7309172081994578
de la,2,683,130,3078,0.017182810660420596,112,0.9615384615384616,78,0.8722222222222222,493,0.4298780487804878,1.057436568395524,0.8645652510447265
para,1,674,129,1926,0.016086345906495693,105,0.9017094017094017,73,0.8166666666666667,496,0.4324912891986063,0.9698122223920385,0.7791790695077161
es,1,670,128,2036,0.01704082082099538,97,0.8333333333333334,77,0.8611111111111112,496,0.4324912891986063,0.8459457031267509,0.8749478374797591
en el,2,663,127,2603,0.016386692875595615,109,0.9358974358974359,81,0.9055555555555556,473,0.4124564459930314,1.0620084748324288,0.9745415665368631
que se,2,651,125,1693,0.015255201584134868,91,0.782051282051282,74,0.8277777777777777,486,0.42378048780487804,0.7873943408715808,0.8574190360061699
esta,1,607,123,1550,0.014323573317394053,97,0.8333333333333334,70,0.7833333333333333,440,0.3837108013937282,1.0138282282647746,0.8813580597693992
mas,1,590,123,1965,0.014530614637561485,104,0.8931623931623932,73,0.8166666666666667,413,0.36019163763066203,1.1833282026927363,0.996184944297105
politica,1,567,125,2045,0.014711574970679717,115,0.9871794871794872,83,0.9277777777777778,369,0.32186411149825783,1.4322401248384549,1.2752790889063994
que la,2,566,123,1518,0.012566121672345752,103,0.8846153846153846,77,0.8611111111111112,386,0.3366724738675958,1.2393264942667597,1.152887007517971
senala,1,562,118,1095,0.01242961123446023,87,0.7478632478632479,63,0.7055555555555556,412,0.3593205574912892,0.9601746463647307,0.8362714708271758
que el,2,552,127,1428,0.012951141050945136,85,0.7307692307692307,61,0.6833333333333333,406,0.35409407665505227,0.9512950255038638,0.8133945508460875
de los,2,536,128,1550,0.012275471155690642,88,0.7564102564102564,59,0.6611111111111111,389,0.3392857142857143,1.0609064405567012,0.8073884922322607
su,1,530,128,1596,0.012703507938194024,102,0.8760683760683761,79,0.8833333333333333,349,0.3044425087108014,1.3385937707859115,1.3062284296509254
monetaria,1,522,122,1686,0.013450902903708283,113,0.9700854700854701,82,0.9166666666666666,327,0.2852787456445993,1.5510939110428714,1.3952516571728304
el senor,2,519,124,1108,0.013603161553949377,67,0.5769230769230769,45,0.5055555555555555,407,0.3549651567944251,0.6573066804732283,0.42945801502501507
ha,1,518,127,1506,0.012421687165596539,96,0.8247863247863247,67,0.75,355,0.3096689895470383,1.271914571491499,1.0701610714174008
a la,2,517,125,1086,0.011173921904688754,83,0.7136752136752137,64,0.7166666666666667,370,0.32273519163763065,1.0227569910526173,0.9981961667421598
senala que,2,515,115,825,0.011285086824227087,80,0.688034188034188,59,0.6611111111111111,376,0.3279616724738676,0.9666530349087175,0.8722743651711498
politica monetaria,2,514,122,1649,0.01329765263392677,113,0.9700854700854701,81,0.9055555555555556,320,0.27918118466898956,1.579557375166566,1.4007676228566708
lo que,2,501,117,1048,0.011680924597988366,64,0.5512820512820513,64,0.7166666666666667,373,0.32534843205574915,0.6403531140965281,1.0500157005509911
de politica,2,500,122,1578,0.012929896712394527,108,0.9273504273504274,78,0.8722222222222222,314,0.2739547038327526,1.5472674540584552,1.3837408695695086
si,1,477,118,851,0.012916398615459613,70,0.6025641025641025,45,0.5055555555555555,362,0.31576655052264807,0.8711601686733187,0.5631659695220375
en la,2,474,124,1130,0.010394377022195207,88,0.7564102564102564,65,0.7277777777777777,321,0.28005226480836237,1.275546011551115,1.1676310117438697
que en,2,472,119,1010,0.01010842502963652,85,0.7307692307692307,69,0.7722222222222223,318,0.2774390243902439,1.222065080117263,1.2744438612931555
este,1,471,120,1050,0.010688164913571533,80,0.688034188034188,66,0.7388888888888889,325,0.28353658536585363,1.1203134462165416,1.2036519831313448
de politica monetaria,3,455,118,1306,0.012147998225044952,103,0.8846153846153846,64,0.7166666666666667,288,0.25130662020905925,1.6342725756061347,1.2102864099796415
como,1,449,123,1029,0.010310155735119383,84,0.7222222222222222,63,0.7055555555555556,302,0.2635017421602787,1.289416905722712,1.2062877346947467
tasa,1,440,122,1427,0.011858148676332751,107,0.9188034188034188,81,0.9055555555555556,252,0.21994773519163763,1.7689149637978405,1.670807845639208
respecto,1,438,119,935,0.010946901065599299,62,0.5341880341880342,49,0.55,327,0.2852787456445993,0.8115432953831239,0.8358047538653689
inflacion,1,427,118,1674,0.011408520000819575,103,0.8846153846153846,72,0.8055555555555556,252,0.21994773519163763,1.753677354893152,1.5181309922429476
agrega,1,420,112,668,0.009054626286179278,63,0.5427350427350427,59,0.6611111111111111,298,0.26001742160278746,0.9091503204993793,1.2088935782042538
tambien,1,415,117,789,0.009230083999851566,70,0.6025641025641025,51,0.5722222222222222,294,0.25653310104529614,1.1092745174035001,0.9886531747037095
de las,2,411,121,972,0.009205325359664928,77,0.6623931623931624,60,0.6722222222222223,274,0.23911149825783973,1.2925270700257419,1.2734100100494878
