fold,ngram_max,n_train,n_validacion,vocabulario_a,vocabulario_b,terminos_longitud_maxima_b,accuracy,macro_f1,f1_hawkish,f1_dovish,f1_neutral,recall_hawkish,recall_dovish,recall_neutral,precision_hawkish,precision_dovish,precision_neutral,n_hawkish,n_dovish,n_neutral
1,1,1194,158,4431,4277,4277,0.8987341772151899,0.6748325358851673,0.5263157894736842,0.5454545454545454,0.9527272727272728,0.625,0.75,0.9225352112676056,0.45454545454545453,0.42857142857142855,0.9849624060150376,8,8,142
1,2,1194,158,4431,17207,12930,0.9240506329113924,0.7396435792542437,0.5882352941176471,0.6666666666666666,0.9640287769784173,0.625,0.875,0.9436619718309859,0.5555555555555556,0.5384615384615384,0.9852941176470589,8,8,142
1,3,1194,158,4431,29298,12091,0.9177215189873418,0.7282959130485144,0.5882352941176471,0.6363636363636364,0.9602888086642599,0.625,0.875,0.9366197183098591,0.5555555555555556,0.5,0.9851851851851852,8,8,142
1,4,1194,158,4431,36444,7146,0.9240506329113924,0.7417974711140177,0.625,0.6363636363636364,0.9640287769784173,0.625,0.875,0.9436619718309859,0.625,0.5,0.9852941176470589,8,8,142
1,5,1194,158,4431,40284,3840,0.9177215189873418,0.7282959130485144,0.5882352941176471,0.6363636363636364,0.9602888086642599,0.625,0.875,0.9366197183098591,0.5555555555555556,0.5,0.9851851851851852,8,8,142
1,6,1194,158,4431,42438,2154,0.9240506329113924,0.7396435792542437,0.5882352941176471,0.6666666666666666,0.9640287769784173,0.625,0.875,0.9436619718309859,0.5555555555555556,0.5384615384615384,0.9852941176470589,8,8,142
2,1,1193,159,4433,4275,4275,0.9685534591194969,0.9039801344671679,0.9032258064516129,0.8235294117647058,0.9851851851851852,1.0,0.875,0.9708029197080292,0.8235294117647058,0.7777777777777778,1.0,14,8,137
2,2,1193,159,4433,17205,12930,0.9559748427672956,0.8410721607216072,0.875,0.6666666666666666,0.981549815498155,1.0,0.625,0.9708029197080292,0.7777777777777778,0.7142857142857143,0.9925373134328358,14,8,137
2,3,1193,159,4433,29301,12096,0.9622641509433962,0.8700617283950617,0.875,0.75,0.9851851851851852,1.0,0.75,0.9708029197080292,0.7777777777777778,0.75,1.0,14,8,137
2,4,1193,159,4433,36374,7073,0.9622641509433962,0.8700617283950617,0.875,0.75,0.9851851851851852,1.0,0.75,0.9708029197080292,0.7777777777777778,0.75,1.0,14,8,137
2,5,1193,159,4433,40143,3769,0.949685534591195,0.830976430976431,0.8484848484848485,0.6666666666666666,0.9777777777777777,1.0,0.625,0.9635036496350365,0.7368421052631579,0.7142857142857143,0.9924812030075187,14,8,137
2,6,1193,159,4433,42283,2140,0.949685534591195,0.830976430976431,0.8484848484848485,0.6666666666666666,0.9777777777777777,1.0,0.625,0.9635036496350365,0.7368421052631579,0.7142857142857143,0.9924812030075187,14,8,137
3,1,1193,159,4483,4330,4330,0.8930817610062893,0.7326756620874267,0.7027027027027027,0.5384615384615384,0.9568627450980393,0.8125,0.5,0.9457364341085271,0.6190476190476191,0.5833333333333334,0.9682539682539683,16,14,129
3,2,1193,159,4483,17439,13109,0.89937106918239,0.7405404202279202,0.7222222222222222,0.5384615384615384,0.9609375,0.8125,0.5,0.9534883720930233,0.65,0.5833333333333334,0.968503937007874,16,14,129
3,3,1193,159,4483,29842,12403,0.9056603773584906,0.7490675889897681,0.7222222222222222,0.56,0.9649805447470817,0.8125,0.5,0.9612403100775194,0.65,0.6363636363636364,0.96875,16,14,129
3,4,1193,159,4483,37233,7391,0.9119496855345912,0.7744074343296133,0.7428571428571429,0.6153846153846154,0.9649805447470817,0.8125,0.5714285714285714,0.9612403100775194,0.6842105263157895,0.6666666666666666,0.96875,16,14,129
3,5,1193,159,4483,41236,4003,0.9119496855345912,0.7744074343296133,0.7428571428571429,0.6153846153846154,0.9649805447470817,0.8125,0.5714285714285714,0.9612403100775194,0.6842105263157895,0.6666666666666666,0.96875,16,14,129
3,6,1193,159,4483,43543,2307,0.9119496855345912,0.7744074343296133,0.7428571428571429,0.6153846153846154,0.9649805447470817,0.8125,0.5714285714285714,0.9612403100775194,0.6842105263157895,0.6666666666666666,0.96875,16,14,129
