intervencion_id,meeting_id,fold,etiqueta_v3,pred_mrbert,logit_hawkish,logit_dovish,logit_neutral
RPM-2008-02-07:1644:1,RPM-2008-02-07,4,neutral,neutral,-4.9257812,-2.6621094,11.5625
RPM-2008-02-07:1648:1,RPM-2008-02-07,4,neutral,neutral,-6.5351562,-4.4023438,11.7265625
RPM-2008-02-07:1674:1,RPM-2008-02-07,4,neutral,neutral,-4.6640625,-2.1425781,10.796875
RPM-2008-03-13:1731:1,RPM-2008-03-13,4,hawkish,dovish,0.74121094,1.2382812,-0.2088623
RPM-2008-03-13:1731:2,RPM-2008-03-13,4,hawkish,hawkish,1.0625,0.2783203,0.59277344
RPM-2008-08-14:1980:1,RPM-2008-08-14,4,neutral,neutral,-4.140625,-2.515625,8.5859375
RPM-2008-08-14:1994:1,RPM-2008-08-14,4,neutral,neutral,-3.0566406,-2.6738281,7.1523438
RPM-2008-08-14:2016:2,RPM-2008-08-14,4,neutral,neutral,-4.0664062,-3.1347656,11.609375
RPM-2009-05-07:2529:2,RPM-2009-05-07,4,neutral,neutral,-2.3671875,-1.3681641,7.6757812
RPM-2009-05-07:2530:1,RPM-2009-05-07,4,neutral,neutral,-2.765625,-2.6132812,9.40625
RPM-2009-05-07:2532:1,RPM-2009-05-07,4,neutral,neutral,-5.6796875,-3.1445312,12.6484375
RPM-2009-05-07:2532:5,RPM-2009-05-07,4,neutral,neutral,-3.421875,-3.1582031,9.15625
RPM-2009-05-07:2534:1,RPM-2009-05-07,4,neutral,neutral,-4.90625,-3.6035156,10.59375
RPM-2009-05-07:2538:1,RPM-2009-05-07,4,neutral,neutral,-5.3828125,-2.7910156,7.09375
RPM-2009-05-07:2541:2,RPM-2009-05-07,4,neutral,neutral,-4.7421875,-1.7841797,10.46875
RPM-2012-01-12:4520:1,RPM-2012-01-12,4,neutral,neutral,-3.0019531,-3.1914062,9.5
RPM-2012-01-12:4525:1,RPM-2012-01-12,4,neutral,neutral,-1.7167969,0.26782227,3.9804688
RPM-2012-01-12:4531:2,RPM-2012-01-12,4,neutral,neutral,-3.3769531,-3.1738281,8.8671875
RPM-2012-02-14:4577:1,RPM-2012-02-14,4,neutral,neutral,-4.3867188,-0.031707764,8.1875
RPM-2012-02-14:4586:1,RPM-2012-02-14,4,neutral,neutral,-3.9042969,-3.2832031,9.203125
RPM-2012-02-14:4611:1,RPM-2012-02-14,4,neutral,neutral,-3.5859375,-2.6992188,7.2304688
RPM-2012-02-14:4620:1,RPM-2012-02-14,4,neutral,neutral,-3.9375,-2.0371094,11.375
RPM-2012-02-14:4628:1,RPM-2012-02-14,4,neutral,neutral,-1.9746094,-3.3105469,7.5039062
RPM-2012-06-14:4863:1,RPM-2012-06-14,4,neutral,neutral,-4.7460938,-2.1503906,10.1796875
RPM-2012-08-16:5012:1,RPM-2012-08-16,4,neutral,neutral,-5.3398438,-2.4296875,10.5625
RPM-2012-08-16:5039:2,RPM-2012-08-16,4,neutral,neutral,-3.0039062,-0.21484375,6.5820312
RPM-2013-03-14:5412:2,RPM-2013-03-14,4,neutral,neutral,-3.6503906,-2.8417969,7.6679688
RPM-2013-03-14:5430:1,RPM-2013-03-14,4,neutral,neutral,-0.42822266,-0.12902832,3.3496094
RPM-2013-06-13:5578:2,RPM-2013-06-13,4,neutral,neutral,-4.8515625,-2.78125,11.9921875
RPM-2013-06-13:5599:1,RPM-2013-06-13,4,neutral,neutral,-3.6367188,-1.4765625,8.59375
RPM-2015-04-16:6706:1,RPM-2015-04-16,4,neutral,neutral,-8.859375,-5.5078125,13.546875
RPM-2015-04-16:6741:3,RPM-2015-04-16,4,neutral,neutral,-4.7109375,-2.4355469,10.7265625
RPM-2015-06-11:6824:1,RPM-2015-06-11,4,neutral,neutral,-3.4257812,-1.3466797,8.5546875
RPM-2015-06-11:6839:2,RPM-2015-06-11,4,neutral,neutral,-3.2695312,-1.0146484,8.515625
RPM-2015-06-11:6854:1,RPM-2015-06-11,4,neutral,neutral,-1.3779297,1.2773438,1.3349609
RPM-2015-10-15:7063:2,RPM-2015-10-15,4,neutral,neutral,-4.21875,-5.1835938,10.5703125
RPM-2015-10-15:7080:1,RPM-2015-10-15,4,neutral,neutral,-0.58691406,-2.3417969,5.7734375
RPM-2015-10-15:7097:2,RPM-2015-10-15,4,neutral,neutral,-4.2382812,-1.7773438,10.2890625
RPM-2015-10-15:7103:1,RPM-2015-10-15,4,neutral,neutral,-4.40625,-1.0039062,8.78125
RPM-2015-10-15:7110:1,RPM-2015-10-15,4,hawkish,hawkish,2.7128906,0.6567383,-0.42260742
RPM-2015-12-17:7162:1,RPM-2015-12-17,4,neutral,neutral,-2.1054688,-1.8027344,6.9023438
RPM-2015-12-17:7169:1,RPM-2015-12-17,4,neutral,neutral,-3.8300781,-2.1152344,6.828125
RPM-2015-12-17:7175:1,RPM-2015-12-17,4,neutral,neutral,-3.4863281,-1.0292969,8.5859375
RPM-2015-12-17:7192:1,RPM-2015-12-17,4,neutral,neutral,-4.6953125,-3.28125,10.234375
RPM-2015-12-17:7194:2,RPM-2015-12-17,4,neutral,neutral,-5.4375,-1.328125,7.8398438
RPM-2015-12-17:7211:2,RPM-2015-12-17,4,dovish,neutral,-0.31567383,0.4675293,1.0742188
RPM-2015-12-17:7212:1,RPM-2015-12-17,4,hawkish,dovish,1.2109375,1.8623047,-2.1308594
RPM-2006-03-16:625:1,RPM-2006-03-16,4,hawkish,hawkish,2.6796875,-0.47192383,0.5263672
RPM-2008-08-14:1994:4,RPM-2008-08-14,4,neutral,neutral,-1.0410156,-2.5625,6.1210938
RPM-2012-02-14:4633:1,RPM-2012-02-14,4,neutral,neutral,-4.3632812,-1.9208984,7.8476562
RPM-2015-10-15:7068:1,RPM-2015-10-15,4,neutral,neutral,-0.97558594,-0.4868164,3.8007812
RPM-2005-07-12:308:1,RPM-2005-07-12,4,hawkish,hawkish,1.9472656,0.37817383,-1.3037109
RPM-2006-03-16:614:3,RPM-2006-03-16,4,neutral,neutral,-3.8710938,-1.9707031,9.125
RPM-2008-02-07:1684:1,RPM-2008-02-07,4,hawkish,dovish,0.88378906,1.5849609,-1.2011719
RPM-2008-08-14:2027:1,RPM-2008-08-14,4,neutral,neutral,-4.1015625,-2.0136719,8.03125
RPM-2008-08-14:2041:1,RPM-2008-08-14,4,hawkish,hawkish,2.7382812,2.2382812,-4.0859375
RPM-2012-06-14:4890:1,RPM-2012-06-14,4,neutral,neutral,-5.0078125,-1.1591797,10.2890625
RPM-2012-08-16:4976:1,RPM-2012-08-16,4,neutral,neutral,-5.3398438,-0.5839844,8.21875
RPM-2012-08-16:5030:1,RPM-2012-08-16,4,neutral,neutral,-5.2617188,-1.1337891,10.4921875
RPM-2013-03-14:5421:1,RPM-2013-03-14,4,neutral,neutral,-4.5234375,-0.82421875,9.2109375
RPM-2013-06-13:5632:1,RPM-2013-06-13,4,dovish,dovish,-0.39526367,2.1914062,-0.46948242
RPM-2015-04-16:6737:1,RPM-2015-04-16,4,neutral,neutral,-3.7011719,-1.8808594,9.4921875
RPM-2015-06-11:6856:1,RPM-2015-06-11,4,neutral,neutral,-0.3955078,-0.55615234,3.1953125
RPM-2015-10-15:7097:1,RPM-2015-10-15,4,neutral,neutral,-0.77978516,-0.62353516,4.3359375
RPM-2015-12-17:7191:1,RPM-2015-12-17,4,neutral,neutral,-6.4609375,-2.3007812,10.7734375
RPM-2007-05-10:1254:1,RPM-2007-05-10,4,hawkish,neutral,-0.39331055,-0.109558105,1.9365234
RPM-2007-05-10:1261:1,RPM-2007-05-10,4,hawkish,hawkish,1.5341797,0.060058594,-0.14489746
RPM-2008-08-14:2026:1,RPM-2008-08-14,4,neutral,neutral,-3.9921875,-2.7734375,10.6171875
RPM-2009-05-07:2525:1,RPM-2009-05-07,4,neutral,neutral,-3.4980469,-2.3222656,6.359375
RPM-2009-05-07:2535:2,RPM-2009-05-07,4,neutral,neutral,-2.6640625,-1.6953125,7.625
RPM-2012-02-14:4584:1,RPM-2012-02-14,4,neutral,neutral,-3.6113281,-2.1015625,7.5742188
