intervencion_id,meeting_id,fold,etiqueta_v3,pred_mrbert,logit_hawkish,logit_dovish,logit_neutral
RPM-2005-03-10:140:1,RPM-2005-03-10,1,neutral,neutral,-5.4492188,-3.2460938,7.8632812
RPM-2005-03-10:141:1,RPM-2005-03-10,1,neutral,neutral,-5.1757812,-3.1660156,8.421875
RPM-2005-03-10:142:1,RPM-2005-03-10,1,neutral,neutral,-3.0839844,-2.8125,5.9101562
RPM-2005-03-10:143:1,RPM-2005-03-10,1,neutral,neutral,-1.6054688,-1.6865234,3.5019531
RPM-2005-03-10:144:1,RPM-2005-03-10,1,neutral,neutral,-1.7626953,-2.21875,4.9570312
RPM-2005-03-10:145:1,RPM-2005-03-10,1,neutral,hawkish,0.3623047,-2.3261719,0.120788574
RPM-2005-03-10:146:1,RPM-2005-03-10,1,neutral,neutral,0.48388672,-2.5078125,1.59375
RPM-2005-03-10:147:1,RPM-2005-03-10,1,neutral,neutral,-3.875,-1.6425781,5.3515625
RPM-2005-03-10:148:1,RPM-2005-03-10,1,neutral,neutral,-2.7871094,-2.6425781,4.4960938
RPM-2005-03-10:149:1,RPM-2005-03-10,1,neutral,neutral,-3.7675781,-1.9257812,4.796875
RPM-2005-03-10:150:1,RPM-2005-03-10,1,neutral,neutral,-3.5175781,-1.0527344,4.453125
RPM-2005-03-10:151:1,RPM-2005-03-10,1,neutral,neutral,-4.4648438,-1.5917969,4.8085938
RPM-2005-03-10:152:1,RPM-2005-03-10,1,neutral,neutral,-0.9326172,-2.9609375,4.2148438
RPM-2005-03-10:153:1,RPM-2005-03-10,1,neutral,neutral,-5.296875,-2.6367188,8.6953125
RPM-2005-03-10:154:1,RPM-2005-03-10,1,neutral,neutral,-4.75,-2.3730469,11.078125
RPM-2005-03-10:155:1,RPM-2005-03-10,1,neutral,neutral,-3.8496094,-2.0351562,7.734375
RPM-2005-03-10:156:1,RPM-2005-03-10,1,neutral,neutral,-3.8789062,-1.5869141,7.1367188
RPM-2005-03-10:157:1,RPM-2005-03-10,1,neutral,neutral,-5.5742188,-2.5273438,10.4921875
RPM-2005-03-10:158:1,RPM-2005-03-10,1,neutral,neutral,-3.5410156,-1.46875,8.078125
RPM-2005-03-10:159:1,RPM-2005-03-10,1,neutral,neutral,-4.234375,-1.5976562,8.8828125
RPM-2005-03-10:160:1,RPM-2005-03-10,1,neutral,neutral,-4.7265625,-2.6875,9.34375
RPM-2005-03-10:161:1,RPM-2005-03-10,1,neutral,neutral,-1.9794922,-1.4140625,2.7695312
RPM-2005-03-10:162:1,RPM-2005-03-10,1,neutral,neutral,-6.140625,-1.3056641,11.203125
RPM-2005-03-10:163:1,RPM-2005-03-10,1,neutral,neutral,-5.4335938,-3.0683594,11.4453125
RPM-2005-03-10:164:1,RPM-2005-03-10,1,neutral,neutral,-2.7304688,-1.9628906,6.8984375
RPM-2005-03-10:165:1,RPM-2005-03-10,1,neutral,neutral,-1.2880859,-2.6894531,6.796875
RPM-2005-03-10:166:1,RPM-2005-03-10,1,neutral,neutral,-2.6953125,-1.9775391,6.1015625
RPM-2005-03-10:167:1,RPM-2005-03-10,1,neutral,neutral,-4.40625,-1.7099609,6.4882812
RPM-2005-03-10:168:1,RPM-2005-03-10,1,neutral,neutral,-2.0253906,-1.875,5.5976562
RPM-2005-03-10:169:1,RPM-2005-03-10,1,neutral,neutral,-3.5117188,-0.43725586,6.1484375
RPM-2005-03-10:170:1,RPM-2005-03-10,1,neutral,neutral,-3.1621094,-4.1171875,7.3710938
RPM-2005-03-10:171:1,RPM-2005-03-10,1,neutral,neutral,-3.8613281,-2.3105469,8.3984375
RPM-2005-03-10:172:1,RPM-2005-03-10,1,neutral,neutral,-5.2382812,-1.3847656,9.5546875
RPM-2005-03-10:173:1,RPM-2005-03-10,1,neutral,neutral,-5.25,-2.6953125,10.3984375
RPM-2005-03-10:174:1,RPM-2005-03-10,1,neutral,neutral,-3.4570312,-2.1972656,8.9921875
RPM-2005-03-10:175:1,RPM-2005-03-10,1,neutral,neutral,-7.2890625,-4.5,10.734375
RPM-2005-03-10:176:1,RPM-2005-03-10,1,neutral,neutral,-5.0273438,-3.0371094,8.0
RPM-2005-03-10:177:1,RPM-2005-03-10,1,neutral,neutral,-7.25,-4.0742188,9.140625
RPM-2005-03-10:178:1,RPM-2005-03-10,1,hawkish,hawkish,5.6992188,-3.3125,-3.8398438
RPM-2005-03-10:178:2,RPM-2005-03-10,1,neutral,neutral,-5.421875,-3.4082031,8.8359375
RPM-2005-03-10:179:1,RPM-2005-03-10,1,hawkish,neutral,-1.4658203,-3.0253906,3.3886719
RPM-2005-03-10:180:1,RPM-2005-03-10,1,neutral,neutral,-3.6972656,-1.0136719,7.4140625
RPM-2005-03-10:181:1,RPM-2005-03-10,1,neutral,neutral,-5.2460938,-3.1347656,6.828125
RPM-2005-03-10:182:1,RPM-2005-03-10,1,neutral,neutral,-7.390625,-2.6972656,9.703125
RPM-2005-03-10:183:1,RPM-2005-03-10,1,neutral,neutral,1.4990234,-4.3828125,3.4433594
RPM-2005-03-10:184:1,RPM-2005-03-10,1,neutral,neutral,-1.3720703,-1.2011719,2.2128906
RPM-2005-03-10:185:1,RPM-2005-03-10,1,neutral,neutral,0.17041016,-1.671875,2.5058594
RPM-2005-03-10:186:1,RPM-2005-03-10,1,hawkish,neutral,-0.68066406,-0.14990234,0.27685547
RPM-2005-03-10:187:1,RPM-2005-03-10,1,neutral,neutral,-5.0117188,-2.4296875,9.09375
RPM-2005-03-10:188:1,RPM-2005-03-10,1,neutral,neutral,-3.3046875,-1.0615234,6.0703125
RPM-2005-03-10:189:1,RPM-2005-03-10,1,neutral,neutral,0.8442383,-2.1015625,1.1855469
RPM-2005-03-10:190:1,RPM-2005-03-10,1,hawkish,neutral,0.48388672,-1.7011719,1.4267578
RPM-2005-03-10:191:1,RPM-2005-03-10,1,neutral,neutral,0.41625977,-1.8505859,0.5185547
RPM-2005-03-10:192:1,RPM-2005-03-10,1,hawkish,neutral,-0.60498047,-1.0771484,2.1503906
RPM-2005-03-10:193:1,RPM-2005-03-10,1,hawkish,neutral,0.48388672,-1.9179688,2.46875
RPM-2005-03-10:194:1,RPM-2005-03-10,1,neutral,neutral,-2.8183594,-2.0957031,5.9765625
RPM-2005-03-10:195:1,RPM-2005-03-10,1,neutral,neutral,-4.1914062,-1.4287109,6.2304688
RPM-2005-03-10:196:1,RPM-2005-03-10,1,hawkish,hawkish,1.4941406,-0.65771484,-0.22692871
RPM-2005-03-10:197:1,RPM-2005-03-10,1,neutral,hawkish,0.86816406,-0.4399414,-1.6982422
RPM-2005-03-10:198:1,RPM-2005-03-10,1,hawkish,hawkish,2.6914062,-1.8193359,-1.7304688
RPM-2005-03-10:199:1,RPM-2005-03-10,1,neutral,neutral,0.56103516,-1.7363281,1.7890625
RPM-2005-03-10:200:1,RPM-2005-03-10,1,hawkish,hawkish,2.0585938,-1.7890625,-0.44555664
RPM-2006-05-11:657:2,RPM-2006-05-11,1,neutral,neutral,-1.3955078,-2.7890625,5.046875
RPM-2006-05-11:661:1,RPM-2006-05-11,1,neutral,neutral,-4.9296875,-1.7236328,9.21875
RPM-2006-05-11:671:1,RPM-2006-05-11,1,hawkish,neutral,0.7944336,-1.9160156,1.3066406
RPM-2006-05-11:672:1,RPM-2006-05-11,1,hawkish,hawkish,2.7011719,-2.7109375,-0.58447266
RPM-2006-05-11:673:1,RPM-2006-05-11,1,hawkish,hawkish,1.5390625,-1.7841797,-0.85498047
RPM-2006-05-11:674:1,RPM-2006-05-11,1,hawkish,hawkish,1.6025391,-2.21875,0.5131836
RPM-2006-08-10:789:1,RPM-2006-08-10,1,neutral,neutral,-4.9492188,-3.8300781,10.1015625
RPM-2006-08-10:806:1,RPM-2006-08-10,1,neutral,neutral,-1.6396484,-1.8300781,5.2226562
RPM-2006-08-10:807:1,RPM-2006-08-10,1,neutral,neutral,-5.9375,-3.4335938,9.9921875
RPM-2006-08-10:808:1,RPM-2006-08-10,1,neutral,neutral,-3.0273438,-2.5957031,4.90625
RPM-2006-08-10:816:1,RPM-2006-08-10,1,neutral,neutral,-5.8046875,-3.7617188,7.1914062
RPM-2006-08-10:818:1,RPM-2006-08-10,1,neutral,neutral,-5.4257812,-3.7910156,9.0625
RPM-2006-08-10:820:1,RPM-2006-08-10,1,neutral,neutral,-2.8457031,-1.7001953,4.5039062
RPM-2006-08-10:826:1,RPM-2006-08-10,1,hawkish,hawkish,0.9897461,-1.7636719,0.9638672
RPM-2007-06-14:1278:1,RPM-2007-06-14,1,neutral,neutral,-3.2558594,-3.0175781,6.8828125
RPM-2007-06-14:1296:3,RPM-2007-06-14,1,neutral,neutral,-3.4003906,-3.6171875,8.921875
RPM-2007-06-14:1305:1,RPM-2007-06-14,1,hawkish,hawkish,1.5126953,-3.2304688,0.91503906
RPM-2007-07-12:1314:2,RPM-2007-07-12,1,neutral,neutral,-4.671875,-3.4863281,8.8515625
RPM-2007-07-12:1324:1,RPM-2007-07-12,1,neutral,neutral,-1.8925781,-3.0625,3.8789062
RPM-2007-07-12:1325:1,RPM-2007-07-12,1,neutral,neutral,-3.96875,-1.1308594,8.09375
RPM-2007-07-12:1325:3,RPM-2007-07-12,1,neutral,neutral,-5.5,-3.0839844,9.8828125
RPM-2007-07-12:1329:1,RPM-2007-07-12,1,neutral,neutral,-5.6484375,-1.7294922,8.625
RPM-2007-07-12:1332:1,RPM-2007-07-12,1,neutral,neutral,-6.8710938,-3.1679688,11.4296875
RPM-2007-07-12:1335:2,RPM-2007-07-12,1,neutral,neutral,-1.7568359,-1.4052734,5.9726562
RPM-2008-06-10:1854:1,RPM-2008-06-10,1,neutral,neutral,-5.6171875,-1.0634766,6.6484375
RPM-2008-06-10:1869:7,RPM-2008-06-10,1,neutral,neutral,-6.3203125,-4.1992188,10.1171875
RPM-2008-06-10:1870:3,RPM-2008-06-10,1,neutral,neutral,-5.1054688,-2.3417969,7.28125
RPM-2008-06-10:1873:4,RPM-2008-06-10,1,neutral,neutral,-6.3046875,-3.0097656,9.96875
RPM-2008-06-10:1874:1,RPM-2008-06-10,1,neutral,neutral,-3.0507812,-3.3574219,5.78125
RPM-2008-06-10:1878:1,RPM-2008-06-10,1,neutral,neutral,-5.3007812,-2.9667969,8.15625
RPM-2008-06-10:1879:1,RPM-2008-06-10,1,neutral,neutral,-3.4589844,-1.8535156,7.1054688
RPM-2008-06-10:1889:3,RPM-2008-06-10,1,neutral,neutral,-4.6445312,-1.7792969,7.046875
RPM-2008-06-10:1902:1,RPM-2008-06-10,1,hawkish,hawkish,3.2421875,-3.6289062,-0.7324219
RPM-2008-06-10:1904:1,RPM-2008-06-10,1,hawkish,hawkish,4.0078125,-4.1054688,-2.4296875
RPM-2008-07-10:1916:2,RPM-2008-07-10,1,neutral,neutral,-2.609375,-1.7246094,5.3984375
RPM-2008-07-10:1917:3,RPM-2008-07-10,1,neutral,neutral,-5.3867188,-2.5546875,10.078125
RPM-2008-07-10:1923:7,RPM-2008-07-10,1,neutral,neutral,-4.5429688,-1.1806641,6.5234375
RPM-2008-07-10:1923:8,RPM-2008-07-10,1,neutral,neutral,-2.6699219,-2.9550781,5.2421875
RPM-2008-07-10:1945:1,RPM-2008-07-10,1,neutral,neutral,-3.1308594,-4.8671875,7.2070312
RPM-2008-07-10:1948:2,RPM-2008-07-10,1,neutral,neutral,-2.421875,-1.4501953,5.3671875
RPM-2008-07-10:1953:1,RPM-2008-07-10,1,neutral,neutral,-3.2304688,-0.74121094,4.4960938
RPM-2008-07-10:1959:1,RPM-2008-07-10,1,neutral,neutral,-1.4121094,-1.8125,4.3828125
RPM-2008-07-10:1975:1,RPM-2008-07-10,1,neutral,hawkish,0.8017578,-3.3046875,0.31762695
RPM-2008-12-11:2176:1,RPM-2008-12-11,1,neutral,neutral,-5.4804688,-2.2832031,8.3984375
RPM-2008-12-11:2177:2,RPM-2008-12-11,1,neutral,neutral,-5.546875,-2.5898438,11.5078125
RPM-2008-12-11:2187:1,RPM-2008-12-11,1,neutral,neutral,-4.4453125,-1.6279297,8.203125
RPM-2008-12-11:2206:3,RPM-2008-12-11,1,neutral,neutral,-5.8867188,-3.1933594,8.9609375
RPM-2008-12-11:2217:1,RPM-2008-12-11,1,neutral,neutral,-7.1015625,-2.1445312,8.328125
RPM-2008-12-11:2221:2,RPM-2008-12-11,1,neutral,neutral,-3.7695312,-1.8642578,6.9609375
RPM-2008-12-11:2229:1,RPM-2008-12-11,1,neutral,neutral,-4.5742188,-2.0566406,8.2421875
RPM-2008-12-11:2232:1,RPM-2008-12-11,1,neutral,neutral,-6.7578125,-1.6621094,9.2578125
RPM-2008-12-11:2237:4,RPM-2008-12-11,1,neutral,neutral,-6.3046875,-1.9667969,8.015625
RPM-2008-12-11:2238:1,RPM-2008-12-11,1,dovish,dovish,-1.2900391,2.2578125,-0.67089844
RPM-2008-12-11:2249:1,RPM-2008-12-11,1,neutral,neutral,-2.7304688,-0.23388672,3.390625
RPM-2008-12-11:2251:1,RPM-2008-12-11,1,dovish,dovish,-1.1591797,2.0742188,-0.7963867
RPM-2009-09-08:2689:1,RPM-2009-09-08,1,neutral,neutral,-5.1992188,-3.1015625,6.8007812
RPM-2009-09-08:2699:4,RPM-2009-09-08,1,neutral,neutral,-4.453125,-1.0234375,4.0351562
RPM-2009-09-08:2705:7,RPM-2009-09-08,1,neutral,neutral,-6.9179688,-3.3105469,9.3828125
RPM-2009-09-08:2706:1,RPM-2009-09-08,1,neutral,neutral,-5.1523438,-2.2929688,7.5585938
RPM-2009-09-08:2711:2,RPM-2009-09-08,1,dovish,neutral,-2.3125,0.90234375,1.1816406
RPM-2010-08-12:3281:1,RPM-2010-08-12,1,neutral,neutral,-2.7050781,-2.0703125,5.6523438
RPM-2010-08-12:3286:3,RPM-2010-08-12,1,neutral,neutral,-4.625,-1.6484375,7.7890625
