frag_id,fecha,anio,etiqueta_origen,es_relevante_origen,etiqueta_v3,es_relevante_v3,confianza_revision_v3,cita_literal,fundamento_revision_v3,estado_revision_v3,resultado_revision,tipo_accion,instrumento,texto_original,sha256_texto
31972,1999-05-27,1999,pendiente,1,,1,alta,"fórmule sus recomendaciones, para resolver sobre una posible reducción de la tasa de instancia monetaria","El Presidente solicita al Gerente de la División de Estudios un informe sobre la evolución de la política monetaria al 1 de junio de 1999 y recomendaciones para resolver sobre una posible reducción de la tasa de instancia. Es un anuncio sustantivo de que se discutirá y eventualmente decidirá una medida de política, pero la unidad no permite identificar la dirección efectivamente adoptada ni la postura del Consejo; requiere cotejar el acta o resolución posterior. Corresponde 'pendiente' (es_relevante=1). Confianza alta por la naturaleza inequívoca de antesala decisional.",pendiente,pendiente_preservado,anuncio_agenda,tasa de instancia monetaria,"A continuación, el Presidente solicita al Gerente de la División de Estudios que informe acerca de la evolución de la política monetaria, al 1 de junio de 1999, y fórmule sus recomendaciones, para resolver sobre una posible reducción de la tasa de instancia monetaria.",804180140e30fe4a60f904fcd017577ad00a4c657ea53ec846d76870f49a06a3
31989,1999-05-27,1999,dovish,1,dovish,1,alta,"el Consejo del Banco Central resolvió el día de hoy reducir su tasa de instancia monetaria en veinticinco puntos base, desde UF más 6,00% a UF más 5,75% anual","El Consejo resolvió reducir la tasa de instancia monetaria en 25 puntos base, de UF+6,00% a UF+5,75% anual, y ajustar a la baja los tramos de la línea de crédito de liquidez en igual magnitud. Es una decisión de recorte de la tasa de política, que constituye un aumento del estímulo monetario (D, es_relevante=1). La dirección (baja) y la magnitud (25 pb) son explícitas, con confianza alta.",cerrado,ratificado_v3,comunicado_decision,tasa de instancia monetaria y línea de crédito de liquidez,"Atendiendo a las condiciones de la economía nacional y las proyecciones de las principales variables macroeconómicas, el Consejo del Banco Central resolvió el día de hoy reducir su tasa de instancia monetaria en veinticinco puntos base, desde UF más 6,00% a UF más 5,75% anual. De modo complementario, los tramos de la línea de crédito de liquidez se ajustan a la baja en igual magnitud.",938e943d6b67283a74bbed7b2b0513a1837970487ea89effbeebef4e53e4dd78
32176,1999-06-17,1999,dovish,1,dovish,1,alta,"La Consejera señora Ovalle está de acuerdo con la segunda propuesta de la División de Estudios, de rebajar con más fuerza la tasa de instancia monetaria, es decir, 75 puntos base","La Consejera Ovalle respalda la segunda propuesta de la División de Estudios de rebajar la tasa de instancia monetaria en 75 puntos base, con mayor fuerza que la alternativa de 50 pb. Fundamenta el recorte en holguras: inflación en línea con la meta o más baja y déficit de cuenta corriente menor al esperado, destacando efectos positivos de señal para acelerar la reactivación. Es un respaldo directo a un recorte de tasa, que constituye un aumento del estímulo monetario (D, es_relevante=1). La mención a dar por concluido el proceso de relajamiento es parte de la justificación de la baja actual y no convierte la acción en H. Dirección y magnitud explícitas, con confianza alta.",cerrado,ratificado_v3,disenso_voto,tasa de instancia monetaria,"4. La Consejera señora Ovalle está de acuerdo con la segunda propuesta de la División de Estudios, de rebajar con más fuerza la tasa de instancia monetaria, es decir, 75 puntos base. Creo, dice, ""que existen las holguras que permiten bajar la tasa, como son inflación en línea con la meta, incluso más baja y un déficit de cuenta corriente menor de lo esperado. Si bien, esta baja de tasa no tiene un efecto reactivador de inmediato, si tiene un efecto positivo en términos de la señal que damos al mercado, lo que puede ayudar a acelerar la reactivación. Otra ventaja es que demuestra el propósito de dar por concluido el proceso de relajamiento monetario y aleja las expectativas de futuras rebajas que pudieran estar postergando algunas decisiones de gasto privado"".",a4f3394d697bce406a604b3684e044c304dd8f9fe66790a05df87338f2b517e5
32178,1999-06-17,1999,dovish,1,dovish,1,alta,"El Consejo del Banco Central ha resuelto el día de hoy reducir su tasa de instancia monetaria en setenta y cinco puntos base, desde UF más 5,75% a UF más 5,0% anual","El Consejo resolvió reducir la tasa de instancia monetaria en 75 puntos base, de UF+5,75% a UF+5,0% anual, y ajustar a la baja los tramos de la línea de crédito de liquidez en igual magnitud. Es una decisión de recorte de la tasa de política, que constituye un aumento del estímulo monetario (D, es_relevante=1). La dirección (baja) y la magnitud (75 pb) son explícitas, con confianza alta.",cerrado,ratificado_v3,comunicado_decision,tasa de instancia monetaria y línea de crédito de liquidez,"7. ""El Consejo del Banco Central ha resuelto el día de hoy reducir su tasa de instancia monetaria en setenta y cinco puntos base, desde UF más 5,75% a UF más 5,0% anual. De modo complementario, los tramos de la línea de crédito de liquidez se ajustan a la baja en igual magnitud.",6e3ab83bc847f81e3a1e0c7bde72740987b4155beadaaa36b0529f3c671ffdd3
32873,1999-09-02,1999,hawkish,1,hawkish,1,alta,"el Consejo del Banco Central resolvió elevar el nivel de su tasa objetivo de política monetaria, tomando las medidas operativas necesarias para que ésta se sitúe como mínimo en 8,5% equivalente anual sobre UF","El Consejo resolvió elevar el nivel de su tasa objetivo de política monetaria para situarla como mínimo en 8,5% equivalente anual sobre UF, lo que representa un aumento de 150 puntos base respecto de su nivel anterior, y elevó las tasas de los tres tramos de la línea de crédito de liquidez a 8,5%, 8,8% y 9,3% anual sobre UF. Es una decisión de alza de la tasa de política, que constituye un retiro de estímulo monetario (H, es_relevante=1). La dirección (alza) y la magnitud (150 pb) son explícitas, con confianza alta.",cerrado,ratificado_v3,comunicado_decision,tasa objetivo de política monetaria y línea de crédito de liquidez,"7. Con el fin de apoyar el proceso de ajuste del gasto interno, dentro de un escenario macroeconómico de inflación descendente y acorde con la meta que se ha planteado para el presente año, así como un déficit prudente en la cuenta corriente, el Consejo del Banco Central resolvió elevar el nivel de su tasa objetivo de política monetaria, tomando las medidas operativas necesarias para que ésta se sitúe como mínimo en 8,5% equivalente anual sobre UF. No obstante, se acordó permitir un margen de flexibilidad en el comportamiento de corto plazo de la tasa de interés interbancaria de acuerdo a las condiciones de mercado. Este incremento de la tasa de instancia monetaria representó un aumento de 150 puntos base respecto a su nivel anterior. Acorde con lo anterior, las tasas aplicables a los tres tramos de la línea de crédito de liquidez se elevaron a 8,5%, 8,8% y 9,3% anual sobre UF.",97079b1e5fd4f44b9b1e4aadf141ca204543b919450528a3b0d4a23380e4e48e
33270,1999-11-04,1999,hawkish,1,hawkish,1,media,"Naturalmente, en ese contexto la prescripción de política es más bien en qué momento debiéramos endurecer nuestra política monetaria puesto que es ése el instrumento que tenemos por esencia para enfrentar una fase del ciclo que ahora comenzaría a ser expansivo.","El Gerente de la División de Estudios plantea enfrentar los factores transitorios (cambio de milenio, incertidumbre electoral) con medidas transitorias de liquidez y, una vez despejados éstos, define la prescripción de política como determinar en qué momento endurecer la política monetaria, dado que el ciclo económico comenzaría una fase expansiva. El sesgo declarado es hacia el endurecimiento futuro de la tasa de instancia, con criterios condicionales sobre presión de tasas externas y sincronía. Es un respaldo a retirar estímulo/endurecer (H, es_relevante=1). Confianza media porque el endurecimiento se enuncia como prescripción de oportunidad futura y condicional, no como decisión o propuesta de alza inmediata. [unidad_trunca]",cerrado,ratificado_v3,propuesta,"tasa de instancia, provisión de liquidez extraordinaria y tipo de cambio","El Gerente de la División de Estudios señala: ""En la minuta que se distribuyó sobre consideraciones acerca del tipo de cambio, tasas de interés, se tocan varios de estos puntos, por lo menos desde una perspectiva conceptual. Ahí se distinguen entre factores transitorios, cíclicos y más permanentes que pueden tener influencia sobre el comportamiento de estas variables en la actualidad. Dejando afuera los aspectos más permanentes, por ahora, el problema que hay hoy día, a mi juicio, es la dificultad que podríamos tener para distinguir claramente entre los efectos de los factores transitorios de los efectos de los factores cíclicos más que nada. Los factores transitorios son el cambio de milenio y sus efectos sobre la liquidez interna y externa y potencialmente también algún grado de incertidumbre frente a la elección presidencial, y los efectos cíclicos se refieren a la evolución de las tasas de interés externas, las tasas en Europa, la evolución del ciclo de actividad en Chile, la renovada expectativa de un aumento de la inflación hacia el próximo año y la evolución también de la demanda externa de los términos de intercambio de nuestra economía. Lo difícil es que, para despejar acá, es que ambos tipos de factores tienden a tener un impacto positivo sobre las tasas de interés, aunque los efectos debieran ser más bien contrapuestos en el caso del tipo de cambio. El cambio de milenio, por las razones que hemos discutido en otras reuniones, claramente tiene un impacto más nítido sobre la punta más corta de la estructura de tasas, es decir, las tasas a 90 días y de ese orden que son las que han estado subiendo con fuerza en los últimos días. En cambio, los efectos de orden más bien cíclico, como el aumento de las tasas externas, como la perspectiva de que entramos en una nueva fase dentro del ciclo económico y en general las buenas perspectivas que se auguran para la economía chilena durante el próximo año, apuntan en la dirección de desplazar toda la estructura de tasas hacia arriba, es decir, no sólo las cortas sino que también las de mediano y largo plazo, fenómeno que se viene observando, por lo demás, desde agosto pasado, cuestión que coincide más que nada con uno de estos factores que llamamos cíclico que es la evolución de las tasas de interés externo. Ahora último se ha agregado también una mayor convicción respecto a que el año próximo va a ser un buen año en cuanto a crecimiento y se ha agregado también este otro fantasma de una mayor inflación debido a una fase del ciclo más expansiva y también debido a la perspectiva de un tipo de cambio más depreciado. De modo que lo complejo es eso, porque claramente las medidas de política que uno puede derivar para enfrentar uno u otro tipo de factores son diferentes. Si el tema tasas de interés de muy corto plazo y depreciación del peso, también en el corto plazo, de aquí hasta fines de año está dominado por los factores transitorios, lo que correspondería hacer sería enfrentar esos factores con medidas también de orden transitorias, que han sido también discutidas, en el sentido de, por ejemplo, proveer liquidez para enfrentar la astringencia de liquidez interna en este período debido al cambio de milenio, sin tocar el tipo de cambio o sin intervenir en el mercado cambiario sobre la base de que el tipo de cambio estaría sobredepreciado en la actualidad por un fenómeno que es transitorio. En la medida en que lo transitorio desaparece, a comienzos del próximo año debería uno esperar no que las estructuras de tasas de interés caigan necesariamente, sino que la presión sobre el tipo de cambio declinará, puesto que a esas alturas seguramente se van a ir manifestando, todavía con más fuerza, las perspectivas de un crecimiento mayor de la economía, posiblemente habría un reinicio del flujo de capitales hacia las economías emergentes y hacia Chile en particular, y un precio del cobre también más favorable, todo lo cual debiera llevar a una apreciación real a partir de algún momento pronto, inicial y temprano del próximo año. Naturalmente, en ese contexto la prescripción de política es más bien en qué momento debiéramos endurecer nuestra política monetaria puesto que es ése el instrumento que tenemos por esencia para enfrentar una fase del ciclo que ahora comenzaría a ser expansivo. Si tuviera que resumir de alguna manera, diría que, por ahora, me parece que lo más sensato sería enfrentar estas dificultades de corto plazo con mecanismos muy de corto plazo como los que han sido planteados (provisión de liquidez extraordinaria) y en cuanto a la tasa de instancia, moverla según los siguientes criterios. Uno, que es cuán presionante puede ser sobre las tasas locales lo que ocurra con las tasas externas en los próximos días y semanas, particularmente después de la decisión del FED y como segundo criterio, la sincronía que tratemos de encontrar entre el",51ebea459d2dabea31526704f443d7cb47a9558f969677f7eb634a3ccf9422ea
33275,1999-11-04,1999,neutral,1,neutral,1,media,lo único urgente de atacar es este problema del cambio de milenio y para lo cual creo que existen herramientas para enfrentarlo,"La unidad contiene dos intervenciones sobre cómo enfrentar un fenómeno transitorio (cambio de milenio) que presiona al alza las tasas de corto plazo y el tipo de cambio. El primer consejero plantea proveer liquidez al mercado de pesos y, condicionalmente, activos en dólares para limitar el alza cambiaria, sin pronunciarse sobre la dirección de la tasa de instancia. El Consejero Serrano sostiene que lo único urgente es crear una facilidad crediticia de liquidez por el tema milenio y que es muy temprano para plantear alternativas de política más permanentes (demanda agregada, meta de inflación), salvo sorpresas del FED. No hay respaldo a subir o bajar la tasa ni sesgo direccional adoptado; es discusión de instrumentos y menú ante un shock transitorio, por lo que corresponde N conforme a la regla 3 (postergar por razones operativas o transitorias). Confianza media porque hay recomendaciones operativas claras de liquidez, pero sin orientación de tasa identificable.",cerrado,ratificado_v3,presentacion_menu,"provisión de liquidez, facilidad crediticia, tasa de instancia y tipo de cambio","Sesión N° 798E 05.11.99 8.- BANCO CENTRAL DE CHILE. Creo que no son demasiadas las opciones que quedan y están fundamentalmente relacionadas. Por una parte, proveer liquidez al mercado de pesos para evitar que las tasas de interés de mediano plazo que están extraordinariamente altas estén incluso en niveles mayores. Esa opción tiene el problema que puede generar presiones cambiarias adicionales y respecto de ello, no sé si realmente nos deben preocupar esas presiones cambiarias adicionales que están alimentadas por razones financieras y no por un desequilibrio macroeconómico fundamental. Tipo de cambio en $550 - $560, incluso un poco más ¿puede ser traspasado a precio en las actuales circunstancias macroeconómicas? creo que en principio no, tendríamos que ver una recuperación demasiado rápida para que se pudiera iniciar un traspaso a precios y si esa recuperación demasiado rápida se llegara a dar, también muy probablemente habría acciones de política monetaria que correspondería tomar que tenderían, por una parte, a frenar la economía y por otra parte, a disminuir el tipo de cambio. Siento un poco la inclinación de decir \'no creo que haya que preocuparse por el nivel que alcanza el tipo de cambio con respecto al cumplimiento de la meta de inflación por lo fría que está la economía y por lo importante que son las holguras que hoy día tenemos, pero supongamos de que llegáramos a la conclusión de que el riesgo es mayor y que sería tal vez conveniente, en algún nivel o en algún momento, limitar el alza del tipo de cambio. En ese caso, creo que el tipo de herramientas en las cuales uno tiene que pensar son herramientas financieras, para responder el problema financiero que está llevando el tipo de cambio a ese nivel. Cuál es ese problema financiero? El deseo de residentes en el país por tener carteras de activos mucho más concentradas en dólares que lo que la tienen actualmente y que tiende a generar presiones cambiarias, porque no hay nadie que se quiera poner al otro lado de la transacción. Al no haber flujo de capitales abundantes en razón del año 2000, en razón de ajustes financieros que se están haciendo a nivel del Federal Reserve, no hay entrada de capitales y por lo tanto, no hay ofertas de dólares que ayude a satisfacer estas ansias por realizar el ajuste de portafolio. ¿Qué alternativa queda? Alguna alternativa que ayude a que ese cambio de portafolio se dé sin una presión cambiaria tan fuerte y eso es de alguna forma una provisión de activos en dólares denominados en dólares al mercado. No estoy seguro, reitero, de que eso sea estrictamente necesario, de lo que si estoy seguro es que esa sería la vía para enfrentar un problema sí es que lo consideraríamos un problema significativo"". El Consejero señor Serrano señala lo siguiente: ""Creo que hay evidencia más o menos clara de que tenemos un fenómeno transitorio. Si recuerdo bien, esta expectativa de lo que iba a pasar el próximo año que en algún momento el Banco Central iba a subir la tasa, está presente desde julio o agosto de este año, o sea, no es nada nuevo. Lo nuevo es este empinamiento que tuvo la curva de rendimiento ahora, a partir de mediados de octubre, que refleja los efectos del famoso cambio de milenio, o sea, está claro de que hay un aumento de las tasas como consecuencia del alza que hubo afuera producto de este fenómeno y frente a eso no hay muchas opciones. Creo que lo único sensato es lo que ya se ha dicho acá, o sea, hay que crear una facilidad crediticia para que el sistema financiero tenga la liquidez y tenga certeza de que van a tener una liquidez a un determinado precio durante un período prefijado de tiempo y eso creo que es un punto que tenemos que despejar y despejarlo pronto, porque de lo contrario, vamos a seguir con todo este problema de que las licitaciones no salen, tenemos que declararlas desiertas, las tasas se nos van mucho más arriba de lo que sería razonable esperar, etc. Respecto de medidas ya más permanentes, de preocuparse de qué va pasar con la demanda agregada, con la meta de inflación el próximo año etc., creo que es muy temprano a estas alturas plantear alternativas de política para ese evento, salvo que sucediera algo que va más allá de lo esperado que es la decisión del FED, por ejemplo, que no fuera sólo un alza de 25 puntos base. Yo diría que habría que pensar en alguna medida de política adicional, pero con la información que disponemos hoy día, lo único urgente de atacar es este problema del cambio de milenio y para lo cual creo que existen herramientas para enfrentarlo. Respecto al tipo de cambio, me parece que no es necesario intervenir y si fuera necesario hacerlo en un futuro cercano, probablemente la forma más efectiva de hacerlo sería con papeles. Estoy confiando que, en algún momento, se provean en el mercado los mecanismos de cobertura que se están demandando y me parece que los fondos de pensiones son los agentes naturales para proveerlos. Si eso no sucediera, es posible que sea necesario sacar papeles nuestros"".",45c5880962c12c433ef829981a6c1288895e91180859be2a2a1343df9d73d96d
33280,1999-11-04,1999,neutral,1,neutral,1,media,"El papel del Banco Central es dejar en el mercado, mediante los cupos que licita, la liquidez que cree que es necesaria.","El Gerente General analiza el mecanismo operativo de provisión de liquidez (ventanilla, licitación de cupos, líneas de crédito de uno o más días) y su coherencia con la conducción de la tasa de instancia, señalando que en Chile hay liquidez y que el Banco Central provee la necesaria mediante los cupos que licita. Es un análisis de transmisión y operativa monetaria, sin respaldar subir o bajar la tasa ni introducir un sesgo direccional. La discusión de instrumentos operativos no constituye D ni H; corresponde N (es_relevante=1). Confianza media por tratarse de un debate técnico-operativo sin pronunciamiento direccional.",cerrado,ratificado_v3,analisis_transmision,"cupos de liquidez, ventanilla/línea de crédito de liquidez y tasa de instancia","para que no se contradiga con lo que hacemos en materia de tasa de instancia, habría que racionarla? El Gerente General dice que no entiende el asunto de la ventana y dice ""Cree que la política monetaria que hay aquí en Chile se hace de una manera tal que el asunto de la ventana no funciona. Si hay algo que hay en Chile es liquidez. El papel del Banco Central es dejar en el mercado, mediante los cupos que licita, la liquidez que cree que es necesaria. Por lo tanto, no entiendo el mecanismo de la ventana porque eso sería adicionar aún más liquidez. El Banco Central puede proveer liquidez simplemente bajando los cupos y ésa es una de las razones por qué se estaba planteando que en el mes de noviembre se licitaran papeles a 30 días para que el mercado supiera que en diciembre va a haber más liquidez de la que ya hay. En diciembre hay, por decir algo, 1.300.000 millones de pesos que vencen. Eso, si en un momento dado en el mes de diciembre los bancos quieren mantenerlo en pesos, es cosa que no nos compren papeles y qué es lo que va a pasar, que la tasa de interés se va a ir para arriba y el Banco Central va a decir ""yo declaro desierto"" y van a nadar en liquidez los bancos. Por eso no entiendo bien el asunto de la ventanilla. La única forma que veo que es que la ventanilla tendría que ser como una línea de crédito de más largo plazo, no una línea de crédito de liquidez de un día. Sin embargo, tampoco le veo sentido a esa línea de más plazo si no es para situaciones de bancos muy especiales, no es para el mercado, es para decirle a un banco ""mire usted señor, no tenga miedo de que se va a quedar con problemas porque los otros bancos no le van a prestar, sino que yo le voy a prestar contra cartera de crédito suya si es que hay bancos complicados. Hay una situación ahí de banco a banco, pero no creo que ese sea el problema que estamos viendo ahora"".",6bd8a34811183f8d8d0fd7187e790f2b21b1548208f556bce73948d8cd1b4f5c
33291,1999-11-04,1999,hawkish,1,hawkish,1,alta,"si la disyuntiva es entre colocar PRD o intervenir el mercado cambiario o subir la tasa de instancia, yo claramente me quedo con subir la tasa de instancia","El consejero respalda explícitamente subir la tasa de instancia antes de lo previsto, calificándolo como normalización de tasas hacia una posición más neutral desde el 5%, considerando los rezagos de la política monetaria y una economía que probablemente crecerá más hacia el segundo semestre del próximo año. Ante la disyuntiva entre colocar PRD, intervenir el mercado cambiario o subir la tasa de instancia, elige claramente subir la tasa de instancia. Es un respaldo directo al retiro de estímulo/endurecimiento (H, es_relevante=1), con dirección y elección inequívocas, confianza alta.",cerrado,ratificado_v3,propuesta,"tasa de instancia, PRD y mercado cambiario","2. Y si bien es cierto la recuperación ha sido lenta y difícil, no le tengo tanto temor a un aumento de tasa de instancia antes de lo que habíamos previsto, porque de lo que estamos hablando no es de una política de ajuste monetario, sino de una política más bien de normalización de tasas. Estamos con tasas, hoy día, que son claramente bajas para lo que ha sido la historia reciente, de modo que moverse hacia arriba hoy día desde el 5 es más bien moverse en una dirección hacia una posición más neutral, considerando los rezagos que tiene la política monetaria, incluso en Chile que son muchos más cortos que en países industriales estamos hablando entre 6 y 10 meses, estamos hablando de efectos que podría tener una política que ni siquiera es muy restrictiva sino que solamente tenuemente más neutral de lo que existe hoy día, tendría efectos eso hacia el segundo semestre del próximo año cuando es muy probable que la economía esté creciendo bastante más que en la actualidad. En la disyuntiva de enfrentar el problema financiero hoy día, si se opta por algo que vaya más allá de lo que es la provisión de liquidez propiamente tal para el fenómeno puntual del año 2000, si la disyuntiva es entre colocar PRD o intervenir el mercado cambiario o subir la tasa de instancia, yo claramente me quedo con subir la tasa de instancia"".",b856b3a83d432c29f69dd43ad2d732f380fb16a1b221fd5225f7ff50f5c72676
33294,1999-11-04,1999,dovish,1,dovish,1,media,"el problema con subir la tasa de instancia a estas alturas es que la tasa de instancia también actúa mucho sobre las expectativas; es una señal que afecta expectativas, entonces subirla en este momento es como pegarle un martillazo en la cabeza a algo que recién se viene asomando","El Consejero Serrano se opone a subir la tasa de instancia en ese momento: advierte que la tasa actúa sobre las expectativas y que subirla ahora es 'como pegarle un martillazo en la cabeza a algo que recién se viene asomando', temiendo que el efecto señal sea complicado. Esta oposición al alza constituye una defensa sustantiva de preservar el estímulo monetario y no abortar la reactivación incipiente (D, es_relevante=1). Confianza media porque reconoce un posible beneficio en moderar las tasas largas, pero su postura efectiva es contraria al alza inmediata y no propone explícitamente un recorte.",cerrado,ratificado_v3,disenso_voto,tasa de instancia,"5. El Consejero señor Serrano señala: ""Volviendo al tema de las opciones, me parecen razonables los argumentos que dio Felipe (Morandé), pero el problema con subir la tasa de instancia a estas alturas es que la tasa de instancia también actúa mucho sobre las expectativas; es una señal que afecta expectativas, entonces subirla en este momento es como pegarle un martillazo en la cabeza a algo que recién se viene asomando. Es posible que el efecto, sin analizar este tema de expectativas, provoque una moderación de las tasas a largo plazo y desde ese punto podría ser beneficioso, pero temo que el efecto señal sea complicado.",0ee96726f4fae2008a3c6f85058a4c92ff3147353ff9ce0fb4e5bea3668b2c0e
