intervencion_id,meeting_id,fold,supervision_prediccion_congelada,etiqueta_v2,etiqueta_v3,cambio_etiqueta_referencia,es_relevante_v2,es_relevante_v3,cambio_relevancia_referencia,prediccion_relevancia_congelada,prediccion_clase_direccional_congelada,prediccion_congelada,acierto_v2,acierto_v3,efecto_recodificacion
RPM-2005-03-10:179:1,RPM-2005-03-10,1,seis_mas_trece,neutral,hawkish,true,1,1,false,1,neutral,neutral,true,false,acierto_a_error
RPM-2005-03-10:185:1,RPM-2005-03-10,1,seis_mas_trece,dovish,neutral,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error
RPM-2005-03-10:186:1,RPM-2005-03-10,1,seis_mas_trece,neutral,hawkish,true,1,1,false,1,neutral,neutral,true,false,acierto_a_error
RPM-2005-03-10:193:1,RPM-2005-03-10,1,seis_mas_trece,neutral,hawkish,true,1,1,false,1,neutral,neutral,true,false,acierto_a_error
RPM-2005-03-10:196:1,RPM-2005-03-10,1,seis_mas_trece,neutral,hawkish,true,1,1,false,1,neutral,neutral,true,false,acierto_a_error
RPM-2006-05-11:671:1,RPM-2006-05-11,1,seis_mas_trece,dovish,hawkish,true,1,1,false,1,hawkish,hawkish,false,true,error_a_acierto
RPM-2006-05-11:672:1,RPM-2006-05-11,1,seis_mas_trece,dovish,hawkish,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error
RPM-2006-05-11:673:1,RPM-2006-05-11,1,seis_mas_trece,dovish,hawkish,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error
RPM-2005-04-07:215:1,RPM-2005-04-07,2,seis_mas_trece,dovish,hawkish,true,1,1,false,1,hawkish,hawkish,false,true,error_a_acierto
RPM-2006-10-12:936:1,RPM-2006-10-12,2,seis_mas_trece,dovish,neutral,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error
RPM-2006-09-07:873:1,RPM-2006-09-07,3,seis_mas_trece,dovish,hawkish,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error
RPM-2011-08-18:4272:1,RPM-2011-08-18,3,seis_mas_trece,dovish,neutral,true,1,1,false,1,hawkish,hawkish,false,false,sin_cambio
RPM-2005-01-11:30:1,RPM-2005-01-11,3,seis_mas_trece,neutral,hawkish,true,1,1,false,1,neutral,neutral,true,false,acierto_a_error
RPM-2006-09-07:867:1,RPM-2006-09-07,3,seis_mas_trece,dovish,neutral,true,1,1,false,1,hawkish,hawkish,false,false,sin_cambio
RPM-2007-01-11:1054:1,RPM-2007-01-11,3,seis_mas_trece,hawkish,dovish,true,1,1,false,1,hawkish,hawkish,true,false,acierto_a_error
RPM-2009-08-13:2681:1,RPM-2009-08-13,3,seis_mas_trece,dovish,neutral,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error
RPM-2008-02-07:1672:1,RPM-2008-02-07,4,seis_mas_trece,dovish,neutral,true,1,1,false,1,hawkish,hawkish,false,false,sin_cambio
RPM-2006-03-16:621:1,RPM-2006-03-16,4,seis_mas_trece,dovish,hawkish,true,1,1,false,1,hawkish,hawkish,false,true,error_a_acierto
RPM-2008-03-13:1731:1,RPM-2008-03-13,4,seis_mas_trece,dovish,hawkish,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error
RPM-2008-03-13:1739:1,RPM-2008-03-13,4,seis_mas_trece,neutral,neutral,false,0,1,true,1,neutral,neutral,true,true,sin_cambio
RPM-2015-06-11:6854:1,RPM-2015-06-11,4,seis_mas_trece,dovish,neutral,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error
RPM-2006-07-13:774:1,RPM-2006-07-13,5,seis_mas_trece,neutral,hawkish,true,1,1,false,1,hawkish,hawkish,false,true,error_a_acierto
RPM-2006-07-13:775:1,RPM-2006-07-13,5,seis_mas_trece,dovish,hawkish,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error
RPM-2007-02-08:1102:1,RPM-2007-02-08,5,seis_mas_trece,hawkish,neutral,true,1,1,false,1,neutral,neutral,false,true,error_a_acierto
RPM-2007-12-13:1607:2,RPM-2007-12-13,5,seis_mas_trece,dovish,neutral,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error
RPM-2008-05-08:1848:1,RPM-2008-05-08,5,seis_mas_trece,dovish,neutral,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error
RPM-2011-09-15:4329:1,RPM-2011-09-15,5,seis_mas_trece,dovish,neutral,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error
RPM-2011-09-15:4332:1,RPM-2011-09-15,5,seis_mas_trece,dovish,neutral,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error
RPM-2011-09-15:4333:1,RPM-2011-09-15,5,seis_mas_trece,dovish,neutral,true,1,1,false,1,neutral,neutral,false,true,error_a_acierto
