intervencion_id,meeting_id,fold,etiqueta_v3,es_relevante_v3,pred_c_ancla89,pred_c_primera300,pred_c_600,pred_wc_600,pred_a_c_600,pred_b_c_600,pred_a_wc_600,pred_b_wc_600,pred_seleccionada,acierto_seleccionada
RPM-2005-03-10:186:1,RPM-2005-03-10,1,hawkish,1,neutral,neutral,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:190:1,RPM-2005-03-10,1,hawkish,1,neutral,neutral,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:192:1,RPM-2005-03-10,1,hawkish,1,hawkish,hawkish,hawkish,neutral,1,hawkish,1,neutral,neutral,False
RPM-2005-03-10:193:1,RPM-2005-03-10,1,hawkish,1,hawkish,neutral,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:196:1,RPM-2005-03-10,1,hawkish,1,neutral,neutral,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2005-03-10:197:1,RPM-2005-03-10,1,neutral,1,hawkish,hawkish,hawkish,hawkish,1,hawkish,1,hawkish,hawkish,False
RPM-2008-07-10:1975:1,RPM-2008-07-10,1,neutral,1,hawkish,hawkish,hawkish,hawkish,1,hawkish,1,hawkish,hawkish,False
RPM-2008-12-11:2251:1,RPM-2008-12-11,1,dovish,1,hawkish,hawkish,dovish,hawkish,1,dovish,1,hawkish,hawkish,False
RPM-2010-08-12:3337:1,RPM-2010-08-12,1,hawkish,1,neutral,neutral,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2006-01-12:533:1,RPM-2006-01-12,2,neutral,1,hawkish,hawkish,hawkish,hawkish,1,hawkish,1,hawkish,hawkish,False
RPM-2006-10-12:941:1,RPM-2006-10-12,2,neutral,1,hawkish,hawkish,hawkish,hawkish,1,hawkish,1,hawkish,hawkish,False
RPM-2007-10-11:1519:1,RPM-2007-10-11,2,neutral,1,hawkish,hawkish,hawkish,hawkish,1,hawkish,1,hawkish,hawkish,False
RPM-2009-10-13:2757:2,RPM-2009-10-13,2,dovish,1,hawkish,hawkish,hawkish,hawkish,1,hawkish,1,hawkish,hawkish,False
RPM-2009-10-13:2758:1,RPM-2009-10-13,2,dovish,1,hawkish,neutral,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2015-01-15:6585:1,RPM-2015-01-15,2,neutral,1,dovish,neutral,dovish,dovish,1,dovish,1,dovish,dovish,False
RPM-2005-01-11:46:1,RPM-2005-01-11,3,hawkish,1,neutral,neutral,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2005-01-11:56:1,RPM-2005-01-11,3,hawkish,1,hawkish,neutral,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2006-09-07:867:1,RPM-2006-09-07,3,neutral,1,hawkish,hawkish,hawkish,hawkish,1,hawkish,1,hawkish,hawkish,False
RPM-2006-09-07:873:1,RPM-2006-09-07,3,hawkish,1,hawkish,hawkish,neutral,neutral,1,neutral,1,neutral,neutral,False
RPM-2006-12-14:1019:1,RPM-2006-12-14,3,hawkish,1,hawkish,hawkish,dovish,dovish,1,dovish,1,dovish,dovish,False
RPM-2007-01-11:1050:1,RPM-2007-01-11,3,dovish,1,hawkish,hawkish,hawkish,hawkish,1,hawkish,1,hawkish,hawkish,False
RPM-2007-01-11:1054:1,RPM-2007-01-11,3,dovish,1,hawkish,hawkish,hawkish,hawkish,1,hawkish,1,hawkish,hawkish,False
