candidato,ngram_max,min_df,C,macro_f1_media,macro_f1_desviacion_folds,macro_f1_oof_conjunto
1,1,2,0.5,0.7139904781902355,0.10457481562304936,0.7132748253067273
2,1,2,1.0,0.7196338634678899,0.10616267241126763,0.7198827771038624
3,1,2,2.0,0.7246264070781595,0.09792140195545895,0.7258956867015933
4,1,3,0.5,0.7176390362215618,0.10793560070230263,0.7158796687751136
5,1,3,1.0,0.7232955119069995,0.10881720606898973,0.7236331732049237
6,1,3,2.0,0.7264234240831402,0.10137744117779894,0.7271232160335342
7,2,2,0.5,0.7146472117222378,0.10502034224413424,0.7167119403879852
8,2,2,1.0,0.7167033450331973,0.10868260593088193,0.7191567991467879
9,2,2,2.0,0.7263959336556944,0.09600871842468325,0.7276302892212986
10,2,3,0.5,0.7219358796982978,0.11645618805558779,0.7234827065203318
11,2,3,1.0,0.7151076473771543,0.10692311562941044,0.7173378809309293
12,2,3,2.0,0.7259979881588732,0.09636476670449162,0.7272499614297594
