candidato,fold,n_train,n_validacion,reuniones_validacion,macro_f1
1,1,1081,271,26,0.7402691511387163
1,2,1081,271,27,0.5604424778761062
1,3,1081,271,27,0.8161283815679204
1,4,1083,269,25,0.660495363457036
1,5,1082,270,27,0.7926170169113984
2,1,1081,271,26,0.7451356788278014
2,2,1081,271,27,0.5604424778761062
2,3,1081,271,27,0.8271901709401709
2,4,1083,269,25,0.6727839727839728
2,5,1082,270,27,0.7926170169113984
3,1,1081,271,26,0.7347398998585789
3,2,1081,271,27,0.5819411525293878
3,3,1081,271,27,0.8271901709401709
3,4,1083,269,25,0.6807938798970189
3,5,1082,270,27,0.7984669321656411
4,1,1081,271,26,0.7402691511387163
4,2,1081,271,27,0.5549206349206349
4,3,1081,271,27,0.815630871744729
4,4,1083,269,25,0.6711501608995913
4,5,1082,270,27,0.8062243624041378
5,1,1081,271,26,0.7394329072792166
5,2,1081,271,27,0.5633508801720722
5,3,1081,271,27,0.8271901709401709
5,4,1083,269,25,0.6727839727839728
5,5,1082,270,27,0.8137196283595651
6,1,1081,271,26,0.7347398998585789
6,2,1081,271,27,0.5786737761342581
6,3,1081,271,27,0.820414283010903
6,4,1083,269,25,0.6807938798970189
6,5,1082,270,27,0.8174952815149421
7,1,1081,271,26,0.7394329072792166
7,2,1081,271,27,0.5389833980059544
7,3,1081,271,27,0.7993904583284492
7,4,1083,269,25,0.7072383919674561
7,5,1082,270,27,0.7881909030301126
8,1,1081,271,26,0.7215519034741003
8,2,1081,271,27,0.5417499847009069
8,3,1081,271,27,0.7993904583284492
8,4,1083,269,25,0.7058348878573598
8,5,1082,270,27,0.8149894908051704
9,1,1081,271,26,0.7183557263470869
9,2,1081,271,27,0.5808397433047293
9,3,1081,271,27,0.8174295517758533
9,4,1083,269,25,0.7058348878573598
9,5,1082,270,27,0.8095197589934431
10,1,1081,271,26,0.756935817805383
10,2,1081,271,27,0.5263157894736842
10,3,1081,271,27,0.7993904583284492
10,4,1083,269,25,0.7120478420788019
10,5,1082,270,27,0.8149894908051704
11,1,1081,271,26,0.7215519034741003
11,2,1081,271,27,0.5417499847009069
11,3,1081,271,27,0.7993904583284492
11,4,1083,269,25,0.7058348878573598
11,5,1082,270,27,0.8070110025249552
12,1,1081,271,26,0.7183557263470869
12,2,1081,271,27,0.5799875505757859
12,3,1081,271,27,0.8241909284018494
12,4,1083,269,25,0.7058348878573598
12,5,1082,270,27,0.8016208476122837
