fold,variante,n_train_ia,n_validacion,n_train_b,n_externos_b,vocabulario_a,vocabulario_b,cobertura_rasgos_validacion,peso_clase_hawkish,peso_clase_dovish,peso_clase_neutral,accuracy,macro_f1,f1_hawkish,f1_dovish,f1_neutral,recall_hawkish,recall_dovish,recall_neutral,precision_hawkish,precision_dovish,precision_neutral,n_hawkish,n_dovish,n_neutral
1,B0_base,1194,158,949,0,4431,36444,0.48891408934707903,2.9290123456790123,3.905349794238683,0.4162280701754386,0.9240506329113924,0.7417974711140177,0.625,0.6363636363636364,0.9640287769784173,0.625,0.875,0.9436619718309859,0.625,0.5,0.9852941176470589,8,8,142
1,E1_ingles,1194,158,1048,99,4431,36785,0.5205085910652921,2.5686274509803924,3.1471471471471473,0.43612151477320016,0.9050632911392406,0.6623566627125346,0.5333333333333333,0.5,0.9537366548042705,0.5,0.625,0.9436619718309859,0.5714285714285714,0.4166666666666667,0.9640287769784173,8,8,142
1,E2_espanol,1194,158,1048,99,4431,36772,0.48943642611683846,2.5686274509803924,3.1471471471471473,0.43612151477320016,0.8860759493670886,0.5980282440714095,0.4444444444444444,0.4,0.9496402877697842,0.5,0.5,0.9295774647887324,0.4,0.3333333333333333,0.9705882352941176,8,8,142
2,B0_base,1193,159,959,0,4433,36374,0.4990155800858414,3.133986928104575,3.9465020576131686,0.4119415807560137,0.9622641509433962,0.8700617283950617,0.875,0.75,0.9851851851851852,1.0,0.75,0.9708029197080292,0.7777777777777778,0.75,1.0,14,8,137
2,E1_ingles,1193,159,1058,99,4433,36714,0.5321380287975639,2.712820512820513,3.1771771771771773,0.43166054671562626,0.949685534591195,0.7809554859236988,0.9032258064516129,0.46153846153846156,0.9781021897810219,1.0,0.375,0.9781021897810219,0.8235294117647058,0.6,0.9781021897810219,14,8,137
2,E2_espanol,1193,159,1058,99,4433,36698,0.501378187879822,2.712820512820513,3.1771771771771773,0.43166054671562626,0.949685534591195,0.830976430976431,0.8484848484848485,0.6666666666666666,0.9777777777777777,1.0,0.625,0.9635036496350365,0.7368421052631579,0.7142857142857143,0.9924812030075187,14,8,137
3,B0_base,1193,159,962,0,4483,37233,0.49989307557418416,3.2066666666666666,4.275555555555556,0.4074544684455739,0.9119496855345912,0.7744074343296133,0.7428571428571429,0.6153846153846154,0.9649805447470817,0.8125,0.5714285714285714,0.9612403100775194,0.6842105263157895,0.6666666666666666,0.96875,16,14,129
3,E1_ingles,1193,159,1061,99,4483,37573,0.5333675491495944,2.7630208333333335,3.3682539682539683,0.42713365539452497,0.89937106918239,0.7278208440999139,0.7222222222222222,0.5,0.9612403100775194,0.8125,0.42857142857142855,0.9612403100775194,0.65,0.6,0.9612403100775194,16,14,129
3,E2_espanol,1193,159,1061,99,4483,37571,0.5025091598591449,2.7630208333333335,3.3682539682539683,0.42713365539452497,0.8930817610062893,0.7145467342342342,0.7027027027027027,0.48,0.9609375,0.8125,0.42857142857142855,0.9534883720930233,0.6190476190476191,0.5454545454545454,0.968503937007874,16,14,129
4,B0_base,1193,159,962,0,4440,37080,0.5014535084926425,3.239057239057239,3.9588477366255144,0.4100596760443308,0.8805031446540881,0.7038169066076043,0.6857142857142857,0.48,0.9457364341085271,0.7058823529411765,0.75,0.9104477611940298,0.6666666666666666,0.35294117647058826,0.9838709677419355,17,8,134
4,E1_ingles,1193,159,1061,99,4440,37420,0.5324478467309902,2.784776902887139,3.186186186186186,0.42972863507492914,0.8867924528301887,0.6976829045794563,0.6666666666666666,0.47619047619047616,0.9501915708812261,0.7058823529411765,0.625,0.9253731343283582,0.631578947368421,0.38461538461538464,0.9763779527559056,17,8,134
4,E2_espanol,1193,159,1061,99,4440,37414,0.5019656971995736,2.784776902887139,3.186186186186186,0.42972863507492914,0.8867924528301887,0.7130260848267135,0.6470588235294118,0.5454545454545454,0.9465648854961832,0.6470588235294118,0.75,0.9253731343283582,0.6470588235294118,0.42857142857142855,0.96875,17,8,134
5,B0_base,1194,158,958,0,4450,36379,0.491790182631566,3.130718954248366,4.094017094017094,0.4104541559554413,0.930379746835443,0.8113275613275613,0.7142857142857143,0.75,0.9696969696969697,0.7142857142857143,0.8181818181818182,0.9624060150375939,0.7142857142857143,0.6923076923076923,0.9770992366412213,14,11,133
5,E1_ingles,1194,158,1057,99,4450,36722,0.5232836811444583,2.7102564102564104,3.2623456790123457,0.4301994301994302,0.9240506329113924,0.7735247208931421,0.7142857142857143,0.6363636363636364,0.9699248120300752,0.7142857142857143,0.6363636363636364,0.9699248120300752,0.7142857142857143,0.6363636363636364,0.9699248120300752,14,11,133
5,E2_espanol,1194,158,1057,99,4450,36702,0.49239239977386134,2.7102564102564104,3.2623456790123457,0.4301994301994302,0.9177215189873418,0.7729092847060178,0.6896551724137931,0.6666666666666666,0.9624060150375939,0.7142857142857143,0.6363636363636364,0.9624060150375939,0.6666666666666666,0.7,0.9624060150375939,14,11,133
