orden,intervencion_id,meeting_id,fecha_reunion,actor,cargo,texto,etiqueta_v3,es_relevante_v3,confianza,cita_literal,fundamento,estado_revision_v3,incluir_evaluacion,sha256_texto,procedencia
1,RPM-2009-06-16:2573:1,RPM-2009-06-16,2009-06-16,Manuel Marfán Lewis,Consejero,"El Consejero señor Manuel Marfán señala que se debe tener cuidado con los resultados de las regresiones, puesto que las observaciones de que se dispone desde agosto del año pasado a la fecha, podrían estar alterando de modo importante el valor de los parámetros del modelo y, por ende, llevando a conclusiones que se encuentran afectadas por observaciones que no tienen comparador histórico.",neutral,1,media,"El Consejero señor Manuel Marfán señala que se debe tener cuidado con los resultados de las regresiones, puesto que las observaciones de que se dispone desde agosto del año pasado a la fecha, podrían estar alterando de modo importante el valor de los parámetros del modelo y, por ende, llevando a","Advertencia metodológica sustantiva, sin acción, recomendación ni orientación monetaria propia; corresponde N.",cerrado,true,db976b23cbcaeca9fa8d5af63238d5eb7d5bc8cdf8764b5dab047d88dc04a08e,IA asistida; validación humana fila por fila
2,RPM-2011-03-17:3851:1,RPM-2011-03-17,2011-03-17,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,"El Gerente de Análisis Macroeconómico señor Claudio Soto prosigue, refiriéndose a los agregados monetarios. Sobre el particular, menciona que el M1 ha tendido a reducir sus tasas de crecimiento, en línea con lo que se esperaría, dado el aumento de la TPM y la contracción del impulso monetario, mientras que las tasas de crecimiento de los agregados menos líquidos, esto es, el M2 y el M3, han ido aumentando en el margen, fundamentalmente por la recuperación de los depósitos.",hawkish,1,alta,"Sobre el particular, menciona que el M1 ha tendido a reducir sus tasas de crecimiento, en línea con lo que se esperaría, dado el aumento de la TPM y la contracción del impulso monetario, mientras que las tasas de crecimiento de los agregados menos líquidos, esto es, el M2 y el M3, han ido aumenta","La unidad describe y valida explícitamente el aumento de la TPM y la contracción del impulso monetario como el comportamiento esperado, lo que constituye respaldo a una dirección monetaria restrictiva (H). La referencia a la contracción del impulso monetario conecta directamente el diagnóstico con la orientación de tasa.",cerrado,true,d929dfe4d09e730a089b230a1e19dfd2f5eadeeaccac6f2a4355a8d5bef5af2a,IA asistida; validación humana fila por fila
3,RPM-2011-03-17:3859:1,RPM-2011-03-17,2011-03-17,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,"El señor Claudio Soto hace presente que el supuesto de la Gerencia a su cargo es que sí habría espacio para generar una caída en esa tarifa por la vía de modificar las ponderaciones de los precios futuros y los precios históricos, pero ello implicaría aumentar la pendiente en adelante, esto es, implicaría una caída de la tarifa ahora, pero fuertes alzas después.",hawkish,1,media,"El señor Claudio Soto hace presente que el supuesto de la Gerencia a su cargo es que sí habría espacio para generar una caída en esa tarifa por la vía de modificar las ponderaciones de los precios futuros y los precios históricos, pero ello implicaría aumentar la pendiente en adelante, esto es, i","La unidad plantea una opción de política que implica una caída de la tarifa ahora pero fuertes alzas después, lo que introduce un sesgo futuro al alza de la tasa. Aunque menciona una caída inicial, la resolución propuesta respalda un endurecimiento posterior, alineándose con H según el Codebook v3. La ambigüedad sobre la tarifa específica y el contexto de opciones balanceadas justifica confianza media.",cerrado,true,59e9578743be34dae5b8b0975567c96a92cc1a00505b1ae189a1eb048bba7f09,IA asistida; validación humana fila por fila
4,RPM-2012-12-13:5266:1,RPM-2012-12-13,2012-12-13,Rodrigo Vergara Montes,Presidente del Banco Central,"El Presidente señor Rodrigo Vergara agradece el planteamiento del Vicepresidente señor Manuel Marfán e inicia su intervención expresando su reconocimiento al staff por el excelente análisis consignado precedentemente. Hace presente que en el escenario externo se ha observado una reducción de riesgos de eventos mayores en la Eurozona, que ha significado que los premios por riesgo, aunque todavía elevados, mantengan su trayectoria descendente. No obstante lo anterior, expresa que las cifras de crecimiento muestran un deterioro que ya alcanza a las economías más importantes de dicha región, que las proyecciones no son mejores, y que se espera que la Zona Euro mantenga bajos crecimientos por un período prolongado. En cuanto a Estados Unidos de América, señala que se mantiene la incertidumbre con respecto al “fiscal cliff” y el techo de la deuda pública, y que concluye el plazo para lograr una solución. Agrega que el reciente anuncio de mayor expansividad de la política monetaria pone nuevas presiones sobre los países emergentes y que Japón sigue exhibiendo cifras que dan cuenta de un crecimiento muy modesto. En lo concerniente al mundo emergente, manifiesta que hay mejores noticias sobre China, que pareciera que ha frenado su desaceleración y comienza una nueva fase de mayor dinamismo. Reconoce que evidentemente es temprano para sacar una conclusión definitiva, pero que al menos las noticias recientes son auspiciosas. Añade que Brasil mantiene un crecimiento débil, a pesar de las declaraciones de sus autoridades que esperaban una recuperación más fuerte a partir del tercer trimestre. Además, destaca que el precio del cobre ha subido en forma importante desde la última Reunión de Política Monetaria, en tanto que en el resto de las materias primas se observan comportamientos mixtos, con alzas en alimentos y bajas en combustibles. En lo atinente a Chile, se mantiene el elevado dinamismo de la actividad y el gasto. Sobre el particular, menciona que el crecimiento de la actividad de los últimos meses ha sorprendido al alza, más allá de los efectos puntuales derivados de elementos, tales como, días hábiles o bases de comparación, y que se espera un crecimiento algo más moderado en lo venidero. Por su parte, indica que la demanda, si bien se ha desacelerado desde los niveles alcanzados en los años 2010 y 2011, ha sido con menos fuerza que lo esperado y, de hecho, se ha acelerado nuevamente en el margen, lo que ha contribuido a una ampliación del déficit de cuenta corriente. El Presidente señor Rodrigo Vergara plantea que quizás la sorpresa más relevante del último mes tiene que ver con que se mantiene una muy baja inflación, lo que hace pensar que se cerrará el año con cifras bajo el rango de tolerancia del Banco Central de Chile. Agrega que la inflación subyacente también se encuentra más cerca del 2% anual, y que incluso aquella inflación más relacionada con servicios y no transables se ha reducido en los últimos meses, aunque está por sobre el resto, más cercana a 4% anual. En su opinión, no se vislumbran riesgos en esta variable en el corto plazo, aunque es evidente que con la dinámica que tiene el gasto y la actividad, los riesgos de mediano plazo subsisten. Resalta que las expectativas de inflación de mediano plazo se mantienen ancladas a la meta del Banco. Asimismo, menciona que los aumentos en los salarios son consistentes con incrementos de la productividad que ha repuntado en lo más reciente, aunque reconoce que aún es temprano para sacar conclusiones definitivas sobre este fenómeno. Por otra parte, indica que se ha observado alguna desaceleración en el crecimiento de las colocaciones bancarias.",neutral,1,media,El Presidente señor Rodrigo Vergara agradece el planteamiento del Vicepresidente señor Manuel Marfán e inicia su intervención expresando su reconocimiento al staff por el excelente análisis consignado precedentemente. Hace presente que en el escenario externo se ha observado una reducción de ries,"La unidad contiene un extenso diagnóstico macroeconómico (escenario externo, actividad, inflación, gasto) sin una conexión explícita con la orientación de la tasa de política ni una recomendación de subir, bajar o mantener con sesgo. Al ser un diagnóstico sin resolución direccional propia, corresponde N conforme al Codebook v3. La confianza es media por la extensión y riqueza del diagnóstico, aunque sin sesgo direccional.",cerrado,true,cd49be146c3eade1ba901213fe0d2a84dce1ec8244951b1bc541e20d320fb85b,IA asistida; validación humana fila por fila
5,RPM-2005-11-10:468:1,RPM-2005-11-10,2005-11-10,Rodrigo Valdés Pulido,Gerente de División Estudios,"El Gerente de División Estudios señor Valdés, señala que otro elemento que explica el bajo efecto inflacionario de la depreciación del dólar es que los precios en esa moneda, también estaban bajando en el mundo.",neutral,1,alta,"El Gerente de División Estudios señor Valdés, señala que otro elemento que explica el bajo efecto inflacionario de la depreciación del dólar es que los precios en esa moneda, también estaban bajando en el mundo.","La unidad presenta un diagnóstico macroeconómico sobre el bajo efecto inflacionario de la depreciación del dólar, sin conexión con la orientación de tasa ni con una recomendación de política monetaria. Al ser un comentario analítico sin sesgo direccional, corresponde N según las reglas del Codebook v3.",cerrado,true,1d535ae378f48206219ec40b600da5e52997a61c82eae3922eeeb5c5573ad9ee,IA asistida; validación humana fila por fila
6,RPM-2006-10-12:904:1,RPM-2006-10-12,2006-10-12,Manuel Marfán Lewis,Consejero,"El Consejero señor Marfán, sobre el mismo tema, señala que la Superintendencia de Bancos e Instituciones Financieras debería empezar a recabar como
información la existencia de una tasa prime, que es la que se utiliza en otros lugares cuando se
le cobra el consumidor para determinado plazo. Agrega, que tiene la impresión que a partir de
ese hecho se debería tender a alinear las demás tasas. Señala también que entiende que esa
tasa no existe, pero es un tema de cambio en la composición del consumo que está afectando
el promedio de la tasa y eso produce la sensación que esos créditos están subiendo o bajando,
cuando en realidad responde a una política de los bancos.",neutral,1,media,"El Consejero señor Marfán, sobre el mismo tema, señala que la Superintendencia de Bancos e Instituciones Financieras debería empezar a recabar como información la existencia de una tasa prime, que es la que se utiliza en otros lugares cuando se le cobra el consumidor para determinado plazo.","La unidad aborda temas de tasas de interés bancarias y composición del consumo, pero sin conexión con la orientación de la Tasa de Política Monetaria ni con un sesgo direccional de política monetaria. Se trata de un diagnóstico microfinanciero/regulatorio, por lo que corresponde N según el Codebook v3.",cerrado,true,76a6e921c96082f52047d5727ab459a0a6f876ecba495c8ef63011777aa95d2e,IA asistida; validación humana fila por fila
7,RPM-2012-06-14:4866:1,RPM-2012-06-14,2012-06-14,Joaquín Vial Ruiz-Tagle,Consejero,"El Consejero señor Joaquín Vial destaca que en España, la tasa de captación de fondos alcanza niveles cercanos al 7% anual, por lo que su petición de rescate es inminente. En segundo lugar, plantea la conveniencia de analizar el rol que han desempeñado las empresas calificadoras de riesgo en el último tiempo, porque si bien han estado penalizando a España por la situación de su sistema bancario, la rebaja de 3 escalones que fue conocida al inicio de esta jornada se puede interpretar como una doble o triple contabilización de los mismos problemas ante la necesidad de dichas empresas en mostrar actividad cuando los riesgos se están materializando. Hace presente que ello tiene consecuencias concretas, por cuanto los inversionistas institucionales deben retirar sus fondos del país en el evento que las clasificaciones de riesgo disminuyan bajo ciertos niveles. El Consejero señor Joaquín Vial enfatiza este punto, en especial, por su posible efecto sobre Chile en caso que las agencias de rating sobrerreaccionaran con el nivel de fondeo de las grandes corporaciones bancarias, con los fondos de pensiones o compañías de seguros, ya que ello puede tener un efecto multiplicador enorme. En tercer lugar, sugiere analizar la situación de Brasil, cuya política monetaria ha sido muy agresiva al reducir las tasas de manera significativa y por cuanto el real es una de las monedas que está registrando una depreciación mayor. En su opinión, en la medida que la situación brasileña comience a ser percibida como de mayor riesgo, es muy probable que todo el resto de América del Sur también comience a ser visualizado como más riesgoso, especialmente en un contexto en que disminuyen los precios de commodities.",neutral,1,alta,"En tercer lugar, sugiere analizar la situación de Brasil, cuya política monetaria ha sido muy agresiva al reducir las tasas de manera significativa y por cuanto el real es una de las monedas que está registrando una depreciación mayor.","La unidad discute el escenario externo (España, calificadoras de riesgo, Brasil) y menciona la política monetaria brasileña, pero no adopta, recomienda ni respalda una dirección monetaria doméstica para Chile. Al ser diagnóstico macroeconómico sin conexión con la orientación de tasa doméstica, corresponde N.",cerrado,true,95b230d5aa83021aaae597eec4f3237d0e63e1de09047f228ac20e874602e447,IA asistida; validación humana fila por fila
8,RPM-2005-08-11:364:1,RPM-2005-08-11,2005-08-11,José De Gregorio Rebeco,Vicepresidente del Banco Central,"El Vicepresidente, señor José De Gregorio, señala que la actividad económica muestra que el cierre de brecha continúa entre los rangos previstos y se hace cada vez más probable que nos ubiquemos en la parte superior del rango de crecimiento previsto en el Informe de Política Monetaria de mayo. Por su parte, la inflación en particular en sus medidas subyacentes se espera siga convergiendo gradualmente al centro del rango meta. Sin embargo, el IPC ha dado sorpresas importantes debido a la pronunciada alza del precio del petróleo, shocks en tarifas públicas y precios de bienes perecibles. En todo caso, estas sorpresas en el IPC se espera que sean transitorias y se disipen en el mediano plazo. Los efectos de segunda vuelta limitados, son además apoyados por la moderada disminución de los costos laborales unitarios y expectativas ancladas con la meta de inflación del Banco. Por lo tanto, las favorables perspectivas inflacionarias dependen exclusivamente de la credibilidad actual y el compromiso antinflacionario del Banco, pero para mantener la credibilidad hay que actuar en forma coherente con ella y en la actual coyuntura ello consiste en continuar con el proceso de retiro gradual del estímulo monetario. Dado el dinamismo en la actividad y evolución inflacionaria no se entendería una mantención de la tasa. Por otra parte, subir la tasa en 50 puntos base se interpretaría como una aceleración del ritmo de tasas, lo que no se justifica. En la medida que el mercado entienda, que así espera que sea, aunque por algunos comentarios pareciera que no hay plena comprensión, que la tasa de política monetaria muy probablemente seguirá subiendo en los próximos meses. Por lo anterior, su voto es por subir la tasa en veinticinco puntos base.",hawkish,1,alta,para mantener la credibilidad hay que actuar en forma coherente con ella y en la actual coyuntura ello consiste en continuar con el proceso de retiro gradual del estímulo monetario. Dado el dinamismo en la actividad y evolución inflacionaria no se entendería una mantención de la tasa.,"La unidad recomienda explícitamente continuar con el retiro gradual del estímulo monetario, descarta la mantención de la tasa y respalda un sesgo futuro al alza ('la tasa de política monetaria muy probablemente seguirá subiendo'), culminando con un voto por subir la tasa en 25 puntos base. Corresponde H con confianza alta.",cerrado,true,b3f13db3a34477e84a4ca2f7e9cfd36e9d25bfbe6123f501dc82ec223e500ddf,IA asistida; validación humana fila por fila
9,RPM-2014-03-13:6058:1,RPM-2014-03-13,2014-03-13,Rodrigo Vergara Montes,Presidente del Banco Central,"El Presidente señor Rodrigo Vergara da inicio a la Reunión de Política Monetaria N° 208, comunicando que de conformidad con el Reglamento que rige estas Sesiones, ha resuelto que la Reunión de Política Monetaria correspondiente al mes de septiembre de 2014 se celebre el día jueves 11 de ese mes. El Presidente señor Rodrigo Vergara hace propicia la ocasión para señalar que es la última Reunión de Política Monetaria a la que asiste el señor Kevin Cowan Logan en calidad de Gerente de División Política Financiera de la Institución, razón por la que expresa, en nombre propio y en representación del Consejo, su reconocimiento y agradecimiento por el gran aporte realizado en el área de Política Financiera y previamente en la Gerencia de División Estudios, y por su compromiso y dedicación demostrados durante su trayectoria en el Banco. A continuación, el Presidente señor Rodrigo Vergara ofrece la palabra al Gerente de Análisis Internacional señor Sergio Lehmann para efectos de que presente el escenario externo",neutral,0,alta,,"La unidad contiene exclusivamente formalidades de apertura, comunicación administrativa del calendario de reuniones, agradecimiento al Gerente saliente y entrega de la palabra para la presentación del escenario externo. No contiene discusión monetaria ni contexto macroeconómico evaluable, por lo que es_relevante_v3 = 0 y la cita es cadena vacía.",cerrado,true,36ed22ab75e7a3f0e2b61f4534b6af5ecf4870fbc9ddc0302b34fd2d77deec36,IA asistida; validación humana fila por fila
10,RPM-2014-06-12:6293:1,RPM-2014-06-12,2014-06-12,Rodrigo Vergara Montes,Presidente del Banco Central,"El Presidente señor Rodrigo Vergara agradece el planteamiento efectuado por el Vicepresidente señor Enrique Marshall e inicia su intervención expresando su reconocimiento al staff por el excelente análisis que se ha presentado a consideración del Consejo. Manifiesta que en el escenario externo se aprecia una consolidación de la recuperación en el mundo avanzado, junto con un mejoramiento de las condiciones financieras internacionales que se refleja, entre otros aspectos, en bajas en premios soberanos y bancarios, el repunte de las bolsas de valores y los flujos de capital hacia economías emergentes. Plantea que la velocidad e intensidad de algunos de estos movimientos no deja de sorprender y llama a cierta cautela. En el ámbito interno, señala que el aspecto principal lo constituye que la inflación en doce meses se sitúe en 4,7%. En este sentido, indica que en el mes de mayo pasado, luego de varios meses, la inflación estuvo dentro del rango de las estimaciones, aunque en su parte superior. La dinámica inflacionaria ha sido mayor que la esperada y, si f /• bien se estima que es transitoria, evidentemente preocupa cuando, en promedio, el traspaso de la depreciación a precios parece haber sido algo superior a lo previsto y se ha extendido además a numerosos bienes y servicios. Asimismo, se espera que la inflación se mantenga por sobre 4% por varios meses para confluir a 3% el próximo año, lo que implica una postergación de la convergencia a la meta, que hasta hace un tiempo reciente se esperaba para fines de este año. Agrega que la inflación subyacente se sitúa cerca de la parte superior del rango de tolerancia, esperándose que se mantenga en ese nivel por algunos meses; y que las expectativas siguen ancladas en 3% anual en el horizonte de política. Consigna que el ritmo de crecimiento de la actividad sigue lento y que no se proyecta un repunte significativo en lo inmediato. A la conocida caída de la inversión se suma una desaceleración del consumo, en particular, el de bienes durables; y que esta desaceleración de la demanda ha implicado un mejoramiento en las cifras de cuenta corriente, cuyo déficit se estima que será significativamente menor al que se proyectaba hace algunos meses. El mercado laboral, por su parte, sigue sólido en términos de la tasa de desempleo, aunque se aprecia un menor dinamismo en el empleo asalariado, compensado por el mayor dinamismo en los empleos por cuenta propia. Añade que los salarios nominales muestran una tendencia al alza, aunque más moderada en el último dato. En el escenario expuesto, considera que las opciones que presenta la Gerencia de División de Estudios son las más razonables, aunque estima que la de mantener la TPM en su nivel actual se impone en esta oportunidad. El Presidente señor Rodrigo Vergara destaca que la TPM ya se ha disminuido en 100 puntos base desde el pasado mes de octubre y que las tasas de largo plazo se mantienen particularmente bajas. Además, los costos de financiamiento se encuentran en niveles que no se habían visto en varios años, e incluso en algunos casos se trata de mínimos históricos; las tasas de interés para los créditos hipotecarios se encuentran cerca de sus límites inferiores; los spreads en las tasas cortas son muy bajos, y existe amplia liquidez en el marcado. En su opinión, todo estos antecedentes llevan a concluir que la política monetaria más expansiva, junto a condiciones de mercado, están imprimiendo un impulso relevante a la economía. Agrega que llaman a actuar con cautela el hecho que la inflación sea superior a la esperada, que se sitúe sobre el rango meta y que se espere que se mantenga en esos niveles por varios meses, como asimismo, el riesgo de que alguna sorpresa imprevista pueda llevarnos incluso por sobre la cifra actual, En las actuales condiciones de desaceleración de la economía, considera que el riesgo inflacionario es bajo, pero no nulo, y que ello, más el impulso monetario ya en operación, hacen, en su opinión, que sea contraproducente entregar una señal de mayor relajamiento. Destaca que en materia de inflación son importantes las señales; ya que el Banco no puede arriesgarse a que las expectativas se desanclen, por lo que se debe entregar un mensaje claro al respecto. A su juicio, este es un momento importante para dar ese mensaje y es lo más apropiado que el Banco Central de Chile puede hacer para lograr un crecimiento sostenible en el largo plazo. Por el contrario, estima que una baja de la tasa rectora en esta oportunidad podría entregar una señal equívoca. Por lo demás, considera que en las actuales circunstancias, esperar un tiempo antes de seguir dando mayor estímulo monetario representa los beneficios antes mencionados y no produce grandes efectos porque, como se comentó, las condiciones de tasas de interés a los distintos plazos ya son expansivas Por los motivos antedichos, manifiesta que su voto es por mantener la Tasa de Política Monetaria en 4,0% anual y el sesgo expansivo del último Comunicado. En consecuencia, conforme a lo manifestado por los señores Consejeros, el Presidente señor Rodrigo Vergara señala que se acuerda por cuatro votos a favor y uno en contra, mantener la Tasa de Política Monetaria en 4,0% anual. Como es tradicional para el caso de producirse votos disidentes, el Presidente señor Rodrigo Vergara consulta al Consejero señor Pablo García si desea sumarse a la votación de la mayoría de los señores Consejeros",hawkish,1,alta,"estima que una baja de la tasa rectora en esta oportunidad podría entregar una señal equívoca. Por lo demás, considera que en las actuales circunstancias, esperar un tiempo antes de seguir dando mayor estímulo monetario representa los beneficios antes mencionados","La unidad, si bien concluye manteniendo la TPM en 4,0%, rechaza sustantivamente un mayor relajamiento monetario: descarta la baja de tasa por su señal equívoca, sostiene que es contraproducente entregar una señal de mayor relajamiento y aboga por esperar antes de dar mayor estímulo. Ese rechazo explícito a ampliar el impulso monetario con riesgo inflacionario configuran una dirección Hawkish según el Codebook v3.",cerrado,true,6662a4d56d054791cac1868b9be0c8aa11e22c96e31fd0483d1ede80c41bb577,IA asistida; validación humana fila por fila
