ngrama,n_palabras,intervenciones,reuniones,apariciones,tfidf_medio,df_hawkish,tasa_hawkish,df_dovish,tasa_dovish,df_neutral,tasa_neutral,asociacion_hawkish,asociacion_dovish,criterios_seleccion
adopta,1,6,6,6,0.0006735872982226295,5,0.11458333333333333,1,0.036585365853658534,0,0.0010570824524312897,5.292321632802039,1.7903466904942296,top_asociacion_hawkish_1pal
bajar,1,12,9,14,0.0017767588739059238,0,0.010416666666666666,8,0.2073170731707317,4,0.009513742071881607,-1.2260036748888268,4.5823536482183975,top_asociacion_dovish_1pal; senal_politica_dovish
haberse,1,5,5,6,0.0004937707972122879,1,0.03125,4,0.10975609756097561,0,0.0010570824524312897,1.8328900141647417,5.249778309131527,top_asociacion_dovish_1pal
idea,1,7,5,9,0.0006220401452682292,6,0.13541666666666666,1,0.036585365853658534,0,0.0010570824524312897,5.533329732305834,1.5493385909904347,top_asociacion_hawkish_1pal
inusuales,1,5,4,5,0.0003635947144494789,4,0.09375,0,0.012195121951219513,1,0.003171247357293869,5.002815015607054,0.20538418977307366,top_asociacion_hawkish_1pal
merito,1,10,9,10,0.000947043144038007,8,0.17708333333333334,2,0.06097560975609756,0,0.0010570824524312897,5.183387261248875,1.8992810620473937,top_asociacion_hawkish_1pal
monetaria,1,222,49,725,0.016365341609393923,46,0.96875,35,0.8658536585365854,141,0.29915433403805497,1.4934869527227488,1.2638161425318097,top_intervenciones_1pal
muchos,1,6,6,6,0.00047631015783472405,2,0.052083333333333336,4,0.10975609756097561,0,0.0010570824524312897,2.569855608330948,4.512812714965321,top_asociacion_dovish_1pal
no,1,287,50,780,0.019561400621025255,38,0.8020833333333334,29,0.7195121951219512,220,0.46617336152219874,0.7217430502435388,0.5334383874572775,top_intervenciones_1pal
pareciera,1,6,6,6,0.0008415887689142344,1,0.03125,4,0.10975609756097561,1,0.003171247357293869,1.5433833969697568,4.512812714965321,top_asociacion_dovish_1pal
patrones,1,6,5,8,0.0005226901720806973,0,0.010416666666666666,4,0.10975609756097561,2,0.005285412262156448,-0.2825872032551944,4.512812714965321,top_asociacion_dovish_1pal
politica,1,239,50,855,0.017808643190453253,46,0.96875,36,0.8902439024390244,157,0.33298097251585623,1.360821569849519,1.185755383024141,top_intervenciones_1pal
recomendable,1,7,3,8,0.0005458233127255477,6,0.13541666666666666,0,0.012195121951219513,1,0.003171247357293869,5.533329732305834,-0.24207478719814782,top_asociacion_hawkish_1pal
recorte,1,8,6,14,0.000788721522519591,0,0.010416666666666666,5,0.13414634146341464,3,0.007399577167019027,-0.6696103263644416,4.316892504990064,top_asociacion_dovish_1pal; senal_politica_dovish
senala,1,218,44,403,0.014029310641303123,34,0.71875,27,0.6707317073170732,157,0.33298097251585623,0.9988999656036709,0.8649749400100734,top_intervenciones_1pal
senor,1,476,52,945,0.028010501930068776,36,0.7604166666666666,34,0.8414634146341463,406,0.8594080338266384,-0.17532113515449863,-0.016193379781819905,top_intervenciones_1pal
sobrerreaccion,1,6,5,7,0.00040955753288462104,5,0.11458333333333333,1,0.036585365853658534,0,0.0010570824524312897,5.292321632802039,1.7903466904942296,top_asociacion_hawkish_1pal
tasa,1,190,47,622,0.015359108175189802,42,0.8854166666666666,38,0.9390243902439024,110,0.23361522198731502,1.6129243302228338,1.6789369166550234,top_intervenciones_1pal
acordo aumentar,2,5,4,9,0.0006388970883982047,5,0.11458333333333333,0,0.012195121951219513,0,0.0010570824524312897,6.877284133523195,0.20538418977307366,top_asociacion_hawkish_2pal; senal_politica_hawkish
compensaciones inflacionarias,2,9,7,10,0.0005884807408403725,6,0.13541666666666666,0,0.012195121951219513,3,0.007399577167019027,4.310937310969386,-0.5831117050332146,top_asociacion_hawkish_2pal
consejero senor,2,130,48,213,0.014346140276838447,13,0.28125,14,0.35365853658536583,103,0.21881606765327696,0.2962230704843667,0.6586106588836625,top_intervenciones_2pal
consejo estima,2,7,7,7,0.0006149768503835112,6,0.13541666666666666,1,0.036585365853658534,0,0.0010570824524312897,5.533329732305834,1.5493385909904347,top_asociacion_hawkish_2pal
crisis financiera,2,6,5,6,0.0004141468368094381,1,0.03125,4,0.10975609756097561,1,0.003171247357293869,1.5433833969697568,4.512812714965321,top_asociacion_dovish_2pal
division estudios,2,98,38,129,0.009332754190266657,12,0.2604166666666667,12,0.3048780487804878,74,0.15750528541226216,0.6270804770238981,0.874043770548371,top_intervenciones_2pal
estados unidos,2,87,39,153,0.006825186142095945,11,0.23958333333333334,13,0.32926829268292684,63,0.13424947145877378,0.6840266282502591,1.200534790111678,top_intervenciones_2pal
financieras externas,2,5,5,7,0.0004682784193067685,0,0.010416666666666666,3,0.08536585365853659,2,0.005285412262156448,-0.04157910375139944,4.150242635580613,top_asociacion_dovish_2pal
horizonte habitual,2,10,4,10,0.0007646458944687447,7,0.15625,2,0.06097560975609756,1,0.003171247357293869,4.517388188436812,1.8992810620473937,top_asociacion_hawkish_2pal
impulso monetario,2,18,11,20,0.001333741930977705,13,0.28125,1,0.036585365853658534,4,0.009513742071881607,4.713308398412069,0.12049529218656048,top_asociacion_hawkish_2pal; senal_politica_hawkish
marfan agradece,2,7,7,7,0.0005796351868447542,1,0.03125,5,0.13414634146341464,1,0.003171247357293869,1.3023752974659621,4.802319332160306,top_asociacion_dovish_2pal
parece conveniente,2,5,5,7,0.0006083915219748025,1,0.03125,3,0.08536585365853659,1,0.003171247357293869,1.8328900141647417,4.150242635580613,top_asociacion_dovish_2pal
patrones historicos,2,6,5,8,0.0005226901720806973,0,0.010416666666666666,4,0.10975609756097561,2,0.005285412262156448,-0.2825872032551944,4.512812714965321,top_asociacion_dovish_2pal
politica monetaria,2,219,49,704,0.016060505790452713,46,0.96875,35,0.8658536585365854,138,0.2928118393234672,1.5182194734156684,1.2870859218546566,top_intervenciones_2pal
presidente senor,2,100,39,120,0.014657701288711784,5,0.11458333333333333,4,0.10975609756097561,91,0.193446088794926,-0.7001446945125537,-0.7577162274153972,top_intervenciones_2pal
proxima semana,2,6,3,6,0.0007573977808188684,5,0.11458333333333333,0,0.012195121951219513,1,0.003171247357293869,5.292321632802039,-0.035623909730721375,top_asociacion_hawkish_2pal
puntos base,2,81,28,191,0.006666957747864109,37,0.78125,16,0.4024390243902439,28,0.06025369978858351,3.170937774415381,1.675786926231374,top_intervenciones_2pal
recientes muestran,2,5,5,5,0.0004172568108549003,0,0.010416666666666666,4,0.10975609756097561,1,0.003171247357293869,-0.04157910375139944,5.249778309131527,top_asociacion_dovish_2pal
adopta el siguiente,3,6,6,6,0.0006735872982226295,5,0.11458333333333333,1,0.036585365853658534,0,0.0010570824524312897,5.292321632802039,1.7903466904942296,top_asociacion_hawkish_3pal
anterior el consejo,3,9,9,9,0.0008850466953551413,8,0.17708333333333334,1,0.036585365853658534,0,0.0010570824524312897,5.920352855415081,1.1623154678811873,top_asociacion_hawkish_3pal
aumentar la tasa,3,18,8,33,0.0018070349467117063,12,0.2604166666666667,2,0.06097560975609756,4,0.009513742071881607,4.361268986519531,0.9423497839392797,senal_politica_hawkish
bajar la tasa,3,8,5,8,0.0011715649395778504,0,0.010416666666666666,8,0.2073170731707317,0,0.0010570824524312897,-0.6696103263644416,7.752278649660711,top_asociacion_dovish_3pal; senal_politica_dovish
brechas de capacidad,3,12,11,12,0.0007626561505154351,10,0.21875,1,0.036585365853658534,1,0.003171247357293869,5.488241842777296,0.726216353074514,top_asociacion_hawkish_3pal
