ngrama,n_palabras,intervenciones,reuniones,apariciones,tfidf_medio,df_hawkish,tasa_hawkish,df_dovish,tasa_dovish,df_neutral,tasa_neutral,asociacion_hawkish,asociacion_dovish
el,1,553,52,4919,0.04464113018869092,46,0.96875,40,0.9878048780487805,467,0.9883720930232558,-0.030252686078609294,0.00044534497680040377
de,1,512,52,9487,0.05162992247648662,47,0.9895833333333334,40,0.9878048780487805,425,0.8995771670190275,0.12507076565805206,0.12049529218656048
que,1,495,52,5972,0.04758198757505322,46,0.96875,39,0.9634146341463414,410,0.8678646934460887,0.14483402047948196,0.13412550660325182
la,1,492,52,5257,0.04112759217270014,47,0.9895833333333334,40,0.9878048780487805,405,0.857293868921776,0.18842650169492367,0.18289182932442777
senor,1,476,52,945,0.028010501930068776,36,0.7604166666666666,34,0.8414634146341463,406,0.8594080338266384,-0.17532113515449863,-0.016193379781819905
en,1,441,52,5111,0.03970864481421036,47,0.9895833333333334,40,0.9878048780487805,354,0.7494714587737844,0.3638266332033872,0.355409633777681
a,1,425,52,2358,0.03157349458693231,47,0.9895833333333334,38,0.9390243902439024,340,0.7198731501057083,0.42355863323111415,0.3335498489436722
se,1,421,52,2330,0.03171594208685755,45,0.9479166666666666,38,0.9390243902439024,338,0.7156448202959831,0.36914110041266596,0.3485195816023385
y,1,396,52,2359,0.029433387040117463,46,0.96875,36,0.8902439024390244,314,0.6649048625792812,0.5037406919833061,0.36078491804956553
del,1,361,52,1953,0.027235444508117934,45,0.9479166666666666,35,0.8658536585365854,281,0.595137420718816,0.6195854656562528,0.4636237463686222
las,1,351,51,1878,0.02615268290729928,44,0.9270833333333334,36,0.8902439024390244,271,0.5739957716701902,0.6291433456256934,0.5531441723078392
los,1,345,52,1990,0.02735256219329253,43,0.90625,34,0.8414634146341463,268,0.5676532769556025,0.6200046785726694,0.4902519121645379
por,1,326,51,1440,0.024665670438603318,45,0.9479166666666666,39,0.9634146341463414,242,0.5126849894291755,0.7886560430043644,0.801178410755736
un,1,313,51,1301,0.02305352014662434,45,0.9479166666666666,33,0.8170731707317073,235,0.4978858350951374,0.8568688770991815,0.5990480382593504
lo,1,310,48,1087,0.02207509968006161,45,0.9479166666666666,36,0.8902439024390244,229,0.48520084566596194,0.8730791042804403,0.7539780282851894
con,1,301,52,1104,0.021202573217754754,45,0.9479166666666666,35,0.8658536585365854,221,0.4682875264270613,0.9228321394775401,0.7565712051558772
al,1,295,51,744,0.019243396775456403,39,0.8229166666666666,31,0.7682926829268293,225,0.47674418604651164,0.7188182474559467,0.5949718197962617
en el,2,290,48,1093,0.020704902874115378,45,0.9479166666666666,35,0.8658536585365854,210,0.4450317124735729,0.986067940769901,0.8173834469774316
no,1,287,50,780,0.019561400621025255,38,0.8020833333333334,29,0.7195121951219512,220,0.46617336152219874,0.7217430502435388,0.5334383874572775
para,1,285,50,773,0.019159112068813006,42,0.8854166666666666,31,0.7682926829268293,212,0.4492600422832981,0.8994654889412574,0.6505738858345921
de la,2,284,51,1298,0.021036330188742725,46,0.96875,33,0.8170731707317073,205,0.43446088794926,1.0591658699884179,0.7564904090626161
una,1,282,51,1012,0.02063396970946452,41,0.8645833333333334,33,0.8170731707317073,208,0.4408033826638478,0.8770125673970495,0.7680089935308826
es,1,266,49,801,0.02043360903273579,35,0.7395833333333334,33,0.8170731707317073,198,0.41966173361522197,0.7127312511303436,0.8636262591584812
que se,2,261,48,660,0.018001669547737475,35,0.7395833333333334,31,0.7682926829268293,195,0.41331923890063427,0.744232394344345,0.7934727914809493
esta,1,254,46,608,0.016813585051604744,40,0.84375,31,0.7682926829268293,183,0.3879492600422833,1.012868680270977,0.8379647107269695
politica,1,239,50,855,0.017808643190453253,46,0.96875,36,0.8902439024390244,157,0.33298097251585623,1.360821569849519,1.185755383024141
que la,2,238,46,606,0.015398750111912997,45,0.9479166666666666,32,0.7926829268292683,161,0.34143763213530653,1.3294573989401837,0.9971856500193801
mas,1,237,48,743,0.01716281080674915,41,0.8645833333333334,31,0.7682926829268293,165,0.3498942917547569,1.174506443974216,0.9520977604908419
que el,2,230,48,537,0.015007798472861404,35,0.7395833333333334,27,0.6707317073170732,168,0.3562367864693446,0.9565748370832277,0.7772905376687834
de los,2,225,50,611,0.014689567296463502,35,0.7395833333333334,23,0.573170731707317,167,0.35412262156448204,0.9939524468972579,0.5576265623160209
monetaria,1,222,49,725,0.016365341609393923,46,0.96875,35,0.8658536585365854,141,0.29915433403805497,1.4934869527227488,1.2638161425318097
ha,1,221,49,591,0.01524555585973804,40,0.84375,25,0.6219512195121951,156,0.3308668076109937,1.2538767797747719,0.7188556481232601
su,1,221,50,650,0.01568495140744507,44,0.9270833333333334,33,0.8170731707317073,144,0.3054968287526427,1.4219107314602513,1.172484285599479
politica monetaria,2,219,49,704,0.016060505790452713,46,0.96875,35,0.8658536585365854,138,0.2928118393234672,1.5182194734156684,1.2870859218546566
senala,1,218,44,403,0.014029310641303123,34,0.71875,27,0.6707317073170732,157,0.33298097251585623,0.9988999656036709,0.8649749400100734
de politica,2,209,49,666,0.015650342700020102,42,0.8854166666666666,36,0.8902439024390244,131,0.27801268498942916,1.4392261656784648,1.4158485147121274
a la,2,207,49,436,0.013696586961797708,27,0.5729166666666666,29,0.7195121951219512,151,0.3202959830866808,0.7033572015233863,1.0676785937431124
que en,2,207,47,375,0.01258595042060013,34,0.71875,31,0.7682926829268293,142,0.3012684989429176,1.0875851190858061,1.1785713586391071
el senor,2,204,50,384,0.015678743619804984,21,0.4479166666666667,20,0.5,163,0.3456659619450317,0.32448101674478297,0.49489080696805837
lo que,2,203,44,438,0.014205096643160303,26,0.5520833333333334,26,0.6463414634146342,151,0.3202959830866808,0.6740977550570527,0.9210610485815256
en la,2,198,50,459,0.01316681851998184,34,0.71875,25,0.6219512195121951,139,0.2949260042283298,1.1644331979288254,0.8984492978036056
senala que,2,194,43,311,0.01264551824661482,32,0.6770833333333334,25,0.6219512195121951,137,0.29069767441860467,1.0959244199985356,0.9320996872455225
de politica monetaria,3,192,47,561,0.014643963672321956,39,0.8229166666666666,30,0.7439024390243902,123,0.26109936575052856,1.4595384176928212,1.2512572380574403
tasa,1,190,47,622,0.015359108175189802,42,0.8854166666666666,38,0.9390243902439024,110,0.23361522198731502,1.6129243302228338,1.6789369166550234
este,1,185,45,413,0.012920571488710559,28,0.59375,26,0.6463414634146342,131,0.27801268498942916,0.9515345106633607,1.0753236492087006
si,1,180,48,324,0.014719192059428114,28,0.59375,19,0.47560975609756095,133,0.2822410147991543,0.9980770966003909,0.6148276725786941
como,1,178,46,429,0.012098225067460456,34,0.71875,26,0.6463414634146342,118,0.25052854122621565,1.3514512891633879,1.1400708305233214
agrega,1,176,44,254,0.011524193895320793,24,0.5104166666666666,25,0.6219512195121951,127,0.26955602536997886,0.7798969265508573,1.0940671669089153
inflacion,1,174,45,622,0.013288788740647282,42,0.8854166666666666,30,0.7439024390243902,102,0.2167019027484144,1.7773949015730381,1.4206274634725782
la tasa,2,174,46,521,0.013443374245374735,42,0.8854166666666666,38,0.9390243902439024,94,0.19978858350951373,1.7773949015730381,1.8388452081854194
respecto,1,174,47,366,0.012755650411346894,25,0.53125,19,0.47560975609756095,130,0.2758985200845666,0.8662761826592884,0.6694472571420167
gerente,1,173,45,307,0.0142307584655682,10,0.21875,7,0.18292682926829268,156,0.3308668076109937,-0.5429768878334246,-0.8076719630523728
tambien,1,166,44,310,0.011089645277299299,31,0.65625,22,0.5487804878048781,113,0.23995771670190275,1.3129833970319427,0.9817432222393668
de las,2,165,47,396,0.010838262142220813,30,0.6354166666666666,25,0.6219512195121951,110,0.23361522198731502,1.2664408110949124,1.2028148301609403
sobre,1,161,48,315,0.011709558247102386,25,0.53125,21,0.524390243902439,115,0.2441860465116279,0.997520715937541,0.9566542428915428
gerente de,2,160,43,262,0.013321087197382111,9,0.19791666666666666,6,0.15853658536585366,145,0.30761099365750527,-0.5773939551434676,-0.9062075013529115
en los,2,157,44,352,0.010466891977920797,30,0.6354166666666666,23,0.573170731707317,104,0.22093023255813954,1.3542364155899262,1.1479422975313838
tasa de,2,157,45,469,0.012187932309001141,40,0.84375,33,0.8170731707317073,84,0.17864693446088795,1.881185571205523,1.7709030668000623
han,1,156,45,384,0.011453004299902838,30,0.6354166666666666,20,0.5,106,0.2251585623678647,1.3655962777544741,0.9296106721086019
agrega que,2,155,44,211,0.01043905437321877,22,0.46875,22,0.5487804878048781,111,0.2357293868921776,0.8490096795280186,1.0959729730524919
crecimiento,1,153,46,446,0.01113488015884125,35,0.7395833333333334,24,0.5975609756097561,94,0.19978858350951373,1.6788563854923209,1.262717364839025
mercado,1,152,45,300,0.01029271495927302,32,0.6770833333333334,24,0.5975609756097561,96,0.2040169133192389,1.527330991684391,1.2739011033317007
y que,2,150,43,296,0.010737010613980422,20,0.4270833333333333,22,0.5487804878048781,108,0.22938689217758984,0.7474985229340969,1.1510443555461674
mayor,1,147,44,341,0.009615215805974985,29,0.6145833333333334,24,0.5975609756097561,94,0.19978858350951373,1.4117523153494802,1.3311584209409015
pero,1,147,47,243,0.01010651614760754,27,0.5729166666666666,23,0.573170731707317,97,0.20613107822410148,1.2863228921805958,1.2594027280199271
la tasa de,3,145,43,407,0.011151794569892522,38,0.8020833333333334,33,0.8170731707317073,74,0.15750528541226216,1.936446205991339,1.917123807651106
indica,1,143,48,254,0.009557433429781366,26,0.5520833333333334,22,0.5487804878048781,95,0.20190274841437633,1.2692560228840977,1.2318564011342648
hace,1,140,42,225,0.009522605104527211,21,0.4479166666666667,19,0.47560975609756095,100,0.2124735729386892,0.9432504616072473,1.025405523666838
la inflacion,2,139,43,338,0.009142166397075987,41,0.8645833333333334,29,0.7195121951219512,69,0.14693446088794926,2.1708401267764463,1.7595562983807804
ano,1,137,42,333,0.010763540903749216,20,0.4270833333333333,18,0.45121951219512196,99,0.21035940803382663,0.8988875729389819,0.9734023660585722
escenario,1,136,44,372,0.009806625611165838,34,0.71875,23,0.573170731707317,79,0.16807610993657504,1.846896872158621,1.3928561727970932
por el,2,136,42,216,0.009697499055352997,18,0.3854166666666667,15,0.3780487804878049,103,0.21881606765327696,0.7385626316165886,0.6941996151914652
presidente,1,136,45,174,0.01786957300064314,7,0.15625,4,0.10975609756097561,125,0.2653276955602537,-0.6920651771921376,-1.2151077395978782
que las,2,136,46,270,0.008871623746802794,26,0.5520833333333334,21,0.524390243902439,89,0.18921775898520085,1.3578704100576657,1.2393315216964114
meses,1,135,42,285,0.00904856533471824,28,0.59375,17,0.4268292682926829,90,0.19133192389006343,1.5025496794611795,0.9053555764570782
o,1,133,42,222,0.010162138373810067,24,0.5104166666666666,17,0.4268292682926829,92,0.19556025369978858,1.2577752993999327,0.9299126807010569
consejero,1,132,48,242,0.014738979903882937,13,0.28125,14,0.35365853658536583,105,0.22304439746300211,0.27187320906861784,0.6340535546396838
se ha,2,132,40,227,0.008758570595687848,27,0.5729166666666666,18,0.45121951219512196,87,0.1849894291754757,1.4781130397033722,1.0350653859423768
presente,1,131,38,171,0.009658534320241016,18,0.3854166666666667,13,0.32926829268292684,100,0.2124735729386892,0.8007573932239328,0.5309600616755804
consejero senor,2,130,48,213,0.014346140276838447,13,0.28125,14,0.35365853658536583,103,0.21881606765327696,0.2962230704843667,0.6586106588836625
indica que,2,130,46,213,0.00873220486648926,23,0.4895833333333333,20,0.5,87,0.1849894291754757,1.2242485169740749,1.234465253637023
tanto,1,129,41,205,0.007930223794052947,25,0.53125,21,0.524390243902439,83,0.17653276955602537,1.3829187247765107,1.3295293306679894
division,1,128,41,201,0.01156230406175782,16,0.34375,14,0.35365853658536583,98,0.20824524312896406,0.6484654430273143,0.683593015440999
ello,1,128,40,201,0.007923094485242765,25,0.53125,19,0.47560975609756095,84,0.17864693446088795,1.3967908993580682,1.1754309676714458
precios,1,128,46,272,0.008330786230610076,29,0.6145833333333334,17,0.4268292682926829,82,0.1744186046511628,1.6638709437040904,0.9931989254350325
reunion,1,128,42,253,0.008975956885762275,29,0.6145833333333334,25,0.6219512195121951,74,0.15750528541226216,1.6638709437040904,1.6437541928825414
mes,1,127,41,328,0.010145537860265277,13,0.28125,18,0.45121951219512196,96,0.2040169133192389,0.3335362289524226,1.0994821144381473
el consejero,2,126,46,205,0.01379684060983178,13,0.28125,14,0.35365853658536583,99,0.21035940803382663,0.3461915297584514,0.7090156123209058
parte,1,126,41,240,0.00828252044739239,24,0.5104166666666666,14,0.35365853658536583,88,0.18710359408033828,1.3530822594956602,0.7090156123209058
el consejero senor,3,125,46,202,0.013722365673197956,13,0.28125,14,0.35365853658536583,98,0.20824524312896406,0.3589588258323293,0.7218969036176381
tasas,1,125,40,287,0.009405801995560178,21,0.4479166666666667,20,0.5,84,0.17864693446088795,1.1367581375071132,1.3012686243212694
actividad,1,124,42,231,0.007322118182382398,32,0.6770833333333334,23,0.573170731707317,69,0.14693446088794926,1.9088388673980403,1.5540687429028317
de division,2,120,40,188,0.011205300639273072,14,0.3020833333333333,13,0.32926829268292684,93,0.19767441860465115,0.5411238897876318,0.6715104609843793
muy,1,120,36,174,0.009829794440498042,19,0.40625,17,0.4268292682926829,84,0.17864693446088795,1.0379188165629702,1.100611867856012
expectativas,1,119,41,277,0.007633192897890697,28,0.59375,24,0.5975609756097561,67,0.1427061310782241,1.7350426907665972,1.70209682448983
alza,1,118,39,220,0.009396320498368319,29,0.6145833333333334,12,0.3048780487804878,77,0.1638477801268499,1.8166797869834828,0.5739623779592573
en las,2,118,44,210,0.0073581638809898,24,0.5104166666666666,16,0.4024390243902439,78,0.16596194503171247,1.4703199347800335,1.0297298282633782
plazo,1,118,40,256,0.008225844976011887,27,0.5729166666666666,19,0.47560975609756095,72,0.15327695560253699,1.683512390126515,1.3135934067289703
que los,2,118,42,206,0.008156645187055882,18,0.3854166666666667,17,0.4268292682926829,83,0.17653276955602537,0.9762541893359192,1.128762908170161
