ngrama,intervencion_id,meeting_id,etiqueta_ia,contexto
adopta,RPM-2005-02-10:138:1,RPM-2005-02-10,hawkish,"en merito de lo anterior, el consejo, por la unanimidad de sus miembros, adopta el siguiente acuerdo: 74-01-050210 - tasa de politica monetaria. se acuerda aumentar la tasa de interes de politica monetaria a 2,75% anual. siendo las 16.52 hrs. se retira de la sala el senor ministro subrogante, senor mario marcel cullel"
adopta,RPM-2009-06-16:2602:1,RPM-2009-06-16,dovish,"en merito de lo anterior, el consejo adopta el siguiente acuerdo: 140-01-090616 - tasa de politica monetaria el consejo, por la unanimidad de sus miembros, acordo reducir la tasa de politica monetaria a 0,75% anual. comunicado “en su reunion mensual de politica monetaria, el consejo"
adopta,RPM-2005-05-12:278:1,RPM-2005-05-12,hawkish,"en merito de lo anterior, el consejo, por la unanimidad de sus miembros, adopta el siguiente acuerdo: 77-01-050512 - tasa de politica monetaria. se acuerda aumentar la tasa de interes de politica monetaria en 25 puntos base hasta 3,25% anual. siendo las 17.00 hrs. se retiran de la sala el senor ministro de hacienda, s"
bajar,RPM-2009-02-12:2377:1,RPM-2009-02-12,dovish,"sidente senor jorge desormeaux expresa que en el momento de emitir su voto manifesto su intencion de sumarse a la votacion de mayoria, por lo cual tambien se adhiere al acuerdo de bajar la tasa en 250 puntos base."
bajar,RPM-2005-05-12:236:1,RPM-2005-05-12,neutral,"ectativas de vida que, a su parecer, habrian gatillado un desplazamiento en la demanda por instrumentos reajustables de cobertura para las companias de seguro, lo que habria hecho bajar sus tasas. asimismo, se pregunta por que si esa compensacion inflacionaria inicial originada por el desplazamiento de la demanda de instrumentos reajustables largos, excede la expectativa inflacionaria, por que los agentes no arbitran y co"
bajar,RPM-2009-04-09:2500:2,RPM-2009-04-09,dovish,"en consecuencia, por votacion unanime, el consejo acuerda bajar la tasa de politica monetaria en 50 puntos base hasta 1,75%."
haberse,RPM-2007-08-09:1394:1,RPM-2007-08-09,hawkish,"e los diagnosticos que puedan llevar a pensar que hay un componente importante de demanda en este fenomeno. cree que quiza podria haberlo en el futuro, pero ciertamente, no parece haberse dado hasta el momento, y eso se condice con las observaciones que se desprenden respecto a los costos salariales, que en sus diversas medidas, unas mas otras menos, siguen creciendo de modo bastante moderado. respecto de la tasa de desempl"
haberse,RPM-2014-06-12:6284:1,RPM-2014-06-12,dovish,"senala que el registro del ultimo mes fue acotado y estuvo en linea con lo anticipado, dando cuenta de que el traspaso de la depreciacion reciente del peso a los precios ya podria haberse materializado. en este contexto, destaca que las expectativas inflacionarias se han mantenido alineadas en torno al 3% anual en el horizonte de politica. hace presente que la evolucion de la actividad hasta ahora y su trayectoria mas proba"
haberse,RPM-2005-06-09:288:7,RPM-2005-06-09,dovish,"ivision estudios le llama sobre todo la atencion los datos que se estan presentando sobre costos laborales unitarios. indica que con la reduccion de la jornada laboral tendria que haberse producido un aumento de tales costos, sin embargo se esta viendo lo contrario, en un contexto en que, esos costos estan creciendo muy por debajo de lo que seria consistente con una situacion de estado estacionario para la inflacion de 3%. "
idea,RPM-2005-02-10:121:1,RPM-2005-02-10,hawkish,"ento que en todo caso podria seguir siendo gradual, en la medida que las presiones inflacionarias actuales se mantengan acotadas. por lo tanto, las novedades permiten descartar la idea de reducir el ritmo de normalizacion porque, mientras la inflacion siga un curso como el previsto, la situacion de mayor crecimiento implicara un mayor uso de las holguras de capacidad que lo anticipado en las proyecciones. 6. como se ha d"
idea,RPM-2014-02-18:6051:1,RPM-2014-02-18,dovish,"on del peso ha estado acompanada de estabilidad y caida, en algunos casos, tanto de tasas largas como de tasas en los mercados monetarios a distintos plazos. con todo, persiste la idea de una sostenida, aunque lenta, recuperacion en estados unidos de america; un leve crecimiento en europa, que en su opinion se mantiene sujeto a importantes riesgos; y, la heterogeneidad en la situacion de varios paises en desarrollo. pero"
idea,RPM-2005-05-12:273:1,RPM-2005-05-12,hawkish,"e parece que la opinion mas sabia que ha escuchado respecto de la tasa neutral es la que dijo el senor presidente de la reserva federal de estados unidos, en cuanto a que no tenia idea donde estaba ubicada la tasa neutral, ignoraba cual era su valor y lo unico que sabia era que era mas alta que la tasa de politica de ese momento. agrega, que tiene la impresion que frente a esa incertidumbre, que tambien tenemos aca, se e"
inusuales,RPM-2005-05-12:278:1,RPM-2005-05-12,hawkish,"laramente expansivas y por un entorno internacional favorable, pero cuyos riesgos se mantienen elevados. la informacion de precios mas reciente indica que, mas alla de movimientos inusuales en precios especificos y la incidencia directa que tiene el aumento del precio del petroleo, la tendencia inflacionaria sigue aumentando gradualmente, en linea con lo previsto. cabe destacar que, no obstante el incremento de los salarios p"
inusuales,RPM-2005-06-09:288:4,RPM-2005-06-09,neutral," esta decision se considero que el crecimiento de la actividad, aunque mas atenuado que en trimestres pasados, seguia siendo superior a su tendencia y que, mas alla de movimientos inusuales en precios especificos y de la incidencia directa que tiene el alza del precio del petroleo, la tendencia inflacionaria seguia aumentando gradualmente, en linea con lo previsto. 2. los antecedentes acumulados desde la ultima reunion muestr"
inusuales,RPM-2007-08-09:1387:1,RPM-2007-08-09,hawkish,"l total, se llega a una inflacion menor de 2% y con tendencia reciente a la baja. existe por lo tanto el riesgo que, de revertirse el precio de los productos que han sufrido alzas inusuales, la inflacion disminuya relativamente rapido. en segundo lugar, menciona el senor valdes, la situacion de turbulencia y ajuste en los mercados financieros internacionales genera un grado importante de incertidumbre respecto del curso mas a"
merito,RPM-2005-02-10:138:1,RPM-2005-02-10,hawkish,"en merito de lo anterior, el consejo, por la unanimidad de sus miembros, adopta el siguiente acuerdo: 74-01-050210 - tasa de politica monetaria. se acuerda aumentar la tasa de interes de politica monetaria a 2,75% anual. siendo las 16.52 hrs. se ret"
merito,RPM-2011-10-13:4392:1,RPM-2011-10-13,dovish,"a”. en otras palabras, senala que no se puede descartar que un mayor deterioro externo o interno pueda llevar a una modificacion de la politica monetaria aun en el corto plazo. en merito de lo expuesto, el consejero senor sebastian claro manifiesta que su voto es por mantener la tpm en 5,25%."
merito,RPM-2005-05-12:278:1,RPM-2005-05-12,hawkish,"en merito de lo anterior, el consejo, por la unanimidad de sus miembros, adopta el siguiente acuerdo: 77-01-050512 - tasa de politica monetaria. se acuerda aumentar la tasa de interes de politica monetaria en 25 puntos base hasta 3,25% anual. siendo"
monetaria,RPM-2005-02-10:121:1,RPM-2005-02-10,hawkish,"5. en principio, los antecedentes acumulados son coherentes con mantener la estrategia de normalizacion pausada de la politica monetaria aplicada desde septiembre pasado, pues ellos parecen insuficientes para modificar de manera significativa el escenario macroeconomico mas probable. sin embargo, si el escenario alternativo de persistencia de las noticias positivas de activ"
monetaria,RPM-2008-11-13:2167:3,RPM-2008-11-13,dovish,", en cuanto a mantener, pero no en cuanto a las opciones que ofrece, porque habria preferido que en ellas se incluyera la posibilidad de efectuar un recorte de la tasa de politica monetaria."
monetaria,RPM-2006-04-13:644:3,RPM-2006-04-13,neutral,"a continuacion, el presidente, don vittorio corbo, solicita al gerente de division estudios, don rodrigo valdes, que presente las opciones de politica monetaria."
muchos,RPM-2010-11-16:3569:1,RPM-2010-11-16,hawkish,"azonable, mas normal, ayuda a protegerse de una crisis. en segundo lugar, comenta que la lectura de la cifra de inflacion de corto plazo se ha tornado bastante dificil, porque hay muchos factores puntuales, como el del tabaco, por citar un ejemplo, sugiriendo no conformarse y relajarse ante los bajos registros actuales. senala que lo fundamental es que la economia esta creciendo a un ritmo acelerado, que las brechas se est"
muchos,RPM-2011-10-13:4392:1,RPM-2011-10-13,dovish,"o por parte de algunas companias en el mercado de capitales. a su juicio, la trayectoria de las tasas largas, como se discutio en el curso de la manana, da cuenta eventualmente de muchos fenomenos que podrian estar explicando la fuerte caida en las tasas de los bcp y bcu a 5 y 10 anos, pero tambien dan cuenta de una preferencia marcada por papeles libres de riesgo que refleja en parte esta tension que esta viviendo el sist"
muchos,RPM-2014-02-18:6051:1,RPM-2014-02-18,dovish,"o que estaria relacionado con la vulnerabilidad que muestran distintas economias y con su capacidad para realizar ajustes cambiarios como elemento estabilizador. hace notar que en muchos paises emergentes, la fuerte volatilidad cambiaria se observa junto con alzas en tasas a distintos plazos, y que en chile, la desvalorizacion del peso ha estado acompanada de estabilidad y caida, en algunos casos, tanto de tasas largas com"
