orden,intervencion_id,fecha_reunion,actor,cargo,texto,etiqueta_v3,es_relevante_v3,confianza,cita_literal,fundamento,estado
1,RPM-2013-02-14:5381:1,2013-02-14,Rodrigo Vergara Montes,Presidente del Banco Central,"El Presidente señor Rodrigo Vergara agradece la presentación del Gerente de Análisis Macroeconómico Subrogante señor Miguel Fuentes. Al no formularse otros comentarios, el Presidente señor Rodrigo Vergara suspende la presente Reunión y deja constancia que ella se reiniciará a las 15:30 horas para tratar las opciones de política monetaria.",,,,,,pendiente
2,RPM-2011-07-14:4212:1,2011-07-14,José De Gregorio Rebeco,Presidente del Banco Central,"El Presidente señor José De Gregorio agradece la intervención del Vicepresidente señor Manuel Marfán. Para concluir con el proceso de votación, el Presidente señor José De Gregorio señala que el escenario macroeconómico, tanto en actividad como inflación, ha estado evolucionando conforme a las estimaciones del último IPoM, aunque se observan algunas diferencias que si bien no cambian en lo fundamental dicho escenario, son importantes de destacar. Indica que por el lado de la demanda agregada, el consumo se ha estado moderando en el margen, tal como se anticipó. Por otra parte, menciona que la inversión, tanto en maquinarias y equipos como la construcción, siguen creciendo con vigor y alao por encima de lo anticipado. Con todo, subraya que la actividad sigue en línea con el IPoM y que debiera converger a tasas de crecimiento más coherentes con la tendencia de largo plazo, lo que reafirma un escenario en el cual la economía chilena seguirá operando en torno a su plena capacidad. El Presidente señor José De Gregorio comenta, además, que la inflación ha sido algo menor que la esperada, en particular, por el alivio que se ha producido por el lado del precio de los combustibles y alimentos. Al respecto, sostiene que si bien estas desviaciones no son significativas, ellas permitirían que la inflación no supere el techo del rango de tolerancia. Agrega que lo anterior ha sido acompañado de caídas en las expectativas inflacionarias registradas en las encuestas. Destaca que estas noticias permiten concluir que el ajuste monetario que el Consejo ha estado llevando a cabo desde el año pasado está rindiendo frutos, a pesar de los importantes desafíos que han resultado del aumento de los precios de las materias primas. En este escenario, manifiesta que las recientes noticias, respecto de la evolución de los salarios, también reafirman un panorama auspicioso en materia inflacionaria. En su opinión, las noticias más relevantes del entorno macroeconómico son de origen externo. Al respecto, sostiene que si bien los indicadores y las perspectivas de actividad son positivos, el ambiente global es de un aumento importante de los riesgos hacia una recuperación más lenta y volátil; que las tensiones financieras en Europa se han intensificado y ya se están sintiendo en economías gravitantes dentro de la región; y que ello ocurre debido a que no hay un panorama cierto de cómo se resolverán los problemas fiscales y financieros en Europa y cuáles serán sus implicancias sobre la economía global. Por lo pronto, advierte que es esperable que estas tensiones continúen e, incluso, se puedan intensificar. Hace presente, además, que la economía de los Estados Unidos también muestra signos de preocupación. En ese sentido, señala que, por un lado, los indicadores de actividad y empleo, a pesar de algunos datos puntuales, revelan que la recuperación ha perdido momentum desde hace algunos meses y que no es del todo claro si este es un fenómeno transitorio o tendrá más persistencia; y que a ello se agregan las dificultades que ha encontrado el gobierno de los Estados Unidos para aumentar su límite de deuda, lo cual también se agrega a las tensiones financieras globales. El Presidente señor José De Gregorio advierte que la economía mundial está en un punto de alto riesgo, que podría no solo debilitar el crecimiento de las economías desarrolladas, sino que también tener efectos negativos importantes en las economías emergentes. Expresa que si bien este es, por ahora, un escenario poco probable, habrá que monitorearlo con mucha atención y de manera particular, sus implicancias para la política monetaria. Con todo, estima que sigue vigente la evaluación de que se debe continuar con el ajuste monetario. De hecho, indica que el mejor panorama inflacionario y la reducción de las expectativas, con sus consecuencias sobre la inflación actual, constituyen, en gran medida, los resultados de la política monetaria actual y esperada, la cual es consistente con aumentos adicionales de la TPM. Señala, por lo tanto, que las opciones de política relevante hoy es si se sube la tasa en esta Reunión en 25 puntos base o se espera a las siguientes. Plantea que desde el punto de vista de las condiciones monetarias, estas pueden parecer opciones indiferentes y que, más aún, se podría argumentar que, dado que el alza de la TPM es algo que ocurrirá con una altísima probabilidad en los meses venideros, no habría razones para postergarla. Hace presente que a esto se agregan los mayores márgenes de maniobra que un alza de la TPM hoy día podría dar ante un escenario futuro tan incierto. Es decir, mantenerse adelante de la curva da mayor flexibilidad. No obstante, indica que la estrategia de política monetaria que el Consejo ha comunicado contempla la realización de pausas en este proceso, la que, tal como se ha señalado, dependerá de la evolución de los datos. Agrega que no habiendo hecho pausas con anterioridad, esta parece ser una buena oportunidad, por cuanto es coherente con un escenario levemente más benigno en materia inflacionaria, y así lo ha interpretado el mercado. Plantea que si ya hubiera habido pausas, el argumento de esperar para el siguiente ajuste se debilita, pero dado que ellas no han ocurrido, cree que hoy día es la mejor decisión. Por último, enfatiza que se debe comunicar con mucha claridad que esta es una pausa que no puede interpretarse como el término del ajuste, y que es por ello que su voto es por mantener la TPM en 5,25% y mantener exactamente el mismo párrafo final en el Comunicado. En consecuencia, el Presidente señor José De Gregorio señala que el Consejo acuerda, por unanimidad, mantener la tasa de política monetaria en 5,25% anual.",,,,,,pendiente
3,RPM-2014-11-18:6516:1,2014-11-18,Rodrigo Vergara Montes,Presidente del Banco Central,"El Presidente señor Rodrigo Vergara agradece el planteamiento expuesto por el Vicepresidente señor Enrique Marshall e inicia su intervención expresando su reconocimiento al staff por el excelente análisis consignado precedentemente. En lo que respecta al escenario externo, indica que se siguen ampliando las diferencias entre la economía de Estados Unidos de América, que parece confirmar su fortaleza, y la mayor debilidad de la Eurozona y Japón; y destaca que este último país ha anunciado nuevas medidas luego de que cayera en recesión con la cifra negativa del tercer trimestre. Por otro lado, se sostiene una baja en el precio del petróleo, que pareciera tener características más estructurales, mientras que el del cobre cae marginalmente, aunque, por ahora, mantiene cierta estabilidad. Hace presente que en el ámbito interno, se cierra un tercer trimestre con un crecimiento de solo 0,8% y con una demanda interna en terreno negativo; y se espera una moderada recuperación en estas cifras en los próximos trimestres. Expresa que la inflación ha sido significativamente superior a lo esperado en los últimos meses, lo que ha llevado su registro anualizado a 5,7%, que ciertamente está más allá de las proyecciones internas y de mercado, y que ya son varios meses con esta variable por arriba de nuestro rango de tolerancia, situación que duraría varios meses más. Señala que si bien esta cifra evidentemente no nos deja tranquilos, se mantiene el diagnóstico que a mediano plazo las presiones inflacionarias debieran ceder, porque se están generando holguras en un escenario de bajo crecimiento y debilidad en la demanda, a lo que se suma una baja inflación internacional y la reducción en el precio de las materias primas, en particular del petróleo. Añade que la inflación subyacente también ha subido, pero se ubica en un nivel bastante menor que el de la inflación efectiva, solo una décima por arriba de la parte superior de nuestro rango de tolerancia. Con todo, considera que las sorpresas inflacionarias de los últimos meses, que nos llevarán a corregir nuevamente al alza nuestra proyección para el año, nos deben hacer revaluar algunas de las variables que son claves en las tendencias inflacionarias a mediano plazo. En particular, plantea que para evaluar las holguras de capacidad, que siempre son difíciles de medir, es clave mirar, además de nuestros propios cálculos de brecha de producto, los desarrollos en el mercado laboral, los salarios, el traspaso de la depreciación a los precios, entre otras, que, por lo demás, es lo que hacemos en forma creciente en esta y otras Reuniones. Estima que en un ambiente de fuerte ajuste de los precios relativos como el que vive Chile hoy, en que se requiere una reasignación importante de recursos entre sectores, las mediciones de brecha del producto se hacen aún más inciertas. En su opinión, la política monetaria ha actuado de acuerdo a la etapa del ciclo que está viviendo la economía. En efecto, se ha recortado fuertemente la TPM hasta dejarla en 3%, lo que implica un nivel con un impulso monetario importante. Además, las tasas de interés de largo plazo se mantienen en niveles históricamente bajos. Agrega que la política monetaria actúa con rezagos, por lo que fue apropiado imprimirle el impulso que se le dio a la economía, empezando desde hace ya más de un año. De hecho, las primeras comunicaciones en este sentido son del primer semestre del año pasado.",,,,,,pendiente
4,RPM-2008-01-10:1639:1,2008-01-10,Sebastián Claro Edwards,Consejero,"El Consejero señor Sebastián Claro señala que se suma a la votación de los señores Consejeros, en el sentido de aumentar la Tasa de Política Monetaria en 25 puntos base. Agrega, que sin perjuicio de lo anterior, quiere manifestar que entendiendo que no existe un acuerdo previo del Consejo respecto a decisiones futuras, quiere recalcar lo señalado en el fundamento de su voto, en el sentido que el Comunicado que se apruebe contenga un sesgo al alza.",,,,,,pendiente
5,RPM-2014-08-14:6389:4,2014-08-14,Consejo del Banco Central de Chile,Consejo,"Conforme a la votación unánime efectuada por los señores Consejeros, el Consejo adoptó el siguiente Acuerdo: N° 213-01-140814 - Tasa de Política Monetaria En su reunión mensual de política monetaria, el Consejo del Banco Central de Chile acordó reducir la tasa de interés de política monetaria en 25 puntos base, a 3,5% anual. Al concluir la Reunión, se procede a dar lectura al texto del Comunicado, que es del siguiente tenor: Comunicado “En su reunión mensual de política monetaria, el Consejo del Banco Central de Chile acordó reducir la tasa de interés de política monetaria en 25 puntos base, a 3,5% anual. En el ámbito externo, los antecedentes recientes confirman las perspectivas de recuperación de Estados Unidos, a la vez que el crecimiento de la Eurozona ha perdido fuerza. Las proyecciones de crecimiento para Asia emergente permanecen estables, mientras que en América Latina se han revisado a la baja. Las condiciones financieras externas continúan favorables, pero han mostrado cierto deterioro en las últimas semanas. Los precios de las materias primas han disminuido, incluyendo los del cobre y combustibles. Los antecedentes de la economía local muestran que el ritmo de expansión de la actividad y la demanda se ha reducido con mayor intensidad a lo previsto. A la caída de la inversión se ha sumado una desaceleración más marcada del consumo privado. Si bien se observan señales de menor dinamismo del mercado laboral, la tasa de desempleo se mantiene baja. La inflación llegó en julio a 4,5% anual. El crecimiento en doce meses de los salarios nominales aumentó. Las expectativas de inflación de mediano plazo se mantienen en torno a 3%. El escenario más probable sigue considerando que la inflación se mantendrá por algunos meses por sobre el límite superior del rango de tolerancia para retornar luego a la meta, evolución que se continuará monitoreando con especial atención. El Consejo evaluará la posibilidad de introducir recortes adicionales de la TPM de acuerdo a la evolución de las condiciones macroeconómicas internas y externas, y sus implicancias para las perspectivas inflacionarias. Al mismo tiempo, reafirma su compromiso de conducir la política monetaria con flexibilidad, de manera que la inflación proyectada se ubique en 3% en el horizonte de política.”",,,,,,pendiente
6,RPM-2007-01-11:1048:1,2007-01-11,Esteban Jadresic Marinovic,Gerente de División Operaciones Financieras,"El Gerente de División Operaciones Financieras, señor Esteban Jadresic, señala que en general comparte el tenor del análisis y recomendación efectuado por la Gerencia de División Estudios. Sin embargo, comenta que los antecedentes acumulados en esta oportunidad, sugieren claramente reducir la tasa de política monetaria. Agrega que la opción de reducir la tasa de política monetaria es más coherente con el escenario central que se proyecta aquí y que también se ha proyectado y discutido en el IPoM. Ese escenario supone que se produce una baja entre 50 y 75 puntos base durante el primer semestre. Agrega que si ese es el supuesto central que se va a presentar muy pronto en el IPoM, la pregunta es, por qué podría no reducirse la tasa de política monetaria en esta ocasión. En la Minuta de Opciones se mencionan algunos argumentos, el principal para mantener la tasa es recabar más información a la luz de que existe un riesgo de reversión en el signo de la política que en caso que la inflación sea mayor a la contemplada. A su juicio este argumento no tiene mucho peso por varias razones, en primer lugar, este es un riesgo que no se puede descartar, pero no hay actualmente datos muy contundentes que sesguen los riesgos en dirección de una inflación mayor a la proyectada, que en la dirección opuesta. Cree que el principal riesgo, sin duda, es lo que pasa con la tasa de desempleo medida por el Instituto Nacional de Estadísticas, más algunos indicadores de tendencia inflacionaria que muestran un incremento en el margen. Menciona el señor Jadresic que sin embargo, la tasa de desempleo medida por el Instituto Nacional de Estadísticas se afecta por el cambio muestral reciente que se ha hecho en dicha encuesta. Asimismo, menciona que la tasa que obtiene la Universidad de Chile a nivel del Gran Santiago, aunque tienen otras investigaciones, no tiene cambio muestral y ésta arroja un nivel de tasa de desempleo bastante superior. El Gerente de División Operaciones Financieras, indica que más importante aún es que las cifras de remuneraciones no muestran presiones inflacionarias y al respecto cree que es importante constatar que la velocidad de expansión del costo de la mano de obra sigue cayendo y ha alcanzado niveles de 4,5%, claramente por debajo de lo coherente con la inflación meta. Agrega el Gerente de Operaciones Financieras que es un riesgo tener una inflación incluso menor a la proyectada, debido a que cuando uno hace este balance de riesgo no es obvio que el primero sea mayor que el segundo. Indica el Gerente de División Operaciones Financieras que en segundo lugar, cuando se miran estos riesgos, es cierto que una inflación mayor a la contemplada y en la medida que eso lleve a una reversión de política en el futuro, puede implicar algún costo comunicacional y de mayor inestabilidad en la tasa de política monetaria. Manifiesta que sin embargo, contra esto también hay que considerar el riesgo de desanclaje de expectativas en el caso que se dé una inflación inferior o incluso similar a la que está proyectada en este escenario central del IPoM. Agrega que el Banco ya tuvo que enfrentar una situación similar hace aproximadamente tres años y en esa oportunidad superó la prueba actuando rápidamente y haciendo una baja considerable. Menciona el señor Jadresic que hoy día el Banco Central tiene la ventaja de saber con mayor anticipación que la inflación puede caer a niveles incómodos. Si éste no actuara ahora significaría aumentar la inestabilidad de la tasa de política monetaria y también los problemas de comunicación para el futuro, este riesgo existe incluso en el escenario central, pero obviamente que se acentúa si la inflación estuviera aún más por debajo.",,,,,,pendiente
7,RPM-2012-12-13:5252:2,2012-12-13,Consejo del Banco Central de Chile,Consejo,"Siendo las 16:30 horas, se reanuda la Reunión de Política Monetaria N° 193 y pasa a presidir la Sesión transitoriamente el Vicepresidente señor Manuel Marfán,",,,,,,pendiente
8,RPM-2007-08-09:1385:1,2007-08-09,Sergio Lehmann Beresi,Gerente de Análisis Internacional,"El Gerente de Análisis Internacional señor Sergio Lehmann, indica que también quiere agregar un par de noticias que son importantes a propósito de las turbulencias que se observaron hoy día. Menciona que las expectativas de movimiento de política monetaria en Europa se vieron modificadas justamente por las turbulencias producidas en esa zona. Indica que ayer se consideraban dos aumentos de tasa, y hoy día hay uno que se confirma y que está bien asentado para septiembre, pero el segundo aumento tiene una probabilidad de solo 50%. Comenta que también hubo un cambio en las expectativas de movimiento de tasa en Europa. Agrega que además de la intervención o el aumento de liquidez que hizo el Banco Central Europeo, la Reserva Federal también hizo una inyección de liquidez de 24 billones de dólares, por lo cual se están desanclando las tasas interbancarias respecto a la tasa de política monetaria. De hecho, menciona el señor Gerente, la apertura del soft spreads que mide la estrechez de liquidez, está aumentando aproximadamente cinco puntos base y tras la inyección de liquidez referida que hizo la Reserva Federal tendió también a caer, volviendo a valores normales. Agrega que el precio del cobre no capturó todas estas turbulencias porque ya estaba cerrada la Bolsa de Londres y que en Nueva York su valor estaba en 3,36 dólares la libra y eso podría anticipar que mañana también Londres cierre con una baja significativa.",,,,,,pendiente
9,RPM-2011-01-13:3702:2,2011-01-13,Consejo del Banco Central de Chile,Consejo,"Siendo las 16:00 horas, se reanuda la Sesión de Política Monetaria N° 165.",,,,,,pendiente
10,RPM-2013-07-11:5685:1,2013-07-11,Claudio Raddatz Kiefer,Gerente de Investigación Económica,"El Gerente de Investigación Económica señor Claudio Raddatz plantea que la economía chilena, así como otras economías emergentes, ha comenzado a mostrar los signos de desaceleración que se han estado anticipando hace ya algún tiempo. En este sentido, resalta que la presentación de antecedentes en esta Reunión y la Minuta de Opciones describen claramente tales signos. Expresa que si bien no todos los componentes de la demanda interna han ajustado su velocidad de igual manera, en los últimos meses han comenzado a aparecer consistentemente en encuestas a empresas, bancos, entrevistas a agentes de mercado, así como en algunos datos sectoriales, signos preliminares de que los ajustes de los componentes restantes comenzarían a observarse en los datos en la segunda mitad del año, configurando eventualmente un escenario de desaceleración balanceado que se encuentra alineado con el diagnóstico presentado en el reciente IPoM. En este escenario, estima que ambas opciones planteadas son pertinentes e incorporan riesgos y beneficios distintos. En su opinión, la opción de mantener la TPM da más peso a las tendencias actuales que a los signos tempranos de tendencias futuras. Esta opción permite esperar a que se acumule más información y dar tiempo a las componentes aún dinámicas de la demanda interna a continuar su moderación. No obstante, el riesgo que presenta esta opción radica en que los signos iniciales de desaceleración mencionados anteriormente se consoliden más pronto de lo esperado, requiriendo posteriormente ajustes más severos de la TPM. Por otra parte, considera que una baja de la TPM que inicie un ciclo moderadamente expansivo de la instancia de política monetaria, permitiría adelantarse a las señales de desaceleración de las variables macroeconómicas aún dinámicas, ayudando a mantener la economía operando a un nivel cercano al potencial, pero con el riesgo de que en el corto plazo se acentúe el dinamismo del consumo con posibles consecuencias para el déficit de cuenta corriente, la inflación y el endeudamiento de los hogares. El señor Claudio Raddatz señala que la evaluación de estas alternativas requiere aplicar probabilidades subjetivas a cada uno de los riesgos de estos escenarios, ejercicio en el que pueden diferir observadores razonables e informados. A título personal, estima que el riesgo de sobreestimular la economía en el corto plazo al optar por bajar la tasa de política monetaria es menor que el riesgo de reaccionar algo tarde asociado con la opción de mantenerla. Agrega que esta apreciación se basa en una serie de razones, pero fundamentalmente en tres observaciones. En primer término, los rezagos de la acción de política monetaria y la trayectoria de desaceleración presentada en el IPoM y confirmada por datos recientes, harían que los riesgos de que la rebaja de tasa tenga efectos excesivamente expansivos sean, a lo sumo, de corto plazo. En este sentido, expresa que es difícil vislumbrar con los antecedentes disponibles un repunte sostenido del dinamismo de la economía local basado en fundamentales. En segundo lugar, los datos de la Encuesta de Crédito Bancario indicarían que por el lado del canal del crédito, el efecto de una baja de tasa de interés sobre el dinamismo del consumo probablemente sea menor que sobre la inversión y el producto; y, por último, que la inflación del IPC y del IPCSAE se proyectan aún por debajo del nivel rango meta, respectivamente, lo cual permitiría absorber algún efecto temporal sobre la inflación. Conforme a esta visión de la coyuntura actual, el Gerente de Investigación Económica señor Claudio Raddatz manifiesta que su recomendación al Consejo es la opción de disminuir la TPM a 4,75% anual.",,,,,,pendiente
