orden,intervencion_id,estrato_recuperacion_no_visible,meeting_id,anio,sha256_texto
1,RPM-2014-12-11:6531:1,neutral_dificil,RPM-2014-12-11,2014,29061799a347e10111a555d46d3012067f4b295c1dea42a1057de3c8d7ac3750
2,RPM-2015-04-16:6747:1,neutral_dificil,RPM-2015-04-16,2015,aaa50a2fe595cec9f3491a028bc4660a51818d7bf2b6a9e2065c0ba619f70cb1
3,RPM-2008-02-07:1679:1,neutral_dificil,RPM-2008-02-07,2008,a3fc6569954920da8dbd0ecad00ca245c5089ae0c4859fad110ccb0ee469a753
4,RPM-2008-11-13:2173:1,candidato_dovish,RPM-2008-11-13,2008,9d9c146760536435304bd093c36decb2577a28e040d06b6ce0bacb1c7191bb65
5,RPM-2015-11-12:7153:1,candidato_hawkish,RPM-2015-11-12,2015,4802fc1ec3c2ba9badf1a665eaf26a7d4e9973ca204fa7e95c8bcc0a0de90446
6,RPM-2012-09-13:5091:1,neutral_dificil,RPM-2012-09-13,2012,46bcd6bd13e67863bc9ead91cd6e1ab375f376beb3dff65199984eb9eebadc65
7,RPM-2009-09-08:2711:1,neutral_dificil,RPM-2009-09-08,2009,97c0190271ba81a68c5b0ed396e076ab3c2ef44ebfc7659534f03e7f78e1e926
8,RPM-2011-02-17:3767:1,candidato_dovish,RPM-2011-02-17,2011,eaba7f3885b163e8405adb7b06cca0b91e033a85f8a78ee721e7cec6c07e3ddd
9,RPM-2007-12-13:1572:2,candidato_hawkish,RPM-2007-12-13,2007,db5522c7e3fb9277592739f127c2de2c540899bae2aad2dd39c4a12057516826
10,RPM-2014-08-14:6381:2,candidato_dovish,RPM-2014-08-14,2014,85ec934561294bf2f3ca607a3820f2f2831d67e6f7a861413cc2a402f2702b7a
11,RPM-2015-02-12:6613:1,candidato_hawkish,RPM-2015-02-12,2015,81349e28a8f997943954074cca85363f29a39cc4be5aa111299955776b4f6fbc
12,RPM-2008-03-13:1689:2,neutral_dificil,RPM-2008-03-13,2008,10ca96ea4d19c8bf8354d395921c1e6d5ca5498df95bd6e450551930c2adcdc4
13,RPM-2012-07-12:4904:1,candidato_dovish,RPM-2012-07-12,2012,9a39e7b39ffa198d9ce513d4df1172536e2ef55648511ae4293f4ba4afbb1476
14,RPM-2013-10-17:5824:1,neutral_dificil,RPM-2013-10-17,2013,b9e5f443e5d689b2911b7964d8663aa39b32c452e6afcfb4326749ecb4481496
15,RPM-2008-12-11:2233:1,candidato_dovish,RPM-2008-12-11,2008,8e8cc06b619e5b6a11d5c98a890eae5a04cff4281295518f32e387b79f226aa1
16,RPM-2012-11-13:5210:1,candidato_dovish,RPM-2012-11-13,2012,f21dcdd74153bdabc72021af5f9b67caac8f53c8600a58d60c83b034cd64d498
17,RPM-2007-02-08:1090:6,neutral_dificil,RPM-2007-02-08,2007,e47986c82bd5031ac2d3fa95d6988fa21544e55d4f368af114e0a02c2b192ebb
18,RPM-2007-10-11:1511:1,neutral_dificil,RPM-2007-10-11,2007,30b5cd39f157076c0e12dd7ba49de9fa6328226d027badb2b3c24b567380a480
19,RPM-2008-08-14:2043:1,neutral_dificil,RPM-2008-08-14,2008,6b4ce8155554227daed870d2bb49d883a5617825bb6f1f63c9566e46d5b393d0
20,RPM-2015-08-13:6920:1,candidato_hawkish,RPM-2015-08-13,2015,508933161a20180ee2da4d5bd2fac468bdfcc0eb419eb246da0d777dbf8b316c
21,RPM-2010-07-15:3265:1,candidato_dovish,RPM-2010-07-15,2010,37793f8d08f70bca465949a8c6603a76cebb3ba19ca2e9269f7adc5b30972dd6
22,RPM-2012-12-13:5234:1,candidato_dovish,RPM-2012-12-13,2012,9d546c19ad093331695c936f29a4902557066f65586af5b2122bfe7537fc52ac
23,RPM-2011-11-15:4445:1,neutral_dificil,RPM-2011-11-15,2011,ab30756ad93525a4e7f86895c18063981e0c9e20080f5c09a022b45fc901fee1
24,RPM-2012-01-12:4558:1,candidato_hawkish,RPM-2012-01-12,2012,50a3c3cf25ba841078c4ef5b90f89f273d888842454bd803152f6102e1ef5fb1
25,RPM-2013-05-16:5566:3,candidato_dovish,RPM-2013-05-16,2013,d3cd8d784fe02f291ac92d73259895b340e840019407192add3dc6bdae76a70d
26,RPM-2011-10-13:4344:1,candidato_hawkish,RPM-2011-10-13,2011,5b6add61c7c76db6c497b4d638af363298532c8e0f33f93cb33058cbcbe002bd
27,RPM-2015-05-14:6800:2,neutral_dificil,RPM-2015-05-14,2015,da9ba99772362983f464b35cc1ebc77fdfa5d400e7281a744f3ad07671425fdc
28,RPM-2010-04-15:3068:1,neutral_dificil,RPM-2010-04-15,2010,6c73969c3d79270cb846af25bc010f68c12b5f36145968089eb20f05d20bb6e6
29,RPM-2015-08-13:6961:1,candidato_dovish,RPM-2015-08-13,2015,7be9471b59f2b5f52b02bd4e1ad2f11f88b4bd58859c0d9521bbad5a82c49683
30,RPM-2013-04-11:5514:3,neutral_dificil,RPM-2013-04-11,2013,24eac222cf8957d1024663e04995b8893e7c0b9acde86aab5802c3b45c0148f5
31,RPM-2013-06-13:5603:1,neutral_dificil,RPM-2013-06-13,2013,0fa81a3d4a99b5b8e5a00449184d161ea547cd135f766c9bb3f541754869f5ed
32,RPM-2013-12-12:5933:1,candidato_hawkish,RPM-2013-12-12,2013,a67439fc89fc1f6661cdf639ca69e36e7051508aac3fc8d21ed4a3cd7e5205d5
33,RPM-2009-06-16:2597:1,candidato_dovish,RPM-2009-06-16,2009,4dc62916fbe4c6b3627badcc34ab06cf1dd5f7f0a292513d7e53d1561fad508b
34,RPM-2013-08-13:5732:1,candidato_dovish,RPM-2013-08-13,2013,e386e519cf82cfc685c558c5998e62530620b6ad1532e3d58adfca6174478d09
35,RPM-2008-10-09:2120:1,neutral_dificil,RPM-2008-10-09,2008,610060505fc6edca6983c44125e58ab71b24bb11c927c9df5fcc4a2c2120cd33
36,RPM-2005-08-11:314:1,candidato_dovish,RPM-2005-08-11,2005,7d6a11c8dfbca8dc67ea1b19a024bee5d9c28fd2c723b0ae22677940f9d7dbc5
37,RPM-2010-11-16:3575:3,candidato_hawkish,RPM-2010-11-16,2010,ea9ec96c8feb193ee25feae1271ffe78bb44bd7cc225a7f93097b86974a44b6a
38,RPM-2013-07-11:5682:1,candidato_dovish,RPM-2013-07-11,2013,641750d36e45cbd8b76840080021e23b11e4c44142e1488a2eefc5d6c98f3dfa
39,RPM-2007-06-14:1304:1,candidato_dovish,RPM-2007-06-14,2007,d53f3c6fd592fef5c1792674a831ab870924ff115cdbc1d9c8221b51be41e561
40,RPM-2014-07-15:6338:1,candidato_dovish,RPM-2014-07-15,2014,43178fe6c1487f3d44b93025525006044fcac7f67d45194fe2c2af7551b86c7f
41,RPM-2013-12-12:5938:1,candidato_dovish,RPM-2013-12-12,2013,c7d13489fb546ccb4cfa0c3a0fbfe970a66af91d25cc95a2aabf0117b2c48da0
42,RPM-2012-07-12:4971:1,neutral_dificil,RPM-2012-07-12,2012,4aa4cd85d05bbd981617e588c1966c78ff085f05843228832fd2c2464bd585d4
43,RPM-2006-07-13:746:2,candidato_hawkish,RPM-2006-07-13,2006,d9c6277608a26fa3ebe41dbdf85b521709ad48001548388b589fb78047d89a3f
44,RPM-2008-08-14:1994:2,candidato_hawkish,RPM-2008-08-14,2008,653cb068551a1080d85d7233a787b5569dc3afc3285b8dbdcd6e1260b993fbed
45,RPM-2008-06-10:1856:1,neutral_dificil,RPM-2008-06-10,2008,0bafa72680b4545647372412703b96303e4bd13aeeb487c43bb83e72da84a2b5
46,RPM-2005-10-11:438:1,candidato_hawkish,RPM-2005-10-11,2005,97d01311d47b054c1343f4f84ef6a3f71444dbc2b13f080941d9fd56381a1f17
47,RPM-2014-07-15:6298:1,candidato_dovish,RPM-2014-07-15,2014,d46361eb10e9321cb223111ffefbd64bdc2b715c2842ad2c12701dcdcdce0c34
48,RPM-2007-07-12:1345:1,candidato_hawkish,RPM-2007-07-12,2007,3e3a13d362925c8fa33420eca3ccd24ac27d9fbad47be7726e22e48d5f713eef
49,RPM-2015-05-14:6802:1,neutral_dificil,RPM-2015-05-14,2015,8d1d91d2645d4f2ca3bbc8fd1910f493a508d0b7550cc9c025eea6b4a85719e4
50,RPM-2010-03-18:3019:1,neutral_dificil,RPM-2010-03-18,2010,481d392de78630bd94c7e00924758f5f9502a82feed8a58202846f05e708a6be
51,RPM-2011-11-15:4439:1,candidato_dovish,RPM-2011-11-15,2011,ecc7a3831883881670c298c9b25c1a3442ebfa54fe9786fd8540ab6f14250849
52,RPM-2011-08-18:4254:1,neutral_dificil,RPM-2011-08-18,2011,053b1a51ff81ecfa1935778c8e2a27a1a56f9f25bc7e18022a77afeedf510ff5
53,RPM-2006-10-12:943:1,neutral_dificil,RPM-2006-10-12,2006,57554f6543c3146cddf3be34d52e4976adb3a0b40fcef1d0c9113c1d373bb405
54,RPM-2009-10-13:2724:2,candidato_dovish,RPM-2009-10-13,2009,d315bd455a47e618ed056de99904f441ddd6f6c983afe6c4163b34572bacf660
55,RPM-2008-12-11:2248:1,candidato_dovish,RPM-2008-12-11,2008,a8404625e4ec0bb3da5163de506ac98ca18cb65a1f0ea86654dc1db6b7048755
56,RPM-2014-06-12:6292:1,candidato_dovish,RPM-2014-06-12,2014,f78d143a3013a2e52001d19eeb74ee1648b6e5dd968b861fd667c0729816b135
57,RPM-2011-09-15:4331:1,neutral_dificil,RPM-2011-09-15,2011,d23f4759c422bcdc9bd6668a524b0fe7438ea9129e8db21daa6c59ffeccf640f
58,RPM-2015-04-16:6713:1,candidato_dovish,RPM-2015-04-16,2015,e4799ab19ca5b680cc6513ea6a3aaa7709641f9243afae610ca77ae44017ef43
