tanda,n_intervenciones,n_palabras,fecha_min,fecha_max
1,99,19765,2005-01-11,2005-02-10
2,93,19725,2005-02-10,2005-04-07
3,103,19953,2005-04-07,2005-05-12
4,52,16167,2005-05-12,2005-07-12
5,97,19875,2005-07-12,2005-08-11
6,111,19928,2005-08-11,2005-11-10
7,125,18782,2005-11-10,2006-01-12
8,93,19933,2006-01-12,2006-03-16
9,116,19936,2006-03-16,2006-05-11
10,108,19933,2006-05-11,2006-07-13
11,92,19414,2006-07-13,2006-09-07
12,96,19456,2006-09-07,2006-10-12
13,89,19918,2006-10-12,2006-12-14
14,69,19618,2006-12-14,2007-01-11
15,87,19353,2007-01-11,2007-03-15
16,102,18768,2007-03-15,2007-04-12
17,59,19655,2007-04-12,2007-05-10
18,68,18979,2007-05-10,2007-07-12
19,68,19849,2007-07-12,2007-08-09
20,77,19864,2007-08-09,2007-09-13
21,86,18531,2007-09-13,2007-10-11
22,85,19640,2007-10-11,2007-11-13
23,82,19925,2007-11-13,2007-12-13
24,68,19636,2007-12-13,2008-01-10
25,72,19381,2008-01-10,2008-02-07
26,95,19463,2008-02-07,2008-03-13
27,90,19823,2008-03-13,2008-05-08
28,104,18970,2008-05-08,2008-06-10
29,110,19886,2008-06-10,2008-07-10
30,121,19906,2008-07-10,2008-08-14
31,80,18885,2008-08-14,2008-09-04
32,64,19558,2008-09-04,2008-11-13
33,94,19823,2008-11-13,2008-12-11
34,88,19918,2008-12-11,2009-01-08
35,109,19618,2009-01-08,2009-02-12
36,90,19414,2009-02-12,2009-03-12
37,133,19969,2009-03-12,2009-04-09
38,101,19905,2009-04-09,2009-05-07
39,103,19724,2009-05-07,2009-06-16
40,112,19784,2009-06-16,2009-07-09
41,102,19953,2009-07-09,2009-09-08
42,114,19611,2009-09-08,2009-10-13
43,81,19064,2009-10-13,2009-11-12
44,110,19847,2009-11-12,2010-01-14
45,143,18779,2010-01-14,2010-02-11
46,89,19885,2010-02-11,2010-03-18
47,111,19638,2010-03-18,2010-05-13
48,125,19996,2010-05-13,2010-06-15
49,112,19863,2010-06-15,2010-07-15
50,113,19997,2010-07-15,2010-09-16
51,150,19859,2010-09-16,2010-10-14
52,127,19918,2010-10-14,2010-11-16
53,88,19883,2010-11-16,2010-12-16
54,114,19989,2010-12-16,2011-02-17
55,131,19965,2011-02-17,2011-03-17
56,123,19921,2011-03-17,2011-04-12
57,115,19399,2011-04-12,2011-06-14
58,136,19433,2011-06-14,2011-07-14
59,99,18556,2011-07-14,2011-08-18
60,86,19597,2011-08-18,2011-10-13
61,116,19924,2011-10-13,2011-11-15
62,105,19724,2011-11-15,2011-12-13
63,78,19639,2011-12-13,2012-02-14
64,99,19195,2012-02-14,2012-03-15
65,130,19690,2012-03-15,2012-04-17
66,93,19981,2012-04-17,2012-05-17
67,72,18717,2012-05-17,2012-07-12
68,97,19684,2012-07-12,2012-08-16
69,85,19673,2012-08-16,2012-09-13
70,91,19719,2012-09-13,2012-10-18
71,84,19289,2012-10-18,2012-11-13
72,72,19127,2012-11-13,2013-01-17
73,83,19978,2013-01-17,2013-02-14
74,90,19884,2013-02-14,2013-03-14
75,85,19718,2013-03-14,2013-04-11
76,69,19708,2013-04-11,2013-05-16
77,79,19695,2013-05-16,2013-07-11
78,79,19871,2013-07-11,2013-08-13
79,81,19892,2013-08-13,2013-09-12
80,69,19999,2013-09-12,2013-10-17
81,69,19938,2013-10-17,2013-11-19
82,72,19569,2013-11-19,2013-12-12
83,66,19952,2013-12-12,2014-02-18
84,82,19321,2014-02-18,2014-03-13
85,86,19982,2014-03-13,2014-04-17
86,90,19208,2014-04-17,2014-05-15
87,79,19290,2014-05-15,2014-06-12
88,66,19295,2014-06-12,2014-08-14
89,68,19463,2014-08-14,2014-09-11
90,85,19958,2014-09-11,2014-10-16
91,63,19928,2014-10-16,2014-11-18
92,76,19818,2014-12-11,2015-01-15
93,73,19428,2015-01-15,2015-03-19
94,101,19917,2015-03-19,2015-04-16
95,100,19613,2015-04-16,2015-06-11
96,113,19399,2015-06-11,2015-07-14
97,76,19722,2015-07-14,2015-08-13
98,117,19934,2015-08-13,2015-10-15
99,79,19929,2015-10-15,2015-11-12
100,93,19448,2015-11-12,2015-12-17
101,3,1336,2015-12-17,2015-12-17
