fecha,id_original,intervencion_id,actor,cargo,topico,keywords,texto,detalle_cotejo,meeting_id,orden_habla,subindice,regex_ok,anio,largo_caracteres,largo_palabras,flag_cotejo,flag_texto_danado,tanda,pool,fase
2006-09-07,1160,RPM-2006-09-07:867:1,Rodrigo Valdés Pulido,Gerente de División Estudios,opciones_tpm,opciones_tpm,"El señor Gerente de División mencionado informa lo siguiente:
En la reunión de política monetaria de agosto, el Consejo decidió mantener la
tasa de interés de política monetaria en 5,25% anual, luego de haberla aumentado 25 puntos
base el mes anterior. Señala que en la decisión se consideró que el crecimiento de la actividad
en el segundo trimestre era menor que lo esperado y que el aumento del ritmo de crecimiento
contemplado para el segundo semestre sería inferior al estimado anteriormente. Ello, a pesar
de que la demanda interna moderaba su tasa de crecimiento en el segundo trimestre, en línea
con lo esperado.
Por su parte, la inflación del IPC seguía en la parte alta del rango meta,
debido principalmente al mayor precio de los combustibles, mientras las medidas de inflación
subyacente, otros indicadores de la tendencia inflacionaria y los distintos indicadores de
expectativas de inflación de mediano y largo plazo continuaban en torno a 3%. Además, indica
el señor Valdés, que se ratificó que, en el escenario más probable, seguía siendo necesario
hacer ajustes pausados a la tasa de política monetaria, pero que su frecuencia podía disminuir
respecto de los últimos trimestres.
Señala el Gerente de División Estudios que, desde la última reunión, las
principales novedades son las siguientes:
•
En Estados Unidos de América, continúan los signos de desaceleración en el crecimiento,
de acuerdo con lo anticipado, y se mantienen los riesgos de un ajuste más pronunciado
debido, entre otros factores, al comportamiento del sector inmobiliario. Al mismo tiempo,
se han atenuado en algo las preocupaciones por el aumento de las presiones
inflacionarias. Se desprende que los mercados asignan una baja probabilidad a nuevas
alzas de la tasa de interés de la FED, mientras el retorno del bono a 10 años en Estados Unidos de América ha disminuido cerca de 20 puntos base en el último mes (y 50 puntos
base desde fines de junio).
Otras zonas mantienen o incluso han intensificado su
dinamismo, especialmente Asia. Con ello, las proyecciones para el crecimiento mundial
aumentan marginalmente para el 2006 desde la reunión anterior. El precio del cobre se
ubica en torno a US$ 3,5 por libra, marginalmente menos que hace un mes, y el precio
del petróleo ha descendido casi 10%, para situarse por debajo de US$ 70, caída que es
aún más marcada para los derivados.
•
En el ámbito interno, las tasas de interés han disminuido, tanto en la parte corta como en
la parte larga de la curva de rendimiento.
No hay grandes novedades en las tasas de
crecimiento del crédito y del dinero; las primeras siguen elevadas. El peso mostró una
leve apreciación respecto del dólar (1%), que también se registra en términos
multilaterales. El tipo de cambio real se mantiene estable, cerca de 94 (con base 100 en
1986).
•
En julio, la actividad creció 4,2%, sin un efecto calendario significativo.
Esta cifra es
aproximadamente 1 punto porcentual menor que la que se esperaba hace un mes. Su
evaluación, unida al desempeño proyectado para la minería en el tercer trimestre,
configura un escenario de crecimiento de corto plazo más lento que el considerado en la
reunión anterior. La industria sigue registrando cifras de crecimiento bajas, a lo que se
suma una expansión más acotada del comercio. Se espera que este menor dinamismo
siga en los próximos dos meses por la incidencia de minería e industria. En cambio, las
cifras más recientes de inversión en maquinaria y equipos revelan que su rápida
normalización podría estar concluyendo.
•
El crecimiento anual de los salarios nominales disminuyó hasta cerca de 5%, lo que
apunta hacia una inflación futura del IPCX1 relativamente baja. El empalme disponible de
las cifras del mercado laboral muestra que la tasa de crecimiento del empleo continúa
disminuyendo (aunque el componente asalariado crece sostenidamente a un ritmo
estable) y que la tasa de desempleo se ha reducido.
•
La inflación del IPC de junio se ubicó dentro de lo esperado (3,8% anual), pero el IPCX1
estuvo bastante por debajo (2,4% anual).
Esto último, junto a la caída de los
combustibles, modifican a la baja el panorama de inflación de corto plazo. Las medidas
alternativas de la tendencia inflacionaria mostraron una pequeña baja y las expectativas
han tenido una leve disminución, pero siguen cerca de 3%.
Agrega el Gerente de División Estudios señor Valdés, que con los antecedentes
disponibles, se justifica solamente la opción de mantener la tasa de política monetaria en esta
reunión.
Señala que en particular, las proyecciones preparadas para el Informe de Política
Monetaria de septiembre consideran que, en el escenario más probable, el cierre de las
holguras de capacidad se postergará para fines del próximo año.
La inflación subyacente
IPCX1 mostrará un leve aumento durante los próximos dos años, mientras la inflación del IPC
disminuirá hacia el centro del rango meta, ayudada por la disminución materializada y
proyectada de los precios de los combustibles.
Todo esto ocurriría bajo los supuestos de
mantención de la tasa de política monetaria por varios trimestres - para recién en el cuarto
trimestre del próximo año aumentarla gradualmente - y de un tipo de cambio real que no sufre
mayores variaciones.
Menciona el señor Valdés que, habitualmente, un ejercicio completo de
proyecciones de corto y mediano plazo provee poco espacio para argumentar a favor o en
contra de opciones distintas a los cambios de tasa de política monetaria implícitos en las
mismas. En esta oportunidad, el supuesto de una mantención prolongada de la tasa de política
monetaria y el resultado de que con este supuesto la inflación se ubicaría en torno a 3% en el
horizonte de política, dejan aun menos espacio para considerar alternativas a la mantención.
En la práctica, en el escenario central no hay decisiones que adelantar o atrasar.
Indica el
señor Valdés que en concreto, se proyecta un crecimiento del PIB de 4,7% para el año 2006 y de 5,6% para el 2007, y una inflación promedio de 3,7% el 2006 y de 3,4% el 2007. A 12 y 24
meses la inflación IPC se proyecta en 3,3% y 3,0%, respectivamente.
Agrega el Gerente de División Estudios, que los principales riesgos tampoco dan
un sesgo claro para la política, en caso de estimarse conveniente evaluar movimientos
preventivos de la tasa de política monetaria.
En particular, el persistente riesgo analizado
durante los últimos meses de que las alzas del precio internacional del petróleo tendrían
efectos de segunda vuelta sobre la inflación IPC y sobre las expectativas de inflación, no sólo
no
se
ha
materializado,
sino
que
además
el
precio
del
petróleo
ha
disminuido
considerablemente durante los últimos días. Asimismo, indica el señor Valdés que el riesgo
asociado a una eventual expansión fiscal el próximo año por encima de lo contemplado en
escenarios previos ha disminuido.
En el lado opuesto, si bien el crecimiento de la actividad se ha visto más lento,
hay varios elementos que juegan en contra del riesgo de que este escenario de bajo empuje
persista el próximo año. En particular, el escenario externo sigue favorable,
las condiciones
financieras aportan tracción al gasto interno y los factores adversos que podrían explicar el
menor crecimiento actual no deberían repetirse el año 2007.
Por último, hace presente el señor Valdés que cabe señalar que las expectativas
de que se mantendrá la tasa de política monetaria son prácticamente unánimes para esta
reunión. Hacia delante, sin embargo, menciona que la trayectoria de tasas de interés supuesta
en el escenario central es diferente al implícito durante las últimas dos semanas en los
instrumentos financieros.
En particular, estos precios suponen alzas en la tasa de política
monetaria relativamente pronto.
Agrega el señor Valdés, que ello podría dar cuenta de la
necesidad de modificar el comunicado de la Reunión de Política Monetaria en lo relativo al
sesgo que tendrá la política monetaria, luego de dos reuniones en que se explícita que las
pausas podrían ser más prolongadas que en el último tiempo.",,RPM-2006-09-07,867,1,True,2006,8038,1315,False,False,9,B_opciones,2006_alza_fin
2006-07-13,1070,RPM-2006-07-13:780:4,Consejo del Banco Central de Chile,Consejo,acuerdo_comunicado,acuerdo_comunicado,"En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 95-01-060713 - Tasa de Política Monetaria. En su reunión mensual de política monetaria, el Consejo del Banco Central acordó aumentar la tasa de interés de política monetaria en 25 puntos base, hasta 5,25% anual. Comunicado “En su reunión mensual de política monetaria, el Consejo del Banco Central de Chile acordó aumentar la tasa de interés de política monetaria en 25 puntos base hasta 5,25% anual. El entorno externo relevante para la economía chilena se mantiene favorable. La volatilidad observada durante las últimas semanas en los mercados financieros internacionales se ha reducido. El precio del cobre se ha vuelto a elevar y el del petróleo alcanza niveles récord. La demanda interna habría moderado su tasa de crecimiento en el segundo trimestre, en línea con lo proyectado en el último Informe de Política Monetaria. Los indicadores más recientes de actividad apoyan la evaluación de que el bajo registro de abril obedeció principalmente a factores transitorios. No obstante, los antecedentes disponibles apuntan a que el aumento en el ritmo de crecimiento contemplado para el segundo semestre podría ser algo inferior al previsto. Por su parte, el empleo asalariado continúa aumentando con relativo vigor y las condiciones financieras internas siguen siendo expansivas. La inflación del IPC se ubica en la parte alta del rango meta y probablemente postergue su convergencia hacia el centro de éste durante algunos trimestres, debido a la incidencia del mayor precio de los combustibles. Las medidas de inflación subyacente IPCX e IPCX1 (que excluyen combustibles, perecibles y algunos servicios regulados) se ubican alrededor de 3%. Otros indicadores de la tendencia inflacionaria se mantienen estables y las distintas mediciones de expectativas de inflación continúan ancladas en torno a 3%. Si bien los precios de los combustibles han seguido aumentando, otras presiones de costos están contenidas. El Consejo estima que, en el escenario más probable, siguen siendo necesarios ajustes pausados de la tasa de interés para mantener la inflación proyectada en torno a 3% anual, El Consejo estima que, en el escenario más probable, siguen siendo necesarios ajustes pausados de la tasa de interés para mantener la inflación proyectada en torno a 3% anual, en el horizonte habitual de política. La oportunidad de estos ajustes dependerá de los antecedentes que se acumulen, pudiendo ser menos frecuentes que en los últimos trimestres.”",,RPM-2006-07-13,780,4,True,2006,2546,396,False,False,9,A_consejo,2006_alza_fin
2006-08-10,1107,RPM-2006-08-10:816:1,Vittorio Corbo Lioi,Presidente del Banco Central,opciones_tpm,opciones_tpm,"A continuación, el Presidente, don Vittorio Corbo, solicita al Gerente de División
Estudios don Rodrigo Valdés, que presente las Opciones de Política Monetaria.",,RPM-2006-08-10,816,1,True,2006,160,23,False,False,9,A_consejo,2006_alza_fin
2006-11-16,1273,RPM-2006-11-16:976:1,Rodrigo Valdés Pulido,Gerente de División Estudios,opciones_tpm,opciones_tpm,"El señor Gerente de División mencionado informa lo siguiente:
En la reunión de política monetaria de octubre, el Consejo decidió mantener la
tasa de interés de política monetaria en 5,25% anual, nivel que mantiene desde julio pasado.
En la decisión se consideró que la actividad seguía mostrando un dinamismo reducido y la
inflación era menor que la esperada. Se comunicó que por un tiempo prolongado, podrían no
ser necesarios nuevos incrementos en la tasa de política monetaria para mantener la inflación
proyectada en torno a 3% anual.
Señala el Gerente de División Estudios que, desde la última reunión, las
principales novedades son las siguientes:
•
En el lado externo, el menor
dinamismo de Estados Unidos de América se sigue
compensando por la mayor fortaleza de otras regiones, en particular Europa.
Las
condiciones financieras continúan favorables y los precios alcanzados por el cobre y el
petróleo no modifican el cuadro de disminución gradual.
•
En el ámbito interno, se han
profundizado las principales tendencias y novedades
observadas en los últimos meses. La economía siguió mostrando un bajo dinamismo, por
debajo de lo esperado en el escenario central. En el tercer trimestre, el consumo continuó
creciendo con relativa fuerza, mientras la inversión en capital fijo desestacionalizada
presentó un repunte luego de dos trimestres en declinación.
La inflación del IPC ha
disminuido, al igual que la que miden los indicadores subyacentes y de tendencia.
Las
sorpresas a la baja en el IPCX1 son relativamente generalizadas entre productos.
•
En este cuadro, ha continuado el ajuste hacia abajo de la estructura de tasas de interés,
tanto nominales como reales. Ello refleja tanto movimientos de tasas externas a la baja,
como un aplanamiento sustancial de las expectativas para la tasa de política monetaria en
los próximos trimestres.
•
Las proyecciones de corto plazo
dan cuenta de un aumento relevante de la actividad y de
la demanda interna durante este trimestre y el próximo.
Aunque los supuestos que
sustentan estas proyecciones son razonables, los riesgos son a la baja. En el caso de la
inflación, las proyecciones dan cuenta de un escenario de inflación reducida en el corto
plazo, en la parte inferior del rango meta. Las expectativas privadas a uno y dos años
también muestran un panorama de inflación reducida.
Señala el Gerente de División Estudios señor Valdés, que con los antecedentes
disponibles, es difícil justificar una opción distinta a la de mantener la tasa de política monetaria
en esta reunión. Se puede descartar como opción un aumento de la tasa de política monetaria
hoy, considerando que el escenario central del IPoM ya contemplaba mantener dicha tasa por
un tiempo prolongado y que las novedades apuntan hacia menores presiones inflacionarias que
las proyectadas en ese escenario. La demora que la reaceleración ha tenido hasta ahora, los
riesgos de que ello se repita, y la menor tendencia inflacionaria actual, hacen evidente la
inconveniencia de un aumento de la tasa de política monetaria.
Menciona el señor Valdés que, por otro lado, puede argumentarse que, de no
darse el cierre de holguras considerado, la reducida inflación actual podría ser bastante
persistente. En principio, esto podría requerir de un mayor impulso monetario. Sin embargo,
considerando que esto es por ahora sólo un escenario de riesgo, que ha aumentado su
probabilidad de ocurrencia, también puede descartarse la opción de disminuir la tasa de política
monetaria hoy.
Agrega el Gerente de División Estudios que en efecto, las condiciones
macroeconómicas siguen propicias — e incluso mejores en algunas dimensiones— para un
mayor crecimiento. Las favorables condiciones financieras internas, el mayor gasto fiscal del
próximo año, la persistencia del menor precio del petróleo, las intenciones de aumentar la
inversión en proyectos, en particular en energía, y la no repetición de hechos puntuales que
han impactado en la producción, apoyan un mayor dinamismo hacia delante. Las proyecciones
a corto plazo para la actividad y algunos datos efectivos de la coyuntura apoyan esta
evaluación.
Señala el Gerente de División Estudios, señor Valdés que tampoco hay por
ahora riesgos de desanclaje que ameriten una acción de política.
Si bien la compensación
inflacionaria para el horizonte de proyección de 12 a 24 meses está por debajo de 3%, las
expectativas de la encuesta a analistas y las medidas de compensación a mayores plazos,
siguen ancladas en torno a 3%.
Menciona el señor Valdés que, en suma, la coyuntura que se enfrenta en esta
reunión, no parece especialmente compleja para la decisión misma de hoy sobre la tasa de
política monetaria.
De hecho, una acción distinta a mantener, sería muy sorpresiva y
extremadamente difícil de explicar, en parte, porque la comunicación del Banco Central ha sido
relativamente explícita en cuanto a la evolución futura de la tasa de política monetaria.
Sobre el particular, el Gerente de División Estudios señor Rodrigo Valdés,
menciona que la información disponible sí da cuenta que el signo de los próximos movimientos
de la tasa de política monetaria se ha vuelto más incierto, aunque en el escenario central sigue
contemplando un alza luego de un período bastante prolongado. Esta tensión ya se refleja en
los precios financieros, las encuestas y la observación de algunos analistas. En vista de ello,
parece necesario revisar nuevamente el sesgo implícito del comunicado de la reunión.
Finalmente, hace presente el señor Valdés que, al respecto, hay varios
elementos que considerar:
•
Primero, el mercado ha ajustado fuertemente la estructura de tasas de interés nominales
frente a las novedades acumuladas, y la propia comunicación del Banco Central de Chile,
en una magnitud comparable a la menor inflación proyectada a un año plazo. Este ajuste
le quita urgencia a cambios radicales al comunicado.
•
Segundo, parece conveniente evaluar si el sesgo al alza, entendido como el signo
probable del próximo movimiento, que se mantiene hasta hoy, es necesario.
Si la
expectativa de un próximo aumento de la tasa de política monetaria es relativamente
lejana en el tiempo, lo que es parte del escenario central, no parece tener mayor sentido
mantener dicho sesgo. Si adicionalmente se estima que hay una probabilidad significativa
de un recorte en el futuro, sería conveniente eliminar ese sesgo. Tercero, cabe evaluar si el comunicado restringe en exceso la posibilidad de implementar
cambios futuros. En la medida en que se estime que será necesario realizar ajustes a la
tasa de política monetaria relativamente pronto, por nueva información que se acumule,
sería conveniente reducir el grado de compromiso de mantención implícito que tiene el
comunicado al hablar de tiempos prolongados.",,RPM-2006-11-16,976,1,True,2006,6760,1071,False,False,9,B_opciones,2006_alza_fin
2005-12-13,673,RPM-2005-12-13:525:1,José De Gregorio Rebeco,Vicepresidente del Banco Central,decision_tpm,decision_tpm,"El Vicepresidente señor José De Gregorio, señala que el escenario macroeconómico es similar al presentado en el último IPoM, en el cual se reafirmó una política de retiro pausado al estímulo monetario. Señala que en los meses más recientes, la tasa de interés ha estado aumentando continuamente consistente con un aumento a las medidas de inflación subyacente al centro del rango meta y con la inflación del IPC subiendo transitoriamente en el corto plazo por sobre 4%. La necesidad de evitar desanclaje de expectativas, llevó a un ritmo de aumento de tasas de interés algo superior al previsto a mediados de 2005. Sin embargo, las cifras más recientes muestran una leve reducción de las presiones inflacionarias las que se observan en un aplanamiento en la trayectoria de la inflación subyacente. Asimismo, el crecimiento ha mostrado un leve deterioro. A pesar de una mejora de las perspectivas de la economía internacional, señala que éstas no se han traducido en un mayor dinamismo de la economía nacional, y además, debe considerarse que a pesar que en Latinoamérica se prevé un mayor crecimiento promedio para el año, las recientes bajas de tasas de interés en México y Brasil indicarían que probablemente en el margen de su actividad también se ha debilitado. El Vicepresidente señor De Gregorio, señala que todo lo anterior indicaría que el aumento del ritmo de tasa de interés ha sido consistente con la meta de inflación y en esta oportunidad se justifica realizar una pausa a la espera de información adicional que confirme el escenario base. De seguir sin pausa podría terminarse con una reducción de la inflación futura más allá de lo deseado. Si se realiza una sexta alza consecutiva, se puede entender que no eran pausa, lo que no es descartable en el futuro, pero hoy no se justificaría. Agrega, que el mercado podría seguir esperando tasas incluso con perspectivas inflacionarias más débiles lo que no le parece adecuado en términos de señalar cuál es la estrategia de retiro del estímulo monetario. A esto se debe agregar la inesperada apreciación del tipo de cambio, la que debería contener los aumentos de la inflación y abre espacio para la mantención de la tasa de interés. Si bien cree que no se debe variar la política de aumento gradual de las tasas de interés, todo vez que la evidencia en el margen de actividad e inflación pareciera ser transitoria, la información disponible sugiere que este es un momento apropiado para hacer una pausa. En consecuencia, vota por mantener inalterada la tasa de política monetaria.",,RPM-2005-12-13,525,1,True,2005,2542,424,False,False,9,A_consejo,2006_alza_fin
2006-07-13,1055,RPM-2006-07-13:770:3,Vittorio Corbo Lioi,Presidente del Banco Central,acuerdo_comunicado,acuerdo_comunicado,"A continuación, el Presidente, don Vittorio Corbo, solicita al Gerente de División Estudios, don Rodrigo Valdés, que presente las Opciones de Política Monetaria.",,RPM-2006-07-13,770,3,True,2006,161,23,False,False,9,A_consejo,2006_alza_fin
2006-06-15,977,RPM-2006-06-15:722:1,Rodrigo Valdés Pulido,Gerente de División Estudios,otros,otros,"Señala el Gerente de División Estudios que al respecto lo que se está tratando de
apurar y que no es un trabajo trivial es cómo se hace el empalme. Comenta al respecto que públicamente el Instituto Nacional de Estadísticas no quiere hacer ningún empalme hasta no
terminar toda la secuencia de cambios, y que han explicado que no pueden hacer un empalme
ahora, otro en tres meses más y otro en un año más, hay que hacer los dos. Señala el señor
Gerente de División que está de acuerdo con ellos en que no hay que hacer un empalme a fin
de año y otro ahora, e indica que hacer uno ahora es bueno internamente, pero esperar dos
años es demasiado.",,RPM-2006-06-15,722,1,True,2006,643,121,False,False,9,B_opciones,2006_alza_fin
2006-04-13,879,RPM-2006-04-13:649:3,Manuel Marfán Lewis,Consejero,acuerdo_comunicado,acuerdo_comunicado,"El Consejero señor Marfán, a propósito de lo expuesto por el señor Ministro de Hacienda, formula dos reflexiones. La primera, que es un tema muy debatible y opinable, pero tiende a coincidir que deberíamos cumplir nuestra meta constitucional de estabilidad de la moneda o tener una meta de inflación, no a costa de exacerbar otros desequilibrios y, por lo tanto, se tiene que determinar un panorama general, ya que el modelo supone que la economía converge hacia un equilibrio en variables reales y también en precios relativos, pero se puede estar en una dinámica que en realidad lo está alejando de ese equilibrio y, eso es un elemento que si las decisiones de política tienden a exacerbar esa divergencia, es un elemento a considerar en la decisión de política. Agrega, que a propósito de lo cambiario, ha sido en lo personal gran defensor de tener esa consideración en nuestras decisiones, pero en esta ocasión señala no estar particularmente preocupado de ese tema, ni cree que el Banco debería mostrar que es sensible a las presiones del medio en esta materia. Lo segundo, señala el señor Marfán, es que por lo menos algunas veces ha sido importante para dirimir su posición, cuáles son las expectativas de mercado cuando todo lo demás en realidad le deja indiferente entre dos opciones y, en ese caso, cree que lo más conservador es validar las expectativas, porque el riesgo que se tiene de no hacerlo, es que el mercado piense que el Banco cuenta con información que ellos no tienen, y por lo tanto, se puede afectar bastante. Entonces si se tiene información dura que lo lleva a tomar una determinada decisión, se tiene que tomar independientemente de las expectativas, porque se tiene que guiar al mercado también, y si se está indiferente, entonces cree que lo que el mercado espera, y eso está dentro de las posibilidades que se barajan y no tiene ninguna otra razón que incline la balanza, es una opción correcta considerarla. El punto más de fondo es que concuerda con lo inicialmente dicho en cuanto a que sí el tipo de cambio estuviera en una trayectoria preocupante, entonces ése es un elemento que se debería también considerar en la decisión de política.",,RPM-2006-04-13,649,3,True,2006,2174,372,False,False,9,A_consejo,2006_alza_fin
2006-11-16,1281,RPM-2006-11-16:984:1,Jorge Desormeaux Jiménez,Consejero,decision_tpm,decision_tpm,"El Consejero señor Jorge Desormeaux señala que el completo informe de la
Gerencia de División Estudios plantea, en síntesis, un cuadro de estabilidad en el plano
externo, donde el menor crecimiento de los Estados Unidos de América es compensado por el
de otras zonas económicas y donde las condiciones financieras continúan siendo favorables.
Señala el señor Consejero que en el plano interno el informe presenta un cuadro
en el cual se ha profundizado la debilidad de la economía pese a la resiliencia que muestra el
consumo y a una moderada recuperación en el tercer trimestre de la inversión en capital fijo.
Indica que estos desarrollos unidos a la caída de los precios de la energía han dado lugar a
una corrección de todos los índices inflacionarios hacia la baja, incluyendo los de tendencia.
Como ha destacado el Informe de la Gerencia de División Estudios, esto no ha desanclado las
expectativas de inflación a más mediano plazo. El resultado de este cuadro ha sido un ajuste
endógeno a la baja de toda la estructura de tasas de interés, tanto nominales como reales.
Este movimiento ha sido reforzado por una reducción de las tasas de largo plazo en el mundo
desarrollado.
Por otra parte, señala el Consejero señor Desormeaux que el Informe de la
Gerencia de División Estudios plantea un panorama macroeconómico futuro bastante propicio
para una reaceleración del crecimiento, incluso a partir del actual trimestre. Las razones son
conocidas; favorables condiciones financieras internas, mayor gasto fiscal en el año 2007,
menor costo de la energía y un importante repunte de la inversión en obras de ingeniería.
Indica el señor Desormeaux que, por ello, y a pesar de que existe el riesgo de que el bajo
dinamismo presente pueda extenderse, coincide con que la opción más relevante a considerar
en el día de hoy, es la mantención de la tasa.
Manifiesta que esta es la expectativa
generalizada del mercado y se ajusta también al texto del comunicado de la reunión de política
monetaria anterior.
Señala el señor Consejero, que la mantención de la tasa no impide, sin embargo,
que la estructura de tasas se haya ajustado endógenamente a la baja frente a la actual
coyuntura y esté entregando un mayor grado de impulso a la economía.
Manifiesta el señor Desormeaux, que cree que la pregunta más relevante que se
debe abordar en la reunión de hoy, es aquella referida al mensaje que queremos entregar en el
comunicado sobre el sesgo implícito de la política monetaria.
En este sentido, cree que el
comunicado no debe introducir un cambio significativo en relación a la reunión anterior porque
hacerlo o insinuar la posibilidad de un recorte de tasa, sería evaluado por el mercado como una
señal de mayor debilidad cíclica que la considerada hasta ahora, algo que el señor Consejero
considera inconveniente.
Por otro lado, señala que coincide que desenfatizar el signo de futuros
movimientos de la tasa de política monetaria, podría entregar al Banco Central de Chile una
mayor capacidad de maniobra para enfrentar eventos futuros, cualquiera sea su dirección, en
un momento en que la incertidumbre parece ser mayor que en el pasado.
Por lo anterior, el Consejero señor Jorge Desormeaux vota por mantener la tasa
de política monetaria en 5,25%, con los comentarios ya señalados sobre el contenido del
comunicado.",,RPM-2006-11-16,984,1,True,2006,3316,548,False,False,9,A_consejo,2006_alza_fin
2005-11-10,604,RPM-2005-11-10:499:1,Manuel Marfán Lewis,Consejero,decision_tpm,decision_tpm,"El Consejero señor Manuel Marfán, agradece el análisis del staff y hace presente que desde el último IPoM ha continuado la acumulación de antecedentes mixtos respecto del mes pasado. Señala que la evidencia muestra una reversión en el margen del aumento del precio internacional del petróleo mientras ha tendido a consolidarse un precio más elevado del cobre en una mezcla favorable al país. Agrega el señor Consejero, que las mayores presiones inflacionarias en las economías desarrolladas han continuado elevando las tasas en las economías externas y se esperan aumentos más rápidos en las tasas de política, especialmente en Estados Unidos de América. Agrega que las perspectivas de crecimiento mundial han mejorado en el corto plazo, sin embargo, los riesgos asociados al escenario internacional son algo mayores que en la Reunión de Política Monetaria anterior. Indica el señor Consejero, que en lo interno se ha revertido parcialmente el debilitamiento en el crecimiento del PIB y del consumo que se observó en la Reunión de Política Monetaria anterior. La formación bruta de capital fijo en tanto, sigue situándose por sobre lo proyectado. El mercado laboral mantiene una mezcla de aumento del empleo y costos laborales unitarios contenidos. Asimismo, señala que, los indicadores de mercados financieros aparecen algo afectados por razones coyunturales, más allá del alineamiento de mayores tasas de interés externas y la estructura de tasas de interés proporciona información menos confiable que lo habitual sobre expectativas de mediano y largo plazo, lo que es particularmente cierto para las tasas reajustables. La inflación de octubre en tanto, volvió a mostrar sorpresas por factores específicos y probablemente transitorios. El escenario central del IPoM contemplaba una aceleración inflacionaria hasta el primer trimestre del próximo año y una posterior convergencia hacia el rango meta dentro del horizonte habitual de política. Los antecedentes acumulados desde entonces, apuntan a una aceleración mayor a la prevista, pero como se señaló, por factores transitorios que debieran revertirse. Los indicadores de inflación subyacentes, en tanto siguen contenidos y por debajo de lo proyectado en el IPoM. Señala el señor Consejero, que la implicancia es que la probabilidad de que la brecha esté más cerrada de lo que se pensaba sea baja. Hace presente también, que el principal riesgo en este cuadro es que se produzca un desanclaje de expectativas. En este sentido, agrega, la situación de Chile parece similar a la que enfrenta la mayoría de las economías desarrolladas, esto es, una inflación subyacente o core bien alineada dentro de los rangos de meta e inflación efectiva. En esta situación, las implicancias de mediano y largo plazo dependen crucialmente de los efectos de segunda vuelta de las sorpresas recientes, los que a su vez dependen de que si las expectativas se mantienen o no bien ancladas. Señala el señor Consejero que para evitar un desanclaje, parece conveniente mantener el ritmo de normalización de la política monetaria que espera el mercado, centrado abrumadoramente en un aumento de 25 puntos base para esta reunión. Por lo mismo, la opción que considera apropiada para esta oportunidad, es elevar la Tasa de Política Monetaria en 25 puntos base y vota en consecuencia en tal sentido. Finalmente, agrega el señor Consejero, que aumentar la Tasa de Política Monetaria por 5 meses consecutivos, como es el caso, no formaba parte del escenario central del IPoM.",,RPM-2005-11-10,499,1,True,2005,3500,549,False,False,9,A_consejo,2006_alza_fin
