tanda,fase,intervenciones,palabras,desde,hasta
9,2006_alza_fin,28,11154,2005-09-08,2006-12-14
9,2007_mixto,13,8580,2007-01-11,2007-12-13
10,2007_mixto,15,6642,2007-01-11,2007-10-11
10,2008_crisis_alza,21,12719,2008-01-10,2008-12-11
11,2008_crisis_alza,7,4030,2008-01-10,2008-12-11
11,2009_bajas,28,14208,2009-01-08,2009-12-15
11,2010_alza_emergencia,4,1604,2010-05-13,2010-10-14
12,2010_alza_emergencia,24,10484,2010-01-14,2010-12-16
12,2011_alza,20,9116,2011-01-13,2011-12-13
13,2011_alza,8,4281,2011-01-13,2011-12-13
13,2012_13_mantiene,28,10324,2012-03-15,2013-09-12
13,2013_14_bajas,16,4915,2013-10-17,2014-12-11
14,2013_14_bajas,12,4896,2013-11-19,2014-11-18
14,2015_quiebre,28,6387,2015-01-15,2015-12-17
