fecha,id_original,intervencion_id,actor,cargo,topico,keywords,texto,detalle_cotejo,meeting_id,orden_habla,subindice,regex_ok,anio,largo_caracteres,largo_palabras,flag_cotejo,flag_texto_danado,tanda,fase
2006-02-09,759,RPM-2006-02-09:587:10,Vittorio Corbo Lioi,Presidente del Banco Central,opciones_tpm,opciones_tpm,"El señor Presidente deja constancia que no se encuentran presentes en la Sala, el Ministro de Hacienda, señor Nicolás Eyzaguirre G., y su Asesora Macroeconómica, señora Bernardita Piedrabuena, quienes han excusado su asistencia, en razón de las funciones que les corresponde en sus respectivos cargos. A continuación, el Presidente, don Vittorio Corbo, solicita al Gerente de División Estudios, don Rodrigo Valdés, que presente las Opciones de Política Monetaria.",,RPM-2006-02-09,587,10,True,2006,463,68,False,False,5,2006_alza_fin
2006-03-16,802,RPM-2006-03-16:619:1,Vittorio Corbo Lioi,Presidente del Banco Central,decision_tpm,decision_tpm,"El Presidente, señor Vittorio Corbo, señala que no se puede tomar compromisos
para la próxima reunión, pero la señal está clara.
El señor Presidente, señor Vittorio Corbo, ofrece la palabra a los señores
Consejeros para proceder a la votación.",,RPM-2006-03-16,619,1,True,2006,243,39,False,False,5,2006_alza_fin
2005-11-10,594,RPM-2005-11-10:491:1,Vittorio Corbo Lioi,Presidente del Banco Central,opciones_tpm,apertura_cierre,"El Presidente, señor Vittorio Corbo, suspende la Sesión a las 14:00 horas e informa que la misma se reanudará a las 16:00 horas.",,RPM-2005-11-10,491,1,True,2005,128,23,False,False,5,2006_alza_fin
2006-06-15,936,RPM-2006-06-15:682:1,Sergio Lehmann Beresi,Gerente de Análisis Internacional,escenario_internacional,escenario_internacional,"El señor Lehmann indica que para estos efectos los
comentarios de personeros de la Reserva Federal han sido significativos en términos de las
expectativas de las personas o de los agentes con respecto a los movimientos de tasa. Señala
también el señor Lehmann, que la compensación inflacionaria no está mostrando aún
preocupaciones por la inflación, pero ello tal vez obedece aúna razón de orden técnico, en el
sentido que en períodos de volatilidad los agentes toman posiciones en bonos nominales, no
tanto reales que son más líquidos.",,RPM-2006-06-15,682,1,True,2006,536,87,False,False,5,2006_alza_fin
2006-07-13,1069,RPM-2006-07-13:780:3,Vittorio Corbo Lioi,Presidente del Banco Central,acuerdo_comunicado,acuerdo_comunicado,"Señala el Presidente, señor Corbo que con respecto a la decisión de esta reunión, las encuestas de opinión de los analistas muestran que en forma unánime éstos esperan un alza en la tasa de política monetaria, por lo que no habrían cambios importantes en los precios de activos financieros si ésta en efecto se subiera. Por otro lado, señala el señor Presidente que el no hacerio, puede ser interpretado como que el Banco tiene un panorama esperado para la inflación benigno, lo cual no se condice con las revisiones al alza que han tenido las proyecciones de inflación de corto plazo, unido a los efectos inflacionarios de segunda vuelta que pueden terminar teniendo aumentos como los que estamos experimentando en los precios de los combustibles, para una economía donde las brechas de capacidad han ido desapareciendo. Estas consideraciones recomendarían subir la tasa de política monetaria y continuar con la trayectoria de normalización considerada en el último IPoM. De otra parte, dado el fuerte ajuste a la baja en las expectativas y las proyecciones iniciales de actividad para el tercer trimestre, no se puede descartar que el crecimiento del segundo semestre resulte menor al proyectado, lo que sugeriría una normalización más pausada de la política monetaria. Esto sería por encima de la mayor incertidumbre con respecto a cuán cerca se está de la tasa neutral, dadas las condiciones cíclicas de la economía. Considerando el efecto neto de ambos factores, su decisión también es por subir la tasa otro cuarto de punto ahora, pero al mismo tiempo, señalar explícitamente en el comunicado que, en el escenario más probable, la normalización de la política monetaria sería con pausas más prolongadas de las que se han observado en los últimos trimestres.",RESERVA_ABIERTA_POR_COTEJO,RPM-2006-07-13,780,3,True,2006,1763,287,True,False,5,2006_alza_fin
2006-01-12,682,RPM-2006-01-12:533:1,Pablo García Silva,Gerente de Análisis Macroeconómico,mercados_financieros,otros,"III. Exposición El Gerente de Análisis Macroeconómico señor Pablo García, señala que la evolución de la macroeconomía en los últimos meses continúa indicando que el actual ciclo económico expansivo no ha comprometido la estabilidad de precios. Por su parte, la actividad, el gasto y el empleo siguen creciendo, y la tendencia inflacionaria y las expectativas de inflación, tras subir luego del incremento del precio de los combustibles en los meses recientes, han vuelto a 3%. Los mercados financieros han reflejado la gradual normalización de las condiciones monetarias. También en los últimos meses se dio un fortalecimiento significativo del peso, más allá de lo que indican sus determinantes de largo plazo. En su conjunto, los desarrollos recientes no producen perturbaciones significativas en las perspectivas de tránsito gradual hacia un crecimiento de tendencia, con una inflación proyectada en torno a la meta y una normalización de la política monetaria. Señala el señor García, que las perspectivas para la economía internacional han mejorado en los últimos meses. El crecimiento global se ha fortalecido, al igual que los términos de intercambio gracias a que el precio del cobre se mantiene en niveles récord. El precio del petróleo se ha situado algo por sobre US$ 60 el barril, por debajo de los elevados niveles vistos hacia fines de agosto por el impacto de los huracanes en el Golfo de México. Los incrementos de la inflación en las principales economías desarrolladas han mostrado hasta ahora un carácter transitorio, asociado al comportamiento de los combustibles, mientras las condiciones financieras para economías emergentes se mantienen favorables. Los bajos niveles de los premios soberanos han amortiguado, en parte, el impacto de aumentos mesurados de tasas de interés en las economías desarrolladas. Hace presente el señor García, que hacia el mediano plazo, más allá de este año, se sigue esperando una normalización de las extraordinarias condiciones externas actuales. Los términos de intercambio deberían caer gradualmente a medida que se atenúe el ciclo favorable del precio del cobre y las condiciones monetarias externas continúen normalizándose. También indica, que en el país, luego de un período relativamente prolongado en que las tasas de interés de mercado se mantuvieron bajas, se ha observado un ajuste al alza. Las perspectivas de una subida transitoria de la inflación, los incrementos más recientes de la Tasa de Política Monetaria y el aumento de las tasas de interés externas, generaron un incremento de las tasas de mercado de los títulos de mediano y largo plazo emitidos por el Banco Central de Chile, en particular de los reajustables. En las últimas semanas, este efecto se atenuó gracias al impacto de los bajos registros inflacionarios recientes, una mayor normalidad en el precio internacional de los combustibles y la sorpresiva apreciación del peso, en las expectativas de inflación. El costo del financiamiento hipotecario como del que enfrentan las empresas ha comenzado a reflejar el desplazamiento al alza de la estructura de tasas de interés de los últimos meses. Las tasas de interés de los créditos hipotecarios han aumentado, al igual que las de los créditos comerciales. Las condiciones de financiamiento no bancario para las empresas, aunque aún favorables, reflejan el alza de las tasas de interés de mediano y largo plazo. Esto se aprecia en el comportamiento general del mercado bursátil en el cuarto trimestre del año pasado y en el ritmo de colocación de bonos corporativos. No obstante lo anterior, señala el señor Gerente referido, que la política monetaria sigue siendo expansiva. La Tasa de Política Monetaria se encuentra aún por debajo de los niveles considerados neutrales, lo que se refleja también en la trayectoria esperada de la Tasa de Política Monetaria que se deduce de la estructura de tasas de interés. Por otro lado, el crédito a personas y empresas sigue expandiéndose con vigor y, el crecimiento anual de los distintos agregados monetarios ha vuelto a incrementarse. El peso se ha apreciado de manera significativa, tanto en términos reales como nominales, desde el cierre del último IPoM. En ello ha incidido los mejores términos de intercambio, así como la liquidez y el alto apetito por riesgo en los mercados internacionales. Con esto, el peso se ubicaría en niveles más apreciados que los que se obtienen de varias estimaciones para el tipo de cambio real coherente con sus determinantes fundamentales de largo plazo, en particular el precio del cobre. Con una política fiscal menos austera, la apreciación del peso habría sido mayor. Agrega, que como supuesto metodológico para las proyecciones de este IPoM, se considera que el peso en términos reales se depreciará moderadamente en el horizonte de proyección, en línea con el escenario base de normalización de las condiciones externas. Por otro lado, menciona que la demanda interna ha continuado creciendo con vigor, en especial su componente importado. El consumo ha seguido siendo poco sensible al mayor precio de los combustibles, probablemente por la combinación del favorable entorno para el financiamiento de los hogares y el dinamismo del empleo. Las compras durables tienen un ritmo de crecimiento significativo, al que, además de los factores previos, ha contribuido la apreciación del peso. El dinamismo de la formación bruta de capital fijo volvió a sorprender en el último trimestre de 2005. Sin embargo, excluyendo hechos puntuales ligados a la internación de material de transporte, las importaciones de bienes de capital se han mantenido estables en niveles más altos que los previstos, lo que de todas formas modifica levemente al alza el crecimiento de tendencia para el 2006. El incremento de la inversión, fundamentalmente en bienes de capital importados, y la caída del ahorro privado, asociado al fuerte incremento del consumo durable en su mayor parte también importado, sugiere que hogares y empresas están aprovechando las actuales circunstancias para acercar los stocks de capital y de durables a niveles deseados. Como esto sería un fenómeno que se produciría de una sola vez, es congruente con la ampliación del déficit privado y la percepción que la reciente apreciación real del peso tiene algún grado de transitoriedad. Señala el señor García, que el volumen de exportaciones retomó su tendencia de crecimiento anual, tras la desaceleración puntual de algunos envíos industriales en el tercer trimestre de 2005. Durante el año recién finalizado el volumen de las exportaciones mineras cayó, esperándose una reversión solo gradual para los próximos años, a medida que se incorporen nuevos proyectos en la minería del cobre. Las importaciones, en tanto, han reflejado las tendencias de la demanda interna. Se estima que la cuenta corriente cerró el año 2005 con un leve déficit. Medida a precios de tendencia para los principales productos de importación y exportación, y con tasas de interés externas más cercanas a sus valores de largo plazo, la cuenta corriente tendría un déficit algo mayor a 2% del PIB. Detrás del saldo balanceado de la cuenta corriente existe un comportamiento marcadamente disímil entre el sector público y el privado. El primero, acumulará un superávit algo superior a 4% del PIB, y el segundo un déficit de magnitud similar. Así, el sector privado ha acomodado, en parte por la vía del endeudamiento, el efecto real sobre su ingreso disponible derivado de las sustanciales alzas del precio del petróleo. Este proceso no se estaría acentuando, esperándose, por el contrario, que la demanda interna comience a desacelerarse en el curso del primer semestre de este año. Hace presente el Gerente de Análisis Macroeconómico, que con la información disponible, que incluye tres décimas de mayor PIB por revisiones en el sector de comunicaciones, se estima que la actividad habría crecido 6,3% en el 2005, esperándose para el 2006 una convergencia gradual hacia una expansión de tendencia, llegando a un crecimiento de entre 5% y 6%. Este patrón de crecimiento agregado responde al desarrollo natural del ciclo económico luego de ocho trimestres de expansión. La productividad del trabajo se mantuvo estable en el segundo semestre de 2005, tras el importante incremento de principios del año pasado. Las remuneraciones nominales crecen en torno a 6% anual, con lo que los costos laborales unitarios aumentan en el margen más que la inflación subyacente. Más allá del componente pasajero que ello posee por el patrón de la actividad y la expansión que sigue mostrando el empleo asalariado, el escenario de mayores costos es cualitativamente congruente con lo proyectado en IPoM previos, siendo uno de los factores que subyacen tras la normalización de la inflación de tendencia. Los vaivenes de los precios de algunos productos perecibles han inducido un alto grado de volatilidad en la inflación en el último tiempo. Indica el señor García, que tras un aumento significativo en parte del tercer y cuarto trimestre, se observa una normalización de estos precios, que llevaría a variaciones anuales negativas de ellos dentro de un año. En el escenario central de proyección, en la medida en que las holguras de capacidad se copen —lo que ya podría estar ocurriendo en algunos sectores—, se espera una inflación subyacente mayor que en los últimos dos años, algo por sobre 3%. Esto último sería transitorio y vinculado esencialmente al ciclo económico y, en menor medida, al efecto pasajero del mayor precio del petróleo. En cambio, la inflación anual del IPC debiese ubicarse por debajo de 3% por varios trimestres de este año y el próximo, incluso cerca de 2% en meses puntuales, producto del cambio de base de comparación por los elevados precios de los combustibles y los perecibles durante parte de 2005. Este escenario es congruente con el supuesto metodológico de que durante los próximos trimestres la normalización de la política monetaria procede a un ritmo comparable al implícito en los precios de activos financieros durante las últimas dos semanas. Esta velocidad es además inferior a la que se observó en la segunda mitad del año pasado. Las distintas medidas de expectativas de inflación han caído de manera importante, tras aumentar por la incertidumbre asociada a la persistencia y propagación del alza del precio de los combustibles y de bienes perecibles. Ello tiende a confirmar el escenario previo, donde el efecto inflacionario del mayor precio de los combustibles es pasajero y la inflación converge a 3% en un horizonte de 12 a 24 meses. Por el lado de los riesgos internacionales, señala el señor García que parece menos probable un deterioro abrupto de las condiciones financieras globales, por mayores presiones inflacionarias en países desarrollados, o por alzas inesperadas de las tasas de interés de largo plazo y de los premios soberanos. El financiamiento del déficit de la cuenta corriente de Estados Unidos de América aparece ahora como más sostenible, apoyado por un mercado financiero bien desarrollado y abundantes recursos provenientes, en su mayoría, de países exportadores de productos básicos y de Asia. En la medida en que la economía estadounidense siga con un alto dinamismo, se reduciría la probabilidad de un ajuste abrupto y desordenado del desbalance global de gastos. Por otro lado, indica, que no se puede descartar que el favorable ciclo del precio del cobre se prolongue y se acentúe más de lo estimado. Menciona también, que siguen presentes los riesgos globales geopolíticos y de terrorismo, no descartándose efectos negativos de la gripe aviar en el crecimiento, especialmente de Asia. El alto precio del petróleo y sus posibles consecuencias mantienen riesgos a la baja sobre la actividad mundial, y tampoco se descarta que dicho precio pueda ser mayor al actual. En Estados Unidos de América, la corrección del precio de los activos inmobiliarios podría mermar su consumo y restar dinamismo a la economía mundial. Los mercados muestran cierta cautela respecto de las perspectivas económicas para la región, lo que en algunas economías ha generado incrementos del premio soberano y un deterioro de variables financieras. Hace presente el Gerente mencionado, que internamente, los riesgos de menores presiones inflacionarias se relacionan con la incertidumbre de si la aceleración de la inflación del IPCX1 de los trimestres recientes responde al cierre de holguras, acorde con el escenario central, o al traspaso del mayor precio de los combustibles. Esto sólo se dilucidará con el paso del tiempo. Además, señala que no puede descartarse que la fortaleza del peso persista por más tiempo junto con favorables condiciones externas. Por su lado, los riesgos de mayores presiones de precios se relacionan con que la desaceleración de la demanda interna, que en alguna medida ya se vio a fines de 2005, no continúe. Ello conduciría a un aumento del déficit de la cuenta corriente a precios de tendencia y/o a mayores presiones sobre las brechas y la inflación. Como siempre, menciona que existen dudas respecto de la magnitud efectiva de la actual brecha de capacidad. Sin embargo, cree que esto no parece indicar riesgos más acentuados en una u otra dirección. Así, en su conjunto, estima que el balance de riesgos tanto para la actividad como para la inflación está equilibrado.",,RPM-2006-01-12,533,1,True,2006,13331,2126,False,False,5,2006_alza_fin
2006-03-16,795,RPM-2006-03-16:614:1,Vittorio Corbo Lioi,Presidente del Banco Central,opciones_tpm,apertura_cierre,"El Presidente, señor Vittorio Corbo, suspende la Sesión a las 13:30 horas e
informa que la misma se reanudará a las 16:00 horas.",,RPM-2006-03-16,614,1,True,2006,128,23,False,False,5,2006_alza_fin
2006-11-16,1253,RPM-2006-11-16:957:1,Manuel Marfán Lewis,Consejero,inflacion,inflacion,"El Consejero señor Manuel Marfán, señala en relación a las expectativas de
inflación, que entiende que éstas han caído en la apreciación del staff.",,RPM-2006-11-16,957,1,True,2006,147,24,False,False,5,2006_alza_fin
2006-04-13,825,RPM-2006-04-13:633:3,Vittorio Corbo Lioi,Presidente del Banco Central,mercado_laboral,mercado_laboral,"Al respecto, el señor Presidente hace presente que Estados Unidos de América tiene como implícita una inflación subyacente entre uno y dos por ciento. Por otra parte, indica que concuerda con lo expresado por el señor Vicepresidente, en el sentido que en los últimos dos meses, la economía de Estados Unidos de América ha mostrado que la desaceleración que tuvo el cuarto trimestre fue más bien transitoria y, que sigue tomando fuerza y que ya lleva dos años creciendo más que la capacidad que queda en el mercado laboral. Señala que prácticamente no queda exceso. En consecuencia, le parece que se presentan dos situaciones. La inflación subyacente se quedó muy por encima en el largo plazo y, en segundo término, por el hecho que esa economía sigue creciendo más fuerte, existe pánico de que se les desate la inflación, lo que es más fuerte hoy día que hace cuatro o cinco meses atrás. Sin embargo, agrega que también puede estar la mano del nuevo Chairman, y que llegó el momento en que lo están testeando con estas dos fuerzas, pero cree que también hay mucho de consumo.",,RPM-2006-04-13,633,3,True,2006,1075,187,False,False,5,2006_alza_fin
2006-01-12,702,RPM-2006-01-12:553:1,Manuel Marfán Lewis,Consejero,actividad_interna,otros,"El Consejero señor Marfán se refiere a que su consulta dice relación con un problema de causalidad, ya que el Banco hace política monetaria porque afecta la demanda agregada, lo que a su vez afecta el crecimiento, en la medida que esa demanda se traduzca en mayor requerimiento de bienes y servicios producidos nacionalmente. En su opinión, si esa mayor demanda agregada se está destinando preferentemente a bienes de capital importado y a bienes de consumo durable también importados, entonces no necesariamente se va a traducir en un crecimiento.",,RPM-2006-01-12,553,1,True,2006,548,89,False,False,5,2006_alza_fin
