tanda,fase,intervenciones,palabras,desde,hasta
5,2006_alza_fin,42,7742,2005-08-11,2006-12-14
5,2007_mixto,42,6804,2007-01-11,2007-12-13
5,2008_crisis_alza,10,5188,2008-02-07,2008-12-11
6,2008_crisis_alza,32,8303,2008-01-10,2008-12-11
6,2009_bajas,42,6454,2009-01-08,2009-11-12
6,2010_alza_emergencia,42,4145,2010-01-14,2010-12-16
6,2011_alza,4,529,2011-01-13,2011-11-15
7,2011_alza,38,4486,2011-01-13,2011-12-13
7,2012_13_mantiene,42,6645,2012-01-12,2013-09-12
7,2013_14_bajas,30,8596,2013-10-17,2014-11-18
8,2013_14_bajas,12,1666,2014-01-16,2014-12-11
8,2015_quiebre,42,7182,2015-01-15,2015-12-17
