fecha,id_original,intervencion_id,actor,cargo,topico,keywords,texto,detalle_cotejo,meeting_id,orden_habla,subindice,regex_ok,anio,largo_caracteres,largo_palabras,flag_cotejo,flag_texto_danado,tanda,senal_decision,subestrato,fase
2009-12-15,4200,RPM-2009-12-15:2828:1,Manuel Marfán Lewis,Vicepresidente del Banco Central,inflacion,inflacion,"El señor Manuel Marfán manifiesta creer que se miraron mucho los efectos de segunda vuelta, si bien en su voto, al menos, lo que más pesó fue que se dispararon las expectativas a dos años. Recuerda que lo que se tenía era que aproximadamente la mitad del mercado le creía al Banco y la otra mitad estaba sesgada al alza, recalcando que el que no le crean al Banco es lo más grave que le puede pasar en un contexto adverso de inflación, a pesar que se estime que se está haciendo la mejor política. Hubo que reaccionar y fuerte. En resumen, el señor Marfán propone pensar en una posición para el futuro, ya que le parece que este es el momento para hacerlo.",,RPM-2009-12-15,2828,1,True,2009,656,124,False,False,9,True,autoridad_señal,2009_bajas
2008-06-10,2595,RPM-2008-06-10:1879:1,Jorge Desormeaux Jiménez,Vicepresidente del Banco Central,mercado_laboral,mercado_laboral,El Vicepresidente señor Jorge Desormeaux comenta que es interesante mencionar que los períodos de fuerte crecimiento de la oferta de trabajo corresponden a aquéllos en que las familias necesitan más ingresos y la mujer sale a trabajar.,,RPM-2008-06-10,1879,1,True,2008,235,37,False,False,9,False,resto_sin_señal,2008_crisis_alza
2013-12-12,8132,RPM-2013-12-12:5942:2,Rodrigo Vergara Montes,Presidente del Banco Central,opciones_tpm,opciones_tpm,"Al no formularse otros comentarios, siendo las 13:00 horas, el Presidente señor Rodrigo Vergara suspende la presente Reunión y deja constancia que ella se reiniciará a las 15:30 horas para tratar lo referente a las opciones de política monetaria.",,RPM-2013-12-12,5942,2,True,2013,246,39,False,False,9,True,autoridad_señal,2013_14_bajas
2013-02-14,7495,RPM-2013-02-14:5398:2,Rodrigo Vergara Montes,Presidente del Banco Central,acuerdo_comunicado,acuerdo_comunicado,"En consecuencia, el Presidente señor Rodrigo Vergara deja constancia que se acuerda por unanimidad de los señores Consejeros mantener la Tasa de Política Monetaria en 5% anual.",,RPM-2013-02-14,5398,2,True,2013,176,27,False,False,9,True,autoridad_señal,2012_13_mantiene
2011-03-17,5592,RPM-2011-03-17:3833:1,Sebastián Claro Edwards,Consejero,debate,debate,"El Consejero señor Sebastián Claro se refiere a los CDS spreads a 5 años de los bancos europeos, planteando que el alza significativa registrada en los últimos dos o tres trimestres es, en su opinión, insostenible, y que los datos de los mercados de más corto plazo dan clara cuenta de una heterogeneidad importante. Al respecto, consulta si las tasas de depósito a 30 días exhiben gran dispersión en los bancos que se monitorean habitualmente, que pudieran reflejar el comportamiento de las tasas de los papeles de muy largo plazo, ya que, a su juicio, existe una especie de dicotomía, desde el momento que los mercados monetarios muestran tasas muy comprimidas y el financiamiento a largo plazo sugiere una sustitución importante por uno de corto plazo.",,RPM-2011-03-17,3833,1,True,2011,755,126,False,False,9,True,autoridad_señal,2011_alza
2015-05-14,9209,RPM-2015-05-14:6804:1,Enrique Marshall Rivera,Vicepresidente del Banco Central,acuerdo_comunicado,acuerdo_comunicado,"El Vicepresidente señor Enrique Marshall da inicio a su intervención agradeciendo al staff por el apoyo brindado para esta Reunión. Asimismo, saluda al Ministro de Hacienda señor Rodrigo Valdés y le expresa sus deseos de mayor éxito en sus nuevas tareas. Indica que las noticias del último mes reafirman el diagnóstico del Consejo y las implicancias de política que de ello se derivan. Hace presente que en el frente externo, las perspectivas de crecimiento no han cambiado significativamente en el agregado, pero se observan ajustes más bien menores que contribuyen a un mayor equilibrio entre regiones. En todo caso, le resultan preocupantes las muy pobres cifras de América Latina, que han continuado corrigiéndose hacia abajo. Añade que los mercados financieros han permanecido muy atentos a las noticias provenientes de Estados Unidos de América y que por sus implicancias para la política monetaria, los últimos desarrollos han conducido a un fortalecimiento del apetito por riesgo, a una depreciación del dólar en los mercados internacionales y también a un empinamiento de la curva de rendimientos. En su opinión, estos desarrollos apuntan, en general, en la dirección de una normalización del escenario macrofinanciero global. Con todo, considera que este escenario continúa presentando riesgos que no pueden ser soslayados, más allá de la moderación que sugieren las últimas noticias. En lo concerniente al ámbito interno, manifiesta que el panorama para la actividad y la demanda no ha cambiado significativamente. En este sentido, señala que si bien las cifras de cuentas nacionales del primer trimestre fueron algo más altas que las esperadas, los indicadores más recientes no muestran cambios apreciables de velocidad ni un repunte persistente. Agrega que indicadores de avanzada, como las importaciones, el crédito bancario y particularmente las expectativas de empresas y hogares, siguen siendo débiles en la punta. A su juicio, la tonificación de estas últimas parece clave para sustentar una recuperación que perdure en el tiempo. En materia de inflación, menciona que el último registro sorprendió al alza, aunque el panorama no ha cambiado sustancialmente; que el diagnóstico de convergencia gradual a la meta delineado en el último IPoM permanece vigente; y que los riesgos de que ello no sea así se han reducido. En este cuadro, expresa que la opción que surge nuevamente con claridad es la de mantener la TPM, coincidiendo en tal sentido con la minuta de la Gerencia de División Estudios y con todos los argumentos que allí se esgrimen. En su opinión, resultaría bastante difícil proveerle sustento a cualquier otra opción de política; por lo tanto, lo recomendable en estas circunstancias es reafirmar la idea de estabilidad en un horizonte de corto plazo. Añade que se ha iniciado la preparación del próximo IPoM; luego, los ejercicios de proyección que se efectuarán en ese marco aportarán los elementos necesarios para revisar esa orientación e introducir los ajustes, si ello fuese necesario. En virtud de lo señalado precedentemente, el Vicepresidente señor Enrique Marshall manifiesta que su voto es por mantener la TPM en su actual nivel de 3%, así como también el sesgo del Comunicado.",,RPM-2015-05-14,6804,1,True,2015,3217,507,False,False,9,True,autoridad_señal,2015_quiebre
2009-08-13,3894,RPM-2009-08-13:2680:3,José De Gregorio Rebeco,Presidente del Banco Central,acuerdo_comunicado,acuerdo_comunicado,"y el señor Presidente ofrece la palabra al Gerente de División Estudios, señor Pablo García, para que presente las Opciones de Política Monetaria para esta Reunión.",,RPM-2009-08-13,2680,3,True,2009,164,26,False,False,9,True,autoridad_señal,2009_bajas
2010-11-16,5263,RPM-2010-11-16:3556:1,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,mercados_financieros,mercados_financieros,"El señor Claudio Soto responde que no hay grandes modificaciones respecto de la dinámica de inventarios y que las existencias van convergiendo a valores promedio históricos e, incluso, algo por debajo de ellos. Al continuar, el señor Claudio Soto se refiere al mercado laboral, destacando que la noticia más importante para esta Reunión es el alza relevante del empleo asalariado. Al respecto, hace presente que, hasta algunos meses, el crecimiento del empleo tuvo un fuerte componente de cuenta propia, mientras que, ahora, el componente asalariado también registra un repunte significativo, que se da curiosamente en el sector industrial, cuya producción, como mencionó anteriormente, ha estado estancada. En relación con la tasa de desempleo, señala que un cálculo provisorio de la tasa desestacionalizada muestra que se ha estabilizado en torno a 8%, mientras que la tasa marginal que calcula ahora el Instituto Nacional de Estadísticas (INE), que es la tasa de desempleo mensual y no el promedio móvil como lo hace habitualmente, exhibe una fuerte caída en septiembre. En consecuencia, se prevé que la tasa de desempleo va a seguir cayendo en los meses venideros. En materia de salarios, indica que se vio un repunte importante en el costo de la mano de obra en septiembre. Sobre el particular, menciona que la información del INE apunta a que podría deberse a las horas extras, producto del fin de semana largo de Fiestas Patrias, que habrían empujado los costos laborales al alza, en general. De todas maneras, comenta que se registró un incremento en las remuneraciones. Con todo, destaca que, en términos reales interanuales, los costos laborales están creciendo en torno a 3% y se han mantenido alrededor de ese nivel, con oscilaciones por algunos meses. El señor Claudio Soto continúa, refiriéndose a la inflación y señala que el dato de IPC tuvo una leve variación positiva de 0,1%, algo por debajo de lo anticipado, y el IPCX1 una de -0,1%, plenamente en línea con lo proyectado internamente. Detalla que los errores en la proyección se focalizaron en tres ítems: transporte, derivado de los pasajes de avión, que experimentaron una caída mayor que la observada en el seguimiento que se efectúa de estos precios; las carnes, específicamente el pescado, cuyos precios caen por segundo mes consecutivo de manera significativa; y las tarifas eléctricas. El señor Claudio Soto hace presente que la proyección tiene como elementos más relevantes un tipo de cambio algo más apreciado que el de octubre; precios internacionales de combustibles más elevados, que llevan a una proyección también más elevada para el precio de la gasolina; y la posibilidad de un alza en el Transantiago en febrero, dado el polinomio para el cálculo de sus tarifas. Respecto del vestuario, que ha sorprendido en los últimos meses, se supone que habrá caídas de precios y que recién en febrero y marzo próximo podrían registrarse alzas, producto de la introducción de ítems de la nueva temporada.",,RPM-2010-11-16,3556,1,True,2010,2981,484,False,False,9,True,staff_señal,2010_alza_emergencia
2011-02-17,5566,RPM-2011-02-17:3813:1,Manuel Marfán Lewis,Vicepresidente del Banco Central,acuerdo_comunicado,acuerdo_comunicado,"El Vicepresidente señor Manuel Marfán manifiesta coincidir con la Minuta de Opciones en que, en esta oportunidad, corresponde elevar la TPM en 25 puntos base, descartando otras alternativas. No obstante lo anterior, plantea que hay elementos del escenario base que están siendo dejados atrás por la evolución reciente; en particular, que pareciera que tanto la inflación como el crecimiento exhiben riesgos desbalanceados al alza, lo que habrá que cotejar en el próximo ejercicio de proyección de mediano plazo. Advierte que la mezcla de riesgos desbalanceados al alza en inflación y crecimiento en un contexto de apreciación cambiaria es delicada, especialmente cuando los costos laborales comienzan a hacerse sentir. Asimismo, y como ha señalado en oportunidades anteriores, reitera que el atraso cambiario también puede constituir un síntoma de sobrecalentamiento, que conviene monitorear oportunamente. A su juicio, estos son elementos que deberían estar contenidos en el comunicado. En mérito de lo expuesto, el Vicepresidente señor Manuel Marfán reitera que su voto es por elevar la TPM en 25 puntos base en esta oportunidad.",,RPM-2011-02-17,3813,1,True,2011,1131,171,False,False,9,True,autoridad_señal,2011_alza
2012-10-18,7165,RPM-2012-10-18:5123:1,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,acuerdo_comunicado,acuerdo_comunicado,"El Gerente de Análisis Macroeconómico señor Claudio Soto inicia su presentación mencionando los hechos destacados del escenario interno, refiriéndose en primer término a que el producto ha moderado su tasa de crecimiento, mientras que la demanda final se mantiene dinámica. Asimismo, resalta que han mejorado las expectativas de consumidores y empresas. Agrega que las colocaciones han atenuado su tasa de crecimiento interanual, principalmente porque las condiciones de oferta se mantienen más estrechas, mientras que la demanda por crédito se percibe dinámica. Comenta, además, que el tipo de cambio se apreció levemente respecto de la Reunión de Política Monetaria anterior. En materia de inflación, manifiesta que el registro del mes de septiembre pasado estuvo en línea con las proyecciones internas pero sorprendió al alza al mercado, y que para el mes de diciembre próximo las perspectivas internas han llevado a corregir la proyección de la última Reunión desde 2,2% hasta 2,1% como consecuencia de algunos factores puntuales y la apreciación leve del tipo de cambio. Por último, informa que las distintas encuestas de expectativas y la curva forward indican que se mantendrá la Tasa de Política Monetaria en torno a sus valores actuales por un período prolongado. El señor Claudio Soto consigna que la variación del IMACEC del mes de agosto alcanzó a 0,2% medida mes a mes, confirmando la tendencia observada en los últimos meses, esto es, que han ido atenuándose las variaciones desestacionalizadas. Expresa que el registro correspondiente al mes de septiembre se verá afectado por el número menor de días hábiles que tuvo ese mes. De hecho, anticipa que el dato headline sería bastante bajo, del orden de 3,5% anual, mientras que el dato desestacionalizado sería cercano a 6%, por lo que la tasa de crecimiento interanual en el mes de octubre superaría el 6,5%, en razón de que dicho mes tiene cinco días hábiles más que el de septiembre pasado. En términos de la demanda interna, resalta que el dato del mes de agosto da cuenta de un repunte al registrar una tasa de crecimiento interanual cercana a 9%, la que se vio impulsada por un incremento del consumo no durable y un crecimiento de las importaciones de bienes de capital. A su vez, indica que el dinamismo del consumo obedece a condiciones del mercado laboral muy favorables, ya que si bien se observa una desaceleración del empleo, se compensa a su vez con un crecimiento significativo de los salarios reales, permitiendo que la masa salarial mantenga tasas de crecimiento elevadas. De hecho, hace notar que las colocaciones de consumo han moderado su ritmo de expansión interanual, a lo que se suma que las tasas de los créditos de consumo para montos inferiores a 200 Unidades de Fomento han exhibido niveles históricamente elevados, duplicando aquellas cobradas por créditos de montos superiores a esa cifra. El señor Claudio Soto complementa el análisis, señalando que la Encuesta de Crédito Bancario publicada el día de ayer muestra que la percepción sobre la demanda por créditos sigue bastante dinámica, pero que las condiciones de oferta son más restrictivas que hace un trimestre atrás, oportunidad en que también resultaron ser más estrechas que el trimestre previo, lo que explicaría la causa por la que se ha atenuado la expansión de los créditos de consumo en términos anuales. En lo concerniente a las expectativas de los consumidores, destaca la elevada correlación entre algunos de sus componentes y el comportamiento del consumo, lo que podría sugerir una mayor reaceleración de este último en lo que resta del presente año. En cuanto a las colocaciones comerciales, consigna que los datos recientes dan cuenta de una desaceleración importante, lo que de acuerdo con los resultados de la Encuesta antedicha, no es atribuible a una percepción de demanda débil, sino que a condiciones de oferta que no registran cambios respecto del trimestre previo, y que son algo más restrictivas que un año atrás tanto para las grandes empresas como para las pymes. A continuación, el Gerente de Análisis Macroeconómico destaca el dinamismo de las ventas de viviendas y el tenue repunte en las colocaciones hipotecarias, luego de haber exhibido una moderación en sus tasas de crecimiento interanual por varios meses.",,RPM-2012-10-18,5123,1,True,2012,4288,693,False,False,9,True,staff_señal,2012_13_mantiene
