tanda,subestrato,intervenciones,palabras,desde,hasta
9,autoridad_señal,29,6294,2006-03-16,2015-10-15
9,resto_sin_señal,10,1255,2005-10-11,2013-05-16
9,staff_señal,19,12447,2006-04-13,2015-03-19
10,autoridad_señal,40,11758,2005-07-12,2015-10-15
10,resto_sin_señal,6,587,2006-08-10,2015-12-17
10,staff_señal,10,7162,2006-07-13,2014-01-16
11,autoridad_señal,40,11161,2006-05-11,2015-11-12
11,resto_sin_señal,11,503,2006-04-13,2014-07-15
11,staff_señal,20,8062,2007-05-10,2015-09-15
12,autoridad_señal,37,11724,2006-03-16,2015-07-14
12,resto_sin_señal,9,795,2007-09-13,2015-10-15
12,staff_señal,12,7329,2006-11-16,2015-12-17
13,autoridad_señal,4,1666,2007-04-12,2013-06-13
13,resto_sin_señal,2,118,2009-05-07,2011-12-13
13,staff_señal,1,280,2011-04-12,2011-04-12
