anio,meeting_id,candidato_dovish,candidato_hawkish,neutral_dificil
2005,RPM-2005-08-11,0,4,0
2005,RPM-2005-10-11,0,4,0
2005,RPM-2005-11-10,0,3,1
2006,RPM-2006-06-15,0,4,5
2006,RPM-2006-10-12,1,1,2
2006,RPM-2006-11-16,1,1,2
2007,RPM-2007-04-12,1,2,2
2007,RPM-2007-07-12,0,6,0
2007,RPM-2007-08-09,0,4,3
2008,RPM-2008-06-10,0,6,0
2008,RPM-2008-07-10,1,1,1
2008,RPM-2008-12-11,2,1,0
2009,RPM-2009-05-07,2,1,0
2009,RPM-2009-06-16,2,2,0
2009,RPM-2009-11-12,1,5,3
2010,RPM-2010-02-11,1,0,3
2010,RPM-2010-05-13,1,7,0
2010,RPM-2010-11-16,0,6,0
2011,RPM-2011-03-17,1,3,0
2011,RPM-2011-11-15,2,1,2
2011,RPM-2011-12-13,2,0,1
2012,RPM-2012-06-14,1,1,6
2012,RPM-2012-08-16,1,1,7
2012,RPM-2012-12-13,1,1,6
2013,RPM-2013-08-13,3,0,7
2013,RPM-2013-09-12,3,0,7
2013,RPM-2013-10-17,2,2,1
2014,RPM-2014-03-13,2,2,4
2014,RPM-2014-06-12,2,0,6
2014,RPM-2014-09-11,3,0,1
2015,RPM-2015-03-19,2,1,2
2015,RPM-2015-05-14,1,1,5
2015,RPM-2015-07-14,2,0,2
