"orden";"intervencion_id";"fecha_reunion";"actor";"cargo";"texto";"etiqueta";"confianza";"es_relevante";"nota";"frase_justificante";"metodo";"ronda";"version_codebook";"fecha";"etiquetador"
"1";"RPM-2014-03-13:6107:1";"2014-03-13";"Joaquín Vial Ruiz-Tagle";"Consejero";"El Consejero señor Joaquín Vial inicia su intervención agradeciendo el análisis completo y actualizado de los personeros de la Gerencia de División Estudios, que en esta ocasión ha debido adaptarse a hechos ocurridos esta semana para la presentación del día de En lo atinente a la situación internacional, menciona que este mes se ha observado una acentuación de los riesgos sobre los países emergentes, y que la crisis de Ucrania ha agregado una dimensión inesperada, en una región especialmente sensible por sus implicancias geopolíticas y su eventual impacto en mercados de energía y alimentos. Agrega que el mes pasado ya se comentaba que los riesgos sobre el sistema financiero de China iban en aumento, como los eventos recientes parecen confirmarlo, con consecuencias muy importantes para los precios de algunos productos mineros, y del cobre y el hierro en particular. Por otra parte, señala que los países de América Latina están confrontando nuevos desafíos, especialmente para su política monetaria, en un ambiente en que las monedas tienden a depreciarse, la inflación a aumentar y en que los déficits en cuenta corriente son relativamente elevados. Consigna que Chile ha experimentado una fuerte depreciación y que el déficit en cuenta corriente se ha estabilizado en niveles inferiores a 4% del PIB. Hace notar que ello no ha tenido repercusiones negativas ni en las primas de riesgo ni en las tasas de interés de largo plazo, pero parece ser más bien la excepción que la regla, al menos entre las economías emergentes. En lo referente al plano local, indica que hemos tenido una sorpresa negativa en actividad, que se concentra principalmente en sectores de recursos naturales y que puede ser transitoria; y, por otra parte, una inflación mayor que la esperada, posiblemente muy influenciada por la depreciación reciente del peso. Añade que la inversión sigue dando señales de debilidad mientras el consumo se desacelera en algún grado, pero aún crece a tasas superiores al crecimiento de tendencia de la economía apoyado en el aumento de los ingresos del trabajo y la baja en el costo del crédito. En este contexto, estima que las opciones planteadas por la Gerencia de División Estudios son las adecuadas y que ambas presentan riesgos. A su juicio, mantener la tasa para acumular nueva evidencia tiene el riesgo de llegar demasiado tarde para prevenir una desaceleración más allá de lo deseado; y bajarla puede inducir nuevas depreciaciones que lleven a las expectativas de inflación más allá de la banda de tolerancia en el horizonte relevante de política monetaria. A título personal, señala que en la coyuntura actual y dado el panorama de mayor sensibilidad de los mercados internacionales a los riesgos en mercados emergentes, tiende a ponderar más el segundo de los factores mencionados, por lo que su inclinación sería por la mantención de la tasa en esta ocasión, manteniendo un sesgo a ia baja. Sin embargo, y tomando en cuenta que es una decisión muy ajustada, manifiesta que en el evento que una mayoría de Consejeros esté de acuerdo con la recomendación del staff, está dispuesto a apoyar una baja en la tasa de política monetaria a 4%, en la medida que el Comunicado dé una señal clara de reducción del sesgo a la baja.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"2";"RPM-2011-04-12:3955:1";"2011-04-12";"Matías Bernier Bórquez";"Gerente de Mercados Nacionales";"El señor Matías Bernier complementa, señalando que la swap sube, pero la swap en UF aumenta aún más y, por lo tanto, la compensación spot en un año cae en el margen. Agrega que el gráfico expuesto refleja que la compensación inflacionaria spot a dos años es la que se mantiene, dado los movimientos que exhiben la curva nominal y la curva real.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"3";"RPM-2010-03-18:2971:1";"2010-03-18";"Sergio Lehmann Beresi";"Gerente de Análisis Internacional";"El Gerente de Análisis Internacional indica a continuación que el deterioro en el empleo se ha estabilizado y que, no obstante ello, la confianza de los consumidores ha tendido a retroceder, lo que estaría asociado a un mercado laboral que se mantiene débil. Añade que las tasas de desempleo siguen bastante planas, en general. En cuanto a la creación de empleo, hace notar que se observan algunas caídas marginales, que se mantienen en el caso de Estados Unidos y de otras economías desarrolladas, mientras que Brasil y otras economías emergentes muestran evoluciones positivas. Los préstamos en Estados Unidos de América, prosigue, registran una caída, mientras que la tasa de ahorro de hogares, si bien muestra alguna moderación, continúa elevada. Señala que la tasa de ahorro se mantiene por sobre los niveles históricos, que se sitúan más bien en torno a 3% si se consideran los datos desde el 2000 hasta la fecha, y que aun cuando las últimas cifras dan cuenta de algunas caídas, se mantiene en niveles históricamente altos para esa economía. En cuanto a las proyecciones de crecimiento, el señor Sergio Lehmann hace presente que se corrigen al alza y que destaca particularmente un mejor desempeño en las economías emergentes. El Gerente aludido, refiriéndose a la inflación, informa que las expectativas para el presente año han aumentado en todas las regiones, en tanto que los registros spot exhiben cierta heterogeneidad. Cita el caso de Estados Unidos, que muestra una ligera reversión hacia el final, y donde el dato de IPC conocido esta mañana da cuenta de que no se ha registrado variación alguna. Agrega que se observan alzas, aunque ligeras, en algunas economías, especialmente en Europa emergente, y caídas en algunas otras, como Israel y Brasil. Para resumir, indica que las proyecciones, mirando el 2010 como un todo, tienden a revisarse ligeramente al alza. Continuando con su exposición, el Gerente de Análisis Internacional menciona que los premios por riesgo han disminuido en los países de la periferia de Europa ante nuevos anuncios de un ajuste fiscal. No obstante, advierte que habría que relativizar el apoyo de la región, que parece no ser tan fuerte como se pensaba algunos días atrás, ya que la información del día 2 de marzo señala que la Unión Europea estaría contemplando más bien la idea de que sea el Fondo Monetario Internacional el que ayude a financiar los problemas fiscales de Grecia. En cuanto a los CDS, el señor Lehmann señala que hasta el día 16 de marzo se observaba un ligero aumento de 10 puntos base, particularmente en el caso de Europa, y también en los spreads en esa misma dirección. En el caso de los otros países de la periferia europea, señala que los aumentos son bastante más reducidos en términos de CDS, destacando los movimientos de Portugal, España e Irlanda. Indica que ello ha contribuido a una percepción de menor incertidumbre y a una visión tal vez algo más positiva, que se ha reflejado en mercados bursátiles que se mueven al alza, particularmente en América Latina y en países de Europa emergente. No obstante, advierte que esta visión podría cambiar ligeramente, sobre la base de la información recogida esa mañana. Añade que la volatilidad en los mercados ha seguido cayendo y que, bajo ese contexto, los premios de CDS se han ajustado a la baja de manera generalizada, en especial en Islandia, Argentina y Portugal. Al continuar con su presentación, el señor Sergio Lehmann se refiere a las paridades cambiarias, informando que las monedas de economías emergentes se han apreciado, mientras que en el caso de Europa, la libra esterlina muestra una depreciación importante y el Euro no registra cambios significativos. Agrega que si se revisan los movimientos en detalle, se observa un predominio de las apreciaciones de las monedas, en especial la de Brasil, Sudáfrica y las de algunas economías de Europa, como Polonia y Hungría; una cierta estabilidad del euro en las economías de la zona Euro y que la libra esterlina se ha depreciado en torno a 2%, y en 0,5% el yen y el peso argentino. El señor Lehmann, haciendo mención a las tasas de interés, informa que las de mediano y largo plazo se mantienen relativamente estables, que se observan ciertas fluctuaciones en las tasas largas de una magnitud no relevante tanto en Estados Unidos como en la zona Euro, no obstante en este último caso de las turbulencias asociadas a los países de la periferia europea. Respecto de las expectativas de mercado para la TPM, el señor Lehmann indica que se han ajustado nuevamente a la baja, en línea con señales de parte de las autoridades que refuerzan que el período de bajas tasas sería prolongado. Destaca que ello ya había ocurrido en los dos últimos meses, por lo menos. Hace notar también que la curva forward de Estados Unidos de América vuelve a exhibir un ajuste a la baja, lo mismo que la del Reino Unido, mientras que el ajuste de las de la zona Euro y Japón se mantiene plano. Agrega que, de acuerdo con esta información, el aumento de la TPM en Estados Unidos comenzaría más bien hacia el último o tercer trimestre del año, cosa que también se ha producido a nivel global, esto es, que el movimiento de las expectativas de alza se ha postergado y, por lo tanto, que parte de la acción de la política monetaria, que se esperaba para el segundo semestre de este año, se ha trasladado hacia el año 2011.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"4";"RPM-2011-07-14:4127:1";"2011-07-14";"José De Gregorio Rebeco";"Presidente del Banco Central";"El Presidente señor José De Gregorio comenta que The Economist, en su heat map publicado días atrás y que es elaborado sobre la base de diez indicadores, mostró que Argentina es, en este momento, la economía más sobrecalentada del mundo.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"5";"RPM-2005-09-08:380:1";"2005-09-08";"Jorge Desormeaux Jiménez";"Consejero";"El Consejero señor Desormeaux, señala que si se miran los PDBC en la fecha de nuestro Informe de Política Monetaria, estaba casi 25 puntos arriba de la tasa de política monetaria, y eso, normalmente es una señal de que la gente exige un premio para quedarse con papeles nominales. Agrega, que hay que pensar que, en un momento determinado, las instituciones quieren tener un portafolio con más instrumentos indizados y menos instrumentos nominales, y que tienen que vender estos últimos para comprar en UF. Por lo tanto, para que alguien esté dispuesto a tomarlos, tienen que pagar un premio. Señala que la diferencia entre el PDBC 90 y la tasa de política monetaria no es solamente el reflejo de expectativa de alza de tasa, sino que también en parte corresponde a un premio exigido por los demandantes de papeles nominales.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"6";"RPM-2010-02-11:2905:2";"2010-02-11";"José De Gregorio Rebeco";"Presidente del Banco Central";"Al respecto, el señor Presidente acota que lo que ocurre es que si se excluyen los tres meses de caída, se estaría frente a una alta persistencia. A su juicio, la pregunta relevante es precisar lo que provoca la caída, esto es, si se trata de un cambio en la persistencia o de un shock negativo importante, y que la evidencia indicaría que sucedió esto último. Agrega que no es que la persistencia haya cambiado o desaparecido, sino que se produjo un shock que provocó un descenso de la inflación.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"7";"RPM-2006-12-14:1010:4";"2006-12-14";"Manuel Marfán Lewis";"Consejero";"El Consejero señor Marfán indica que desea comentar que el señor Mario Marcel es un buen economista y muy honesto, y cree, que no tiene intenciones políticas en lo que ha señalado, de modo que lo tomaría con buena fe de que él realmente piensa así. No obstante, tiene la sensación que cuando el Gobierno impulsa la regla fiscal, lo que está implícitamente pensando es que cuando esa regla tiene un componente anticíclico éste es tenue y que, por lo tanto, la política monetaria debería jugar un rol anticíclico más fuerte. En consecuencia, a su juicio, si existe una desaceleración, el discurso consistente y coherente de ellos es que la política monetaria no jugó el rol anticíclico que debió haber tenido. Le parece que ese es el";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"8";"RPM-2008-09-04:2096:1";"2008-09-04";"José De Gregorio Rebeco";"Presidente del Banco Central";"El Presidente señor José De Gregorio manifiesta que las recientes cifras de evolución macroeconómica no distan mucho de las proyecciones y, por lo tanto, no hay razones para desviarse de la trayectoria de política monetaria la que en el último tiempo aparece como la más adecuada, esto es, seguir subiendo la Tasa de Política Monetaria. Menciona que existen antecedentes que permitirían un panorama algo más benigno en materia inflacionaria. En particular, la evolución de los salarios muestra que no es una fuente significativa de mayor inflación, aunque es rol del Banco Central de Chile evitar preventivamente con medidas de política monetaria que esto ocurra dados los riesgos de propagación que se enfrentan. Indica que los salarios deben continuar con un ritmo de crecimiento moderado, y coherente con la convergencia de la inflación a la meta, ya que de otro modo se haría significativamente más costosa la desinflación. Por otra parte, señala el señor Presidente que los precios de las materias primas, en especial del petróleo, han descendido y las expectativas son algo mejores que hace unas semanas atrás. Le parece que la evolución de la economía mundial, con una desaceleración en el mundo desarrollado, es consistente con un escenario de mayor debilidad de los precios de materias primas, lo que al menos permite descartar, con alta probabilidad, alzas significativas. No obstante, señala que sería inconveniente descansar en un escenario optimista para contener las presiones inflacionarias, en especial, cuando se observan propagaciones más allá de lo razonable. Más aún, le es difícil pensar que el debilitamiento de los precios externos, excepto por la gasolina, vaya a resultar en una caída de los precios internos, en particular en condiciones donde la demanda interna crece con elevado dinamismo. Manifiesta el Presidente señor José De Gregorio que aún existen variables que se ubican en niveles inadecuados, en especial las elevadas expectativas de inflación, que persisten a pesar de las decisiones de política monetaria más recientes. Dichos niveles son preocupantes, pues constituyen una potencial causa de los efectos de segunda vuelta que se están observando y que pueden poner dificultades a la caída de la inflación, en la medida que se transmitan a la formación de precios y salarios, de modo que una normalización pronta de estas expectativas hará más fácil la convergencia de la inflación a la meta. Asimismo, señala que las noticias de actividad, que revelan un dinamismo de la economía algo superior a lo que se preveía hace algunos meses atrás, al menos para el mercado, podría mantener más allá de lo prudente las presiones inflacionarias ya existentes. Con todo, estima que en el escenario más probable, en los próximos meses se debería comenzar a observar menores registros de inflación, pero se tiene que actuar con la política monetaria de tal forma que dichos registros se consoliden. Señala el Presidente señor José De Gregorio que se está en una situación bastante compleja, donde hay incertidumbre más allá de lo usual sobre la dinámica inflacionaria y los mecanismos por los cuales el shock inicial de inflación externa se ha estado filtrando a muchos otros precios. No obstante, en cualquier escenario, la respuesta de política monetaria es inambigua y su dirección hoy es al alza de tasas. Además, menciona que nuevamente es aconsejable mantener en la comunicación un sesgo al alza, pues eso es lo que se espera que siga ocurriendo en el corto plazo.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"9";"RPM-2007-10-11:1504:1";"2007-10-11";"Manuel Marfán Lewis";"Consejero";"El Consejero señor Manuel Marfán señala que antes de las expectativas de mercado, se debería dilucidar cuáles son los impactos de segunda vuelta de los shocks que se han observado hasta ahora porque eso claramente debería estar considerado en las opciones de política. Consulta si sería posible construir un indicador de lo que estamos proyectando para tener un benchmark y poder decir si los efectos de segunda vuelta están siendo mayores, inferiores o iguales a lo que anticipábamos. Cree que eso podría ser posible.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
"10";"RPM-2011-07-14:4207:1";"2011-07-14";"Sebastián Claro Edwards";"Consejero";"El Consejero señor Sebastián Claro destaca que el ambiente de mayor volatilidad en el exterior que ha caracterizado el mundo durante las últimas semanas se combina con datos internos que, en lo grueso, son coherentes con el escenario planteado en el último IPoM. Hace presente que la situación internacional ha dado muestras de elevada incertidumbre, aun cuando algunos datos entregados podrían ser calificados como mixtos. Resalta, por un lado, que la recuperación en algunos segmentos de la actividad industrial derivados de la normalización de la actividad en Japón, así como las cifras en China, que dan cuenta de un crecimiento vigoroso, aunque a una velocidad cercana o algo superior al 8% por dos trimestres consecutivos; pero, por otra parte, advierte que las cifras de empleo en Estados Unidos resultaron más débiles que lo esperado, que las tasas de interés de papeles públicos de ese país y Alemania mostraron importantes caídas, y que la incertidumbre en los mercados de deuda en Europa han incrementado de manera sustancial los costos de financiamiento de algunos gobiernos y bancos, aumentando las dudas sobre la solución de los problemas en Europa y sus repercusiones sobre el crecimiento. Con todo, expresa que el conjunto de señales externas ha sido negativo. En su opinión, ello no constituye una señal suficientemente poderosa para alterar el escenario de un dinamismo bajo, pero estable a nivel internacional, pero que sí se va corroborando y configurando un escenario de debilidad persistente. Menciona que en Chile, la cifra de actividad estuvo en torno a lo esperado internamente, confirmando ya por dos meses una convergencia a una velocidad de crecimiento más acorde con tasas de tendencia, en tanto que las cifras más detalladas muestran una desaceleración en ciertos componentes del consumo y un mayor dinamismo en la inversión. A su juicio, este fenómeno, de mantenerse en el tiempo, es positivo. Asimismo, señala que aun cuando la inflación fue algo menor que la esperada, se va configurando un panorama donde la convergencia de la inflación subyacente a la meta prosigue lentamente, reflejando que las condiciones para su normalización subsisten, sin que existan presiones excesivas derivadas de una actividad o demanda muy dinámicas. Sostiene que esto es coherente con una normalización gradual de las condiciones de crédito y con una normalización de las condiciones en el mercado laboral, donde las tasas de crecimiento del empleo y de los salarios han tendido también a normalizarse. Con todo, indica que no existen por ahora razones suficientes para desviarse del escenario central planteado en el IPoM, donde la convergencia de la política monetaria a rangos neutrales se ha producido en gran parte y donde es esperable algún ajuste adicional durante el segundo semestre. Expresa que después de alzas importantes de la TPM en los últimos trimestres, y sobre la base de los antecedentes discutidos, se valida, en su opinión, la opción de mantener la tasa en esta oportunidad, ya que la economía da muestras de dinamismo, pero no de un dinamismo excesivo; la política monetaria se encuentra en un rango similar al promedio histórico; y la demanda interna, aunque continúa dinámica, da cuenta de una normalización. A su vez, estima que las condiciones externas plantean la necesidad de mucha prudencia en las próximas decisiones. Por último, hace presente que sigue siendo válido un escenario donde no se pueden descartar alzas futuras de la TPM, aunque, a su juicio, no es claro el timing que estas pudieran tener. Considerando lo expuesto, el Consejero señor Sebastián Claro manifiesta que vota en esta oportunidad por mantener la tasa en 5,25%.";"";"";"";"";"";"humano_gold";"gold_ciego";"v2";"";"usuario"
