fase,senal_decision,intervenciones,palabras
2006_alza_fin,False,11,541
2006_alza_fin,True,23,7584
2007_mixto,False,11,960
2007_mixto,True,23,10305
2008_crisis_alza,False,11,1078
2008_crisis_alza,True,23,11531
2009_bajas,False,11,1397
2009_bajas,True,23,10776
2010_alza_emergencia,False,11,745
2010_alza_emergencia,True,23,9874
2011_alza,False,11,618
2011_alza,True,23,10793
2012_13_mantiene,False,11,971
2012_13_mantiene,True,23,9137
2013_14_bajas,False,11,542
2013_14_bajas,True,23,13420
2015_quiebre,False,11,687
2015_quiebre,True,23,8701
